$ BONNEVILLE-POOLELEV.npt based on $//BONNEVILLE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,23.811
40545,23.685
40546,23.734
40547,23.474
40548,23.167
40549,23.197
40550,23.48
40551,23.757
40552,23.741
40553,23.891
40554,23.335
40555,23.62
40556,23.519
40557,23.529
40558,23.686
40559,23.761
40560,23.713
40561,23.381
40562,23.371
40563,23.089
40564,23.03
40565,23.136
40566,23.209
40567,23.156
40568,23.278
40569,22.921
40570,22.981
40571,23.042
40572,22.949
40573,23.007
40574,23.201
40575,23.035
40576,23.04
40577,23.033
40578,23.177
40579,23.186
40580,23.136
40581,23.24
40582,23.141
40583,23.081
40584,23.221
40585,23.061
40586,23.298
40587,23.221
40588,23.135
40589,23.204
40590,23.432
40591,23.099
40592,23.085
40593,23.132
40594,23.181
40595,23.19
40596,23.097
40597,23.12
40598,23.069
40599,23.04
40600,23.102
40601,23.308
40602,23.325
40603,23.356
40604,23.59
40605,23.487
40606,23.407
40607,23.298
40608,23.37
40609,23.419
40610,23.624
40611,23.594
40612,23.306
40613,23.556
40614,23.381
40615,23.082
40616,23.161
40617,23.237
40618,23.48
40619,23.484
40620,23.353
40621,23.332
40622,23.44
40623,23.48
40624,23.393
40625,23.277
40626,23.312
40627,23.438
40628,23.369
40629,23.401
40630,23.36
40631,23.312
40632,23.261
40633,23.489
40634,23.451
40635,23.22
40636,23.743
40637,23.805
40638,23.57
40639,23.639
40640,23.879
40641,23.866
40642,23.806
40643,23.565
40644,23.776
40645,23.621
40646,23.472
40647,23.652
40648,23.539
40649,23.699
40650,23.986
40651,23.524
40652,23.607
40653,23.765
40654,23.468
40655,23.442
40656,23.532
40657,23.47
40658,23.553
40659,23.529
40660,23.657
40661,23.632
40662,23.644
40663,23.594
40664,23.399
40665,23.653
40666,23.525
40667,23.537
40668,23.65
40669,23.314
40670,23.15
40671,23.288
40672,23.728
40673,23.557
40674,23.536
40675,23.398
40676,23.361
40677,23.294
40678,23.376
40679,23.136
40680,23.252
40681,23.396
40682,23.596
40683,23.391
40684,23.299
40685,23.037
40686,23.212
40687,23.07
40688,23.03
40689,23.289
40690,23.071
40691,22.962
40692,22.969
40693,23.203
40694,23.393
40695,23.252
40696,23.193
40697,23.086
40698,23.094
40699,22.919
40700,23.145
40701,22.999
40702,23.075
40703,22.941
40704,23.126
40705,23.329
40706,23.519
40707,23.54
40708,23.335
40709,23.212
40710,23.174
40711,23.238
40712,23.285
40713,23.328
40714,23.312
40715,23.336
40716,23.469
40717,23.432
40718,23.477
40719,23.416
40720,23.148
40721,23.17
40722,23.611
40723,23.368
40724,23.491
40725,23.441
40726,23.679
40727,23.745
40728,23.742
40729,23.374
40730,23.532
40731,23.637
40732,23.513
40733,23.559
40734,23.498
40735,23.742
40736,23.606
40737,23.462
40738,23.437
40739,23.482
40740,23.544
40741,23.698
40742,23.792
40743,23.706
40744,23.766
40745,23.724
40746,23.687
40747,23.675
40748,23.491
40749,23.524
40750,23.454
40751,23.579
40752,23.623
40753,23.458
40754,23.522
40755,23.568
40756,23.725
40757,23.881
40758,23.536
40759,23.282
40760,23.589
40761,23.865
40762,24.062
40763,24.016
40764,23.691
40765,23.436
40766,23.486
40767,23.726
40768,23.621
40769,23.45
40770,23.256
40771,23.369
40772,23.628
40773,23.558
40774,23.598
40775,23.414
40776,23.54
40777,23.626
40778,23.568
40779,23.573
40780,23.612
40781,23.603
40782,23.753
40783,23.785
40784,23.822
40785,23.54
40786,23.527
40787,23.449
40788,23.496
40789,23.545
40790,23.946
40791,23.837
40792,23.836
40793,23.828
40794,23.757
40795,23.766
40796,23.79
40797,23.78
40798,23.503
40799,23.604
40800,23.511
40801,23.47
40802,23.52
40803,23.721
40804,23.831
40805,23.983
40806,23.97
40807,23.807
40808,23.84
40809,23.785
40810,23.837
40811,23.778
40812,23.731
40813,23.875
40814,23.81
40815,23.863
40816,23.827
40817,23.851
40818,23.729
40819,23.814
40820,23.683
40821,23.652
40822,23.704
40823,23.692
40824,23.676
40825,23.844
40826,23.492
40827,23.499
40828,23.636
40829,23.6
40830,23.656
40831,23.665
40832,23.63
40833,23.613
40834,23.581
40835,23.361
40836,23.336
40837,23.39
40838,23.639
40839,23.685
40840,23.657
40841,23.564
40842,23.865
40843,23.18
40844,22.941
40845,23.698
40846,23.719
40847,23.625
40848,23.609
40849,23.802
40850,23.463
40851,23.473
40852,23.477
40853,23.473
40854,23.473
40855,23.472
40856,23.578
40857,23.668
40858,23.593
40859,23.553
40860,23.731
40861,23.505
40862,23.447
40863,23.659
40864,23.602
40865,23.69
40866,23.602
40867,23.611
40868,23.539
40869,23.546
40870,23.641
40871,23.736
40872,23.668
40873,23.462
40874,23.539
40875,23.652
40876,23.571
40877,23.583
40878,23.528
40879,23.523
40880,23.451
40881,23.564
40882,23.59
40883,23.604
40884,23.629
40885,23.615
40886,23.708
40887,23.642
40888,23.649
40889,23.821
40890,23.492
40891,23.708
40892,23.584
40893,23.597
40894,23.564
40895,23.481
40896,23.514
40897,23.259
40898,23.19
40899,23.443
40900,23.399
40901,23.473
40902,23.559
40903,23.508
40904,23.397
40905,23.457
40906,23.389
40907,23.771
40908,23.732
40909,23.656
40910,23.559
40911,23.483
40912,23.771
40913,23.674
40914,23.576
40915,23.591
40916,23.77
40917,23.418
40918,23.333
40919,23.475
40920,23.633
40921,23.564
40922,23.317
40923,23.472
40924,23.185
40925,23.31
40926,23.419
40927,23.46
40928,23.526
40929,23.868
40930,23.893
40931,23.803
40932,23.635
40933,23.793
40934,23.524
40935,23.553
40936,23.503
40937,23.543
40938,23.528
40939,23.596
40940,23.766
40941,23.65
40942,23.477
40943,23.632
40944,23.594
40945,23.619
40946,23.437
40947,23.668
40948,23.628
40949,23.499
40950,23.479
40951,23.574
40952,23.767
40953,23.825
40954,23.779
40955,23.627
40956,23.691
40957,23.664
40958,23.647
40959,23.658
40960,23.716
40961,23.717
40962,23.762
40963,23.625
40964,23.518
40965,23.831
40966,23.988
40967,23.802
40968,23.797
40969,23.614
40970,23.576
40971,23.821
40972,23.805
40973,23.799
40974,23.872
40975,23.724
40976,23.628
40977,23.656
40978,23.626
40979,23.48
40980,23.631
40981,23.516
40982,23.69
40983,23.815
40984,23.633
40985,23.605
40986,23.508
40987,23.534
40988,23.602
40989,23.534
40990,23.416
40991,23.557
40992,23.556
40993,24.003
40994,23.78
40995,23.622
40996,23.313
40997,23.457
40998,23.491
40999,23.927
41000,23.715
41001,23.026
41002,23.26
41003,23.086
41004,23.122
41005,23.321
41006,23.908
41007,23.869
41008,23.409
41009,23.091
41010,23.28
41011,23.758
41012,23.406
41013,23.551
41014,23.231
41015,23.381
41016,23.566
41017,23.524
41018,23.439
41019,23.324
41020,23.351
41021,23.517
41022,23.816
41023,23.814
41024,23.27
41025,23.298
41026,23.476
41027,23.188
41028,23.434
41029,23.569
41030,23.114
41031,23.099
41032,23.21
41033,23.424
41034,23.408
41035,23.513
41036,23.821
41037,23.491
41038,23.432
41039,23.329
41040,23.546
41041,23.414
41042,23.771
41043,23.822
41044,23.567
41045,23.372
41046,23.481
41047,23.595
41048,23.718
41049,23.98
41050,23.789
41051,23.452
41052,23.345
41053,23.567
41054,23.601
41055,23.731
41056,23.802
41057,23.591
41058,23.614
41059,23.706
41060,23.723
41061,23.55
41062,23.635
41063,23.493
41064,23.652
41065,23.607
41066,23.491
41067,23.283
41068,23.364
41069,23.502
41070,23.559
41071,23.191
41072,23.484
41073,23.72
41074,23.612
41075,23.594
41076,23.599
41077,23.644
41078,23.351
41079,23.576
41080,23.529
41081,23.6
41082,23.562
41083,23.472
41084,23.632
41085,23.41
41086,23.343
41087,23.357
41088,23.445
41089,23.507
41090,23.586
41091,23.633
41092,23.69
41093,23.628
41094,23.669
41095,23.656
41096,23.865
41097,23.762
41098,23.717
41099,23.703
41100,23.719
41101,23.742
41102,23.718
41103,23.521
41104,23.32
41105,23.433
41106,23.227
41107,23.19
41108,23.176
41109,23.205
41110,23.331
41111,23.386
41112,23.581
41113,23.482
41114,23.425
41115,23.271
41116,23.502
41117,23.615
41118,23.601
41119,23.64
41120,23.432
41121,23.341
41122,23.658
41123,23.718
41124,23.423
41125,23.526
41126,23.703
41127,23.354
41128,23.301
41129,23.429
41130,23.258
41131,23.445
41132,23.476
41133,23.882
41134,23.849
41135,23.543
41136,23.373
41137,23.56
41138,23.452
41139,23.547
41140,23.755
41141,23.839
41142,23.737
41143,23.819
41144,23.824
41145,23.87
41146,23.697
41147,23.719
41148,23.682
41149,23.503
41150,23.449
41151,23.388
41152,23.442
41153,23.745
41154,24.097
41155,24.036
41156,23.849
41157,23.883
41158,23.875
41159,23.932
41160,23.879
41161,23.832
41162,23.777
41163,23.736
41164,23.825
41165,23.889
41166,23.825
41167,23.802
41168,23.894
41169,23.823
41170,23.633
41171,23.621
41172,23.734
41173,23.738
41174,23.71
41175,23.969
41176,23.953
41177,23.816
41178,23.558
41179,23.813
41180,23.87
41181,23.945
41182,23.982
41183,24.022
41184,24.041
41185,23.866
41186,23.882
41187,23.926
41188,23.98
41189,24.005
41190,24.014
41191,24.007
41192,23.987
41193,23.933
41194,23.985
41195,23.956
41196,24.033
41197,24.023
41198,23.958
41199,24.042
41200,24.021
41201,24.037
41202,23.898
41203,23.991
41204,23.982
41205,23.991
41206,23.94
