Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         497.51,   582108.94789,  5054767.02405, 10,     1.006
  3,  1,        1492.52,   581274.38475,  5054225.24500, 10,     1.006
  4,  1,        2487.52,   580359.48998,  5053921.24979, 10,     3.506
  5,  1,        3482.53,   579366.97248,  5053850.86557, 10,     6.006
  6,  1,        4477.54,   578386.21965,  5053928.70757, 10,     1.506
  7,  1,        5472.55,   577530.73344,  5054373.21729, 10,     1.006
  8,  1,        6467.56,   576903.27673,  5055130.99929, 10,     1.006
  9,  1,        7462.57,   576626.12546,  5056054.38042, 10,     1.006
 10,  1,        8457.58,   576584.75210,  5057048.52989, 10,     1.006
 11,  1,        9452.59,   576587.14497,  5058042.57400, 10,     1.006
 12,  1,       10447.60,   576528.21731,  5059030.24293, 10,     1.006
 13,  1,       11442.61,   576148.46719,  5059919.51542, 10,     6.506
 14,  1,       12437.62,   575448.49325,  5060610.87058, 10,     4.006
 15,  1,       13432.63,   574593.88220,  5061110.68791, 10,     3.506
 16,  1,       14427.64,   573670.71311,  5061478.56113, 10,     3.506
 17,  1,       15422.65,   572729.13501,  5061800.23738, 10,     7.506
 18,  1,       16417.66,   571787.55692,  5062121.91363, 10,     8.006
 19,  1,       17412.67,   570845.97882,  5062443.58988, 10,     7.506
 20,  1,       18407.68,   569904.40073,  5062765.26614, 10,     1.506
 21,  1,       19402.69,   569097.56537,  5063292.96133, 10,     1.506
 22,  1,       20397.70,   568390.52694,  5063991.29400, 10,     2.006
 23,  1,       21392.71,   567526.17661,  5064386.87037, 10,     3.506
 24,  1,       22387.72,   566535.52553,  5064465.49800, 10,     1.506
 25,  1,       23382.73,   565541.97391,  5064444.83277, 10,     1.506
 26,  1,       24377.74,   564549.45642,  5064374.44854, 10,     6.506
 27,  1,       25372.75,   563566.49791,  5064236.13234, 10,     6.506
 28,  1,       26367.76,   562609.59000,  5063970.47974, 10,     4.006
 29,  1,       27362.77,   561660.00682,  5063674.86921, 10,     4.006
 30,  1,       28357.78,   560683.33894,  5063556.31406, 10,     7.006
 31,  1,       29352.79,   559688.75319,  5063585.36781, 10,     7.006
 32,  1,       30347.80,   558698.10211,  5063663.99545, 10,     7.506
 33,  1,       31342.81,   557711.38570,  5063792.19697, 10,     6.006
 34,  1,       32337.82,   556765.64745,  5064063.33283, 10,     6.006
 35,  1,       33332.83,   555860.88737,  5064477.40301, 10,     4.006
 36,  1,       34327.84,   554979.05631,  5064935.60149, 10,     4.006
 37,  1,       35322.85,   554120.15425,  5065437.92826, 10,     7.506
 38,  1,       36317.86,   553261.25220,  5065940.25504, 10,     8.006
 39,  1,       37312.88,   552382.57746,  5066405.21572, 10,     5.006
 40,  1,       38307.89,   551436.06087,  5066633.53989, 10,     5.006
 41,  1,       39302.90,   550444.88832,  5066588.11606, 10,     6.506
 42,  1,       40297.91,   549471.63362,  5066395.08332, 10,     6.006
 43,  1,       41292.92,   548512.88359,  5066128.91927, 10,     4.006
 44,  1,       42287.93,   547554.13357,  5065862.75521, 10,     4.006
 45,  1,       43282.95,   546595.38354,  5065596.59115, 10,     8.006
 46,  1,       44277.96,   545636.63351,  5065330.42709, 10,     9.006
 47,  1,       45272.97,   544677.88349,  5065064.26303, 10,     7.006
 48,  1,       46267.98,   543719.13346,  5064798.09898, 10,     5.006
 49,  1,       47262.99,   542743.49970,  5064629.82484, 10,     5.006
 50,  1,       48258.00,   541750.98220,  5064559.44061, 10,     5.006
 51,  1,       49253.02,   540775.34844,  5064391.16647, 10,     5.006
 52,  1,       50248.03,   539832.27931,  5064077.80967, 10,     5.506
 53,  1,       51243.04,   538904.89107,  5063717.26012, 10,     3.506
 54,  1,       52238.05,   537977.50283,  5063356.71057, 10,     3.506
 55,  1,       53233.06,   537023.54255,  5063091.87628, 10,     3.506
 56,  1,       54228.07,   536039.91817,  5063071.41753, 10,     5.506
 57,  1,       55223.09,   535053.20175,  5063199.61905, 10,     3.006
 58,  1,       56218.10,   534075.34945,  5063376.75392, 10,     3.006
 59,  1,       57213.11,   533112.61613,  5063626.89553, 10,     4.506
 60,  1,       58208.12,   532163.58785,  5063924.84116, 10,     7.506
 61,  1,       59203.13,   531208.30472,  5064198.71339, 10,     9.006
 62,  1,       60198.14,   530239.31655,  5064424.78162, 10,     8.506
 63,  1,       61193.16,   529257.52959,  5064552.34261, 10,     8.506
 64,  1,       62188.17,   528280.86171,  5064433.78746, 10,     8.006
 65,  1,       63183.18,   527358.10657,  5064075.03910, 10,     6.006
 66,  1,       64178.19,   526471.34631,  5063623.70644, 10,     5.506
 67,  1,       65173.20,   525584.58606,  5063172.37378, 10,     5.506
 68,  1,       66168.21,   524722.56990,  5062677.90435, 10,     5.006
 69,  1,       67163.22,   523899.25560,  5062119.71100, 10,     5.006
 70,  1,       68158.23,   523089.89903,  5061540.93049, 10,     5.006
 71,  1,       69153.23,   522384.13750,  5060855.48456, 10,     5.506
 72,  1,       70148.24,   521984.21525,  5059971.84085, 10,     6.506
 73,  1,       71143.25,   521612.73162,  5059068.10846, 10,     2.506
 74,  1,       72138.26,   520966.32121,  5058323.61919, 10,     2.506
 75,  1,       73133.27,   520218.78967,  5057666.92937, 10,     1.006
 76,  1,       74128.27,   519351.35135,  5057400.21765, 10,     1.006
