$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,5180.941
2.000000,4942.784
3.000000,4350.712
4.000000,5480.706
5.000000,5222.184
6.000000,4671.736
7.000000,4254.731
8.000000,3900.847
9.000000,3683.384
10.000000,4225.965
11.000000,4797.473
12.000000,4515.873
13.000000,5005.956
14.000000,4401.002
15.000000,5149.26
16.000000,4949.698
17.000000,3994.736
18.000000,5143.624
19.000000,6698.505
20.000000,7657.694
21.000000,6673.707
22.000000,5940.148
23.000000,6508.905
24.000000,7034.544
25.000000,7137.004
26.000000,7356.644
27.000000,6753.431
28.000000,7301.042
29.000000,7723.32
30.000000,6816.319
31.000000,5945.025
32.000000,6554.775
33.000000,6390.36
34.000000,6317.411
35.000000,6041.201
36.000000,6519.505
37.000000,5275.599
38.000000,4917.905
39.000000,4487.68
40.000000,6272.625
41.000000,6589.135
42.000000,6273.833
43.000000,6615.688
44.000000,6496.437
45.000000,5433.255
46.000000,5745.325
47.000000,6680.706
48.000000,6792.827
49.000000,6696.723
50.000000,6294.248
51.000000,6350.24
52.000000,6236.288
53.000000,5837.822
54.000000,5633.532
55.000000,6388.22
56.000000,6131.966
57.000000,5773.411
58.000000,5276.411
59.000000,5980.103
60.000000,6699.933
61.000000,6365.552
62.000000,6582.375
63.000000,6529.906
64.000000,6444.296
65.000000,5628.706
66.000000,5516.518
67.000000,6193.538
68.000000,5854.686
69.000000,6549.716
70.000000,6277.065
71.000000,5968.152
72.000000,6694.811
73.000000,6185.761
74.000000,6656.342
75.000000,5841.201
76.000000,5659.417
77.000000,6243.081
78.000000,6798.875
79.000000,6770.205
80.000000,6334.545
81.000000,5270.17
82.000000,6137.175
83.000000,7098.062
84.000000,6874.339
85.000000,6593.705
86.000000,6041.447
87.000000,7469.18
88.000000,6359.314
89.000000,6578.396
90.000000,6825.659
91.000000,7065.112
92.000000,8321.144
93.000000,9134.134
94.000000,9560.229
95.000000,10092.73
96.000000,10952.85
97.000000,9795.339
98.000000,8933.17
99.000000,8436.898
100.000000,9305.505
101.000000,9405.531
102.000000,8528.592
103.000000,8547.971
104.000000,8224.224
105.000000,8100.305
106.000000,8275.976
107.000000,6681.929
108.000000,7521.987
109.000000,7956.53
110.000000,7588.803
111.000000,8086.581
112.000000,7704.502
113.000000,8464.754
114.000000,7743.938
115.000000,7387.531
116.000000,7776.082
117.000000,7210.377
118.000000,7897.19
119.000000,7788.307
120.000000,6996.115
121.000000,6509.539
122.000000,7797.153
123.000000,7343.056
124.000000,7680.914
125.000000,7637.056
126.000000,7255.378
127.000000,7630.65
128.000000,7077.738
129.000000,7156.288
130.000000,7995.141
131.000000,8956.431
132.000000,7633.782
133.000000,8409.934
134.000000,9976.586
135.000000,10224.85
136.000000,11195.79
137.000000,12388.57
138.000000,13045.73
139.000000,13308.98
140.000000,13086.36
141.000000,13505.25
142.000000,13143.05
143.000000,13697.25
144.000000,13773.56
145.000000,14644.74
146.000000,14190.46
147.000000,13945.58
148.000000,14182.36
149.000000,14321.71
150.000000,14272.95
151.000000,14406.11
152.000000,14232.54
153.000000,13837.5
154.000000,14212.32
155.000000,14262.88
156.000000,14745.78
157.000000,14900.77
158.000000,14698.76
159.000000,14725.02
160.000000,14652.91
161.000000,14863.12
162.000000,14744.33
163.000000,14374.07
164.000000,14404.4
165.000000,14332.88
166.000000,13888.9
167.000000,14115.63
168.000000,14550.54
169.000000,14594.33
170.000000,13836.61
171.000000,13652.1
172.000000,12918.25
173.000000,13135.4
174.000000,13207.06
175.000000,13109.88
176.000000,14068.17
177.000000,13722.81
178.000000,13080.22
179.000000,11834.61
180.000000,11917.25
181.000000,11693.27
182.000000,11864.28
183.000000,12239.09
184.000000,12932.37
185.000000,11892.87
186.000000,12468.22
187.000000,11055.88
188.000000,10876.13
189.000000,11666.05
190.000000,11800.46
191.000000,11747.04
192.000000,11257.93
193.000000,10299.22
194.000000,9387.719
195.000000,9176.677
196.000000,9541.111
197.000000,10123.77
198.000000,8814.051
199.000000,8150.524
200.000000,8784.434
201.000000,8753.238
202.000000,9123.636
203.000000,7960.782
204.000000,7975.349
205.000000,7866.218
206.000000,7580.554
207.000000,7688.655
208.000000,7529.56
209.000000,7248.22
210.000000,7506.541
211.000000,6488.697
212.000000,6344.944
213.000000,6919.965
214.000000,6847.587
215.000000,5869.412
216.000000,6034.113
217.000000,5892.286
218.000000,5861.947
219.000000,5393.959
220.000000,5571.175
221.000000,6108.245
222.000000,5593.734
223.000000,5796.26
224.000000,5981.457
225.000000,6250.331
226.000000,5130.514
227.000000,4664.723
228.000000,6048.831
229.000000,5644.729
230.000000,6046.916
231.000000,6122.035
232.000000,6149.156
233.000000,5437.657
234.000000,4846.624
235.000000,4755.719
236.000000,5294.042
237.000000,5880.639
238.000000,5846.75
239.000000,5557.643
240.000000,5157.751
241.000000,4521.458
242.000000,4674.27
243.000000,4362.623
244.000000,5036.835
245.000000,4353.037
246.000000,3942.839
247.000000,3247.051
248.000000,2937.516
249.000000,3336.419
250.000000,3623.942
251.000000,3908.103
252.000000,3501.331
253.000000,3783.73
254.000000,3523.985
255.000000,3477.864
256.000000,3742.852
257.000000,3188.476
258.000000,2957.547
259.000000,3251.547
260.000000,3446.575
261.000000,3474.878
262.000000,3071.712
263.000000,3036.294
264.000000,3991.196
265.000000,3702.23
266.000000,3050.984
267.000000,3129.233
268.000000,2717.795
269.000000,3007.526
270.000000,3451.61
271.000000,3557.86
272.000000,3612.686
273.000000,3394.983
274.000000,3253.458
275.000000,2530.676
276.000000,2655.155
277.000000,3068.614
278.000000,3162.442
279.000000,3628.201
280.000000,3822.426
281.000000,3217.633
282.000000,3044.277
283.000000,3235.244
284.000000,3963.35
285.000000,3432.717
286.000000,3253.176
287.000000,3498.794
288.000000,4244.118
289.000000,3935.75
290.000000,4065.832
291.000000,3917.125
292.000000,3790.59
293.000000,3076.677
294.000000,3604.764
295.000000,3705.414
296.000000,3564.658
297.000000,2845.473
298.000000,3549.886
299.000000,3605.607
300.000000,3051.472
301.000000,4005.974
302.000000,4437.192
303.000000,3753.387
304.000000,3010.999
305.000000,3290.044
306.000000,4262.407
307.000000,3809.675
308.000000,3862.621
309.000000,3673.938
310.000000,3524.588
311.000000,3673.279
312.000000,3581.089
313.000000,4247.662
314.000000,3455.758
315.000000,3577.314
316.000000,3930.329
317.000000,3540.579
318.000000,3377.451
319.000000,3939.339
320.000000,3572.36
321.000000,4169.639
322.000000,4371.809
323.000000,3802.962
324.000000,3799.768
325.000000,4176.287
326.000000,4180.921
327.000000,4137.83
328.000000,3788.815
329.000000,3817.138
330.000000,3792.823
331.000000,4128.384
332.000000,3274.991
333.000000,3592.909
334.000000,4063.995
335.000000,4429.114
336.000000,3924.739
337.000000,3821.46
338.000000,3852.204
339.000000,3692.442
340.000000,3781.446
341.000000,4251.38
342.000000,4477.804
343.000000,4343.321
344.000000,4329.119
345.000000,4697.534
346.000000,4315.876
347.000000,4140.564
348.000000,4015.588
349.000000,4720.662
350.000000,4486.669
351.000000,3711.897
352.000000,3825.384
353.000000,3164.548
354.000000,3627.907
355.000000,4076.358
356.000000,3592.04
357.000000,3689.662
358.000000,3701.534
359.000000,3504.192
360.000000,3335.548
361.000000,4255.567
362.000000,4538.787
363.000000,3889.058
364.000000,3608.402
365.000000,3825.771
366.000000,3993.898
367.000000,4408.716
368.000000,3251.702
369.000000,3907.33
370.000000,4662.194
371.000000,3963.793
372.000000,4519.64
373.000000,3562.075
374.000000,3345.852
375.000000,3970.327
376.000000,3857.37
377.000000,4519.033
378.000000,3666.946
379.000000,4369.262
380.000000,3765.26
381.000000,4226.17
382.000000,4780.213
383.000000,4652.542
384.000000,5054.045
385.000000,5135.438
386.000000,5193.349
387.000000,4524.242
388.000000,3984.529
389.000000,4670.806
390.000000,4631.686
391.000000,4046.832
392.000000,4020.411
393.000000,4908.629
394.000000,4550.56
395.000000,4254.736
396.000000,3497.523
397.000000,3789.785
398.000000,3638.315
399.000000,3871.54
400.000000,3639.919
401.000000,3777.913
402.000000,3987.234
403.000000,4080.274
404.000000,4118.815
405.000000,3667.071
406.000000,3597.933
407.000000,4036.246
408.000000,3966.984
409.000000,3917.894
410.000000,3933.597
411.000000,3888.071
412.000000,4266.881
413.000000,4478.563
414.000000,4013.518
415.000000,3880.157
416.000000,3665.682
417.000000,4237.277
418.000000,4086.98
419.000000,3683.497
420.000000,5079.55
421.000000,5180.949
422.000000,4060.833
423.000000,4338.842
424.000000,4913.012
425.000000,4926.883
426.000000,3357.452
427.000000,3418.058
428.000000,3916.139
429.000000,3759.568
430.000000,4116.862
431.000000,3941.917
432.000000,4016.644
433.000000,4441.246
434.000000,4710.727
435.000000,4286.423
436.000000,3872.804
437.000000,4237.732
438.000000,5098.607
439.000000,5013.163
440.000000,5450.233
441.000000,5005.105
442.000000,5666.132
443.000000,5761.685
444.000000,6289.431
445.000000,5798.685
446.000000,4965.162
447.000000,6184.385
448.000000,6104.462
449.000000,6870.546
450.000000,7300.521
451.000000,7543.758
452.000000,7338.786
453.000000,7181.162
454.000000,7774.644
455.000000,8254.888
456.000000,8907.844
457.000000,8183.221
458.000000,8873.167
459.000000,8954.029
460.000000,9401.203
461.000000,8869.739
462.000000,7630.18
463.000000,8155.296
464.000000,8612.299
465.000000,8746.793
466.000000,8270.942
467.000000,7938.617
468.000000,8624.794
469.000000,8708.675
470.000000,8425.649
471.000000,8682.228
472.000000,8644.97
473.000000,8386.666
474.000000,8701.675
475.000000,8918.502
476.000000,9303.82
477.000000,9243.656
478.000000,8799.773
479.000000,9233.012
480.000000,9998.816
481.000000,10259.1
482.000000,11678.83
483.000000,12279.7
484.000000,12230.08
485.000000,12140.82
486.000000,11124.8
487.000000,10293.84
488.000000,11046.24
489.000000,11323.32
490.000000,11293.04
491.000000,11293.51
492.000000,11241.05
