"Segment#","WSEL_m"
"       1","  23.811"
"       2","  23.811"
"       3","  23.811"
"       4","  23.811"
"       5","  23.811"
"       6","  23.811"
"       7","  23.811"
"       8","  23.811"
"       9","  23.811"
"      10","  23.811"
"      11","  23.811"
"      12","  23.811"
"      13","  23.811"
"      14","  23.811"
"      15","  23.811"
"      16","  23.811"
"      17","  23.811"
"      18","  23.811"
"      19","  23.811"
"      20","  23.811"
"      21","  23.811"
"      22","  23.811"
"      23","  23.811"
"      24","  23.811"
"      25","  23.811"
"      26","  23.811"
"      27","  23.811"
"      28","  23.811"
"      29","  23.811"
"      30","  23.811"
"      31","  23.811"
"      32","  23.811"
"      33","  23.811"
"      34","  23.811"
"      35","  23.811"
"      36","  23.811"
"      37","  23.811"
"      38","  23.811"
"      39","  23.811"
"      40","  23.811"
"      41","  23.811"
"      42","  23.811"
"      43","  23.811"
"      44","  23.811"
"      45","  23.811"
"      46","  23.811"
"      47","  23.811"
"      48","  23.811"
"      49","  23.811"
"      50","  23.811"
"      51","  23.811"
"      52","  23.811"
"      53","  23.811"
"      54","  23.811"
"      55","  23.811"
"      56","  23.811"
"      57","  23.811"
"      58","  23.811"
"      59","  23.811"
"      60","  23.811"
"      61","  23.811"
"      62","  23.811"
"      63","  23.811"
"      64","  23.811"
"      65","  23.811"
"      66","  23.811"
"      67","  23.811"
"      68","  23.811"
"      69","  23.811"
"      70","  23.811"
"      71","  23.811"
"      72","  23.811"
"      73","  23.811"
"      74","  23.811"
"      75","  23.811"
"      76","  23.811"
"      77","  23.811"
