"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 1 Segment 76 Depth 0.50 m","76","DLT","s","1/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","ELWS","m","2/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","T2","Celsius","3/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","U","m/s","4/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","Q","m^3/s","5/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","SRON","W/m^2","6/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","EXT","1/m","7/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","Depth","m","8/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","WIDTH","m","9/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","SHADE","","10/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","Tvolavg","W/m^2","11/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","NetRad","W/m^2","12/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","SWSolar","W/m^2","13/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","LWRad","W/m^2","14/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","BackRad","W/m^2","15/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","EvapF","W/m^2","16/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","ConducF","W/m^2","17/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","N2","g/m^3","18/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","DO","g/m^3","19/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 1 Segment 76 Depth 0.50 m","76","Oxygen % Gas Saturation","","20/20","BON_tsr_1_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","DLT","s","1/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","ELWS","m","2/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","T2","Celsius","3/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","U","m/s","4/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","Q","m^3/s","5/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","SRON","W/m^2","6/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","EXT","1/m","7/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","Depth","m","8/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","WIDTH","m","9/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","SHADE","","10/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","Tvolavg","W/m^2","11/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","NetRad","W/m^2","12/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","SWSolar","W/m^2","13/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","LWRad","W/m^2","14/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","BackRad","W/m^2","15/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","EvapF","W/m^2","16/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","ConducF","W/m^2","17/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","N2","g/m^3","18/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","DO","g/m^3","19/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 2 Segment 76 Depth 3.00 m","76","Oxygen % Gas Saturation","","20/20","BON_tsr_2_seg76.opt",    0.041670
"Time Series File 3 Segment 76 Depth 5.00 m","76","DLT","s","1/20","BON_tsr_3_seg76.opt",    0.041670
"Time Series File 3 Segment 76 Depth 5.00 m","76","ELWS","m","2/20","BON_tsr_3_seg76.opt",    0.041670
