$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,291.3
40545,291.677
40546,291.898
40547,291.644
40548,291.72
40549,291.578
40550,291.718
40551,291.958
40552,292.056
40553,291.855
40554,291.817
40555,291.874
40556,291.672
40557,291.809
40558,291.903
40559,291.703
40560,291.869
40561,292.198
40562,292.095
40563,291.769
40564,291.375
40565,291.709
40566,291.549
40567,291.6
40568,291.69
40569,291.869
40570,291.935
40571,291.645
40572,291.545
40573,291.6
40574,291.661
40575,291.78
40576,291.464
40577,291.537
40578,291.746
40579,291.93
40580,291.879
40581,291.73
40582,291.783
40583,291.668
40584,291.897
40585,291.819
40586,291.64
40587,291.662
40588,291.722
40589,292.104
40590,292.062
40591,291.68
40592,291.576
40593,291.864
40594,292.023
40595,292
40596,291.852
40597,292.021
40598,292.087
40599,291.681
40600,292.043
40601,291.943
40602,291.879
40603,291.643
40604,292.042
40605,292.001
40606,292.115
40607,292.004
40608,292.028
40609,291.941
40610,292.025
40611,292.029
40612,292.233
40613,292.038
40614,292
40615,292.057
40616,291.855
40617,291.877
40618,292.029
40619,292.151
40620,291.937
40621,291.907
40622,291.816
40623,291.968
40624,292.029
40625,292.029
40626,292.059
40627,291.846
40628,291.663
40629,291.724
40630,291.937
40631,291.785
40632,291.968
40633,291.755
40634,291.968
40635,291.907
40636,291.968
40637,292.029
40638,291.846
40639,291.297
40640,291.816
40641,292.09
40642,291.816
40643,291.998
40644,291.907
40645,291.816
40646,291.998
40647,292.212
40648,291.968
40649,291.633
40650,291.694
40651,292.029
40652,292.212
40653,292.212
40654,292.059
40655,291.785
40656,291.998
40657,291.755
40658,291.663
40659,291.816
40660,291.846
40661,291.877
40662,292.151
40663,291.968
40664,291.877
40665,292.09
40666,292.12
40667,291.785
40668,292.151
40669,291.755
40670,292.029
40671,291.846
40672,291.602
40673,291.694
40674,291.937
40675,292.059
40676,292.181
40677,292.151
40678,292.212
40679,292.181
40680,291.877
40681,291.724
40682,291.663
40683,291.877
40684,292.059
40685,292.151
40686,292.059
40687,291.937
40688,291.937
40689,291.572
40690,291.511
40691,291.541
40692,291.724
40693,291.968
40694,291.663
40695,291.724
40696,291.724
40697,291.785
40698,292.151
40699,292.303
40700,292.12
40701,291.907
40702,291.937
40703,291.907
40704,291.968
40705,291.724
40706,291.998
40707,291.937
40708,291.785
40709,291.877
40710,291.877
40711,292.059
40712,291.785
40713,291.937
40714,291.694
40715,291.572
40716,291.755
40717,291.724
40718,292.029
40719,291.998
40720,291.785
40721,292.181
40722,291.968
40723,291.907
40724,291.663
40725,291.694
40726,291.846
40727,291.724
40728,291.755
40729,291.816
40730,291.602
40731,291.968
40732,291.663
40733,291.663
40734,291.633
40735,291.785
40736,291.572
40737,291.389
40738,291.785
40739,291.633
40740,291.572
40741,291.541
40742,292.059
40743,291.998
40744,291.755
40745,291.541
40746,291.663
40747,292.059
40748,292.029
40749,291.968
40750,291.877
40751,291.755
40752,291.694
40753,291.724
40754,291.998
40755,291.998
40756,291.846
40757,291.968
40758,292.029
40759,291.907
40760,291.846
40761,291.998
40762,292.059
40763,291.846
40764,291.572
40765,291.297
40766,291.358
40767,291.419
40768,291.816
40769,291.877
40770,291.907
40771,291.907
40772,292.09
40773,291.816
40774,291.816
40775,291.663
40776,291.48
40777,291.755
40778,291.816
40779,291.633
40780,291.572
40781,291.694
40782,291.877
40783,291.511
40784,291.724
40785,291.785
40786,291.816
40787,291.937
40788,291.755
40789,291.694
40790,291.785
40791,291.785
40792,291.816
40793,291.785
40794,291.419
40795,291.541
40796,291.511
40797,291.694
40798,291.755
40799,291.297
40800,291.663
40801,291.541
40802,291.663
40803,291.816
40804,291.602
40805,291.572
40806,291.663
40807,291.572
40808,291.541
40809,291.602
40810,291.541
40811,291.633
40812,291.633
40813,291.663
40814,291.633
40815,291.663
40816,291.694
40817,291.755
40818,291.998
40819,291.907
40820,291.633
40821,291.694
40822,291.755
40823,291.602
40824,291.694
40825,291.907
40826,291.694
40827,291.694
40828,291.877
40829,291.633
40830,291.785
40831,291.907
40832,291.998
40833,291.937
40834,291.694
40835,291.968
40836,292.09
40837,291.816
40838,291.907
40839,291.937
40840,291.785
40841,291.785
40842,291.846
40843,291.755
40844,291.877
40845,291.816
40846,291.785
40847,291.785
40848,291.907
40849,291.755
40850,291.755
40851,291.785
40852,291.907
40853,291.907
40854,291.846
40855,291.788
40856,292.106
40857,291.945
40858,291.937
40859,291.704
40860,291.752
40861,291.813
40862,292.195
40863,291.598
40864,291.542
40865,291.512
40866,291.744
40867,291.842
40868,291.525
40869,291.832
40870,291.963
40871,291.822
40872,291.845
40873,291.788
40874,291.873
40875,292.023
40876,291.912
40877,291.761
40878,291.696
40879,291.752
40880,291.901
40881,291.907
40882,291.849
40883,291.554
40884,291.892
40885,291.965
40886,291.88
40887,291.906
40888,291.936
40889,291.879
40890,291.818
40891,291.932
40892,291.908
40893,291.936
40894,291.791
40895,291.785
40896,291.843
40897,292.051
40898,292.001
40899,291.94
40900,291.762
40901,292.018
40902,291.678
40903,291.897
40904,291.819
40905,291.786
40906,291.785
40907,291.785
40908,291.697
40909,291.898
40910,291.761
40911,291.813
40912,291.874
40913,292.023
40914,291.971
40915,291.968
40916,291.939
40917,292.025
40918,291.591
40919,291.922
40920,291.762
40921,291.784
40922,291.902
40923,291.732
40924,291.812
40925,291.845
40926,291.904
40927,291.878
40928,291.73
40929,291.783
40930,292.106
40931,291.799
40932,291.668
40933,291.926
40934,291.967
40935,292.026
40936,291.912
40937,291.878
40938,291.73
40939,291.549
40940,291.804
40941,291.728
40942,291.783
40943,291.668
40944,291.663
40945,291.692
40946,291.84
40947,291.875
40948,291.643
40949,291.691
40950,291.811
40951,291.903
40952,291.936
40953,291.908
40954,291.703
40955,291.781
40956,291.843
40957,291.788
40958,291.756
40959,291.93
40960,292.171
40961,291.86
40962,291.846
40963,291.963
40964,291.676
40965,291.868
40966,291.818
40967,291.64
40968,291.691
40969,291.811
40970,291.757
40971,291.725
40972,291.812
40973,291.903
40974,291.615
40975,291.807
40976,291.903
40977,291.995
40978,291.706
40979,291.606
40980,291.807
40981,291.602
40982,292.181
40983,291.816
40984,291.755
40985,291.755
40986,291.724
40987,291.846
40988,291.724
40989,291.694
40990,291.633
40991,291.724
40992,291.755
40993,291.846
40994,291.694
40995,291.724
40996,291.877
40997,291.846
40998,291.663
40999,291.572
41000,291.663
41001,291.785
41002,291.968
41003,291.998
41004,291.785
41005,291.785
41006,291.968
41007,291.785
41008,291.663
41009,292.029
41010,291.968
41011,291.694
41012,291.907
41013,291.877
41014,291.816
41015,292.029
41016,292.12
41017,292.09
41018,292.059
41019,292.303
41020,292.212
41021,291.846
41022,292.029
41023,292.09
41024,292.151
41025,291.968
41026,291.816
41027,291.755
41028,291.755
41029,291.572
41030,291.541
41031,291.694
41032,292.181
41033,291.937
41034,292.181
41035,292.181
41036,292.151
41037,291.877
41038,291.907
41039,292.029
41040,291.755
41041,291.663
41042,291.724
41043,291.358
41044,291.663
41045,291.907
41046,292.029
41047,291.968
41048,292.212
41049,291.968
41050,291.816
41051,291.785
41052,291.968
41053,291.907
41054,291.998
41055,291.816
41056,291.755
41057,291.419
41058,291.816
41059,291.816
41060,291.937
41061,291.968
41062,291.816
41063,291.694
41064,291.724
41065,291.45
41066,291.846
41067,291.633
41068,291.694
41069,291.998
41070,292.273
41071,292.059
41072,292.181
41073,292.181
41074,292.181
41075,292.181
41076,292.212
41077,292.242
41078,291.785
41079,291.45
41080,291.267
41081,291.45
41082,291.328
41083,291.419
41084,290.993
41085,291.45
41086,292.212
41087,291.633
41088,291.48
41089,291.846
41090,291.694
41091,291.694
41092,291.816
41093,291.602
41094,291.602
41095,291.846
41096,291.907
41097,291.785
41098,291.694
41099,291.755
41100,291.785
41101,291.937
41102,291.785
41103,291.236
41104,291.663
41105,292.029
41106,291.663
41107,291.663
41108,291.785
41109,291.602
41110,291.816
41111,291.907
41112,291.816
41113,291.846
41114,292.059
41115,292.242
41116,292.12
41117,291.877
41118,291.602
41119,291.572
41120,291.511
41121,291.846
41122,291.877
41123,291.907
41124,291.877
41125,291.694
41126,291.968
41127,291.663
41128,291.633
41129,291.633
41130,291.816
41131,291.297
41132,291.663
41133,291.602
41134,291.846
41135,291.785
41136,291.48
41137,291.602
41138,291.785
41139,291.48
41140,291.633
41141,291.816
41142,291.328
41143,291.115
41144,291.023
41145,291.236
41146,291.236
41147,291.45
41148,291.663
41149,291.633
41150,291.724
41151,291.663
41152,291.602
41153,291.755
41154,291.633
41155,291.511
41156,291.633
41157,291.694
41158,291.663
41159,291.48
41160,291.48
41161,291.907
41162,291.816
41163,291.968
41164,291.846
41165,291.785
41166,291.998
41167,292.273
41168,291.968
41169,291.968
41170,291.907
41171,291.755
41172,291.785
41173,291.785
41174,291.633
41175,291.633
41176,291.755
41177,291.907
41178,291.846
41179,291.907
41180,291.846
41181,291.755
41182,291.663
41183,291.572
41184,291.45
41185,291.572
41186,291.816
41187,291.694
41188,291.694
41189,291.694
41190,292.029
41191,292.029
41192,291.907
41193,291.724
41194,291.663
41195,291.572
41196,291.663
41197,291.937
41198,291.907
41199,291.755
41200,291.694
41201,291.785
41202,291.846
41203,291.755
41204,291.724
41205,291.663
41206,291.602
