$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31
"JDAY","ELEV"
"40544.00",291.3
"40545.00",291.677
"40546.00",291.898
"40547.00",291.644
"40548.00",291.72
"40549.00",291.578
"40550.00",291.718
"40551.00",291.958
"40552.00",292.056
"40553.00",291.855
"40554.00",291.817
"40555.00",291.874
"40556.00",291.672
"40557.00",291.809
"40558.00",291.903
"40559.00",291.703
"40560.00",291.869
"40561.00",292.198
"40562.00",292.095
"40563.00",291.769
"40564.00",291.375
"40565.00",291.709
"40566.00",291.549
"40567.00",291.6
"40568.00",291.69
"40569.00",291.869
"40570.00",291.935
"40571.00",291.645
"40572.00",291.545
"40573.00",291.6
"40574.00",291.661
"40575.00",291.78
"40576.00",291.464
"40577.00",291.537
"40578.00",291.746
"40579.00",291.93
"40580.00",291.879
"40581.00",291.73
"40582.00",291.783
"40583.00",291.668
"40584.00",291.897
"40585.00",291.819
"40586.00",291.64
"40587.00",291.662
"40588.00",291.722
"40589.00",292.104
"40590.00",292.062
"40591.00",291.68
"40592.00",291.576
"40593.00",291.864
"40594.00",292.023
"40595.00",292
"40596.00",291.852
"40597.00",292.021
"40598.00",292.087
"40599.00",291.681
"40600.00",292.043
"40601.00",291.943
"40602.00",291.879
"40603.00",291.643
"40604.00",292.042
"40605.00",292.001
"40606.00",292.115
"40607.00",292.004
"40608.00",292.028
"40609.00",291.941
"40610.00",292.025
"40611.00",292.029
"40612.00",292.233
"40613.00",292.038
"40614.00",292
"40615.00",292.057
"40616.00",291.855
"40617.00",291.877
"40618.00",292.029
"40619.00",292.151
"40620.00",291.937
"40621.00",291.907
"40622.00",291.816
"40623.00",291.968
"40624.00",292.029
"40625.00",292.029
"40626.00",292.059
"40627.00",291.846
"40628.00",291.663
"40629.00",291.724
"40630.00",291.937
"40631.00",291.785
"40632.00",291.968
"40633.00",291.755
"40634.00",291.968
"40635.00",291.907
"40636.00",291.968
"40637.00",292.029
"40638.00",291.846
"40639.00",291.297
"40640.00",291.816
"40641.00",292.09
"40642.00",291.816
"40643.00",291.998
"40644.00",291.907
"40645.00",291.816
"40646.00",291.998
"40647.00",292.212
"40648.00",291.968
"40649.00",291.633
"40650.00",291.694
"40651.00",292.029
"40652.00",292.212
"40653.00",292.212
"40654.00",292.059
"40655.00",291.785
"40656.00",291.998
"40657.00",291.755
"40658.00",291.663
"40659.00",291.816
"40660.00",291.846
"40661.00",291.877
"40662.00",292.151
"40663.00",291.968
"40664.00",291.877
"40665.00",292.09
"40666.00",292.12
"40667.00",291.785
"40668.00",292.151
"40669.00",291.755
"40670.00",292.029
"40671.00",291.846
"40672.00",291.602
"40673.00",291.694
"40674.00",291.937
"40675.00",292.059
"40676.00",292.181
"40677.00",292.151
"40678.00",292.212
"40679.00",292.181
"40680.00",291.877
"40681.00",291.724
"40682.00",291.663
"40683.00",291.877
"40684.00",292.059
"40685.00",292.151
"40686.00",292.059
"40687.00",291.937
"40688.00",291.937
"40689.00",291.572
"40690.00",291.511
"40691.00",291.541
"40692.00",291.724
"40693.00",291.968
"40694.00",291.663
"40695.00",291.724
"40696.00",291.724
"40697.00",291.785
"40698.00",292.151
"40699.00",292.303
"40700.00",292.12
"40701.00",291.907
"40702.00",291.937
"40703.00",291.907
"40704.00",291.968
"40705.00",291.724
"40706.00",291.998
"40707.00",291.937
"40708.00",291.785
"40709.00",291.877
"40710.00",291.877
"40711.00",292.059
"40712.00",291.785
"40713.00",291.937
"40714.00",291.694
"40715.00",291.572
"40716.00",291.755
"40717.00",291.724
"40718.00",292.029
"40719.00",291.998
"40720.00",291.785
"40721.00",292.181
"40722.00",291.968
"40723.00",291.907
"40724.00",291.663
"40725.00",291.694
"40726.00",291.846
"40727.00",291.724
"40728.00",291.755
"40729.00",291.816
"40730.00",291.602
"40731.00",291.968
"40732.00",291.663
"40733.00",291.663
"40734.00",291.633
"40735.00",291.785
"40736.00",291.572
"40737.00",291.389
"40738.00",291.785
"40739.00",291.633
"40740.00",291.572
"40741.00",291.541
"40742.00",292.059
"40743.00",291.998
"40744.00",291.755
"40745.00",291.541
"40746.00",291.663
"40747.00",292.059
"40748.00",292.029
"40749.00",291.968
"40750.00",291.877
"40751.00",291.755
"40752.00",291.694
"40753.00",291.724
"40754.00",291.998
"40755.00",291.998
"40756.00",291.846
"40757.00",291.968
"40758.00",292.029
"40759.00",291.907
"40760.00",291.846
"40761.00",291.998
"40762.00",292.059
"40763.00",291.846
"40764.00",291.572
"40765.00",291.297
"40766.00",291.358
"40767.00",291.419
"40768.00",291.816
"40769.00",291.877
"40770.00",291.907
"40771.00",291.907
"40772.00",292.09
"40773.00",291.816
"40774.00",291.816
"40775.00",291.663
"40776.00",291.48
"40777.00",291.755
"40778.00",291.816
"40779.00",291.633
"40780.00",291.572
"40781.00",291.694
"40782.00",291.877
"40783.00",291.511
"40784.00",291.724
"40785.00",291.785
"40786.00",291.816
"40787.00",291.937
"40788.00",291.755
"40789.00",291.694
"40790.00",291.785
"40791.00",291.785
"40792.00",291.816
"40793.00",291.785
"40794.00",291.419
"40795.00",291.541
"40796.00",291.511
"40797.00",291.694
"40798.00",291.755
"40799.00",291.297
"40800.00",291.663
"40801.00",291.541
"40802.00",291.663
"40803.00",291.816
"40804.00",291.602
"40805.00",291.572
"40806.00",291.663
"40807.00",291.572
"40808.00",291.541
"40809.00",291.602
"40810.00",291.541
"40811.00",291.633
"40812.00",291.633
"40813.00",291.663
"40814.00",291.633
"40815.00",291.663
"40816.00",291.694
"40817.00",291.755
"40818.00",291.998
"40819.00",291.907
"40820.00",291.633
"40821.00",291.694
"40822.00",291.755
"40823.00",291.602
"40824.00",291.694
"40825.00",291.907
"40826.00",291.694
"40827.00",291.694
"40828.00",291.877
"40829.00",291.633
"40830.00",291.785
"40831.00",291.907
"40832.00",291.998
"40833.00",291.937
"40834.00",291.694
"40835.00",291.968
"40836.00",292.09
"40837.00",291.816
"40838.00",291.907
"40839.00",291.937
"40840.00",291.785
"40841.00",291.785
"40842.00",291.846
"40843.00",291.755
"40844.00",291.877
"40845.00",291.816
"40846.00",291.785
"40847.00",291.785
"40848.00",291.907
"40849.00",291.755
"40850.00",291.755
"40851.00",291.785
"40852.00",291.907
"40853.00",291.907
"40854.00",291.846
"40855.00",291.788
"40856.00",292.106
"40857.00",291.945
"40858.00",291.937
"40859.00",291.704
"40860.00",291.752
"40861.00",291.813
"40862.00",292.195
"40863.00",291.598
"40864.00",291.542
"40865.00",291.512
"40866.00",291.744
"40867.00",291.842
"40868.00",291.525
"40869.00",291.832
"40870.00",291.963
"40871.00",291.822
"40872.00",291.845
"40873.00",291.788
"40874.00",291.873
"40875.00",292.023
"40876.00",291.912
"40877.00",291.761
"40878.00",291.696
"40879.00",291.752
"40880.00",291.901
"40881.00",291.907
"40882.00",291.849
"40883.00",291.554
"40884.00",291.892
"40885.00",291.965
"40886.00",291.88
"40887.00",291.906
"40888.00",291.936
"40889.00",291.879
"40890.00",291.818
"40891.00",291.932
"40892.00",291.908
"40893.00",291.936
"40894.00",291.791
"40895.00",291.785
"40896.00",291.843
"40897.00",292.051
"40898.00",292.001
"40899.00",291.94
"40900.00",291.762
"40901.00",292.018
"40902.00",291.678
"40903.00",291.897
"40904.00",291.819
"40905.00",291.786
"40906.00",291.785
"40907.00",291.785
"40908.00",291.697
"40909.00",291.898
"40910.00",291.761
"40911.00",291.813
"40912.00",291.874
"40913.00",292.023
"40914.00",291.971
"40915.00",291.968
"40916.00",291.939
"40917.00",292.025
"40918.00",291.591
"40919.00",291.922
"40920.00",291.762
"40921.00",291.784
"40922.00",291.902
"40923.00",291.732
"40924.00",291.812
"40925.00",291.845
"40926.00",291.904
"40927.00",291.878
"40928.00",291.73
"40929.00",291.783
"40930.00",292.106
"40931.00",291.799
"40932.00",291.668
"40933.00",291.926
"40934.00",291.967
"40935.00",292.026
"40936.00",291.912
"40937.00",291.878
"40938.00",291.73
"40939.00",291.549
"40940.00",291.804
"40941.00",291.728
"40942.00",291.783
"40943.00",291.668
"40944.00",291.663
"40945.00",291.692
"40946.00",291.84
"40947.00",291.875
"40948.00",291.643
"40949.00",291.691
"40950.00",291.811
"40951.00",291.903
"40952.00",291.936
"40953.00",291.908
"40954.00",291.703
"40955.00",291.781
"40956.00",291.843
"40957.00",291.788
"40958.00",291.756
"40959.00",291.93
"40960.00",292.171
"40961.00",291.86
"40962.00",291.846
"40963.00",291.963
"40964.00",291.676
"40965.00",291.868
"40966.00",291.818
"40967.00",291.64
"40968.00",291.691
"40969.00",291.811
"40970.00",291.757
"40971.00",291.725
"40972.00",291.812
"40973.00",291.903
"40974.00",291.615
"40975.00",291.807
"40976.00",291.903
"40977.00",291.995
"40978.00",291.706
"40979.00",291.606
"40980.00",291.807
"40981.00",291.602
"40982.00",292.181
"40983.00",291.816
"40984.00",291.755
"40985.00",291.755
"40986.00",291.724
"40987.00",291.846
"40988.00",291.724
"40989.00",291.694
"40990.00",291.633
"40991.00",291.724
"40992.00",291.755
"40993.00",291.846
"40994.00",291.694
"40995.00",291.724
"40996.00",291.877
"40997.00",291.846
"40998.00",291.663
"40999.00",291.572
"41000.00",291.663
"41001.00",291.785
"41002.00",291.968
"41003.00",291.998
"41004.00",291.785
"41005.00",291.785
"41006.00",291.968
"41007.00",291.785
"41008.00",291.663
"41009.00",292.029
"41010.00",291.968
"41011.00",291.694
"41012.00",291.907
"41013.00",291.877
"41014.00",291.816
"41015.00",292.029
"41016.00",292.12
"41017.00",292.09
"41018.00",292.059
"41019.00",292.303
"41020.00",292.212
"41021.00",291.846
"41022.00",292.029
"41023.00",292.09
"41024.00",292.151
"41025.00",291.968
"41026.00",291.816
"41027.00",291.755
"41028.00",291.755
"41029.00",291.572
"41030.00",291.541
"41031.00",291.694
"41032.00",292.181
"41033.00",291.937
"41034.00",292.181
"41035.00",292.181
"41036.00",292.151
"41037.00",291.877
"41038.00",291.907
"41039.00",292.029
"41040.00",291.755
"41041.00",291.663
"41042.00",291.724
"41043.00",291.358
"41044.00",291.663
"41045.00",291.907
"41046.00",292.029
"41047.00",291.968
"41048.00",292.212
"41049.00",291.968
"41050.00",291.816
"41051.00",291.785
"41052.00",291.968
"41053.00",291.907
"41054.00",291.998
"41055.00",291.816
"41056.00",291.755
"41057.00",291.419
"41058.00",291.816
"41059.00",291.816
"41060.00",291.937
"41061.00",291.968
"41062.00",291.816
"41063.00",291.694
"41064.00",291.724
"41065.00",291.45
"41066.00",291.846
