$ Bathymetry:  Chief Joseph. Original by Mike Schneider (undocumented!).  Adjusted as needed to NGVD88 and Res-Sim Storage-Elevation table provided by Evan Heisman in Columbia.dss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,,,,,,,,,,,,,,,,,
DLX,0,538.9,664.4,574.1,1217,1751,1196.8,1120.9,1086.5,1461.8,1638.9,1112.7,1053.6,1293.2,1574.7,2438.8,3156.6,2868.5,1771.9,3046.7,1967.3,1953.5,3242.6,1752.8,2016,2645.2,1233.2,2456.1,3243.2,2321.4,2061.8,2975,2978,2779.9,2760.3,2454.4,1902,2960.5,3005,1779.8,967.8,918.5,0,,,,,,,,,,,,,,,,,,
ELWS,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,291.8790,,,,,,,,,,,,,,,,,,
PHIO,0,2.837,3.006,3.474,3.892,3.448,3.527,3.339,2.732,2.161,2.089,2.097,2.855,2.916,2.882,3.101,2.725,2.149,1.425,2.201,1.128,0.764,1.125,1.316,1,2.159,1.793,0.776,0.17,0.246,1.658,1.499,2.409,1.903,1.631,0.626,1.05,0.897,0.8,0.506,0.928,1.515,0,,,,,,,,,,,,,,,,,,
FRICT,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,888151200,720036.9685,298.218,978.4055118,,,,,,,,,,,
1,0,587.6,198.5,170.9,192.8,222.3,242.2,226.1,212.1,257,404.1,332.8,409.8,636.2,491.9,298.1,495.8,669.9,374.2,316.8,356.8,418.5,453.7,321.1,296.3,308.5,507.8,417.5,565.6,357.9,348.4,383.9,520.6,401.6,472.5,511.1,726.2,595.9,708.4,664.8,578.2,944.6,0,,2,35477636.76,888151200,720036.9685,297.218,975.1246719,,,,,,,,,,,
1,0,566.668,189.89,164.13,183.505,212.744,232.358,217.693,204.1,244.82,379.779,313.429,388.548,610.063,475.036,288.563,476.941,655.904,368.666,313.242,351.765,411.438,445.29,317.776,292.807,304.511,504.354,410.984,557.449,353.093,344.813,379.553,517.276,397.872,468.828,507.876,719.247,587.146,701.467,662.579,577.847,938.223,0,,3,34832261.29,852673563.2,691274.7375,296.218,971.843832,,,,,,,,,,,
1,0,545.736,181.281,157.361,174.21,203.189,222.516,209.285,196.099,232.64,355.459,294.059,367.295,583.926,458.171,279.027,458.081,641.908,363.131,309.683,346.731,404.376,436.881,314.453,289.314,300.521,500.907,404.467,549.299,348.286,341.226,375.206,513.952,394.144,465.157,504.653,712.294,578.393,694.534,660.358,577.495,931.846,0,,4,34186885.82,817841301.9,663035.7216,295.218,968.5629921,,,,,,,,,,,
1,0,524.804,172.671,150.591,164.915,193.633,212.674,200.878,188.099,220.461,331.138,274.688,346.043,557.789,441.307,269.49,439.222,627.912,357.597,306.125,341.696,397.315,428.471,311.129,285.821,296.532,497.461,397.951,541.148,343.479,337.639,370.858,510.627,390.416,461.485,501.429,705.341,569.639,687.601,658.136,577.142,925.47,0,,5,33541510.35,783654416.1,635319.921,294.218,965.2821522,,,,,,,,,,,
1,0,503.872,164.062,143.822,155.619,184.077,202.832,192.471,180.099,208.281,306.818,255.318,324.79,531.652,424.442,259.954,420.362,613.916,352.063,302.567,336.662,390.253,420.061,307.806,282.329,292.542,494.014,391.435,532.998,338.673,334.052,366.511,507.303,386.688,457.813,498.206,698.388,560.885,680.668,655.915,576.79,919.093,0,,6,32896134.88,750112905.8,608127.3355,293.218,962.0013123,Max Pool - Active Range,,,,,,,,,,
1,0,482.94,155.452,137.052,146.324,174.522,192.989,184.064,172.098,196.101,282.497,235.947,303.538,505.515,407.578,250.417,401.503,599.92,346.529,299.008,331.627,383.191,411.652,304.482,278.836,288.553,490.568,384.918,524.847,333.866,330.465,362.164,503.979,382.96,454.142,494.982,691.435,552.131,673.734,653.694,576.437,912.716,0,,7,32250759.4,717216770.9,581457.9652,292.218,958.7204724,Active Range,,,,,,,,,,
1,0,462.008,146.843,130.283,137.029,164.966,183.147,175.656,164.098,183.921,258.177,216.577,282.286,479.378,390.714,240.881,382.644,585.924,340.994,295.45,326.593,376.129,403.242,301.158,275.343,284.563,487.122,378.402,516.697,329.059,326.878,357.817,500.655,379.232,450.47,491.759,684.482,543.378,666.801,651.473,576.084,906.339,0,,8,31605383.93,684966011.5,555311.8101,291.218,955.4396325,Full Pool - Active Range,,,,,,,,,,
1,0,441.076,138.233,123.513,127.734,155.411,173.305,167.249,156.097,171.742,233.856,197.206,261.033,453.241,373.849,231.344,363.784,571.928,335.46,291.892,321.558,369.067,394.832,297.835,271.85,280.574,483.675,371.885,508.546,324.252,323.291,353.469,497.33,375.504,446.799,488.535,677.529,534.624,659.868,649.252,575.732,899.962,0,,9,30960008.46,653360627.5,529688.8701,290.218,952.1587927,Active Range,,,,,,,,,,
1,0,420.144,129.623,116.743,118.439,145.855,163.463,158.842,148.097,159.562,209.536,177.836,239.781,427.104,356.985,221.807,344.925,557.932,329.926,288.333,316.524,362.006,386.423,294.511,268.357,276.584,480.229,365.369,500.396,319.445,319.704,349.122,494.006,371.777,443.127,485.312,670.576,525.87,652.935,647.03,575.379,893.585,0,,10,30314632.99,622400619.1,504589.1454,289.218,948.8779528,Active Range,,,,,,,,,,
1,0,399.212,121.014,109.974,109.144,136.299,153.621,150.435,140.097,147.382,185.215,158.465,218.528,400.967,340.12,212.271,326.065,543.936,324.392,284.775,311.489,354.944,378.013,291.188,264.864,272.595,476.782,358.853,492.245,314.638,316.117,344.775,490.682,368.049,439.455,482.088,663.623,517.117,646.002,644.809,575.026,887.209,0,,11,29669257.52,592085986.1,480012.6359,288.218,945.5971129,Active Range,,,,,,,,,,
1,0,378.28,112.404,103.204,99.849,126.744,143.779,142.027,132.096,135.202,160.895,139.094,197.276,374.83,323.256,202.734,307.206,529.94,318.857,281.217,306.454,347.882,369.603,287.864,261.371,268.605,473.336,352.336,484.095,309.831,312.53,340.428,487.358,364.321,435.784,478.865,656.67,508.363,639.069,642.588,574.674,880.832,0,,12,29023882.05,562416728.6,455959.3415,287.218,942.316273,Active Range,,,,,,,,,,
1,0,357.348,103.795,96.435,90.554,117.188,133.937,133.62,124.096,123.023,136.574,119.724,176.024,348.694,306.392,193.198,288.347,515.944,313.323,277.658,301.42,340.82,361.194,284.54,257.878,264.616,469.89,345.82,475.944,305.025,308.943,336.08,484.033,360.593,432.112,475.641,649.717,499.609,632.136,640.367,574.321,874.455,0,,13,28378506.58,533392846.5,432429.2623,286.218,939.0354331,Active Range,,,,,,,,,,
1,0,336.416,95.185,89.665,81.258,107.632,124.095,125.213,116.096,110.843,112.254,100.353,154.771,322.557,289.527,183.661,269.487,501.948,307.789,274.1,296.385,333.758,352.784,281.217,254.386,260.626,466.443,339.304,467.794,300.218,305.356,331.733,480.709,356.865,428.44,472.418,642.764,490.856,625.203,638.146,573.969,868.078,0,,14,27733131.11,505014339.9,409422.3984,285.218,935.7545932,Min Pool - Active Range,,,,,,,,,,
1,0,315.484,86.575,82.895,71.963,98.077,114.252,116.806,108.095,98.663,87.933,80.983,133.519,296.42,272.663,174.125,250.628,487.952,302.255,270.542,291.351,326.697,344.374,277.893,250.893,256.637,462.997,332.787,459.643,295.411,301.769,327.386,477.385,353.137,424.769,469.194,635.811,482.102,618.27,635.924,573.616,861.701,0,,15,27087755.64,477281208.8,386938.7496,284.218,932.4737533,,,,,,,,,,,
1,0,294.552,77.966,76.126,62.668,88.521,104.41,108.398,100.095,86.483,63.613,61.612,112.266,270.283,255.798,164.588,231.768,473.956,296.72,266.983,286.316,319.635,335.965,274.57,247.4,252.647,459.55,326.271,451.493,290.604,298.183,323.039,474.061,349.409,421.097,465.971,628.858,473.348,611.337,633.703,573.263,855.324,0,,16,26442380.16,450193453.2,364978.316,283.218,929.1929134,,,,,,,,,,,
1,0,273.62,69.356,69.356,53.373,78.965,94.568,99.991,92.095,74.304,39.292,42.242,91.014,244.146,238.934,155.051,212.909,459.96,291.186,263.425,281.282,312.573,327.555,271.246,243.907,248.658,456.104,319.755,443.342,285.797,294.596,318.692,470.736,345.681,417.425,462.747,621.905,464.594,604.403,631.482,572.911,848.948,0,,17,25797004.69,423751073,343541.0976,282.218,925.9120735,,,,,,,,,,,
1,0,260.59,66.054,66.054,50.831,75.205,90.065,95.23,87.709,70.765,37.421,40.23,86.68,232.52,227.556,147.668,202.77,438.057,277.32,250.881,267.887,297.689,311.957,258.33,232.292,236.817,434.385,304.528,422.231,272.188,280.567,303.516,448.32,329.22,397.548,440.712,592.291,442.471,575.622,601.411,545.629,808.521,0,,18,24568575.9,397954068.3,322627.0944,281.218,922.6312336,,,,,,,,,,,
1,0,245.84,62.315,62.315,47.954,70.948,84.967,89.839,82.744,66.76,35.303,37.953,81.774,219.358,214.676,139.31,191.293,413.262,261.623,236.68,252.724,280.838,294.299,243.707,219.144,223.412,409.797,287.291,398.331,256.781,264.686,286.336,422.944,310.585,375.045,415.766,558.765,417.425,543.04,567.369,514.745,762.756,0,,19,23177901.79,373385492.4,302708.996,280.218,919.3503937,,,,,,,,,,,
1,0,231.924,58.788,58.788,45.24,66.932,80.157,84.754,78.061,62.981,33.305,35.805,77.145,206.942,202.524,131.424,180.465,389.869,246.814,223.283,238.419,264.942,277.641,229.912,206.739,210.766,386.601,271.029,375.784,242.246,249.704,270.128,399.003,293.005,353.816,392.232,527.137,393.798,512.302,535.254,485.608,719.581,0,,20,21865945.09,350207590.7,283918.3373,279.218,916.0695538,,,,,,,,,,,
1,0,218.797,55.46,55.46,42.679,63.144,75.62,79.957,73.642,59.416,31.42,33.778,72.778,195.228,191.061,123.985,170.25,367.801,232.843,210.645,224.923,249.945,261.925,216.898,195.037,198.836,364.718,255.688,354.513,228.534,235.57,254.838,376.418,276.419,333.789,370.03,497.299,371.507,483.304,504.957,458.121,678.85,0,,21,20628250.08,328341645.6,266191.3007,278.218,912.7887139,,,,,,,,,,,
1,0,206.412,52.321,52.321,40.263,59.569,71.34,75.431,69.474,56.053,29.641,31.866,68.659,184.177,180.246,116.967,160.613,346.982,219.663,198.721,212.192,235.797,247.099,204.621,183.997,187.581,344.073,241.215,334.446,215.598,222.235,240.413,355.112,260.773,314.895,349.085,469.15,350.478,455.947,476.374,432.19,640.425,0,,22,19460613.28,307713395.5,249467.6813,277.218,909.507874,,,,,,,,,,,
1,0,194.728,49.359,49.359,37.984,56.198,67.302,71.161,65.541,52.88,27.963,30.062,64.772,173.752,170.043,110.346,151.522,327.342,207.23,187.473,200.181,222.45,233.112,193.039,173.582,176.963,324.598,227.561,315.515,203.395,209.656,226.805,335.011,246.012,297.071,329.325,442.594,330.64,430.139,449.41,407.726,604.174,0,,23,18359069.14,288252782.2,233690.6818,276.218,906.2270341,,,,,,,,,,,
1,0,183.706,46.565,46.565,35.834,53.017,63.492,67.133,61.831,49.887,26.381,28.361,61.106,163.917,160.418,104.1,142.945,308.813,195.5,176.861,188.85,209.859,219.917,182.112,163.757,166.947,306.224,214.68,297.656,191.882,197.789,213.967,316.048,232.087,280.256,310.684,417.542,311.925,405.791,423.971,384.647,569.976,0,,24,17319876.54,269893713.1,218806.7201,275.218,902.9461942,,,,,,,,,,,
1,0,174.958,44.348,44.348,34.128,50.492,60.469,63.936,58.887,47.511,25.124,27.01,58.196,156.112,152.779,99.143,136.138,294.108,186.19,168.439,179.857,199.865,209.445,173.44,155.959,158.997,291.642,204.457,283.482,182.744,188.37,203.778,300.998,221.035,266.91,295.89,397.659,297.071,386.468,403.782,366.331,542.834,0,,25,16495120.52,252573836.5,204765.2467,274.218,899.6653543,,,,,,,,,,,
1,0,166.627,42.236,42.236,32.503,48.088,57.589,60.892,56.083,45.249,23.928,25.724,55.425,148.678,145.504,94.422,129.655,280.103,177.324,160.418,171.292,190.348,199.472,165.181,148.532,151.426,277.754,194.721,269.983,174.042,179.4,194.074,286.665,210.51,254.2,281.8,378.723,282.925,368.064,384.554,348.886,516.985,0,,26,15709638.59,236078716,191392.415,273.218,896.3845144,,,,,,,,,,,
1,0,158.692,40.225,40.225,30.955,45.798,54.847,57.992,53.412,43.094,22.789,24.499,52.786,141.598,138.575,89.926,123.481,266.764,168.88,152.779,163.136,181.284,189.973,157.315,141.459,144.215,264.528,185.449,257.127,165.755,170.857,184.832,273.014,200.486,242.095,268.381,360.688,269.452,350.538,366.242,332.273,492.366,0,,27,14961560.56,220369077.4,178656.3847,272.218,893.1036745,,,,,,,,,,,
1,0,151.135,38.309,38.309,29.481,43.617,52.235,55.231,50.869,41.042,21.703,23.332,50.272,134.855,131.976,85.643,117.601,254.061,160.838,145.504,155.367,172.651,180.927,149.824,134.723,137.347,251.931,176.618,244.882,157.862,162.721,176.031,260.014,190.939,230.567,255.601,343.513,256.621,333.845,348.802,316.45,468.92,0,,28,14249105.29,205407516.9,166526.8321,271.218,889.8228346,,,,,,,,,,,
1,0,149.639,37.93,37.93,29.189,43.185,51.718,54.684,50.365,40.636,21.488,23.101,49.774,133.52,130.67,84.796,116.437,251.546,159.246,144.064,153.829,170.942,179.135,148.341,133.389,135.988,249.437,174.869,242.458,156.299,161.11,174.288,257.439,189.048,228.284,253.07,340.111,254.08,330.54,345.349,313.317,464.278,0,,29,14108025.04,191158411.6,154974.8772,270.218,886.5419948,,,,,,,,,,,
1,0,148.157,37.554,37.554,28.9,42.757,51.206,54.142,49.867,40.233,21.276,22.873,49.282,132.198,129.376,83.956,115.284,249.055,157.669,142.637,152.306,169.249,177.362,146.872,132.069,134.641,246.967,173.138,240.057,154.751,159.515,172.562,254.89,187.176,226.024,250.564,336.744,251.565,327.267,341.929,310.215,459.681,0,,30,13968341.63,177050386.5,143537.2981,269.218,883.2611549,,,,,,,,,,,
1,0,146.69,37.183,37.183,28.614,42.334,50.699,53.606,49.373,39.835,21.065,22.646,48.794,130.889,128.095,83.125,114.143,246.589,156.108,141.225,150.798,167.574,175.606,145.418,130.761,133.308,244.522,171.424,237.68,153.219,157.936,170.854,252.367,185.323,223.786,248.084,333.41,249.074,324.027,338.544,307.143,455.13,0,,31,13830041.22,163082044.9,132212.9624,268.218,879.980315,,,,,,,,,,,
1,0,145.238,36.815,36.815,28.331,41.915,50.197,53.076,48.884,39.441,20.857,22.422,48.31,129.593,126.827,82.302,113.013,244.148,154.562,139.827,149.305,165.914,173.867,143.978,129.466,131.988,242.101,169.726,235.327,151.702,156.372,169.162,249.868,183.488,221.57,245.627,330.109,246.608,320.819,335.192,304.102,450.623,0,,32,13693110.11,149252003.7,121000.7488,267.218,876.6994751,,,,,,,,,,,
1,0,143.8,36.45,36.45,28.05,41.5,49.7,52.55,48.4,39.05,20.65,22.2,47.832,128.31,125.571,81.487,111.894,241.731,153.032,138.442,147.827,164.272,172.145,142.552,128.185,130.681,239.704,168.046,232.997,150.2,154.824,167.487,247.394,181.672,219.377,243.195,326.84,244.166,317.642,331.873,301.091,446.162,0,,33,13557534.77,135558893.6,109899.5473,266.218,873.4186352,,,,,,,,,,,
1,0,122.8,33.45,33.45,24.1,37.45,46.65,49.85,45.25,29.1,7.65,5.05,40,108.87,110.885,72.578,97.62,222.16,141.912,128.59,137.128,152.01,159.383,132.524,118.918,121.235,222.768,155.873,216.334,139.49,143.928,155.715,230.406,168.724,203.812,226.067,302.74,225.215,295.392,309.165,280.742,413.965,0,,34,12471526.77,122001358.8,98908.25858,265.218,870.1377953,,,,,,,,,,,
1,0,109.65,30.3,30.3,20.1,33,43.15,47.2,42.1,17.3,0,0,0,69.103,77.234,51.595,66,163.448,108.552,99.032,105.032,115.224,121.096,102.44,91.12,92.896,171.96,119.352,166.344,107.36,111.24,120.4,179.44,129.88,157.12,174.68,230.44,168.36,228.64,241.04,220.6,322.2,0,,35,9497422.348,109529832,88797.41222,264.218,866.8569554,,,,,,,,,,,
1,0,75.364,0,22.523,11.723,15.015,36.498,44.756,36.383,0,0,0,0,59.827,72.031,48.723,60.4,163.448,108.552,99.032,105.032,115.224,121.096,102.44,91.12,92.896,171.96,119.352,166.344,107.36,111.24,120.4,179.44,129.88,157.12,174.68,230.44,168.36,228.64,241.04,220.133,319.773,0,,36,9322910.135,100032409.7,81097.71514,263.218,863.5761155,,,,,,,,,,,229.6587927
1,0,71.775,0,21.45,11.165,14.3,34.76,42.625,34.65,0,0,0,0,50.552,66.828,45.851,54.8,163.448,108.552,99.032,105.032,115.224,121.096,102.44,91.12,92.896,171.96,119.352,166.344,107.36,111.24,120.4,179.44,129.88,157.12,174.68,230.44,168.36,228.64,241.04,219.693,317.373,0,,37,9264576.85,90709499.54,73539.49763,262.218,860.2952756,,,,,,,,,,,
1,0,65.25,0,19.5,10.15,13,31.6,38.75,31.5,0,0,0,0,41.276,61.625,42.978,49.2,163.448,108.552,99.032,105.032,115.224,121.096,102.44,91.12,92.896,171.96,119.352,166.344,107.36,111.24,120.4,179.44,129.88,157.12,174.68,230.44,168.36,228.64,241.04,219.253,314.973,0,,38,9197380.715,81444922.69,66028.57176,261.218,857.0144357,,,,,,,,,,,
1,0,48.75,0,12.3,7.65,6.55,27.4,35.5,26.95,0,0,0,0,40,56.422,40.106,43.6,95.235,89.165,85.379,87.112,88.317,94.536,90.573,75.787,77.269,150.627,98.765,141.837,92.16,99.847,106.273,166.993,124.133,150.32,168.033,214.453,153.42,219.28,233.533,218.813,312.573,0,,39,8119241.819,72247541.97,58572.12275,260.218,853.7335958,,,,,,,,,,,
1,0,31.5,0,6.9,5.55,5.5,22.4,32.25,22.5,0,0,0,0,0,51.218,37.234,38,88.413,87.227,84.013,85.32,85.627,91.88,89.387,74.253,75.707,148.493,98.765,139.387,90.64,98.827,104.893,165.773,122.973,148.96,166.733,211.293,150.44,217.52,232.053,218.373,310.173,0,,40,7890021.515,64128300.15,51989.73648,259.218,850.4527559,,,,,,,,,,,
1,0,6.7,0,5,5,0,8.35,13.975,9.225,0,0,0,0,0,28.76,21.476,20.25,55.258,53.305,51.655,52.205,51.835,55.765,55.125,45.45,46.34,91.475,61.728,85.585,55.7,61.129,64.696,102.846,76.133,92.25,103.396,130.083,92.163,134.85,144.108,136.483,192.358,0,,41,4822652.711,56238278.64,45593.18241,258.218,847.171916,,,,,,,,,,,
1,0,0,0,0,0,0,5,7.8,5.95,0,0,0,0,0,25.508,19.681,16.75,54.502,49.929,48.199,49.524,47.893,47.247,51.992,41.595,42.155,85.277,59.019,80.746,53.533,58.662,62.198,100.877,74.45,90.195,101.047,125.042,90.055,131.575,139.052,134.099,179.097,0,,42,4572762.69,51415625.93,41683.3884,257.218,843.8910761,,,,,,,,,,,
1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,22.256,17.886,13.25,53.745,46.553,44.743,46.843,43.951,38.729,48.858,37.74,37.971,79.078,56.31,75.908,51.367,56.194,59.701,98.907,72.767,88.14,98.697,120,87.948,128.3,133.995,131.715,165.835,0,,43,4339773.229,46842863.24,37976.18384,256.218,840.6102362,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.004,16.09,9.75,52.988,43.177,41.287,44.162,40.009,30.211,45.725,33.885,33.786,72.88,53.601,71.069,49.2,53.727,57.203,96.938,71.083,86.085,96.348,114.958,85.84,125.025,128.938,129.33,152.573,0,,44,4105901.463,42503090.01,34457.86718,255.218,837.3293963,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.752,14.295,6.25,52.232,39.801,37.831,41.481,36.067,21.693,42.592,30.03,29.601,66.682,50.892,66.23,47.033,51.259,54.706,94.969,71,86,93.999,109.917,83.733,124,123.882,126.946,139.312,0,,45,3899713.577,38397188.55,31129.15373,254.218,834.0485564,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,51.475,36.425,34.375,38.8,32.125,13.175,39.458,26.175,25.417,60.483,48.183,61.392,44.867,49.641,53.671,94.845,70.627,85.682,93.595,109.011,83.414,123.914,123.267,126.842,139.181,0,,46,3737926.28,34497474.97,27967.59977,253.218,830.7677165,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,21.9,18.563,10.45,38.076,22.45,16.944,50.952,46.072,59.398,44.771,48.024,52.635,94.721,70.253,85.363,93.191,108.106,83.096,123.828,122.653,126.739,139.051,0,,47,3261007.498,30759548.69,24937.20911,252.218,827.4868766,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7.725,36.693,18.725,8.472,41.421,43.961,57.404,44.676,46.406,51.6,94.598,69.88,85.045,92.787,107.201,82.777,123.742,122.039,126.635,138.921,0,,48,3093872.644,27498541.19,22293.46336,251.218,824.2060367,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35.31,15,0,31.89,41.85,55.41,44.58,44.788,50.565,94.474,69.507,84.727,92.382,106.295,82.459,123.656,121.424,126.531,138.79,0,,49,2995531.818,24404668.55,19785.21626,250.218,820.9251969,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30.75,10.29,0,20.82,35.31,46.71,41.19,43.17,49.53,94.35,69.133,84.408,91.978,105.39,82.14,123.57,120.81,126.427,138.66,0,,50,2898314.47,21409136.73,17356.69547,249.218,817.644357,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47,6.6,0,5,27.48,33,37.26,38.49,46.11,89.76,68.76,84.09,91.574,100.83,82.14,123.57,120.81,126.427,62.94,0,,51,2658456.59,18510822.26,15006.99019,248.218,814.3635171,,,,,,,,,,,
