$ CSV Bathymetry file from Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
DLX,0,538.9,664.4,574.1,1217,1751,1196.8,1120.9,1086.5,1461.8,1638.9,1112.7,1053.6,1293.2,1574.7,2438.8,3156.6,2868.5,1771.9,3046.7,1967.3,1953.5,3242.6,1752.8,2016,2645.2,1233.2,2456.1,3243.2,2321.4,2061.8,2975,2978,2779.9,2760.3,2454.4,1902,2960.5,3005,1779.8,967.8,918.5,0
ELWS,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3,291.3
PHIO,0,2.837,3.006,3.474,3.892,3.448,3.527,3.339,2.732,2.161,2.089,2.097,2.855,2.916,2.882,3.101,2.725,2.149,1.425,2.201,1.128,0.764,1.125,1.316,1,2.159,1.793,0.776,0.17,0.246,1.658,1.499,2.409,1.903,1.631,0.626,1.05,0.897,0.8,0.506,0.928,1.515,0
FRICT,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
LAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,587.6,198.5,170.9,192.8,222.3,242.2,226.1,212.1,257,404.1,332.8,409.8,636.2,491.9,298.1,495.8,669.9,374.2,320.337,356.8,418.5,453.7,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,417.8563,124.1642,114.0017,110.295,140.0038,114.9993,121.5938,111.9912,90.3566,47.7814,51.3679,110.6773,296.8925,290.5548,188.5498,258.9071,559.3328,354.0956,320.337,342.0515,380.1032,398.3219,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,417.8563,124.1642,114.0017,110.295,140.0038,114.9993,121.5938,111.9912,90.3566,47.7814,51.3679,110.6773,296.8925,290.5548,188.5498,258.9071,559.3328,354.0956,320.337,342.0515,380.1032,398.3219,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,417.8563,124.1642,114.0017,110.295,140.0038,114.9993,121.5938,111.9912,90.3566,47.7814,51.3679,110.6773,296.8925,290.5548,188.5498,258.9071,559.3328,354.0956,320.337,342.0515,380.1032,398.3219,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,417.8563,124.1642,114.0017,110.295,140.0038,114.9993,121.5938,111.9912,90.3566,47.7814,51.3679,110.6773,296.8925,290.5548,188.5498,258.9071,559.3328,354.0956,320.337,342.0515,380.1032,398.3219,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,417.8563,124.1642,114.0017,110.295,140.0038,114.9993,121.5938,111.9912,90.3566,47.7814,51.3679,110.6773,296.8925,290.5548,188.5498,258.9071,559.3328,354.0956,320.337,342.0515,380.1032,398.3219,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,417.8563,124.1642,114.0017,110.295,140.0038,114.9993,121.5938,111.9912,90.3566,47.7814,51.3679,110.6773,296.8925,290.5548,188.5498,258.9071,559.3328,354.0956,320.337,342.0515,380.1032,398.3219,329.8477,296.6022,302.3795,554.6437,388.8364,539.1248,347.5427,358.2418,387.5436,572.4372,420.3641,507.6087,562.7222,756.2656,564.9684,734.9826,767.9113,696.686,1032.3595,0
1,0,411.671,122.3262,112.3141,108.6624,137.9314,113.297,119.7939,110.3335,89.019,47.0741,50.6075,109.039,292.4978,286.2538,185.7588,255.0746,551.0533,348.8541,315.5952,336.9882,374.4768,392.4258,324.9651,292.2118,297.9035,546.4336,383.0806,531.1445,342.3982,352.9389,381.8071,563.9637,414.1417,500.0949,554.3925,745.071,556.6055,724.1031,756.5443,686.3734,1017.078,0
1,0,403.5594,119.9159,110.1011,106.5213,135.2136,111.0646,117.4334,108.1595,87.2651,46.1466,49.6103,106.8905,286.7344,280.6135,182.0987,250.0487,540.1954,341.9803,309.3768,330.3483,367.0981,384.6935,318.562,286.4541,292.0337,535.6667,375.5325,520.6789,335.6516,345.9846,374.2839,552.8514,405.9814,490.241,543.4688,730.3901,545.6381,709.8354,741.6374,672.8491,997.0376,0
1,0,395.6077,117.5532,107.9317,104.4224,132.5494,108.8762,115.1196,106.0283,85.5456,45.2373,48.6329,104.7843,281.0846,275.0843,178.5105,245.1217,529.5514,335.2419,303.2808,323.8391,359.8648,377.1135,312.2851,280.8098,286.2794,525.112,368.133,510.4194,329.0379,339.1674,366.909,541.958,397.982,480.5813,532.7603,715.9986,534.8869,695.8488,727.0242,659.5913,977.392,0
1,0,387.8127,115.2369,105.805,102.3649,129.9375,106.7309,112.8512,103.9391,83.86,44.346,47.6745,102.7197,275.5462,269.6641,174.9932,240.2918,519.1172,328.6364,297.305,317.4582,352.774,369.6829,306.1318,275.2767,280.6386,514.7652,360.8793,500.3621,322.5545,332.4845,359.6794,531.2793,390.1402,471.1119,522.2628,701.8906,524.3475,682.1379,712.6989,646.5948,958.1335,0
