$Grand Coulee Dam Outflow Temperature,
 ,
JDAY,TWO
1.000000,5
1.041670,5
1.083330,4.99
1.125000,4.99
1.166670,4.99
1.208330,4.98
1.250000,4.98
1.291670,4.98
1.333330,4.97
1.375000,4.97
1.416670,4.97
1.458330,4.97
1.500000,4.97
1.541670,4.96
1.583330,4.96
1.625000,4.96
1.666670,4.96
1.708330,4.96
1.750000,4.96
1.791670,4.95
1.833330,4.95
1.875000,4.95
1.916670,4.94
1.958330,4.94
2.000000,4.94
2.041670,4.94
2.083330,4.93
2.125000,4.93
2.166670,4.93
2.208330,4.92
2.250000,4.92
2.291670,4.92
2.333330,4.91
2.375000,4.91
2.416670,4.91
2.458330,4.91
2.500000,4.91
2.541670,4.91
2.583330,4.91
2.625000,4.91
2.666670,4.9
2.708330,4.9
2.750000,4.9
2.791670,4.9
2.833330,4.89
2.875000,4.89
2.916670,4.89
2.958330,4.88
3.000000,4.88
3.041670,4.88
3.083330,4.87
3.125000,4.87
3.166670,4.87
3.208330,4.87
3.250000,4.86
3.291670,4.84
3.333330,4.8
3.375000,4.76
3.416670,4.74
3.458330,4.72
3.500000,4.7
3.541670,4.7
3.583330,4.72
3.625000,4.74
3.666670,4.75
3.708330,4.76
3.750000,4.75
3.791670,4.72
3.833330,4.71
3.875000,4.69
3.916670,4.68
3.958330,4.69
4.000000,4.7
4.041670,4.72
4.083330,4.73
4.125000,4.74
4.166670,4.74
4.208330,4.75
4.250000,4.73
4.291670,4.7
4.333330,4.68
4.375000,4.67
4.416670,4.66
4.458330,4.66
4.500000,4.69
4.541670,4.7
4.583330,4.72
4.625000,4.73
4.666670,4.74
4.708330,4.75
4.750000,4.76
4.791670,4.76
4.833330,4.76
4.875000,4.76
4.916670,4.76
4.958330,4.76
5.000000,4.76
5.041670,4.76
5.083330,4.76
5.125000,4.76
5.166670,4.75
5.208330,4.75
5.250000,4.75
5.291670,4.75
5.333330,4.75
5.375000,4.75
5.416670,4.75
5.458330,4.75
5.500000,4.75
5.541670,4.74
5.583330,4.74
5.625000,4.74
5.666670,4.74
5.708330,4.74
5.750000,4.74
5.791670,4.73
5.833330,4.73
5.875000,4.73
5.916670,4.73
5.958330,4.72
6.000000,4.72
6.041670,4.72
6.083330,4.72
6.125000,4.72
6.166670,4.72
6.208330,4.71
6.250000,4.71
6.291670,4.71
6.333330,4.71
6.375000,4.71
6.416670,4.7
6.458330,4.7
6.500000,4.7
6.541670,4.7
6.583330,4.7
6.625000,4.7
6.666670,4.7
6.708330,4.7
6.750000,4.69
6.791670,4.69
6.833330,4.69
6.875000,4.69
6.916670,4.69
6.958330,4.69
7.000000,4.68
7.041670,4.68
7.083330,4.68
7.125000,4.68
7.166670,4.68
7.208330,4.68
7.250000,4.68
7.291670,4.68
7.333330,4.67
7.375000,4.67
7.416670,4.67
7.458330,4.67
7.500000,4.67
7.541670,4.67
7.583330,4.67
7.625000,4.67
7.666670,4.67
7.708330,4.67
7.750000,4.67
7.791670,4.67
7.833330,4.67
7.875000,4.67
7.916670,4.66
7.958330,4.66
8.000000,4.66
8.041670,4.66
8.083330,4.66
8.125000,4.66
8.166670,4.65
8.208330,4.65
8.250000,4.65
8.291670,4.65
8.333330,4.65
8.375000,4.64
8.416670,4.64
8.458330,4.64
8.500000,4.64
8.541670,4.64
8.583330,4.64
8.625000,4.64
8.666670,4.64
8.708330,4.64
8.750000,4.64
8.791670,4.64
8.833330,4.63
8.875000,4.63
8.916670,4.63
8.958330,4.63
9.000000,4.63
9.041670,4.62
9.083330,4.62
9.125000,4.62
9.166670,4.62
9.208330,4.62
9.250000,4.61
9.291670,4.61
9.333330,4.61
9.375000,4.61
9.416670,4.6
9.458330,4.6
9.500000,4.61
9.541670,4.61
9.583330,4.61
9.625000,4.61
9.666670,4.61
9.708330,4.61
9.750000,4.6
9.791670,4.6
9.833330,4.6
9.875000,4.6
9.916670,4.59
9.958330,4.59
10.000000,4.59
10.041670,4.59
10.083330,4.59
10.125000,4.58
10.166670,4.58
10.208330,4.58
10.250000,4.58
10.291670,4.57
10.333330,4.57
10.375000,4.57
10.416670,4.57
10.458330,4.57
10.500000,4.57
10.541670,4.57
10.583330,4.57
10.625000,4.57
10.666670,4.56
10.708330,4.56
10.750000,4.56
10.791670,4.56
10.833330,4.56
10.875000,4.55
10.916670,4.55
10.958330,4.55
11.000000,4.54
11.041670,4.54
11.083330,4.54
11.125000,4.54
11.166670,4.53
11.208330,4.53
11.250000,4.53
11.291670,4.53
11.333330,4.52
11.375000,4.51
11.416670,4.51
11.458330,4.51
11.500000,4.51
11.541670,4.51
11.583330,4.51
11.625000,4.51
11.666670,4.51
11.708330,4.51
11.750000,4.51
11.791670,4.51
11.833330,4.51
11.875000,4.51
11.916670,4.5
11.958330,4.5
12.000000,4.5
12.041670,4.5
12.083330,4.49
12.125000,4.49
12.166670,4.49
12.208330,4.49
12.250000,4.48
12.291670,4.47
12.333330,4.45
12.375000,4.43
12.416670,4.4
12.458330,4.38
12.500000,4.38
12.541670,4.39
12.583330,4.4
12.625000,4.41
12.666670,4.42
12.708330,4.42
12.750000,4.43
12.791670,4.43
12.833330,4.43
12.875000,4.43
12.916670,4.43
12.958330,4.43
13.000000,4.43
13.041670,4.43
13.083330,4.43
13.125000,4.43
13.166670,4.43
13.208330,4.43
13.250000,4.42
13.291670,4.42
13.333330,4.42
13.375000,4.42
13.416670,4.42
13.458330,4.42
13.500000,4.42
13.541670,4.42
13.583330,4.42
13.625000,4.42
13.666670,4.42
13.708330,4.42
13.750000,4.42
13.791670,4.41
13.833330,4.41
13.875000,4.41
13.916670,4.41
13.958330,4.41
14.000000,4.41
14.041670,4.41
14.083330,4.4
14.125000,4.4
14.166670,4.4
14.208330,4.4
14.250000,4.4
14.291670,4.4
14.333330,4.4
14.375000,4.39
14.416670,4.39
14.458330,4.39
14.500000,4.4
14.541670,4.4
14.583330,4.4
14.625000,4.4
14.666670,4.4
14.708330,4.4
14.750000,4.4
14.791670,4.4
14.833330,4.4
14.875000,4.4
14.916670,4.4
14.958330,4.4
15.000000,4.39
15.041670,4.39
15.083330,4.39
15.125000,4.39
15.166670,4.39
15.208330,4.39
15.250000,4.39
15.291670,4.39
15.333330,4.39
15.375000,4.39
15.416670,4.39
15.458330,4.39
15.500000,4.39
15.541670,4.39
15.583330,4.39
15.625000,4.4
15.666670,4.4
15.708330,4.4
15.750000,4.4
15.791670,4.4
15.833330,4.4
15.875000,4.39
15.916670,4.39
15.958330,4.39
16.000000,4.39
16.041670,4.39
16.083330,4.39
16.125000,4.39
16.166670,4.39
16.208330,4.39
16.250000,4.39
16.291670,4.38
16.333330,4.38
16.375000,4.38
16.416670,4.38
16.458330,4.38
16.500000,4.38
16.541670,4.39
16.583330,4.39
16.625000,4.39
16.666670,4.39
16.708330,4.39
16.750000,4.39
16.791670,4.39
16.833330,4.39
16.875000,4.39
16.916670,4.39
16.958330,4.38
17.000000,4.38
17.041670,4.38
17.083330,4.38
17.125000,4.38
17.166670,4.38
17.208330,4.38
17.250000,4.38
17.291670,4.38
17.333330,4.37
17.375000,4.37
17.416670,4.37
17.458330,4.37
17.500000,4.38
17.541670,4.38
17.583330,4.38
17.625000,4.38
17.666670,4.38
17.708330,4.39
17.750000,4.38
17.791670,4.38
17.833330,4.38
17.875000,4.37
17.916670,4.37
17.958330,4.37
18.000000,4.37
18.041670,4.37
18.083330,4.37
18.125000,4.37
18.166670,4.36
18.208330,4.36
18.250000,4.36
18.291670,4.36
18.333330,4.36
18.375000,4.36
18.416670,4.36
18.458330,4.36
18.500000,4.35
18.541670,4.35
18.583330,4.34
18.625000,4.33
18.666670,4.33
18.708330,4.33
18.750000,4.32
18.791670,4.32
18.833330,4.32
18.875000,4.31
18.916670,4.31
18.958330,4.31
19.000000,4.31
19.041670,4.31
19.083330,4.31
19.125000,4.31
19.166670,4.31
19.208330,4.31
19.250000,4.31
19.291670,4.31
19.333330,4.31
19.375000,4.3
19.416670,4.28
19.458330,4.26
19.500000,4.26
19.541670,4.27
19.583330,4.28
19.625000,4.29
19.666670,4.3
19.708330,4.3
19.750000,4.3
19.791670,4.3
19.833330,4.3
19.875000,4.3
19.916670,4.3
19.958330,4.3
20.000000,4.3
20.041670,4.3
20.083330,4.3
20.125000,4.3
20.166670,4.3
20.208330,4.3
20.250000,4.3
20.291670,4.3
20.333330,4.3
20.375000,4.3
20.416670,4.3
20.458330,4.3
20.500000,4.3
20.541670,4.3
20.583330,4.3
20.625000,4.3
20.666670,4.3
20.708330,4.28
20.750000,4.27
20.791670,4.25
20.833330,4.23
20.875000,4.22
20.916670,4.21
20.958330,4.21
21.000000,4.22
21.041670,4.22
21.083330,4.23
21.125000,4.22
21.166670,4.23
21.208330,4.24
21.250000,4.24
21.291670,4.22
21.333330,4.21
21.375000,4.2
21.416670,4.18
21.458330,4.17
21.500000,4.17
21.541670,4.16
21.583330,4.15
21.625000,4.15
21.666670,4.14
21.708330,4.14
21.750000,4.14
21.791670,4.14
21.833330,4.13
21.875000,4.13
21.916670,4.12
21.958340,4.11
22.000000,4.09
22.041670,4.08
22.083340,4.08
22.125000,4.09
22.166670,4.1
22.208340,4.11
22.250000,4.12
