$ GRAND COULEE_OUTFLOW.npt based on $//GRAND COULEE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,2519.515
2.000000,3502.228
3.000000,3346.93
4.000000,2907.448
5.000000,3543.997
6.000000,3578.486
7.000000,3318.394
8.000000,3339.053
9.000000,3105.399
10.000000,2330.648
11.000000,2030.68
12.000000,2961.467
13.000000,3721.639
14.000000,3758.87
15.000000,3297.992
16.000000,2500.887
17.000000,1810.497
18.000000,1794.171
19.000000,1616.29
20.000000,2371.044
21.000000,2960.791
22.000000,3384.119
23.000000,3355.635
24.000000,3072.183
25.000000,3277.889
26.000000,3753.952
27.000000,4171.138
28.000000,4416.582
29.000000,4426.905
30.000000,4252.521
31.000000,3615.32
32.000000,3733.795
33.000000,3960.971
34.000000,4245.887
35.000000,4295.685
36.000000,4150.182
37.000000,3165.883
38.000000,2650.602
39.000000,3233.111
40.000000,3237.961
41.000000,3745.534
42.000000,4636.176
43.000000,4637.172
44.000000,4654.95
45.000000,4303.125
46.000000,4177.837
47.000000,4315.357
48.000000,3669.247
49.000000,3642.938
50.000000,3556.84
51.000000,3755.063
52.000000,3423.014
53.000000,3871.103
54.000000,4038.73
55.000000,4185.682
56.000000,3881.477
57.000000,4001.593
58.000000,4192.311
59.000000,4108.579
60.000000,4192.462
61.000000,4093.296
62.000000,3633.307
63.000000,3966.669
64.000000,3860.63
65.000000,3726.04
66.000000,3480.736
67.000000,3620.744
68.000000,3553.972
69.000000,3769.164
70.000000,3835.195
71.000000,3887.71
72.000000,3827.981
73.000000,3467.234
74.000000,3675.001
75.000000,3734.222
76.000000,3413.074
77.000000,3277.464
78.000000,2724.123
79.000000,2398.06
80.000000,3011.207
81.000000,2529.906
82.000000,2989.918
83.000000,3649.712
84.000000,3743.649
85.000000,3315.378
86.000000,3607.01
87.000000,3233.429
88.000000,2695.561
89.000000,3147.421
90.000000,3721.912
91.000000,3899.077
92.000000,3731.71
93.000000,3756.157
94.000000,4080.522
95.000000,3958.611
96.000000,4180.169
97.000000,4211.599
98.000000,4189.93
99.000000,4446.495
100.000000,4422.485
101.000000,4466.884
102.000000,3941.23
103.000000,4095.515
104.000000,4159.225
105.000000,4253.623
106.000000,4158.674
107.000000,4018.063
108.000000,3871.345
109.000000,3446.176
110.000000,3439.92
111.000000,3776.142
112.000000,4126.646
113.000000,3962.347
114.000000,4084.815
115.000000,3931.741
116.000000,3736.08
117.000000,3879.967
118.000000,3803.058
119.000000,3598.597
120.000000,3589.248
121.000000,3862.193
122.000000,3447.172
123.000000,3843.09
124.000000,3949.628
125.000000,3557.189
126.000000,3493.604
127.000000,3513.507
128.000000,3843.393
129.000000,3985.638
130.000000,3642.468
131.000000,3768.832
132.000000,4595.419
133.000000,5067.155
134.000000,4769.425
135.000000,5232.533
136.000000,5214.981
137.000000,5114.817
138.000000,4815.451
139.000000,4272.896
140.000000,5533.359
141.000000,6108.301
142.000000,6223.492
143.000000,6837.167
144.000000,7100.035
145.000000,6638.464
146.000000,5810.546
147.000000,5952.719
148.000000,6128.933
149.000000,6823.62
150.000000,7212.232
151.000000,7293.973
152.000000,7419.346
153.000000,7600.5
154.000000,7701.229
155.000000,7475.396
156.000000,7501.645
157.000000,7627.912
158.000000,7842.319
159.000000,7900.542
160.000000,7172.5
161.000000,6493.295
162.000000,5935.193
163.000000,6158.265
164.000000,6938.31
165.000000,6820.633
166.000000,6464.254
167.000000,6922.159
168.000000,6944.255
169.000000,6944.278
170.000000,6891.914
171.000000,7045.549
172.000000,6965.752
173.000000,6665.839
174.000000,6450.514
175.000000,6514.675
176.000000,6642.781
177.000000,6267.763
178.000000,5712.331
179.000000,5713.259
180.000000,5782.761
181.000000,5966.252
182.000000,5973.433
183.000000,5806.038
184.000000,5679.348
185.000000,6399.153
186.000000,6325.334
187.000000,5868.797
188.000000,5636.806
189.000000,7216.323
190.000000,6748.396
191.000000,6713.198
192.000000,6155.481
193.000000,5636.922
194.000000,5941.692
195.000000,6135.963
196.000000,5826.223
197.000000,5936.29
198.000000,5526.559
199.000000,5444.033
200.000000,5138.662
201.000000,5251.446
202.000000,5394.471
203.000000,5175.96
204.000000,5089
205.000000,4939.519
206.000000,5037.942
207.000000,4962.067
208.000000,4929.095
209.000000,4495.036
210.000000,4621.042
211.000000,4496.747
212.000000,4438.793
213.000000,4044.141
214.000000,4138.409
215.000000,4034.57
216.000000,4014.722
217.000000,3840.668
218.000000,3863.496
219.000000,3875.031
220.000000,3974.98
221.000000,3672.465
222.000000,3676.292
223.000000,3934.756
224.000000,4181.128
225.000000,4459.306
226.000000,4259.902
227.000000,3715.167
228.000000,3706.115
229.000000,3984.532
230.000000,4489.438
231.000000,4473.152
232.000000,4096.936
233.000000,3635.708
234.000000,3572.741
235.000000,3598.787
236.000000,3884.087
237.000000,4095.556
238.000000,3897.293
239.000000,3594.07
240.000000,3854.24
241.000000,3576.246
242.000000,3129.405
243.000000,3067.427
244.000000,3022.762
245.000000,3179.839
246.000000,2601.156
247.000000,2408.375
248.000000,2266.454
249.000000,1939.763
250.000000,1806.591
251.000000,1925.546
252.000000,2621.24
253.000000,2240.577
254.000000,1995.754
255.000000,2109.514
256.000000,1943.028
257.000000,1947.038
258.000000,2104.879
259.000000,2204.579
260.000000,1968.596
261.000000,1684.775
262.000000,1570.167
263.000000,1813.687
264.000000,1902.303
265.000000,1750.631
266.000000,2243.087
267.000000,2434.831
268.000000,2705.071
269.000000,2400.515
270.000000,1912.243
271.000000,2221.215
272.000000,2157.2
273.000000,2200.641
274.000000,2108.787
275.000000,2384.308
276.000000,2108.696
277.000000,1805.977
278.000000,2226.352
279.000000,2454.494
280.000000,1926.452
281.000000,2131.044
282.000000,2178.46
283.000000,1879.773
284.000000,1954.638
285.000000,2199.518
286.000000,2328.781
287.000000,2648.733
288.000000,2717.739
289.000000,2525.521
290.000000,1952.368
291.000000,1645.865
292.000000,2313.678
293.000000,2772.007
294.000000,2381.333
295.000000,1990.465
296.000000,2308.884
297.000000,1677.749
298.000000,1585.818
299.000000,2374.778
300.000000,2757.258
301.000000,2874.927
302.000000,2492.544
303.000000,2352.68
304.000000,2005.611
305.000000,1732.491
306.000000,2006.567
307.000000,2584.283
308.000000,2656.67
309.000000,2151.029
310.000000,2294.686
311.000000,2358.94
312.000000,2605.524
313.000000,2605.36
314.000000,2751.636
315.000000,2810.018
316.000000,2812.497
317.000000,2793.671
318.000000,2519.606
319.000000,2569.671
320.000000,2515.579
321.000000,2875.369
322.000000,3059.336
323.000000,2581.806
324.000000,2701.208
325.000000,2778.218
326.000000,3024.696
327.000000,2832.448
328.000000,2482.698
329.000000,2354.32
330.000000,2413.596
331.000000,2190.378
332.000000,2432.112
333.000000,2756.355
334.000000,3258.067
335.000000,2980.007
336.000000,2488.899
337.000000,2434.238
338.000000,2513.953
339.000000,2606.239
340.000000,2866.942
341.000000,3566.274
342.000000,3291.559
343.000000,2984.224
344.000000,3113.656
345.000000,3060.144
346.000000,3187.377
347.000000,3112.003
348.000000,3540.413
349.000000,2963.219
350.000000,2593.905
351.000000,2456.582
352.000000,2436.847
353.000000,2436.868
354.000000,2257.569
355.000000,2594.234
356.000000,2467.832
357.000000,2943.001
358.000000,3210.186
359.000000,3267.683
360.000000,3028.977
361.000000,2764.958
362.000000,2613.466
363.000000,2387.59
364.000000,2811.711
365.000000,2632.054
366.000000,2345.354
367.000000,909.49
368.000000,2738.298
369.000000,2473.889
370.000000,2650.56
371.000000,2700.982
372.000000,2561.88
373.000000,2647.868
374.000000,2678.939
375.000000,2288.911
376.000000,2737.14
377.000000,2909.12
378.000000,3116.19
379.000000,3425.387
380.000000,3332.281
381.000000,3455.765
382.000000,3471.161
383.000000,3385.545
384.000000,3500.209
385.000000,3386.896
386.000000,3254.974
387.000000,3060.825
388.000000,2453.576
389.000000,2277.867
390.000000,2927.592
391.000000,2912.355
392.000000,2726.249
393.000000,2770.533
394.000000,2556.803
395.000000,1746.854
396.000000,1269.823
397.000000,2078.928
398.000000,2716.629
399.000000,3045.762
400.000000,2512.722
401.000000,2384.446
402.000000,1826.503
403.000000,1853.178
404.000000,2388.803
405.000000,2871.066
406.000000,2984.147
407.000000,2592.555
408.000000,2710.208
409.000000,2160.385
410.000000,2286.447
411.000000,2825.266
412.000000,1677.246
413.000000,3854.538
414.000000,2957.145
415.000000,2761.814
416.000000,2481.496
417.000000,1933.898
418.000000,2225.206
419.000000,2812.61
420.000000,2813.85
421.000000,2078.268
422.000000,2088.853
423.000000,1752.785
424.000000,1690.959
425.000000,1853.133
426.000000,2323.681
427.000000,2339.842
428.000000,2511.105
429.000000,2244.774
430.000000,2200.605
431.000000,1455.926
432.000000,1991.7
433.000000,2709.448
434.000000,2863.955
435.000000,3101.631
436.000000,2908.439
437.000000,2764.097
438.000000,2543.033
439.000000,3126.543
440.000000,2637.083
441.000000,2819.585
442.000000,3095.446
443.000000,2986.609
444.000000,2330.605
445.000000,2320.35
446.000000,2395.829
447.000000,3788.176
448.000000,4226.891
449.000000,4250.229
450.000000,4229.602
451.000000,4137.098
452.000000,4331.065
453.000000,4029.998
454.000000,4370.895
455.000000,4541.109
456.000000,4494.56
457.000000,4319.756
458.000000,4447.813
459.000000,3023.977
460.000000,3943.503
461.000000,4589.727
462.000000,4077.875
463.000000,4193.231
464.000000,4446.438
465.000000,4456.085
466.000000,4436.175
467.000000,4725.915
468.000000,4847.282
469.000000,4792.682
470.000000,4864.951
471.000000,4812.923
472.000000,4513.199
473.000000,4715.372
474.000000,4671.589
475.000000,4923.772
476.000000,5062.906
477.000000,5006.909
478.000000,5117.883
479.000000,5244.351
480.000000,5299.856
481.000000,5584.086
482.000000,5853.021
483.000000,5650.05
484.000000,4561.413
485.000000,4626.461
486.000000,3322.755
487.000000,4784.034
488.000000,6053.346
489.000000,6319.332
490.000000,5892.09
