$ QGT_CHJ_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_CHJ_2011_2015_daily_ave.csv ; all outlets scaled to total flow from CHIEF JOSEPH_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41604 that are  2 days long
"JDAY","POW","SPB","MISC"
1.000000,2703.215,0,0
2.000000,2961.412,0,0
3.000000,3731.393,0,0
4.000000,3290.158,0,0
5.000000,3528.726,0,0
6.000000,3468.022,0,0
7.000000,3028.56,0,0
8.000000,3158.201,0,0
9.000000,2514.279,0,0
10.000000,2672.768,0,0
11.000000,2725.355,0,0
12.000000,3212.599,0,0
13.000000,3568.402,0,0
14.000000,3371.835,0,0
15.000000,2856.93,0,0
16.000000,2300.541,0,0
17.000000,1117.363,0,0
18.000000,1916.064,0,0
19.000000,2609.645,0,0
20.000000,2722.755,0,0
21.000000,3416.098,0,0
22.000000,3657.675,0,0
23.000000,3222.51,0,0
24.000000,2849.273,0,0
25.000000,3678.216,0,0
26.000000,3812.472,0,0
27.000000,4714.913,0,0
28.000000,4408.182,0,0
29.000000,4301.783,0,0
30.000000,4235.083,0,0
31.000000,3325.864,0,0
32.000000,4206.781,0,0
33.000000,4029.226,0,0
34.000000,4132.739,0,0
35.000000,4120.849,0,0
36.000000,3613.807,0,0
37.000000,3180.924,0,0
38.000000,2773.648,0,0
39.000000,3466.815,0,0
40.000000,3779.052,0,0
41.000000,4219.759,0,0
42.000000,4882.067,0,0
43.000000,4643.189,0,0
44.000000,4247.719,0,0
45.000000,4225.881,0,0
46.000000,4214.813,0,0
47.000000,4506.929,0,0
48.000000,3417.061,0,0
49.000000,3502.65,0,0
50.000000,3574.918,0,0
51.000000,3819.064,0,0
52.000000,3626.197,0,0
53.000000,3968.974,0,0
54.000000,4090.547,0,0
55.000000,4457.032,0,0
56.000000,3934.2,0,0
57.000000,3906.865,0,0
58.000000,4342.917,0,0
59.000000,4169.944,0,0
60.000000,3954.612,0,0
61.000000,4045.216,0,0
62.000000,3849.809,0,0
63.000000,4007.472,0,0
64.000000,3926.573,0,0
65.000000,3582.409,0,0
66.000000,3523.297,0,0
67.000000,3512.625,0,0
68.000000,3655.622,0,0
69.000000,3932.546,0,0
70.000000,3894.282,0,0
71.000000,4040.854,0,0
72.000000,3997.359,0,0
73.000000,3318.14,0,0
74.000000,3613.215,0,0
75.000000,3623.526,0,0
76.000000,3317.354,0,0
77.000000,2886.779,0,0
78.000000,2904.612,0,0
79.000000,2225.076,0,0
80.000000,2824.051,0,0
81.000000,3266.444,0,0
82.000000,3158.177,0,0
83.000000,3961.171,0,0
84.000000,3600.552,0,0
85.000000,3400.299,0,0
86.000000,3412.949,0,0
87.000000,2957.667,0,0
88.000000,3032.222,0,0
89.000000,3686.828,0,0
90.000000,3672.955,21.555,0
91.000000,3624.75,275.885,0
92.000000,3708.803,0,0
93.000000,3350.784,442.945,0
94.000000,2486.853,1670.225,0
95.000000,3534.42,399.704,0
96.000000,3962.722,262.067,0
97.000000,3246.237,1127.878,0
98.000000,3461.994,719.195,0
99.000000,3972.551,559.048,0
100.000000,3680.748,757.135,0
101.000000,3497.691,1151.062,0
102.000000,3531.972,224.569,0
103.000000,4325.002,0,0
104.000000,4125.145,0,0
105.000000,4351.107,0,0
106.000000,4346.081,0,0
107.000000,3472.467,0,0
108.000000,3893.647,0,0
109.000000,3565.847,0,0
110.000000,3902.847,0,0
111.000000,3923.562,0,0
112.000000,4145.466,0,0
113.000000,4154.974,0,0
114.000000,4076.984,0,0
115.000000,3853.484,0,0
116.000000,3879.072,0,0
117.000000,3966.159,0,0
118.000000,3615.135,0,0
119.000000,3898.707,0,0
120.000000,3573.087,0,0
121.000000,3794.463,0,0
122.000000,3837.699,0,0
123.000000,3892.878,0,0
124.000000,3696.404,0,0
125.000000,3843.438,0,0
126.000000,3453.715,0,0
127.000000,3976.527,0,0
128.000000,3799.705,0,0
129.000000,3793.253,0,0
130.000000,3995.961,0,0
131.000000,4206.382,68.565,0
132.000000,4774.351,47.848,0
133.000000,4947.734,0,0
134.000000,4110.337,1111.837,0
135.000000,3087.44,2128.746,0
136.000000,2579.91,2661.576,0
137.000000,3467.277,1192.684,0
138.000000,4067.521,1175.279,0
139.000000,2824.551,2222.421,0
140.000000,3041.143,2592.128,0
141.000000,3031.116,3405.944,0
