Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,          76.45,   531271.88163,  5049684.94713, 10,     0.306
  3,  1,         305.80,   531499.78032,  5049664.91988, 10,     0.306
  4,  1,         611.60,   531789.07172,  5049577.76836, 10,     0.306
  5,  1,         917.40,   532065.40026,  5049446.79572, 10,     0.001
  6,  1,        1223.20,   532338.24905,  5049309.01678, 10,     0.001
  7,  1,        1529.00,   532603.56162,  5049314.95783, 10,     0.306
  8,  1,        1834.80,   532873.00879,  5049329.08678, 10,     0.001
  9,  1,        2140.60,   533155.25540,  5049212.20546, 10,     0.001
 10,  1,        2446.40,   533447.61429,  5049124.12983, 10,     0.001
 11,  1,        2752.20,   533743.26417,  5049046.23641, 10,     0.001
 12,  1,        3058.00,   534039.92670,  5048972.81660, 10,     0.001
 13,  1,        3363.80,   534332.77020,  5048887.77962, 10,     0.001
 14,  1,        3669.60,   534610.35416,  5048761.27543, 10,     0.001
 15,  1,        3975.40,   534879.06834,  5048615.30859, 10,     0.001
 16,  1,        4281.20,   535149.91126,  5048473.40472, 10,     0.306
 17,  1,        4587.00,   535426.15691,  5048342.47137, 10,     0.306
 18,  1,        4892.80,   535718.56305,  5048271.65459, 10,     0.306
 19,  1,        5198.60,   536014.96429,  5048210.76490, 10,     0.001
 20,  1,        5504.40,   536294.50900,  5048088.39722, 10,    -0.304
 21,  1,        5810.20,   536554.95268,  5047929.57262, 10,    -0.304
 22,  1,        6116.00,   536787.48365,  5047732.67425, 10,     0.001
 23,  1,        6421.80,   537042.81831,  5047583.88752, 10,    -0.914
 24,  1,        6727.60,   537341.03314,  5047517.94848, 10,    -0.914
 25,  1,        7033.40,   537623.12147,  5047414.14264, 10,     0.306
 26,  1,        7339.20,   537899.70510,  5047288.09434, 10,     0.306
 27,  1,        7645.00,   538192.00356,  5047198.44033, 10,     0.001
 28,  1,        7950.80,   538442.50720,  5047043.95385, 10,     0.001
 29,  1,        8256.60,   538686.93698,  5046872.16548, 10,     0.001
 30,  1,        8562.40,   538975.76353,  5046774.00548, 10,    -0.304
 31,  1,        8868.20,   539254.15955,  5046655.44369, 10,    -0.304
 32,  1,        9174.00,   539525.67311,  5046516.63090, 10,    -0.304
 33,  1,        9479.80,   539790.40737,  5046367.64055, 10,    -0.304
 34,  1,        9785.60,   540033.28980,  5046181.99753, 10,    -0.304
 35,  1,       10091.40,   540260.28709,  5045977.78376, 10,    -0.609
 36,  1,       10397.20,   540285.65445,  5045740.70148, 10,    -0.609
 37,  1,       10703.00,   540213.59603,  5045764.51721, 10,    -0.609
 38,  1,       11008.80,   540286.17147,  5046056.77001, 10,    -0.609
 39,  1,       11314.60,   540343.46585,  5046349.30413, 10,    -0.609
 40,  1,       11620.40,   540387.19536,  5046357.14366, 10,    -0.304
 41,  1,       11926.20,   540414.41848,  5046060.75548, 10,    -0.304
 42,  1,       12232.00,   540361.20882,  5045759.81054, 10,    -0.304
 43,  1,       12537.79,   540355.68312,  5045459.65687, 10,    -0.609
 44,  1,       12843.59,   540444.82185,  5045169.63211, 10,    -0.914
 45,  1,       13149.39,   540573.17918,  5044892.09170, 10,    -0.914
 48,  2,       13531.04,   540853.02386,  5044673.89217, 10,     0.306
 49,  2,       13988.54,   541249.73645,  5044455.82004, 10,     0.001
 50,  2,       14446.04,   541618.66246,  5044185.35236, 10,     0.001
