$ DENI 2011 2017-11-13 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with LWS_2011_2015_met.csv,,,,,
CWMS paths:, DENI.Temp-Air.Inst.1Hour.0.USBR-COMPUTED-REV, DENI.Temp-DewPoint.Inst.1Hour.0.USBR-COMPUTED-REV, DENI.Speed-Wind.Inst.1Hour.0.USBR-COMPUTED-REV, DENI.Dir-Wind.Inst.1Hour.0.USBR-COMPUTED-REV, LWS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,DWQI.Pres-Air.Inst.1Hour.0.GOES-REV; fill with linTrend of DENI
JDAY, TAIR_C, TDEW_C, WIND_ms, PHI_rad, CLOUD_0_10,BP_mmHg
1.000000,-7.34,-9.37,1.81,0.34,0,741.69
1.041670,-7.07,-9.31,2.22,0.25,0,741.69
1.083330,-6.67,-8.84,1.2,0.36,0,741.89
1.125000,-8.08,-10.55,2.78,0.52,0,741.89
1.166670,-9.16,-11.52,3.19,0.38,0,742.09
1.208330,-9.43,-12.06,2.78,0.31,0,742.29
1.250000,-10.3,-13.01,3.04,0.42,0,742.49
1.291670,-10.57,-13.25,3.52,0.52,0,742.89
1.333330,-11.24,-13.85,2.48,0.42,0,743.39
1.375000,-9.01,-12.25,1.65,0.63,0,743.79
1.416670,-6.86,-10.55,3.11,2.46,0,743.79
1.458330,-6.33,-10.33,3.59,2.9,0,743.49
1.500000,-5.73,-10,3.49,2.77,0,742.99
1.541670,-4.8,-9.03,2.76,2.87,0,742.69
1.583330,-4.52,-9.22,2.34,2.69,0,742.69
1.625000,-4.32,-8.5,2.33,2.9,0,742.89
1.666670,-5.67,-8.23,1.5,1.44,0,742.79
1.708330,-7.42,-9.34,1.66,0.45,0,743.19
1.750000,-8.02,-10.01,1.79,0.39,0,743.49
1.791670,-7.41,-9.36,1.48,0.41,0,743.49
1.833330,-8.35,-10.51,1.78,0.3,0,743.69
1.875000,-8.01,-9.72,1.42,0.53,0,743.79
1.916670,-7.68,-9.83,1.6,0.61,10,743.89
1.958330,-7.88,-10.09,1.5,0.26,10,744.19
2.000000,-8.48,-10.7,1.84,0.23,10,743.99
2.041670,-8.15,-10.46,1.92,0.3,10,743.99
2.083330,-8.08,-10.68,2.24,6.11,10,744.09
2.125000,-7.61,-9.81,1.51,0.4,10,744.19
2.166670,-7.41,-10.15,1.58,0.35,10,743.79
2.208330,-7.55,-10.08,1.76,0.2,10,743.69
2.250000,-7.07,-10.03,1.38,0.76,10,743.59
2.291670,-7.07,-9.21,1.3,0.32,10,743.49
2.333330,-6.8,-9.23,1.27,0.77,10,743.89
2.375000,-6.26,-9.08,0.36,0.65,10,743.99
2.416670,-5.72,-8.11,0.21,0.74,10,743.99
2.458330,-5.19,-8.13,0.77,0.12,10,743.69
2.500000,-4.65,-7.63,2.02,2.44,7.5,743.19
2.541670,-3.98,-6.77,1.66,2.67,7.5,742.79
2.583330,-3.52,-6.5,1.46,2.38,0,742.49
2.625000,-3.58,-6.51,2.06,2.05,0,742.29
2.666670,-3.58,-6.43,1,0.53,0,742.29
2.708330,-3.58,-6.17,0.83,1.06,0,742.39
2.750000,-3.98,-5.95,1.16,0.8,10,742.39
2.791670,-5.53,-6.92,1.85,0.35,10,742.39
2.833330,-5.13,-6.98,1.4,0.27,10,742.59
2.875000,-5.12,-6.58,1.49,0.48,10,742.59
2.916670,-5.12,-6.67,1.81,0.39,2,742.49
2.958330,-5.8,-7.61,2.53,0.41,0,742.89
3.000000,-5.8,-7.76,2.46,0.27,0,742.79
3.041670,-5.73,-7.59,2.17,0.25,0,742.79
3.083330,-5.46,-7.55,1.94,0.26,0,743.09
