$ DWORSHAK-POOLELEV.npt based on $//DWORSHAK-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,466.489
40545,466.514
40546,466.518
40547,466.503
40548,466.5
40549,466.52
40550,466.544
40551,466.566
40552,466.593
40553,466.626
40554,466.66
40555,466.679
40556,466.636
40557,466.528
40558,466.445
40559,466.436
40560,466.552
40561,466.829
40562,467.63
40563,468.502
40564,468.95
40565,468.98
40566,468.817
40567,468.626
40568,468.387
40569,468.114
40570,467.837
40571,467.548
40572,467.308
40573,467.105
40574,466.898
40575,466.691
40576,466.475
40577,466.215
40578,465.909
40579,465.598
40580,465.302
40581,465.044
40582,464.782
40583,464.497
40584,464.222
40585,463.921
40586,463.605
40587,463.279
40588,462.941
40589,462.597
40590,462.261
40591,461.923
40592,461.638
40593,461.351
40594,461.041
40595,460.836
40596,460.737
40597,460.63
40598,460.497
40599,460.369
40600,460.235
40601,460.081
40602,459.943
40603,459.85
40604,459.691
40605,459.342
40606,458.962
40607,458.579
40608,458.154
40609,457.68
40610,457.208
40611,456.729
40612,456.245
40613,455.757
40614,455.255
40615,454.796
40616,454.318
40617,453.805
40618,453.378
40619,453.009
40620,452.68
40621,452.396
40622,452.058
40623,451.65
40624,451.196
40625,450.732
40626,450.299
40627,449.827
40628,449.294
40629,448.736
40630,448.239
40631,447.8
40632,447.37
40633,446.928
40634,446.593
40635,446.636
40636,447.446
40637,448.294
40638,449.245
40639,449.589
40640,449.714
40641,449.62
40642,449.287
40643,448.714
40644,447.952
40645,447.105
40646,446.197
40647,445.267
40648,444.447
40649,443.688
40650,443.252
40651,443.377
40652,443.755
40653,444.161
40654,444.493
40655,444.715
40656,444.557
40657,444.347
40658,444.094
40659,443.761
40660,443.597
40661,443.49
40662,443.396
40663,443.319
40664,443.262
40665,443.179
40666,443.085
40667,442.978
40668,443.073
40669,443.198
40670,443.316
40671,443.472
40672,443.731
40673,444.182
40674,444.892
40675,445.746
40676,446.593
40677,447.541
40678,448.602
40679,449.842
40680,451.512
40681,453.37
40682,454.857
40683,456.168
40684,457.435
40685,458.572
40686,459.687
40687,460.931
40688,462.132
40689,463.256
40690,464.32
40691,465.308
40692,466.231
40693,467.109
40694,468.011
40695,468.758
40696,469.322
40697,469.883
40698,470.389
40699,470.947
40700,471.453
40701,471.962
40702,472.699
40703,473.641
40704,474.583
40705,475.525
40706,476.262
40707,477.006
40708,477.865
40709,478.661
40710,479.322
40711,479.969
40712,480.563
40713,481.102
40714,481.63
40715,482.276
40716,482.84
40717,483.227
40718,483.654
40719,484.178
40720,484.717
40721,485.153
40722,485.507
40723,485.809
40724,486.101
40725,486.549
40726,487.046
40727,487.4
40728,487.677
40729,487.921
40730,488.119
40731,488.268
40732,488.369
40733,488.466
40734,488.555
40735,488.588
40736,488.597
40737,488.613
40738,488.68
40739,488.613
40740,488.527
40741,488.418
40742,488.284
40743,488.128
40744,487.97
40745,487.799
40746,487.643
40747,487.448
40748,487.232
40749,487.003
40750,486.747
40751,486.476
40752,486.205
40753,485.915
40754,485.613
40755,485.3
40756,484.976
40757,484.635
40758,484.291
40759,483.937
40760,483.568
40761,483.19
40762,482.834
40763,482.459
40764,482.084
40765,481.688
40766,481.282
40767,480.877
40768,480.478
40769,480.063
40770,479.639
40771,479.213
40772,478.783
40773,478.356
40774,477.92
40775,477.469
40776,477.009
40777,476.54
40778,476.073
40779,475.595
40780,475.11
40781,474.616
40782,474.11
40783,473.604
40784,473.101
40785,472.605
40786,472.105
40787,471.6
40788,471.081
40789,470.55
40790,470.005
40791,469.453
40792,468.907
40793,468.465
40794,468.039
40795,467.621
40796,467.194
40797,466.752
40798,466.368
40799,466.073
40800,465.704
40801,465.378
40802,465.14
40803,464.933
40804,464.759
40805,464.582
40806,464.47
40807,464.415
40808,464.363
40809,464.329
40810,464.302
40811,464.274
40812,464.25
40813,464.198
40814,464.183
40815,464.156
40816,464.131
40817,464.107
40818,464.082
40819,464.049
40820,464.015
40821,463.979
40822,463.948
40823,463.921
40824,463.909
40825,463.912
40826,463.933
40827,463.942
40828,463.93
40829,463.939
40830,464.009
40831,464.052
40832,464.052
40833,464.043
40834,464.052
40835,464.058
40836,464.055
40837,464.043
40838,464.009
40839,463.985
40840,463.97
40841,463.964
40842,463.967
40843,463.979
40844,463.985
40845,463.985
40846,463.982
40847,463.976
40848,463.985
40849,464.009
40850,464.073
40851,464.11
40852,464.119
40853,464.101
40854,464.104
40855,464.107
40856,464.101
40857,464.095
40858,464.089
40859,464.08
40860,464.068
40861,464.056
40862,464.067
40863,464.082
40864,464.115
40865,464.113
40866,464.101
40867,464.109
40868,464.119
40869,464.119
40870,464.119
40871,464.128
40872,464.157
40873,464.188
40874,464.233
40875,464.279
40876,464.295
40877,464.313
40878,464.335
40879,464.35
40880,464.365
40881,464.369
40882,464.369
40883,464.363
40884,464.354
40885,464.336
40886,464.321
40887,464.308
40888,464.308
40889,464.293
40890,464.264
40891,464.233
40892,464.217
40893,464.199
40894,464.187
40895,464.186
40896,464.18
40897,464.165
40898,464.15
40899,464.144
40900,464.12
40901,464.104
40902,464.077
40903,464.041
40904,464.016
40905,464.004
40906,464
40907,464.021
40908,464.191
40909,464.435
40910,464.634
40911,464.777
40912,464.851
40913,464.9
40914,464.946
40915,464.974
40916,465.011
40917,465.038
40918,465.066
40919,465.087
40920,465.1
40921,465.121
40922,465.116
40923,465.098
40924,465.08
40925,465.085
40926,465.094
40927,465.094
40928,465.112
40929,465.133
40930,465.152
40931,465.161
40932,465.191
40933,465.218
40934,465.24
40935,465.252
40936,465.279
40937,465.321
40938,465.352
40939,465.371
40940,465.407
40941,465.461
40942,465.501
40943,465.535
40944,465.56
40945,465.572
40946,465.588
40947,465.588
40948,465.594
40949,465.609
40950,465.633
40951,465.643
40952,465.666
40953,465.694
40954,465.721
40955,465.749
40956,465.77
40957,465.791
40958,465.81
40959,465.831
40960,465.861
40961,465.883
40962,465.925
40963,466.122
40964,466.518
40965,466.794
40966,467.02
40967,467.204
40968,467.357
40969,467.349
40970,467.23
40971,467.108
40972,466.977
40973,466.841
40974,466.695
40975,466.557
40976,466.437
40977,466.313
40978,466.182
40979,466.083
40980,466.131
40981,466.234
40982,466.207
40983,466.027
40984,465.875
40985,465.719
40986,465.893
40987,466.262
40988,466.451
40989,466.454
40990,466.32
40991,466.167
40992,465.99
40993,465.795
40994,465.579
40995,465.356
40996,465.253
40997,465.268
40998,465.253
40999,465.198
41000,465.198
41001,465.628
41002,466.067
41003,466.32
41004,466.365
41005,466.301
41006,466.085
41007,465.649
41008,465.143
41009,464.595
41010,464.031
41011,463.525
41012,463.113
41013,462.872
41014,462.79
41015,462.671
41016,462.501
41017,462.263
41018,462.034
41019,461.818
41020,461.644
41021,461.519
41022,461.58
41023,461.79
41024,462.177
41025,463
41026,464.089
41027,465.158
41028,466.25
41029,467.021
41030,467.475
41031,467.819
41032,468.243
41033,468.536
41034,468.718
41035,468.968
41036,469.426
41037,470.002
41038,470.377
41039,470.636
41040,470.916
41041,471.221
41042,471.541
41043,471.943
41044,472.474
41045,472.891
41046,473.275
41047,473.784
41048,474.391
41049,474.952
41050,475.537
41051,476.162
41052,476.686
41053,477.296
41054,478.021
41055,478.673
41056,479.319
41057,479.877
41058,480.371
41059,480.831
41060,481.246
41061,481.59
41062,481.919
41063,482.322
41064,482.831
41065,483.459
41066,483.98
41067,484.376
41068,484.842
41069,485.22
41070,485.504
41071,485.763
41072,486.034
41073,486.19
41074,486.336
41075,486.531
41076,486.76
41077,486.949
41078,487.159
41079,487.412
41080,487.729
41081,487.924
41082,488.015
41083,488.095
41084,488.183
41085,488.293
41086,488.409
41087,488.497
41088,488.573
41089,488.573
41090,488.585
41091,488.622
41092,488.661
41093,488.686
41094,488.668
41095,488.61
41096,488.561
41097,488.546
41098,488.521
41099,488.494
41100,488.457
41101,488.369
41102,488.174
41103,487.918
41104,487.631
41105,487.333
41106,487.034
41107,486.729
41108,486.427
41109,486.119
41110,485.793
41111,485.565
41112,485.297
41113,484.955
41114,484.592
41115,484.218
41116,483.833
41117,483.44
41118,483.038
41119,482.639
41120,482.273
41121,481.938
41122,481.56
41123,481.142
41124,480.725
41125,480.295
41126,479.862
41127,479.444
41128,479.048
41129,478.652
41130,478.256
41131,477.829
41132,477.381
41133,476.933
41134,476.488
41135,476.034
41136,475.604
41137,475.199
41138,474.824
41139,474.421
41140,474.01
41141,473.629
41142,473.272
41143,472.909
41144,472.538
41145,472.166
41146,471.794
41147,471.416
41148,471.038
41149,470.654
41150,470.285
41151,469.941
41152,469.59
41153,469.243
41154,468.886
41155,468.536
41156,468.191
41157,467.841
41158,467.487
41159,467.133
41160,466.78
41161,466.436
41162,466.094
41163,465.805
41164,465.564
41165,465.329
41166,465.122
41167,464.982
41168,464.829
41169,464.643
41170,464.515
41171,464.445
41172,464.372
41173,464.302
41174,464.25
41175,464.22
41176,464.189
41177,464.156
41178,464.125
41179,464.095
41180,464.064
41181,464.034
41182,464.003
41183,463.97
41184,463.936
41185,463.903
41186,463.863
41187,463.829
41188,463.793
41189,463.762
41190,463.726
41191,463.695
41192,463.662
41193,463.628
41194,463.598
41195,463.564
41196,463.531
41197,463.506
41198,463.494
41199,463.5
41200,463.552
41201,463.613
41202,463.619
41203,463.601
41204,463.598
41205,463.619
41206,463.616
41207,463.607
