$ DWORSHAK_INFLOW.npt based on $//DWORSHAK_IN/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,58.05
2.000000,46.723
3.000000,42.475
4.000000,48.139
5.000000,59.465
6.000000,62.297
7.000000,60.881
8.000000,65.129
9.000000,66.545
10.000000,67.96
11.000000,62.297
12.000000,45.307
13.000000,43.891
14.000000,60.881
15.000000,113.267
16.000000,195.386
17.000000,343.2
18.000000,683.002
19.000000,798.535
20.000000,555.01
21.000000,370.951
22.000000,291.664
23.000000,270.426
24.000000,244.941
25.000000,210.961
26.000000,210.961
27.000000,212.376
28.000000,191.139
29.000000,172.733
30.000000,169.901
31.000000,169.901
32.000000,161.406
33.000000,135.921
34.000000,110.436
35.000000,106.188
36.000000,120.347
37.000000,141.584
38.000000,140.168
39.000000,130.258
40.000000,130.258
41.000000,120.347
42.000000,113.267
43.000000,109.02
44.000000,97.693
45.000000,103.357
46.000000,111.852
47.000000,116.099
48.000000,135.921
49.000000,144.416
50.000000,134.505
51.000000,126.01
52.000000,121.762
53.000000,111.852
54.000000,110.436
55.000000,114.683
56.000000,107.604
57.000000,90.614
58.000000,82.119
59.000000,87.782
60.000000,92.03
61.000000,94.861
62.000000,93.446
63.000000,94.861
64.000000,101.941
65.000000,106.188
66.000000,107.604
67.000000,106.188
68.000000,106.188
69.000000,109.02
70.000000,128.842
71.000000,162.822
72.000000,167.069
73.000000,154.386
74.000000,186.891
75.000000,220.4
76.000000,242.699
77.000000,255.56
78.000000,238.569
79.000000,221.638
80.000000,206.241
81.000000,195.504
82.000000,198.454
83.000000,203.704
84.000000,199.752
85.000000,202.584
86.000000,205.592
87.000000,212.553
88.000000,216.447
89.000000,214.795
90.000000,280.101
91.000000,513.833
92.000000,778.123
93.000000,925.725
94.000000,879.651
95.000000,690.518
96.000000,614.122
97.000000,569.051
98.000000,465.399
99.000000,388.59
100.000000,336.971
101.000000,303.816
102.000000,290.189
103.000000,288.065
104.000000,268.715
105.000000,229.072
106.000000,223.585
107.000000,255.383
108.000000,300.749
109.000000,313.078
110.000000,283.522
111.000000,258.627
112.000000,247.654
113.000000,244.41
114.000000,231.49
115.000000,215.916
116.000000,234.322
117.000000,283.817
118.000000,299.097
119.000000,307.415
120.000000,310.247
121.000000,280.75
122.000000,257.093
123.000000,244.233
124.000000,261.282
125.000000,278.921
126.000000,279.747
127.000000,300.513
128.000000,343.047
129.000000,386.82
130.000000,426.877
131.000000,443.277
132.000000,447.819
133.000000,492.123
134.000000,547.636
135.000000,645.683
136.000000,815.112
137.000000,933.099
138.000000,863.192
139.000000,719.366
140.000000,656.774
141.000000,654.001
142.000000,686.92
143.000000,758.538
144.000000,782.902
145.000000,781.604
146.000000,784.141
147.000000,811.042
148.000000,801.721
149.000000,709.219
150.000000,639.253
151.000000,589.226
152.000000,562.502
153.000000,573.652
154.000000,612.706
155.000000,636.716
156.000000,626.982
157.000000,624.682
158.000000,701.609
159.000000,818.829
160.000000,859.652
161.000000,796.057
162.000000,704.795
163.000000,665.741
164.000000,672.879
165.000000,680.725
166.000000,673.174
167.000000,654.709
168.000000,634.061
169.000000,594.536
170.000000,559.73
171.000000,570.761
172.000000,574.832
173.000000,576.602
174.000000,620.434
175.000000,692.996
176.000000,704.854
177.000000,631.525
178.000000,566.16
179.000000,529.171
180.000000,523.213
181.000000,575.186
182.000000,614.063
183.000000,569.7
184.000000,515.721
185.000000,491.238
186.000000,489.763
187.000000,486.46
188.000000,472.891
189.000000,472.655
190.000000,465.753
191.000000,430.062
192.000000,387.941
193.000000,353.961
194.000000,321.101
195.000000,314.199
196.000000,310.364
197.000000,283.876
198.000000,267.417
199.000000,262.993
200.000000,254.38
201.000000,243.879
202.000000,251.135
203.000000,229.779
204.000000,206.418
205.000000,198.572
206.000000,173.736
207.000000,164.061
208.000000,159.4
209.000000,145.478
210.000000,137.219
211.000000,134.21
212.000000,127.131
213.000000,120.229
214.000000,117.102
215.000000,107.368
216.000000,101.764
217.000000,96.336
218.000000,64.834
219.000000,58.321
220.000000,64.385
221.000000,60.515
222.000000,65.129
223.000000,65.07
224.000000,63.595
225.000000,60.704
226.000000,56.929
227.000000,64.008
228.000000,70.733
229.000000,69.199
230.000000,65.188
231.000000,66.722
232.000000,70.733
233.000000,69.376
234.000000,69.258
235.000000,66.545
236.000000,66.427
237.000000,63.477
238.000000,57.932
239.000000,54.982
240.000000,49.378
241.000000,45.248
242.000000,43.714
243.000000,39.585
244.000000,38.11
245.000000,35.396
246.000000,35.455
247.000000,36.694
248.000000,33.803
249.000000,29.556
250.000000,25.78
251.000000,32.505
252.000000,30.795
253.000000,22.594
254.000000,21.149
255.000000,19.055
256.000000,17.787
257.000000,19.94
258.000000,22.594
259.000000,21.415
260.000000,25.603
261.000000,28.435
262.000000,31.444
263.000000,38.169
264.000000,36.753
265.000000,35.396
266.000000,35.337
267.000000,34.157
268.000000,37.874
269.000000,29.556
270.000000,25.721
271.000000,31.208
272.000000,32.623
273.000000,33.862
274.000000,31.031
275.000000,28.435
276.000000,31.149
277.000000,31.09
278.000000,29.851
279.000000,32.977
280.000000,42.947
281.000000,53.92
282.000000,56.398
283.000000,50.321
284.000000,36.222
285.000000,56.693
286.000000,89.906
287.000000,72.503
288.000000,46.723
289.000000,46.9
290.000000,51.029
291.000000,52.15
292.000000,46.723
293.000000,46.664
294.000000,45.071
295.000000,39.644
296.000000,39.821
297.000000,44.127
298.000000,49.613
299.000000,50.852
300.000000,47.962
301.000000,43.832
302.000000,42.416
303.000000,41.177
304.000000,44.304
305.000000,54.687
306.000000,74.981
307.000000,72.562
308.000000,47.785
309.000000,39.703
310.000000,41.118
311.000000,42.475
312.000000,39.644
313.000000,39.644
314.000000,39.644
315.000000,35.396
316.000000,33.98
317.000000,38.228
318.000000,45.307
319.000000,59.465
320.000000,56.634
321.000000,38.228
322.000000,36.812
323.000000,43.891
324.000000,45.307
325.000000,41.059
326.000000,39.644
327.000000,49.554
328.000000,58.05
329.000000,62.297
330.000000,72.208
331.000000,69.376
332.000000,52.386
333.000000,50.97
334.000000,55.218
335.000000,50.97
336.000000,50.97
337.000000,46.723
338.000000,42.475
339.000000,39.644
340.000000,33.98
341.000000,31.149
342.000000,31.149
343.000000,36.812
344.000000,42.475
345.000000,35.396
346.000000,23.361
347.000000,21.946
348.000000,33.98
349.000000,35.396
350.000000,33.98
351.000000,39.644
352.000000,38.228
353.000000,33.98
354.000000,33.98
355.000000,31.149
356.000000,31.149
357.000000,35.396
358.000000,24.069
359.000000,19.822
360.000000,24.069
361.000000,32.564
362.000000,42.475
363.000000,59.465
364.000000,144.416
365.000000,195.386
366.000000,164.238
367.000000,123.178
368.000000,87.782
369.000000,72.208
370.000000,66.545
371.000000,63.713
372.000000,60.881
373.000000,60.881
374.000000,56.634
375.000000,52.386
376.000000,52.386
377.000000,50.97
378.000000,41.059
379.000000,28.317
380.000000,29.733
381.000000,45.307
382.000000,49.554
383.000000,45.307
384.000000,48.139
385.000000,49.554
386.000000,48.139
387.000000,48.139
388.000000,58.05
389.000000,60.881
390.000000,50.97
391.000000,50.97
392.000000,58.05
393.000000,65.129
394.000000,62.297
395.000000,53.802
396.000000,59.465
397.000000,70.792
398.000000,69.376
399.000000,62.297
400.000000,55.218
401.000000,48.139
402.000000,49.554
403.000000,49.554
404.000000,45.307
405.000000,46.723
406.000000,46.723
407.000000,52.386
408.000000,56.634
409.000000,58.05
410.000000,58.05
411.000000,58.05
412.000000,59.465
413.000000,50.97
414.000000,53.802
415.000000,59.465
416.000000,59.465
417.000000,58.05
418.000000,69.376
419.000000,195.386
420.000000,305.822
421.000000,247.772
422.000000,172.733
423.000000,141.584
424.000000,114.683
425.000000,96.277
426.000000,82.119
427.000000,79.287
428.000000,77.871
429.000000,69.376
430.000000,72.208
431.000000,75.04
432.000000,79.287
433.000000,80.703
434.000000,76.455
435.000000,79.287
436.000000,89.198
437.000000,106.247
438.000000,117.916
439.000000,127.438
440.000000,134.706
441.000000,153.324
442.000000,330.894
443.000000,447.642
444.000000,351.778
445.000000,266.945
446.000000,218.63
447.000000,199.516
448.000000,196.153
449.000000,180.52
450.000000,164.238
451.000000,167.305
452.000000,240.398
453.000000,298.861
454.000000,302.754
455.000000,334.139
456.000000,439.56
457.000000,619.785
458.000000,672.171
459.000000,561.264
460.000000,441.743
461.000000,374.431
462.000000,321.868
463.000000,266.237
464.000000,234.145
465.000000,213.556
466.000000,209.604
467.000000,246.062
468.000000,308.595
469.000000,408.294
470.000000,485.162
471.000000,473.068
472.000000,443.395
473.000000,415.963
474.000000,410.24
475.000000,435.254
476.000000,450.474
477.000000,492.241
478.000000,582.796
479.000000,671.994
480.000000,763.788
481.000000,914.634
482.000000,1046.366
483.000000,1079.226
484.000000,1048.49
485.000000,895.107
486.000000,704.028
487.000000,647.158
488.000000,647.748
489.000000,596.011
490.000000,528.404
491.000000,501.857
492.000000,482.507
493.000000,441.566
494.000000,404.636
495.000000,397.911
496.000000,400.447
497.000000,428.115
498.000000,439.383
499.000000,417.791
500.000000,421.154
501.000000,437.967
502.000000,484.749
503.000000,564.567
504.000000,620.906
505.000000,603.503
506.000000,544.45
507.000000,496.371
508.000000,486.873
509.000000,583.858
510.000000,659.193
511.000000,610.169
512.000000,541.029
513.000000,478.319
514.000000,439.265
515.000000,414.134
516.000000,397.439
517.000000,387.646
518.000000,381.924
519.000000,409.355
520.000000,481.15
521.000000,540.38
522.000000,531
523.000000,568.166
524.000000,640.433
525.000000,583.032
526.000000,510.234
527.000000,489.822
528.000000,488.171
529.000000,479.263
530.000000,430.829
531.000000,441.035
532.000000,456.373
533.000000,434.192
534.000000,423.868
535.000000,437.318
536.000000,465.222
537.000000,449.412
538.000000,396.259
539.000000,359.211
540.000000,350.126
541.000000,359.919
542.000000,365.936
543.000000,348.592
544.000000,355.199
