$ DWR N2 - Assuming % saturation and wtemp at DWQI,,
See 'DWR-estimateTDG-BC.xlsm.',,
JDAY,N2,O2
1.000000,19.11546539,11.76140566
1.041670,19.11517899,11.76140566
1.083330,19.11290565,11.76141318
1.125000,19.12088719,11.76142285
1.166670,19.12500783,11.76143037
1.208330,19.10803877,11.74966361
1.250000,19.13380081,11.76777669
1.291670,19.11548815,11.75597673
1.333330,19.07922091,11.73237249
1.375000,19.07338863,11.73238214
1.416670,19.06640662,11.73239178
1.458330,19.08462506,11.74419929
1.500000,19.10232392,11.75600465
1.541670,19.09776381,11.75601109
1.583330,19.09869425,11.75601754
1.625000,19.09514626,11.75601968
1.666670,19.1321035,11.77962292
1.708330,19.11843094,11.76781217
1.750000,19.12155203,11.76781002
1.791670,19.1185211,11.76780894
1.833330,19.10460118,11.7560025
1.875000,19.09808977,11.74970225
1.916670,19.0794774,11.73793865
1.958330,19.08066844,11.73794187
2.000000,19.06421694,11.72616325
2.041670,19.08230309,11.73793222
2.083330,19.0832641,11.73793222
2.125000,19.03821199,11.70818242
2.166670,19.05885243,11.71992476
2.208330,19.05854051,11.7199269
2.250000,19.05830204,11.71991941
2.291670,19.0544582,11.7199087
2.333330,19.03546492,11.70816744
2.375000,19.03473561,11.70816316
2.416670,19.02986012,11.70815247
2.458330,19.04901069,11.71987123
2.500000,19.00526921,11.6902041
2.541670,19.01956839,11.70191666
2.583330,19.05609326,11.72534285
2.625000,19.01506071,11.69573168
2.666670,19.01459009,11.6957274
2.708330,18.97506188,11.67234972
2.750000,18.913915,11.63127962
2.791670,18.91951326,11.63127431
2.833330,18.88191692,11.6079556
2.875000,18.84173176,11.58463375
2.916670,18.82326646,11.5729665
2.958330,18.80944826,11.56130667
3.000000,18.79127376,11.54965002
3.041670,18.79036566,11.54964263
3.083330,18.75221794,11.52632514
3.125000,18.75246557,11.52631461
3.166670,18.75088584,11.52629566
3.208330,18.74868796,11.52628934
3.250000,18.72950718,11.5146338
3.291670,18.72927785,11.51462959
3.333330,18.70828651,11.50297091
3.375000,18.6879483,11.49131328
3.416670,18.68624044,11.49130593
3.458330,18.66451858,11.47964307
3.500000,18.68185039,11.49128598
3.541670,18.68077823,11.49127864
3.583330,18.67893462,11.49127444
3.625000,18.67975385,11.49126919
3.666670,18.65184466,11.47960532
3.708330,18.61450604,11.45628496
3.750000,18.61720843,11.45627659
3.791670,18.55999444,11.42131652
3.833330,18.56060302,11.42132069
3.875000,18.56331648,11.42680442
3.916670,18.56251634,11.42680337
3.958330,18.58335313,11.43848827
4.000000,18.58471324,11.43848304
4.041670,18.58292273,11.43846632
4.083330,18.56523026,11.42677101
4.125000,18.58110351,11.43845169
4.166670,18.58408128,11.43845378
4.208330,18.58460075,11.43845378
4.250000,18.64423388,11.47912383
4.291670,18.62624227,11.46741358
4.333330,18.63043395,11.46741672
4.375000,18.62934481,11.4674272
4.416670,18.63191038,11.46743034
4.458330,18.64757072,11.47914375
4.500000,18.68355288,11.50257898
4.541670,18.68507246,11.50257688
4.583330,18.67761141,11.50257478
4.625000,18.65764704,11.49086766
4.666670,18.64864753,11.49086976
4.708330,18.63126248,11.47915634
4.750000,18.61040128,11.46744082
4.791670,18.6153648,11.46744815
4.833330,18.5788889,11.44402233
4.875000,18.55668267,11.43231204
4.916670,18.55860601,11.4323089
4.958330,18.51901057,11.40888204
5.000000,18.519935,11.40887996
5.041670,18.50120598,11.39716757
5.083330,18.49978388,11.39716965
5.125000,18.51388058,11.40888517
5.166670,18.53341343,11.4205986
5.208330,18.53266303,11.4205986
5.250000,18.53423659,11.42060069
5.291670,18.53327225,11.42060382
5.333330,18.53319904,11.42060486
5.375000,18.53222405,11.42060695
5.416670,18.53055088,11.42060799
5.458330,18.52970605,11.42060903
5.500000,18.56537613,11.44403906
5.541670,18.56306385,11.44403802
5.583330,18.56201555,11.44403906
5.625000,18.51780218,11.41514351
5.666670,18.51509384,11.41514142
5.708330,18.4957173,11.4034586
5.750000,18.45738676,11.38008981
5.791670,18.4388674,11.36840802
5.833330,18.41949336,11.35672622
5.875000,18.42078541,11.36204285
5.916670,18.38237362,11.33861492
5.958330,18.36251874,11.3268994
6.000000,18.36233566,11.3268932
6.041670,18.36146247,11.32689009
6.083330,18.38124643,11.33861181
6.125000,18.3434466,11.31518803
6.166670,18.36148611,11.32690458
6.208330,18.34074508,11.3151901
6.250000,18.34249802,11.31519113
6.291670,18.32149613,11.30347768
6.333330,18.2844923,11.28005285
6.375000,18.24190292,11.25157443
6.416670,18.67740583,11.52030468
6.458330,18.78948972,11.59040901
6.500000,18.88354038,11.64882947
6.541670,18.88021698,11.64883054
6.583330,18.88021872,11.6488316
6.625000,18.84443918,11.62546384
6.666670,18.86636145,11.64317832
6.708330,18.80960562,11.60803582
6.750000,18.7889264,11.59632448
6.791670,18.79137377,11.59632131
6.833330,18.79221676,11.59632342
6.875000,18.81138489,11.60803688
6.916670,18.8051167,11.60803688
6.958330,18.81184736,11.60803582
7.000000,18.82640308,11.61974928
7.041670,18.83027228,11.61974928
7.083330,18.82563626,11.61974928
7.125000,18.82735613,11.61974928
7.166670,18.84775499,11.63146274
7.208330,18.86349311,11.64317513
7.250000,18.86339326,11.643173
7.291670,18.86766854,11.64317194
7.333330,18.88457234,11.65488539
7.375000,18.86329508,11.64317194
7.416670,18.87243073,11.64882841
7.458330,18.96798605,11.70724674
7.500000,18.98276656,11.71270659
7.625000,18.95241965,11.69554577
7.666670,18.935534,11.68385657
7.708330,18.91610656,11.67216951
7.750000,18.91463373,11.67216738
7.791670,18.89986224,11.6604782
7.833330,18.91520748,11.67215778
7.875000,18.91520052,11.67215352
7.916670,18.93460894,11.68382775
7.958330,18.93894573,11.68382561
8.000000,18.89780308,11.66045583
8.041670,18.9026687,11.66045583
8.083330,18.89896045,11.66045477
8.125000,18.87847945,11.64877201
8.166670,18.87525987,11.63708819
8.208330,18.8747354,11.63708712
8.250000,18.90482458,11.64877307
8.291670,18.95131616,11.67825895
8.333330,18.91059525,11.65483428
8.375000,18.95780095,11.67826215
8.416670,19.00687864,11.71340343
8.458330,19.07832349,11.74854579
8.500000,19.0536138,11.73056735
8.541670,19.09686524,11.76026027
8.583330,19.10719993,11.7719769
8.625000,19.08930759,11.76026671
8.666670,19.04452459,11.73684418
8.708330,18.98617332,11.70170499
8.750000,18.98624558,11.70789791
8.791670,18.98729285,11.70789898
8.833330,18.97512265,11.70790326
8.875000,18.97834646,11.70790754
8.916670,18.95897077,11.69616654
8.958330,18.9762791,11.70791395
9.000000,18.97680507,11.70791609
9.041670,19.00489171,11.72589866
9.083330,19.00297078,11.7259008
9.125000,19.00297776,11.72590508
9.166670,19.00264712,11.72590937
9.208330,19.00290741,11.72591365
9.250000,19.00341952,11.72591794
9.291670,19.02523452,11.74396754
9.333330,19.02515726,11.74397184
9.375000,19.00391959,11.73217207
9.416670,19.04670885,11.75577912
9.458330,19.14634311,11.81479731
9.500000,19.15053889,11.80834195
9.541670,19.16887477,11.82011714
9.583330,19.19305056,11.83189124
9.625000,19.17092478,11.82012145
9.666670,19.15787069,11.81480595
9.708330,19.0990642,11.77939801
9.750000,19.04413221,11.74399437
9.791670,19.06493679,11.7621222
9.833330,19.07709048,11.76212435
9.875000,19.06132543,11.7502923
9.916670,19.04374385,11.73846561
9.958330,19.06257149,11.75029766
10.000000,19.04757456,11.73846668
10.041670,19.0530169,11.73846882
10.083330,19.0378125,11.72663569
10.125000,19.01802304,11.71479934
10.166670,19.01755053,11.71479934
10.208330,19.01839375,11.71480256
10.250000,19.00353226,11.70297263
10.291670,18.983487,11.69114376
10.333330,18.98496145,11.6911459
10.375000,18.96666598,11.67931596
10.416670,19.00619421,11.70298332
10.458330,19.08026854,11.75032021
10.500000,19.0966415,11.75583389
10.541670,19.13318827,11.77944106
10.583330,19.13019787,11.77944644
10.625000,19.11485559,11.77399512
10.666670,19.03499894,11.72666461
10.708330,18.98327363,11.69116512
10.750000,19.00832587,11.70918375
10.791670,18.98878515,11.69732248
10.833330,18.99566447,11.69732569
10.875000,18.97476121,11.68546868
10.916670,18.97730675,11.68547188
10.958330,18.97954534,11.68547508
11.000000,18.99978888,11.69734385
11.041670,19.01802204,11.70921477
11.083330,18.68649594,11.50754471
11.125000,18.33983368,11.2940109
11.166670,18.24327831,11.23470491
11.208330,18.22768157,11.22285066
11.250000,18.24975396,11.23970494
11.291670,18.27170942,11.251606
11.333330,18.2704035,11.25161319
11.375000,18.30740622,11.28048921
11.416670,18.30436735,11.28049436
11.458330,18.30137971,11.28050157
11.500000,18.2996275,11.28050467
11.541670,18.29863302,11.28050054
11.583330,18.29247546,11.28050054
11.625000,18.29000629,11.28050054
11.666670,18.29183187,11.28050261
11.708330,18.28627547,11.28049951
11.750000,18.288756,11.28049436
11.791670,18.28875265,11.2804923
11.833330,18.28739245,11.28049642
11.875000,18.29016323,11.28050261
11.916670,18.28908475,11.28050467
11.958330,18.28724656,11.28050467
12.000000,18.28682184,11.2805057
12.041670,18.28783073,11.2805057
12.083330,18.28682016,11.28050467
12.125000,18.28298607,11.28050364
12.166670,18.28024528,11.28050054
12.208330,18.27965898,11.28049745
12.250000,18.27560022,11.28049745
12.291670,18.27311925,11.28049436
12.333330,18.27241319,11.28048612
12.375000,18.27017003,11.28048303
12.416670,18.26965105,11.28048303
12.458330,18.30845633,11.30432253
12.500000,18.26107839,11.26722625
12.541670,18.22076883,11.24003747
12.583330,18.22266384,11.24158606
12.625000,18.18201023,11.21791546
12.666670,18.1419562,11.19424488
12.708330,18.19869836,11.22974152
12.750000,18.12041013,11.18240858
12.791670,18.04004528,11.13507563
12.833330,17.99604984,11.11139901
12.875000,17.99125128,11.11138378
12.916670,17.98803087,11.11137363
12.958330,18.08187758,11.17054065
13.000000,18.29105041,11.2955605
13.041670,18.2518853,11.27195946
13.083330,18.17430365,11.22474091
13.125000,18.13554136,11.20112245
13.166670,18.13472801,11.20110505
13.208330,18.15583821,11.21290914
13.250000,18.15445224,11.21291016
13.291670,18.17268506,11.2247122
13.333330,18.07721563,11.16568975
13.375000,17.99980128,11.11846636
13.416670,17.94043509,11.08304508
13.458330,17.97693699,11.10664302
13.500000,18.01267006,11.13023483
13.541670,18.04936199,11.15381944
13.583330,18.02770147,11.14199305
13.625000,18.04771899,11.15378378
13.666670,18.10667625,11.18918035
13.708330,18.10757626,11.18916399
13.750000,18.10699931,11.18915071
13.791670,18.10771091,11.18913333
13.833330,18.12743522,11.20092291
13.875000,18.0868034,11.17730288
13.916670,18.08770493,11.17728552
13.958330,18.18326464,11.23627917
14.000000,18.27922386,11.29528808
14.041670,18.31561739,11.31888129
14.083330,18.31639593,11.31883786
14.125000,18.31876344,11.31880167
14.166670,18.31724463,11.31878305
14.208330,18.31907252,11.31876444
14.250000,18.30005067,11.30695454
14.291670,18.23803899,11.27152388
14.333330,17.99294619,11.11804992
14.375000,17.89313468,11.05900054
14.416670,17.85298465,11.03534904
14.458330,17.88912874,11.05893083
14.500000,17.88853416,11.05892073
14.541670,17.90691452,11.07070298
14.583330,17.9090897,11.07067769
14.625000,17.89124243,11.05876413
14.666670,17.91018577,11.07053206
14.708330,17.90967958,11.07051284
14.750000,17.94945062,11.09873433
14.791670,17.94755802,11.09844841
14.833330,17.92700469,11.08651003
14.875000,17.91198528,11.07492902
14.916670,17.8936836,11.0631504
14.958330,17.9076626,11.07496342
15.000000,17.91154515,11.07494723
15.041670,17.89114058,11.06308975
15.083330,17.87773258,11.0512394
15.125000,17.89119252,11.06306348
15.166670,17.90984931,11.07489361
15.208330,17.89106319,11.06304225
15.250000,17.89134727,11.06304225
15.291670,17.8928679,11.06299374
15.333330,17.89358828,11.06274916
15.375000,17.89247972,11.06287044
15.416670,17.88926828,11.06299374
15.458330,17.92433292,11.08671968
15.500000,17.94123749,11.09393086
15.541670,17.95497422,11.10573799
15.583330,17.97301785,11.117537
15.625000,17.9802029,11.11753395
15.666670,17.95174862,11.10573292
15.708330,17.94085955,11.09394302
15.750000,18.00148928,11.13407776
15.791670,18.02286921,11.14591299
15.833330,18.06230175,11.16958143
15.875000,18.05929497,11.16958755
15.916670,18.06259888,11.16958653
15.958330,18.09756286,11.19325602
16.000000,18.12009767,11.2050831
16.041670,18.09913057,11.19325602
16.083330,18.10154864,11.19325602
16.125000,18.11747013,11.20508208
