$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
40544.00,974.20
40545.00,974.20
40546.00,974.20
40547.00,974.20
40548.00,974.20
40549.00,974.20
40550.00,974.20
40551.00,974.20
40552.00,974.20
40553.00,974.20
40554.00,974.20
40555.00,976.91
40556.00,976.79
40557.00,976.89
40558.00,977.10
40559.00,977.70
40560.00,977.70
40561.00,980.82
40562.00,981.05
40563.00,981.73
40564.00,983.56
40565.00,983.50
40566.00,983.50
40567.00,983.50
40568.00,983.43
40569.00,983.30
40570.00,983.32
40571.00,981.70
40572.00,981.70
40573.00,981.70
40574.00,981.70
40575.00,981.70
40576.00,981.70
40577.00,981.70
40578.00,981.70
40579.00,981.74
40580.00,981.80
40581.00,981.77
40582.00,981.82
40583.00,981.80
40584.00,981.80
40585.00,981.80
40586.00,981.80
40587.00,981.80
40588.00,981.80
40589.00,981.80
40590.00,981.85
40591.00,981.87
40592.00,981.90
40593.00,981.90
40594.00,978.61
40595.00,978.68
40596.00,978.98
40597.00,978.79
40598.00,978.58
40599.00,978.20
40600.00,978.67
40601.00,977.80
40602.00,977.77
40603.00,980.57
40604.00,981.80
40605.00,981.73
40606.00,981.72
40607.00,982.80
40608.00,982.77
40609.00,982.60
40610.00,982.60
40611.00,982.60
40612.00,982.67
40613.00,983.36
40614.00,983.47
40615.00,983.51
40615.96,983.42
40616.00,983.42
40616.96,983.35
40617.00,983.35
40617.96,983.33
40618.00,983.33
40618.96,983.50
40619.00,983.50
40619.96,983.50
40620.00,983.50
40620.96,983.50
40621.00,983.50
40621.96,983.90
40622.00,983.90
40622.96,983.87
40623.00,983.87
40623.96,983.32
40624.00,983.32
40624.96,984.00
40625.00,984.00
40625.96,983.84
40626.00,983.84
40626.96,984.34
40627.00,984.34
40627.96,984.54
40628.00,984.54
40628.96,983.48
40629.00,983.48
40629.96,983.50
40630.00,983.50
40630.96,983.61
40631.00,983.61
40631.96,983.61
40632.00,983.61
40632.96,983.60
40633.00,983.60
40633.96,985.30
40634.00,985.30
40634.96,985.36
40635.00,985.36
40635.96,985.56
40636.00,985.56
40636.96,985.80
40637.00,985.80
40637.96,985.89
40638.00,985.89
40638.96,986.72
40639.00,986.72
40639.96,987.20
40640.00,987.20
40640.96,987.25
40641.00,987.25
40641.96,987.75
40642.00,987.75
40642.96,987.90
40643.00,987.90
40643.96,987.90
40644.00,987.90
40644.96,987.95
40645.00,987.95
40645.96,987.93
40646.00,987.93
40646.96,986.10
40647.00,986.10
40647.96,986.31
40648.00,986.31
40648.96,981.44
40649.00,981.44
40649.96,977.77
40650.00,977.77
40650.96,977.72
40651.00,977.72
40651.96,977.68
40652.00,977.68
40652.96,977.52
40653.00,977.52
40653.96,979.83
40654.00,979.83
