$ Bathymetry for Dworshak - Originally developed by Mike Schneider (undocumented); Adjusted as needed to NAVD88 and Res-Sim Storage-Elevation table provided by Evan Heisman in Columbia.dss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,,,
DLX,1948.3,1948.3,1912.3,1883.7,2028.4,2269.5,2038.2,2047.6,2308.9,2166.7,2560,1914.3,1674.9,1301.1,1502.1,1731,1545.3,1234.3,1259.1,1622.8,1768.4,1779.4,1999.8,1721.2,2223.6,2217.4,3033.4,2953.4,2920.8,3812.1,2044.7,1909.4,1888.8,2022.8,3075.2,1724.3,2050,2185.1,1225.4,1548.1,1939.7,2500,1350,700,600,9.9,9.9,2037.6,1829.2,1797.7,1498.1,2425.9,1170.1,1616.4,1456,1645.9,1643.5,1232.1,1362.5,9.9,9.9,5522.1,3950.6,9.9,,,,,,,,,
ELWS,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,,,,,,,,,
PHIO,2.237,2.4435,1.309,2.0944,1.6581,1.2217,1.7453,1.5708,1.3963,0.8727,0.733,1.1345,1.0472,0.8727,0.74,0.6981,0.1745,0.535,6.0214,0.3491,0.903,0.6981,0.2618,5.4105,6.1087,0.404,0.948,0.5236,1.309,1.696,0.8727,1.907,1.946,1.7453,1.5708,0.7854,5.5851,5.793,5.5851,0.0873,1.5708,0.6981,5.5851,0.0873,0.4363,0,1.689,1.8,1.317,1.33,0.957,1.022,0.5236,1.3963,0.4363,0.6981,5.9341,0.1745,6.1087,0,0.745,5.9341,0.7854,0,,,,,,,,,
FRICT,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,4745281373,3847067.948,495.5258,1625.7409,1,1
1,0,68.804,79.413,118.965,194.67,331.145,285.722,447.947,377.598,602.447,505.215,372.448,468.032,449.904,588.233,414.06,414.06,497.078,439.089,430.643,507.996,581.641,557.024,557.024,680.83,1661.287,978.5,927,730.991,777.135,777.135,724.09,782.697,1313.25,1442,1526.666,1519.25,1493.5,1493.5,1545.515,1904.573,1100,1600,3000,3000,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,2,79136868.08,4745281373,3847067.948,494.5258,1622.4601,1,1
1,0,68.804,79.413,118.965,194.67,331.145,285.722,447.947,377.598,602.447,505.215,372.448,468.032,449.904,588.233,414.06,414.06,497.078,439.089,430.643,507.996,581.641,557.024,557.024,680.83,1661.287,978.5,927,730.991,777.135,777.135,724.09,782.697,1313.25,1442,1526.666,1519.25,1493.5,1493.5,1545.515,1904.573,1067,1552,2910,2910,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,3,78872568.08,4666144504,3782910.549,493.5258,1619.1793,1,1.05
1,0,68.7352,79.3336,118.846,194.4753,330.8139,285.4363,447.4991,377.2204,601.8446,504.7098,372.0756,467.564,449.4541,587.6448,413.6459,413.6459,496.5809,438.6499,430.2124,507.488,581.0594,556.467,556.467,680.1492,1659.6257,977.5215,926.073,730.26,776.3579,776.3579,723.3659,781.9143,1311.9368,1440.558,1525.1393,1517.7308,1492.0065,1492.0065,1543.9695,1902.6684,1034.99,1505.44,2822.7,2822.7,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,4,78554907.49,4587271936,3718967.423,492.5258,1615.8984,1,1.05
1,0,68.7352,79.3336,118.846,194.4753,330.8139,285.4363,447.4991,377.2204,601.8446,504.7098,372.0756,467.564,449.4541,587.6448,413.6459,413.6459,496.5809,438.6499,430.2124,507.488,581.0594,556.467,556.467,680.1492,1659.6257,977.5215,926.073,730.26,776.3579,776.3579,723.3659,781.9143,1311.9368,1440.558,1525.1393,1517.7308,1492.0065,1492.0065,1543.9695,1902.6684,1003.9403,1460.2768,2738.019,2738.019,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,5,78306227.62,4508717029,3655281.828,491.5258,1612.6176,1,1.05
