$ Bathymetry for Dworshak - Originally developed by Mike Schneider (undocumented); Adjusted as needed to NAVD88 and Res-Sim Storage-Elevation table provided by Evan Heisman in Columbia.dss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,
DLX,1948.3,1948.3,1912.3,1883.7,2028.4,2269.5,2038.2,2047.6,2308.9,2166.7,2560,1914.3,1674.9,1301.1,1502.1,1731,1545.3,1234.3,1259.1,1622.8,1768.4,1779.4,1999.8,1721.2,2223.6,2217.4,3033.4,2953.4,2920.8,3812.1,2044.7,1909.4,1888.8,2022.8,3075.2,1724.3,2050,2185.1,1225.4,1548.1,1939.7,2500,1350,700,600,9.9,9.9,2037.6,1829.2,1797.7,1498.1,2425.9,1170.1,1616.4,1456,1645.9,1643.5,1232.1,1362.5,9.9,9.9,5522.1,3950.6,9.9,,,,,,,
ELWS,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,,,,,,,
PHIO,2.237,2.443460953,1.308996939,2.094395102,1.658062789,1.221730476,1.745329252,1.584758961,1.396263402,0.872664626,0.733038286,1.134464014,1.047197551,0.872664626,0.74,0.698131701,0.174532925,0.535,6.021385919,0.34906585,0.903,0.698131701,0.261799388,5.410520681,6.108652382,0.404,0.948,0.523598776,1.308996939,1.696,0.872664626,1.907,1.946,1.745329252,1.584758961,0.785398163,5.585053606,5.793,5.585053606,0.087266463,1.584758961,0.698131701,5.585053606,0.087266463,0.436332313,0,1.689,1.8,1.317,1.33,0.957,1.022,0.523598776,1.396263402,0.436332313,0.698131701,5.934119457,0.174532925,6.108652382,0,0.745,5.934119457,0.785398163,0,,,,,,,
FRICT,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,,,,,,,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,,,,,BR3,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,4676642474,3791421.404,495.52584,1625.740945
1,0,68.804,79.413,118.965,194.67,331.145,285.722,447.947,377.598,602.447,505.215,372.448,468.032,449.904,588.233,414.06,414.06,497.078,439.089,430.643,507.996,581.641,557.024,557.024,680.83,1661.287,978.5,927,730.991,777.135,777.135,724.09,782.697,1313.25,1442,1526.666,1519.25,1493.5,1493.5,1545.515,1904.573,1100,1600,3000,3000,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,2,70099582.33,4676642474,3791421.404,494.52584,1622.460105
1,0,68.804,79.413,118.965,194.67,331.145,285.722,447.947,377.598,602.447,505.215,372.448,468.032,449.904,588.233,414.06,414.06,497.078,439.089,430.643,507.996,581.641,557.024,557.024,680.83,1661.287,978.5,927,730.991,777.135,777.135,724.09,782.697,1313.25,1442,1526.666,1519.25,1493.5,1493.5,1545.515,1904.573,1067,1552,2910,2910,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,3,69835282.33,4606542892,3734590.663,493.52584,1619.179265
1,0,68.735196,79.333587,118.846035,194.47533,330.813855,285.436278,447.499053,377.220402,601.844553,504.709785,372.075552,467.563968,449.454096,587.644767,413.64594,413.64594,496.580922,438.649911,430.212357,507.488004,581.059359,556.466976,556.466976,680.14917,1659.625713,977.5215,926.073,730.260009,776.357865,776.357865,723.36591,781.914303,1311.93675,1440.558,1525.139334,1517.73075,1492.0065,1492.0065,1543.969485,1902.668427,1034.99,1505.44,2822.7,2822.7,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,4,69517621.74,4536707609,3677974.194,492.52584,1615.898425
1,0,68.735196,79.333587,118.846035,194.47533,330.813855,285.436278,447.499053,377.220402,601.844553,504.709785,372.075552,467.563968,449.454096,587.644767,413.64594,413.64594,496.580922,438.649911,430.212357,507.488004,581.059359,556.466976,556.466976,680.14917,1659.625713,977.5215,926.073,730.260009,776.357865,776.357865,723.36591,781.914303,1311.93675,1440.558,1525.139334,1517.73075,1492.0065,1492.0065,1543.969485,1902.668427,1003.9403,1460.2768,2738.019,2738.019,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,5,69268941.87,4467189987,3621615.257,491.52584,1612.617585
