SEGMENT#, BRANCH#, XC, YC, UTMZONE
 19,  1,   451981.99855,  5424092.40292, 11
 18,  1,   452440.39927,  5424278.58210, 11
 17,  1,   452918.40941,  5424424.24912, 11
 16,  1,   453369.86337,  5424637.22420, 11
 15,  1,   453800.40818,  5424892.85152, 11
 14,  1,   454191.62505,  5425200.12681, 11
 13,  1,   454570.20046,  5425526.04777, 11
 12,  1,   454996.28571,  5425784.82477, 11
 11,  1,   455441.29520,  5426014.12901, 11
 10,  1,   455870.26141,  5426271.72860, 11
  9,  1,   456317.97891,  5426485.68428, 11
  8,  1,   456744.47739,  5426727.50612, 11
  7,  1,   456967.52623,  5427140.69121, 11
  6,  1,   457024.96998,  5427637.99806, 11
  5,  1,   457089.83494,  5428134.14532, 11
  4,  1,   457172.08655,  5428628.10785, 11
  3,  1,   457323.13538,  5429099.65285, 11
  2,  1,   457567.29438,  5429536.15091, 11
 31,  2,   446222.05632,  5420924.89396, 11
 30,  2,   446521.88211,  5421157.97306, 11
 29,  2,   447011.10699,  5421219.84248, 11
 28,  2,   447469.88776,  5421414.24266, 11
 27,  2,   447938.91508,  5421512.15293, 11
 26,  2,   448395.06871,  5421348.63391, 11
 25,  2,   448844.38461,  5421269.55992, 11
 24,  2,   449248.23878,  5421523.20432, 11
 23,  2,   449533.95255,  5421931.99823, 11
 22,  2,   449789.23692,  5422362.74648, 11
 43,  3,   442540.29671,  5418665.03395, 11
 42,  3,   442782.49724,  5419103.15811, 11
 41,  3,   443045.63282,  5419527.56630, 11
 40,  3,   443396.81286,  5419875.52898, 11
 39,  3,   443826.93113,  5420128.00292, 11
 38,  3,   444265.41636,  5420368.00208, 11
 37,  3,   444709.90001,  5420594.23006, 11
 36,  3,   445163.17868,  5420805.30165, 11
 35,  3,   445541.44802,  5421118.00773, 11
 34,  3,   445869.56048,  5421495.90418, 11
 55,  4,   439163.41713,  5415148.18814, 11
 54,  4,   439638.26575,  5415300.71226, 11
 53,  4,   440055.06783,  5415537.03630, 11
 52,  4,   440360.56447,  5415930.66433, 11
 51,  4,   440637.00294,  5416348.03186, 11
 50,  4,   440947.41452,  5416739.83991, 11
 49,  4,   441295.73931,  5417099.06045, 11
 48,  4,   441660.15789,  5417442.51847, 11
 47,  4,   442036.20729,  5417772.86951, 11
 46,  4,   442423.75584,  5418089.99793, 11
 67,  5,   435285.13330,  5412526.14181, 11
 66,  5,   435689.21068,  5412821.25371, 11
 65,  5,   436127.69689,  5413058.41193, 11
 64,  5,   436580.23710,  5413271.89946, 11
 63,  5,   437001.44189,  5413539.38712, 11
 62,  5,   437322.88086,  5413909.59752, 11
 61,  5,   437565.15407,  5414347.85316, 11
 60,  5,   437902.38479,  5414692.17100, 11
 59,  5,   438367.82084,  5414849.41146, 11
 58,  5,   438854.45626,  5414958.63955, 11
 79,  6,   432250.97149,  5409015.66995, 11
 78,  6,   432652.75788,  5409312.20044, 11
 77,  6,   432996.02555,  5409673.36319, 11
 76,  6,   433256.18967,  5410097.70162, 11
 75,  6,   433446.33868,  5410560.28949, 11
 74,  6,   433554.83564,  5411045.47522, 11
 73,  6,   433599.84187,  5411544.19352, 11
 72,  6,   433679.36848,  5412036.98617, 11
 71,  6,   433898.26500,  5412473.30305, 11
 70,  6,   434261.31140,  5412812.05620, 11
 91,  7,   428550.60453,  5407295.64472, 11
 90,  7,   428968.92637,  5407570.19236, 11
 89,  7,   429403.21902,  5407819.31117, 11
 88,  7,   429859.66699,  5408020.85117, 11
 87,  7,   430346.26278,  5408084.86158, 11
 86,  7,   430839.88529,  5408010.65991, 11
 85,  7,   431322.23293,  5407877.57977, 11
 84,  7,   431805.13724,  5407746.94080, 11
 83,  7,   432260.43766,  5407557.54615, 11
 82,  7,   432718.08638,  5407465.15551, 11
103,  8,   426036.01951,  5404370.33657, 11
102,  8,   426470.98073,  5404616.95673, 11
101,  8,   426816.78821,  5404963.03969, 11
100,  8,   427006.54539,  5405418.18914, 11
 99,  8,   427073.70085,  5405912.61129, 11
 98,  8,   427075.40524,  5406412.83492, 11
 97,  8,   427018.98481,  5406909.18213, 11
 96,  8,   426920.39907,  5407400.09456, 11
 95,  8,   426873.68309,  5407895.11809, 11
 94,  8,   427025.42455,  5408349.20779, 11
115,  9,   423001.13472,  5400896.13946, 11
114,  9,   422927.22235,  5401391.26656, 11
113,  9,   422921.45330,  5401888.88831, 11
112,  9,   423034.65427,  5402372.35695, 11
111,  9,   423284.16090,  5402798.19648, 11
110,  9,   423610.56337,  5403177.94235, 11
109,  9,   423957.01404,  5403538.82328, 11
108,  9,   424319.71533,  5403884.10340, 11
107,  9,   424724.21092,  5404170.31712, 11
106,  9,   425171.62538,  5404395.22735, 11
127, 10,   423487.68588,  5396475.28446, 11
126, 10,   423307.50357,  5396942.34785, 11
125, 10,   423108.74810,  5397401.92421, 11
124, 10,   422882.99561,  5397848.35329, 11
123, 10,   422637.14021,  5398284.61664, 11
122, 10,   422406.84265,  5398728.94371, 11
121, 10,   422201.23421,  5399185.44722, 11
120, 10,   421988.88919,  5399638.62831, 11
119, 10,   421736.89931,  5400070.50082, 11
118, 10,   421500.77729,  5400509.80846, 11
139, 11,   423903.85426,  5392158.47770, 11
138, 11,   424388.27575,  5392285.16622, 11
137, 11,   424876.27936,  5392397.26726, 11
136, 11,   425357.93210,  5392530.98159, 11
135, 11,   425827.19189,  5392705.36374, 11
134, 11,   426270.33326,  5392933.70538, 11
133, 11,   426598.86263,  5393289.91187, 11
132, 11,   426751.63980,  5393758.77001, 11
131, 11,   426778.27172,  5394256.95237, 11
130, 11,   426734.23504,  5394755.02218, 11
192, 12,   413826.20004,  5373892.93420, 11
191, 12,   413859.22145,  5374881.01620, 11
190, 12,   413592.21626,  5375833.95795, 11
189, 12,   413158.63970,  5376735.70414, 11
188, 12,   412752.79415,  5377648.95267, 11
187, 12,   412364.94434,  5378570.96496, 11
