$Lake Roosevelt Model year 2011-2015,,,
Constituent input file for Columbia River (usbc of branch 1),,,
jday,N2,DO,
1,20.2,12.3,
2,20.3,12.3,
3,20.2,12.3,
4,20.2,12.3,
5,20.2,12.3,
6,20.9,12.3,
7,20.4,12.3,
8,20.2,12.3,
9,20,12.3,
10,20.1,12.3,
11,20.4,12.3,
12,21,12.28,
13,20.9,12.26,
14,21,12.24,
15,20.9,12.22,
16,20.8,12.2,
17,20.9,12.18,
18,22,12.16,
19,21.3,12.14,
20,22,12.12,
21,23,12.1,
22,23.4,12.08,
23,22.5,12.06,
24,22.2,12.04,
25,21.9,12.02,
26,21.6,12,
27,21.8,11.98,
28,21.4,11.96,
29,21.5,11.94,
30,21.4,11.92,
31,21.4,11.9,
32,21.2,11.88,
33,21.1,11.86,
34,21.2,11.84,
35,21.3,11.82,
36,21.2,11.8,
37,21.2,11.78,
38,21.5,11.76,
39,21.2,11.74,
40,22.8,11.72,
41,22.3,11.7,
42,21.8,11.68,
43,22.2,11.66,
44,21.9,11.64,
45,22.3,11.62,
46,22.5,11.6,
47,22.4,11.58,
48,22.2,11.56,
49,22.9,11.54,
50,21.5,11.52,
51,21.6,11.5,
52,22.1,11.48,
53,22.4,11.46,
54,22.3,11.44,
55,21.9,11.42,
56,22.2,11.4,
57,22.1,11.38,
58,22.3,11.36,
59,22.7,11.34,
60,22.1,11.32,
61,22.3,11.3,
62,22.2,11.28,
63,22.1,11.26,
64,22.5,11.24,
65,22.8,11.22,
66,22.7,11.2,
67,22.5,11.18,
68,22.5,11.16,
69,22.7,11.14,
70,22.4,11.12,
71,22.5,11.1,
72,22.2,11.08,
73,22,11.06,
74,22.3,11.04,
75,22.4,11.02,
76,22,11,
77,22.2,10.98,
78,22.2,10.96,
79,22.4,10.94,
80,22.2,10.92,
81,22,10.9,
82,22,10.96,
83,22,11.02,
84,21.8,11.07,
85,21.9,11.13,
86,21.7,11.19,
87,21.6,11.25,
88,21.6,11.3,
89,21.5,11.36,
90,21.5,11.42,
91,22,11.48,
92,21.7,11.53,
93,22.3,11.59,
94,23.8,11.65,
95,23.3,11.71,
96,23.4,11.77,
97,24.1,11.82,
98,24.3,11.88,
99,23.6,11.94,
100,23.3,12,
101,23,12.05,
102,22.9,12.11,
103,23,12.17,
104,22.8,12.23,
105,22,12.29,
106,22.3,12.34,
107,22.1,12.4,
108,22.3,12.46,
109,22.1,12.52,
110,22.2,12.57,
111,22.4,12.63,
112,22.5,12.69,
113,22.5,12.75,
114,22,12.8,
115,21.7,12.86,
116,21.6,12.92,
117,21.5,12.89,
118,20.9,12.87,
119,21,12.84,
120,20.9,12.82,
121,21.1,12.79,
122,21.4,12.77,
123,21.9,12.74,
124,21.5,12.71,
125,21.7,12.69,
126,21.6,12.66,
127,21.3,12.64,
128,21.6,12.61,
129,22.2,12.59,
130,22.9,12.56,
131,23,12.53,
132,22.3,12.51,
133,22.6,12.48,
134,23,12.46,
135,23.7,12.43,
136,22.9,12.41,
137,23.3,12.38,
138,23.6,12.35,
139,23.7,12.33,
140,23.5,12.3,
141,23.6,12.28,
142,23.2,12.25,
143,23.6,12.23,
144,23.4,12.2,
145,23.7,12.18,
146,24,12.16,
147,24.1,12.14,
148,24.5,12.12,
149,24.4,12.1,
150,24.8,12.08,
151,24,12.06,
152,24,12.04,
153,23.8,12.02,
154,23.8,12,
155,23.9,11.98,
156,23.9,11.96,
157,23.8,11.94,
158,23.6,11.92,
159,23.5,11.9,
160,24,11.88,
161,23.9,11.86,
162,23.9,11.84,
163,24.1,11.82,
164,23.9,11.8,
165,24.2,11.78,
166,24.3,11.76,
167,24.3,11.74,
168,24.2,11.72,
169,24.2,11.7,
170,24.3,11.68,
171,24.2,11.66,
172,24.1,11.64,
173,24,11.62,
174,23.7,11.6,
175,23.6,11.58,
176,23.6,11.56,
177,23.5,11.54,
178,24,11.52,
179,23.4,11.5,
180,23.1,11.45,
181,23.4,11.4,
182,23,11.35,
183,22.7,11.3,
184,22.4,11.25,
185,22.4,11.2,
186,22.1,11.15,
187,21.9,11.1,
188,22,11.05,
189,21.7,11,
190,21.7,10.95,
191,21.3,10.9,
192,20.9,10.85,
193,20.9,10.8,
194,20.7,10.75,
195,20.3,10.7,
196,20.6,10.65,
197,20.2,10.6,
198,20.2,10.55,
199,20,10.5,
200,19.6,10.45,
201,19.7,10.4,
202,19.3,10.35,
203,19.3,10.3,
204,19.2,10.25,
205,19,10.2,
206,19,10.15,
207,19.3,10.1,
208,19,10.05,
209,19,9.99,
210,18.8,9.94,
211,18.9,9.89,
212,19,9.83,
213,19,9.78,
214,18.7,9.73,
215,18.2,9.67,
216,18.2,9.62,
217,17.8,9.56,
218,17.7,9.51,
219,18,9.46,
220,17.8,9.4,
221,17.4,9.35,
222,17.4,9.3,
223,17.6,9.24,
224,17.5,9.19,
225,17.5,9.14,
226,17.7,9.08,
227,18,9.03,
228,17.3,8.98,
229,17.1,8.92,
230,17.5,8.87,
231,17.4,8.81,
232,17.3,8.76,
233,17.3,8.71,
234,17.5,8.65,
235,17.6,8.6,
236,17.2,8.62,
237,17.3,8.65,
238,17.6,8.67,
239,17.4,8.69,
240,17.4,8.72,
241,17.3,8.74,
242,17.4,8.77,
243,17.2,8.79,
244,16.6,8.81,
245,16.6,8.84,
246,16.5,8.86,
247,16.7,8.88,
248,16.9,8.91,
249,16.8,8.93,
250,17.1,8.96,
251,16.8,8.98,
252,16.9,9,
253,16.9,9.03,
254,16.8,9.05,
255,16.6,9.07,
256,16.5,9.1,
257,16.3,9.12,
258,16.4,9.15,
259,16.5,9.17,
260,16.6,9.19,
261,16.5,9.22,
262,16.5,9.24,
263,16.5,9.26,
264,16.6,9.29,
265,16.5,9.31,
266,16.6,9.34,
267,17,9.36,
268,17,9.38,
269,16.6,9.41,
270,16.4,9.43,
271,16.7,9.45,
272,17,9.48,
273,16.8,9.5,
274,16.7,9.53,
275,16.7,9.55,
276,16.7,9.57,
277,16.6,9.6,
278,16.5,9.62,
279,16.5,9.65,
280,16.6,9.67,
281,16.7,9.69,
282,16.7,9.72,
283,16.9,9.74,
284,17.2,9.77,
285,17.2,9.79,
286,17.2,9.81,
287,17.4,9.84,
288,17.5,9.86,
289,17.7,9.88,
290,17.5,9.91,
291,17.6,9.93,
292,17.6,9.96,
293,17.4,9.98,
294,17.6,10,
295,17.7,10.03,
296,18.8,10.05,
297,18.1,10.08,
298,18,10.1,
299,18.1,10.15,
300,17.9,10.2,
301,18,10.25,
302,18.1,10.29,
303,18.9,10.34,
304,18.7,10.39,
305,19,10.44,
306,20,10.49,
307,19.9,10.54,
308,20.2,10.59,
309,20.1,10.63,
310,19,10.68,
311,19,10.73,
312,18.9,10.78,
313,19,10.83,
314,19.3,10.88,
315,19.4,10.93,
316,19.8,10.97,
317,19.7,11.02,
318,19.2,11.07,
319,18.7,11.12,
320,19,11.17,
321,19,11.22,
322,19,11.27,
323,19.1,11.31,
324,19.2,11.36,
325,19.2,11.41,
326,19.4,11.46,
327,20.2,11.51,
328,19.5,11.56,
329,19.3,11.61,
330,19.3,11.65,
331,19.4,11.7,
332,19,11.75,
333,19.3,11.8,
334,19,11.8,
335,19.5,11.79,
336,19.3,11.79,
337,19.5,11.79,
338,19.2,11.79,
339,19.4,11.78,
340,19.4,11.78,
341,19.6,11.78,
342,19.5,11.78,
343,19.6,11.77,
344,20,11.77,
345,20.1,11.77,
346,19.8,11.77,
347,20.4,11.76,
348,20.4,11.76,
349,20.4,11.79,
350,20.4,11.82,
351,20.2,11.86,
352,20.4,11.89,
353,19.7,11.92,
354,20.1,11.95,
355,20.7,11.98,
356,20,12.01,
357,20,12.05,
358,20.1,12.08,
359,20.3,12.11,
360,20.1,12.14,
361,20.3,12.17,
362,21.2,12.2,
363,20.6,12.24,
365,20.7,12.27,
366,19.95,12.39,
367,20.18,12.55,
368,20.1,12.52,
369,19.96,12.41,
370,20.18,12.56,
371,20.22,12.57,
372,20.09,12.48,
373,20.02,12.44,
374,20.13,12.52,
375,20.23,12.61,
376,20.02,12.42,
377,20.2,12.56,
378,20.29,12.62,
379,20.6,12.83,
380,20.44,12.72,
381,20.41,12.69,
382,20.64,12.86,
383,20.64,12.86,
384,20.96,13.08,
385,20.87,13.03,
386,21.09,13.2,
387,20.6,12.87,
388,20.61,12.87,
389,20.66,12.9,
390,20.54,12.83,
391,20.45,12.76,
392,20.15,12.54,
393,20.27,12.62,
394,20.59,12.85,
395,20.62,12.89,
396,20.48,12.8,
397,20.41,12.74,
398,20.21,12.62,
399,20.24,12.63,
400,20.37,12.7,
401,20.46,12.76,
402,20.43,12.72,
403,20.53,12.8,
404,20.51,12.78,
405,20.45,12.76,
406,20.53,12.81,
407,20.59,12.86,
408,20.65,12.91,
409,20.82,13.02,
410,20.82,13,
411,20.63,12.86,
412,20.68,12.92,
413,20.84,13.05,
414,20.84,13.04,
415,20.81,13.01,
416,20.76,12.95,
417,20.67,12.89,
418,20.82,13,
419,20.75,12.95,
420,20.71,12.91,
421,20.91,13.08,
422,20.7,12.94,
423,20.84,13,
424,21.05,13.13,
425,21.02,13.12,
426,20.87,13.05,
427,20.61,12.86,
428,20.69,12.92,
429,20.8,13.01,
430,20.99,13.11,
431,20.8,12.95,
432,20.6,12.83,
433,20.55,12.81,
434,20.96,13.07,
435,21.38,13.34,
436,21.7,13.54,
437,21.59,13.45,
438,21.71,13.55,
439,21.47,13.38,
440,21.48,13.4,
441,21.53,13.45,
442,21.68,13.51,
443,21.48,13.38,
444,21.31,13.27,
445,21.44,13.34,
446,21.22,13.2,
447,21.16,13.18,
448,21.19,13.19,
449,21.09,13.11,
450,21.27,13.22,
451,21.17,13.17,
452,21.36,13.32,
453,21.6,13.48,
454,21.56,13.41,
455,21.62,13.49,
456,22.29,13.85,
457,22.13,13.76,
458,21.34,13.24,
459,21.78,13.51,
460,21.86,13.6,
461,21.64,13.43,
462,21.31,13.21,
463,21.12,13.09,
464,20.87,12.91,
465,21.02,13.01,
466,21,13,
467,21.19,13.12,
468,21.24,13.16,
469,21.09,13.03,
470,21.09,13.01,
471,21.31,13.16,
472,21.45,13.24,
473,21.55,13.33,
474,21.75,13.42,
475,22.31,13.77,
476,22.02,13.64,
477,22.05,13.59,
478,22.21,13.72,
479,22.23,13.73,
480,22.36,13.83,
481,22.65,13.96,
482,22.55,13.96,
483,22.77,14.02,
484,22.99,14.09,
485,23.03,14.14,
486,23.07,14.17,
487,23.24,14.3,
488,23.33,14.34,
489,23.18,14.24,
490,23.02,14.18,
491,23.36,14.37,
492,23.33,14.34,
493,23.38,14.37,
494,23.02,14.15,
495,23.01,14.13,
496,22.55,13.76,
497,22.45,13.71,
498,22.49,13.76,
499,22.38,13.68,
