$$Spokane River Constituent Inflows -Lake Roosevelt Model year 2011-2015,,,
Jday 1.0 =1/1/2011,,,
JDAY,N2,DO,
1,20.3,12.58,
46,20.5,12.85,
81,20.2,12.61,
116,19.1,11.79,
144,17.7,10.83,
179,16.8,10.25,
207,15.6,9.53,
235,15.2,9.19,
297,17.1,10.39,
332,19.2,11.85,
346,19.8,12.19,
365,20.2,12.58,
374.5,21.31,13.42,
409.5,20.19,12.58,
444.5,20.3,12.61,
472.4,18.72,11.53,
501.7,15.96,9.654,
543.7,16.53,10.07,
571.6,14.76,8.897,
606.6,14.76,8.897,
634.6,15.9,9.644,
655.6,16.77,10.15,
676.6,17.58,10.78,
704.6,19.52,12.14,
768.6,20.14,13.27,
796.6,20.33,12.53,
824.6,17.86,12.6,
859.6,15.97,11.2,
887.7,15.48,11.01,
922.6,14.13,9.25,
950.7,14.13,9.7,
985.6,14.57,10.2,
1013,17.66,9.6,
1041,19.57,10.7,
1069,20.85,11.46,
1097,19.8,11.82,
1103.573,19.83,11.82,
1131.62,20.36,12,
1159.58,20.26,12.4,
1194.62,19.3,12.5,
1222.6,18.19,12.26,
1250.6,15.28,9.8,
1285.6,14.74,8.56,
1313.6,15.13,9.1,
1348.6,15.85,9.45,
1376.6,19.72,9.75,
1404.6,18.32,9.7,
1432.6,17.17,11.24,
1462,21.56,12.24,
1467.611,21.47,12.24,
1495.56,17.77,12.54,
1523.55,18.92,12.74,
1558.62,20.23,12,
1586.6,16.83,9.95,
1614.6,15.11,8.36,
1649.6,14.85,9.64,
1677.6,15.05,11.29,
1719.7,16.26,9.5,
1827,16.31,9.5,
