$Concentration file for segment 317

JDAY,      N2,      DO,
     1.000,   20.0000,   11.9000,
     1.050,   19.9999,   11.9000,
     1.100,   19.9998,   11.9001,
     1.150,   19.9997,   11.9002,
     1.200,   19.9997,   11.9003,
     1.250,   19.9996,   11.9003,
     1.300,   19.9995,   11.9004,
     1.350,   19.9994,   11.9004,
     1.400,   19.9993,   11.9005,
     1.450,   19.9992,   11.9006,
     1.500,   19.9991,   11.9007,
     1.550,   19.9990,   11.9007,
     1.600,   19.9989,   11.9008,
     1.650,   19.9988,   11.9008,
     1.701,   19.9987,   11.9009,
     1.750,   19.9986,   11.9009,
     1.800,   19.9985,   11.9010,
     1.850,   19.9984,   11.9011,
     1.900,   19.9984,   11.9011,
     1.950,   19.9983,   11.9012,
     2.000,   19.9982,   11.9012,
     2.050,   19.9981,   11.9013,
     2.100,   19.9980,   11.9014,
     2.150,   19.9979,   11.9014,
     2.200,   19.9978,   11.9015,
     2.250,   19.9977,   11.9017,
     2.300,   19.9976,   11.9017,
     2.350,   19.9975,   11.9018,
     2.401,   19.9974,   11.9019,
     2.450,   19.9972,   11.9020,
     2.500,   19.9971,   11.9022,
     2.550,   19.9969,   11.9024,
     2.600,   19.9968,   11.9025,
     2.650,   19.9967,   11.9027,
     2.700,   19.9966,   11.9026,
     2.750,   19.9965,   11.9027,
     2.800,   19.9964,   11.9028,
     2.850,   19.9963,   11.9029,
     2.900,   19.9962,   11.9031,
     2.950,   19.9961,   11.9032,
     3.000,   19.9960,   11.9033,
     3.050,   19.9959,   11.9033,
     3.100,   19.9958,   11.9034,
     3.150,   19.9957,   11.9035,
     3.200,   19.9956,   11.9036,
     3.250,   19.9970,   11.9054,
     3.300,   20.0080,   11.9177,
     3.350,   20.0228,   11.9341,
     3.400,   20.0348,   11.9474,
     3.450,   20.0447,   11.9584,
     3.500,   20.0530,   11.9676,
     3.550,   20.0515,   11.9661,
     3.600,   20.0423,   11.9563,
     3.650,   20.0348,   11.9483,
     3.700,   20.0288,   11.9420,
     3.750,   20.0313,   11.9449,
     3.800,   20.0407,   11.9552,
     3.850,   20.0480,   11.9633,
     3.900,   20.0535,   11.9694,
     3.950,   20.0543,   11.9704,
     4.000,   20.0456,   11.9610,
     4.050,   20.0382,   11.9531,
     4.100,   20.0320,   11.9466,
     4.150,   20.0270,   11.9413,
     4.200,   20.0239,   11.9381,
     4.250,   20.0293,   11.9441,
     4.300,   20.0401,   11.9561,
     4.350,   20.0476,   11.9644,
     4.400,   20.0532,   11.9707,
     4.450,   20.0525,   11.9701,
     4.500,   20.0412,   11.9578,
     4.550,   20.0321,   11.9481,
     4.600,   20.0251,   11.9407,
     4.650,   20.0189,   11.9342,
     4.700,   20.0138,   11.9290,
     4.750,   20.0097,   11.9247,
     4.800,   20.0063,   11.9213,
