$Grand Coulee Dam Outflow Constituents
 
JDAY,      N2,      DO,
     1.000, 20.00    , 11.90    ,
     1.050, 20.00    , 11.90    ,
     1.100, 20.00    , 11.90    ,
     1.150, 20.00    , 11.90    ,
     1.200, 20.00    , 11.90    ,
     1.250, 20.00    , 11.90    ,
     1.300, 20.00    , 11.90    ,
     1.350, 20.00    , 11.90    ,
     1.400, 20.00    , 11.90    ,
     1.450, 20.00    , 11.90    ,
     1.500, 20.00    , 11.90    ,
     1.550, 20.00    , 11.90    ,
     1.600, 20.00    , 11.90    ,
     1.650, 20.00    , 11.90    ,
     1.701, 20.00    , 11.90    ,
     1.750, 20.00    , 11.90    ,
     1.800, 20.00    , 11.90    ,
     1.850, 20.00    , 11.90    ,
     1.900, 20.00    , 11.90    ,
     1.950, 20.00    , 11.90    ,
     2.000, 20.00    , 11.90    ,
     2.050, 20.00    , 11.90    ,
     2.100, 20.00    , 11.90    ,
     2.150, 20.00    , 11.90    ,
     2.200, 20.00    , 11.90    ,
     2.250, 20.00    , 11.90    ,
     2.300, 20.00    , 11.90    ,
     2.350, 20.00    , 11.90    ,
     2.401, 20.00    , 11.90    ,
     2.450, 20.00    , 11.90    ,
     2.500, 20.00    , 11.90    ,
     2.550, 20.00    , 11.90    ,
     2.600, 20.00    , 11.90    ,
     2.650, 20.00    , 11.90    ,
     2.700, 20.00    , 11.90    ,
     2.750, 20.00    , 11.90    ,
     2.800, 20.00    , 11.90    ,
     2.850, 20.00    , 11.90    ,
     2.900, 20.00    , 11.90    ,
     2.950, 20.00    , 11.90    ,
     3.000, 20.00    , 11.90    ,
     3.050, 20.00    , 11.90    ,
     3.100, 20.00    , 11.90    ,
     3.150, 20.00    , 11.90    ,
     3.200, 20.00    , 11.90    ,
     3.250, 20.00    , 11.91    ,
     3.300, 20.01    , 11.92    ,
     3.350, 20.02    , 11.93    ,
     3.400, 20.03    , 11.95    ,
     3.450, 20.04    , 11.96    ,
     3.500, 20.05    , 11.97    ,
     3.550, 20.05    , 11.97    ,
     3.600, 20.04    , 11.96    ,
     3.650, 20.03    , 11.95    ,
     3.700, 20.03    , 11.94    ,
     3.750, 20.03    , 11.94    ,
     3.800, 20.04    , 11.96    ,
     3.850, 20.05    , 11.96    ,
     3.900, 20.05    , 11.97    ,
     3.950, 20.05    , 11.97    ,
     4.000, 20.05    , 11.96    ,
     4.050, 20.04    , 11.95    ,
     4.100, 20.03    , 11.95    ,
     4.150, 20.03    , 11.94    ,
     4.200, 20.02    , 11.94    ,
     4.250, 20.03    , 11.94    ,
     4.300, 20.04    , 11.96    ,
     4.350, 20.05    , 11.96    ,
     4.400, 20.05    , 11.97    ,
     4.450, 20.05    , 11.97    ,
     4.500, 20.04    , 11.96    ,
     4.550, 20.03    , 11.95    ,
     4.600, 20.03    , 11.94    ,
     4.650, 20.02    , 11.93    ,
     4.700, 20.01    , 11.93    ,
     4.750, 20.01    , 11.92    ,
     4.800, 20.01    , 11.92    ,
     4.850, 20.00    , 11.92    ,
     4.900, 20.00    , 11.92    ,
     4.950, 20.00    , 11.92    ,
     5.000, 20.00    , 11.92    ,
     5.050, 20.00    , 11.92    ,
     5.100, 20.00    , 11.92    ,
     5.150, 20.00    , 11.91    ,
     5.200, 20.00    , 11.91    ,
     5.250, 20.00    , 11.91    ,
     5.300, 20.00    , 11.91    ,
     5.350, 20.00    , 11.91    ,
     5.400, 19.99    , 11.91    ,
     5.450, 19.99    , 11.91    ,
     5.500, 19.99    , 11.91    ,
     5.550, 19.99    , 11.91    ,
     5.600, 19.99    , 11.91    ,
     5.650, 19.99    , 11.91    ,
     5.700, 19.99    , 11.91    ,
     5.750, 19.99    , 11.91    ,
     5.800, 19.99    , 11.91    ,
     5.850, 19.99    , 11.91    ,
     5.900, 19.99    , 11.91    ,
     5.950, 19.99    , 11.91    ,
     6.000, 19.99    , 11.91    ,
     6.050, 19.99    , 11.91    ,
     6.100, 19.99    , 11.91    ,
     6.150, 19.99    , 11.91    ,
     6.200, 19.99    , 11.91    ,
     6.250, 19.99    , 11.91    ,
     6.300, 19.99    , 11.91    ,
     6.350, 19.99    , 11.91    ,
     6.400, 19.99    , 11.91    ,
     6.450, 19.99    , 11.91    ,
     6.500, 19.99    , 11.91    ,
     6.550, 19.99    , 11.91    ,
     6.600, 19.99    , 11.91    ,
