Derived constituent file for segment 317

JDAY,     %DO,  TDG(%),
     1.000,   97.6461,  100.4916,
     1.050,   97.6372,  100.4798,
     1.100,   97.6282,  100.4704,
     1.150,   97.6191,  100.4696,
     1.200,   97.6104,  100.4585,
     1.250,   97.6015,  100.4522,
     1.300,   97.5923,  100.4216,
     1.350,   97.5830,  100.4165,
     1.400,   97.5746,  100.4099,
     1.450,   97.5683,  100.4017,
     1.500,   97.5643,  100.4023,
     1.550,   97.5624,  100.4079,
     1.600,   97.5607,  100.4166,
     1.650,   97.5584,  100.4290,
     1.701,   97.5521,  100.4069,
     1.750,   97.5439,  100.4037,
     1.800,   97.5352,  100.3855,
     1.850,   97.5266,  100.3738,
     1.900,   97.5180,  100.3530,
     1.950,   97.5095,  100.3529,
     2.000,   97.5012,  100.3511,
     2.050,   97.4928,  100.3423,
     2.100,   97.4843,  100.3458,
     2.150,   97.4758,  100.3301,
     2.200,   97.4668,  100.3091,
     2.250,   97.4577,  100.2921,
     2.300,   97.4484,  100.2837,
     2.350,   97.4390,  100.2735,
     2.401,   97.4301,  100.2736,
     2.450,   97.4259,  100.2781,
     2.500,   97.4268,  100.2664,
     2.550,   97.4298,  100.2819,
     2.600,   97.4317,  100.2681,
     2.650,   97.4301,  100.2712,
     2.700,   97.4208,  100.2617,
     2.750,   97.4125,  100.2549,
     2.800,   97.4037,  100.2312,
     2.850,   97.3951,  100.2183,
     2.900,   97.3869,  100.2291,
     2.950,   97.3789,  100.2095,
     3.000,   97.3710,  100.2087,
     3.050,   97.3633,  100.2002,
     3.100,   97.3557,  100.2111,
     3.150,   97.3481,  100.1974,
     3.200,   97.3402,  100.1708,
     3.250,   97.3357,  100.1713,
     3.300,   97.3525,  100.1429,
     3.350,   97.3833,  100.1531,
     3.400,   97.4083,  100.1387,
     3.450,   97.4304,  100.1585,
     3.500,   97.4513,  100.1797,
     3.550,   97.4473,  100.1847,
     3.600,   97.4227,  100.1846,
     3.650,   97.4003,  100.1800,
     3.700,   97.3795,  100.1779,
     3.750,   97.3804,  100.1818,
     3.800,   97.4000,  100.1820,
     3.850,   97.4138,  100.1840,
     3.900,   97.4230,  100.1861,
     3.950,   97.4209,  100.1835,
     4.000,   97.3930,  100.1796,
     4.050,   97.3674,  100.1620,
     4.100,   97.3451,  100.1550,
     4.150,   97.3261,  100.1513,
     4.200,   97.3117,  100.1451,
     4.250,   97.3197,  100.1451,
     4.300,   97.3431,  100.1390,
     4.350,   97.3579,  100.1404,
     4.400,   97.3676,  100.1419,
     4.450,   97.3628,  100.1484,
     4.500,   97.3314,  100.1392,
     4.550,   97.3066,  100.1458,
     4.600,   97.2864,  100.1421,
     4.650,   97.2656,  100.1290,
     4.700,   97.2457,  100.1165,
     4.750,   97.2271,  100.1069,
     4.800,   97.2107,  100.0933,
     4.850,   97.1977,  100.0991,
     4.900,   97.1881,  100.0564,
     4.950,   97.1817,  100.0535,
     5.000,   97.1750,  100.0519,
     5.050,   97.1671,  100.0389,
     5.100,   97.1594,  100.0321,
     5.150,   97.1512,  100.0303,
     5.200,   97.1424,  100.0256,
     5.250,   97.1330,  100.0310,
     5.300,   97.1226,  100.0187,
     5.350,   97.1118,  100.0340,
     5.400,   97.1014,  100.0369,
     5.450,   97.0933,  100.0420,
     5.500,   97.0867,  100.0358,
     5.550,   97.0808,  100.0558,
     5.600,   97.0760,  100.0576,
     5.650,   97.0708,  100.0572,
     5.700,   97.0645,  100.0594,
     5.750,   97.0577,  100.0447,
     5.800,   97.0510,  100.0413,
     5.850,   97.0446,  100.0385,
     5.900,   97.0390,  100.0615,
     5.950,   97.0339,  100.0172,
     6.000,   97.0287,  100.0236,
     6.050,   97.0239,  100.0196,
     6.100,   97.0192,  100.0054,
     6.150,   97.0145,  100.0180,
     6.200,   97.0096,  100.0080,
     6.250,   97.0046,  100.0102,
     6.300,   96.9990,  100.0077,
     6.350,   96.9931,  100.0021,
     6.400,   96.9872,  100.0042,
     6.450,   96.9831,   99.9998,
     6.500,   96.9813,  100.0137,
     6.550,   96.9799,  100.0111,
     6.600,   96.9783,  100.0078,
     6.650,   96.9762,  100.0117,
     6.700,   96.9727,  100.0048,
     6.750,   96.9686,   99.9987,
     6.800,   96.9646,  100.0071,
     6.850,   96.9609,  100.0105,
     6.900,   96.9572,  100.0097,
     6.950,   96.9536,  100.0077,
     7.000,   96.9499,  100.0239,
     7.050,   96.9464,  100.0213,
     7.100,   96.9428,  100.0286,
     7.150,   96.9393,  100.0208,
     7.200,   96.9362,  100.0947,
     7.250,   96.9334,  100.1016,
     7.300,   96.9313,  100.1105,
     7.350,   96.9306,  100.1092,
     7.400,   96.9291,  100.0987,
     7.450,   96.9282,  100.0701,
     7.500,   96.9282,  100.0597,
     7.550,   96.9298,  100.0622,
     7.600,   96.9336,  100.0681,
     7.650,   96.9348,  100.0699,
     7.700,   96.9343,  100.0841,
     7.750,   96.9321,  100.0540,
     7.800,   96.9298,  100.0274,
     7.850,   96.9270,  100.0245,
     7.900,   96.9240,  100.0115,
     7.950,   96.9209,   99.9563,
     8.000,   96.9176,   99.9197,
     8.050,   96.9138,   99.9047,
     8.100,   96.9097,   99.8656,
     8.150,   96.9054,   99.8722,
     8.200,   96.9010,   99.8610,
     8.250,   96.8963,   99.8545,
     8.300,   96.8918,   99.8613,
     8.350,   96.8872,   99.8416,
     8.400,   96.8823,   99.8428,
     8.450,   96.8798,   99.8549,
     8.500,   96.8803,   99.8502,
     8.550,   96.8821,   99.8506,
     8.600,   96.8826,   99.8633,
     8.650,   96.8826,   99.8582,
     8.700,   96.8788,   99.8533,
     8.750,   96.8743,   99.8367,
     8.800,   96.8696,   99.8392,
     8.850,   96.8649,   99.8235,
     8.900,   96.8599,   99.8131,
     8.950,   96.8550,   99.7985,
     9.000,   96.8499,   99.7953,
     9.050,   96.8448,   99.7694,
     9.100,   96.8396,   99.7731,
     9.150,   96.8344,   99.7575,
     9.200,   96.8291,   99.7356,
     9.250,   96.8236,   99.7204,
     9.300,   96.8179,   99.6848,
     9.350,   96.8120,   99.6427,
     9.400,   96.8061,   99.6291,
     9.450,   96.8049,   99.6683,
     9.500,   96.8115,   99.6655,
     9.550,   96.8191,   99.6782,
     9.600,   96.8243,   99.6873,
     9.650,   96.8240,   99.6737,
     9.700,   96.8186,   99.6538,
     9.750,   96.8111,   99.6538,
     9.800,   96.8030,   99.6304,
     9.850,   96.7948,   99.6213,
     9.900,   96.7897,   99.6057,
     9.950,   96.7845,   99.6063,
    10.000,   96.7793,   99.6208,
    10.050,   96.7743,   99.5999,
    10.100,   96.7692,   99.6044,
    10.150,   96.7643,   99.6020,
    10.200,   96.7592,   99.6051,
    10.250,   96.7540,   99.5920,
