$Grand Coulee Dam Outflow Derived Constituents
 
JDAY,     %DO,  TDG(%),
     1.000, 97.65    , 100.5    ,
     1.050, 97.64    , 100.5    ,
     1.100, 97.63    , 100.5    ,
     1.150, 97.62    , 100.5    ,
     1.200, 97.61    , 100.5    ,
     1.250, 97.60    , 100.5    ,
     1.300, 97.59    , 100.4    ,
     1.350, 97.58    , 100.4    ,
     1.400, 97.57    , 100.4    ,
     1.450, 97.57    , 100.4    ,
     1.500, 97.56    , 100.4    ,
     1.550, 97.56    , 100.4    ,
     1.600, 97.56    , 100.4    ,
     1.650, 97.56    , 100.4    ,
     1.701, 97.55    , 100.4    ,
     1.750, 97.54    , 100.4    ,
     1.800, 97.54    , 100.4    ,
     1.850, 97.53    , 100.4    ,
     1.900, 97.52    , 100.4    ,
     1.950, 97.51    , 100.4    ,
     2.000, 97.50    , 100.4    ,
     2.050, 97.49    , 100.3    ,
     2.100, 97.48    , 100.3    ,
     2.150, 97.48    , 100.3    ,
     2.200, 97.47    , 100.3    ,
     2.250, 97.46    , 100.3    ,
     2.300, 97.45    , 100.3    ,
     2.350, 97.44    , 100.3    ,
     2.401, 97.43    , 100.3    ,
     2.450, 97.43    , 100.3    ,
     2.500, 97.43    , 100.3    ,
     2.550, 97.43    , 100.3    ,
     2.600, 97.43    , 100.3    ,
     2.650, 97.43    , 100.3    ,
     2.700, 97.42    , 100.3    ,
     2.750, 97.41    , 100.3    ,
     2.800, 97.40    , 100.2    ,
     2.850, 97.40    , 100.2    ,
     2.900, 97.39    , 100.2    ,
     2.950, 97.38    , 100.2    ,
     3.000, 97.37    , 100.2    ,
     3.050, 97.36    , 100.2    ,
     3.100, 97.36    , 100.2    ,
     3.150, 97.35    , 100.2    ,
     3.200, 97.34    , 100.2    ,
     3.250, 97.34    , 100.2    ,
     3.300, 97.35    , 100.1    ,
     3.350, 97.38    , 100.2    ,
     3.400, 97.41    , 100.1    ,
     3.450, 97.43    , 100.2    ,
     3.500, 97.45    , 100.2    ,
     3.550, 97.45    , 100.2    ,
     3.600, 97.42    , 100.2    ,
     3.650, 97.40    , 100.2    ,
     3.700, 97.38    , 100.2    ,
     3.750, 97.38    , 100.2    ,
     3.800, 97.40    , 100.2    ,
     3.850, 97.41    , 100.2    ,
     3.900, 97.42    , 100.2    ,
     3.950, 97.42    , 100.2    ,
     4.000, 97.39    , 100.2    ,
     4.050, 97.37    , 100.2    ,
     4.100, 97.35    , 100.2    ,
     4.150, 97.33    , 100.2    ,
     4.200, 97.31    , 100.1    ,
     4.250, 97.32    , 100.1    ,
     4.300, 97.34    , 100.1    ,
     4.350, 97.36    , 100.1    ,
     4.400, 97.37    , 100.1    ,
     4.450, 97.36    , 100.1    ,
     4.500, 97.33    , 100.1    ,
     4.550, 97.31    , 100.1    ,
     4.600, 97.29    , 100.1    ,
     4.650, 97.27    , 100.1    ,
     4.700, 97.25    , 100.1    ,
     4.750, 97.23    , 100.1    ,
     4.800, 97.21    , 100.1    ,
     4.850, 97.20    , 100.1    ,
     4.900, 97.19    , 100.1    ,
     4.950, 97.18    , 100.1    ,
     5.000, 97.18    , 100.1    ,
     5.050, 97.17    , 100.0    ,
     5.100, 97.16    , 100.0    ,
     5.150, 97.15    , 100.0    ,
     5.200, 97.14    , 100.0    ,
     5.250, 97.13    , 100.0    ,
     5.300, 97.12    , 100.0    ,
     5.350, 97.11    , 100.0    ,
     5.400, 97.10    , 100.0    ,
     5.450, 97.09    , 100.0    ,
     5.500, 97.09    , 100.0    ,
     5.550, 97.08    , 100.1    ,
     5.600, 97.08    , 100.1    ,
     5.650, 97.07    , 100.1    ,
     5.700, 97.06    , 100.1    ,
     5.750, 97.06    , 100.0    ,
     5.800, 97.05    , 100.0    ,
     5.850, 97.04    , 100.0    ,
     5.900, 97.04    , 100.1    ,
     5.950, 97.03    , 100.0    ,
