$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,     %DO,  TDG(%),
     1.000,   97.6461,  100.4916,
     1.050,   97.6372,  100.4798,
     1.100,   97.6282,  100.4704,
     1.150,   97.6191,  100.4696,
     1.200,   97.6104,  100.4585,
     1.250,   97.6015,  100.4522,
     1.300,   97.5923,  100.4216,
     1.350,   97.5830,  100.4165,
     1.400,   97.5746,  100.4099,
     1.450,   97.5683,  100.4017,
     1.500,   97.5643,  100.4023,
     1.550,   97.5624,  100.4079,
     1.600,   97.5607,  100.4166,
     1.650,   97.5584,  100.4290,
     1.701,   97.5521,  100.4069,
     1.750,   97.5439,  100.4037,
     1.800,   97.5352,  100.3855,
     1.850,   97.5266,  100.3738,
     1.900,   97.5180,  100.3530,
     1.950,   97.5095,  100.3529,
     2.000,   97.5012,  100.3511,
     2.050,   97.4928,  100.3423,
     2.100,   97.4843,  100.3458,
     2.150,   97.4758,  100.3301,
     2.200,   97.4668,  100.3091,
     2.250,   97.4577,  100.2921,
     2.300,   97.4484,  100.2837,
     2.350,   97.4390,  100.2735,
     2.401,   97.4301,  100.2736,
     2.450,   97.4259,  100.2781,
     2.500,   97.4261,  100.2662,
     2.550,   97.4282,  100.2811,
     2.600,   97.4295,  100.2671,
     2.650,   97.4272,  100.2704,
     2.700,   97.4208,  100.2617,
     2.750,   97.4125,  100.2549,
     2.800,   97.4037,  100.2312,
     2.850,   97.3951,  100.2183,
     2.900,   97.3869,  100.2291,
     2.950,   97.3789,  100.2095,
     3.000,   97.3710,  100.2087,
     3.050,   97.3633,  100.2002,
     3.100,   97.3557,  100.2111,
     3.150,   97.3481,  100.1974,
     3.200,   97.3402,  100.1708,
     3.250,   97.3366,  100.1719,
     3.300,   97.3616,  100.1466,
     3.350,   97.4013,  100.1595,
     3.400,   97.4325,  100.1471,
     3.450,   97.4580,  100.1674,
     3.500,   97.4801,  100.1881,
     3.550,   97.4699,  100.1914,
     3.600,   97.4405,  100.1905,
     3.650,   97.4162,  100.1860,
     3.700,   97.3959,  100.1853,
     3.750,   97.3980,  100.1898,
     3.800,   97.4233,  100.1908,
     3.850,   97.4415,  100.1935,
     3.900,   97.4531,  100.1958,
     3.950,   97.4456,  100.1917,
     4.000,   97.4136,  100.1873,
     4.050,   97.3876,  100.1705,
     4.100,   97.3647,  100.1641,
     4.150,   97.3447,  100.1604,
     4.200,   97.3300,  100.1550,
     4.250,   97.3446,  100.1580,
     4.300,   97.3757,  100.1527,
     4.350,   97.3943,  100.1538,
     4.400,   97.4078,  100.1554,
     4.450,   97.4007,  100.1607,
     4.500,   97.3613,  100.1492,
     4.550,   97.3298,  100.1537,
     4.600,   97.3050,  100.1487,
     4.650,   97.2831,  100.1360,
     4.700,   97.2613,  100.1238,
     4.750,   97.2411,  100.1143,
     4.800,   97.2233,  100.1009,
     4.850,   97.2080,  100.1059,
     4.900,   97.1954,  100.0615,
     4.950,   97.1846,  100.0555,
     5.000,   97.1750,  100.0519,
     5.050,   97.1671,  100.0389,
     5.100,   97.1594,  100.0321,
     5.150,   97.1517,  100.0307,
     5.200,   97.1431,  100.0262,
     5.250,   97.1336,  100.0315,
     5.300,   97.1230,  100.0190,
     5.350,   97.1122,  100.0343,
     5.400,   97.1016,  100.0370,
     5.450,   97.0935,  100.0422,
     5.500,   97.0868,  100.0359,
     5.550,   97.0809,  100.0559,
     5.600,   97.0761,  100.0577,
     5.650,   97.0710,  100.0574,
     5.700,   97.0646,  100.0595,
     5.750,   97.0578,  100.0448,
     5.800,   97.0511,  100.0413,
     5.850,   97.0447,  100.0386,
     5.900,   97.0391,  100.0616,
     5.950,   97.0339,  100.0172,
     6.000,   97.0287,  100.0236,
     6.050,   97.0239,  100.0196,
     6.100,   97.0192,  100.0054,
     6.150,   97.0145,  100.0180,
     6.200,   97.0096,  100.0080,
     6.250,   97.0047,  100.0102,
     6.300,   96.9990,  100.0077,
     6.350,   96.9931,  100.0021,
     6.400,   96.9872,  100.0042,
     6.450,   96.9831,   99.9998,
     6.500,   96.9813,  100.0137,
     6.550,   96.9799,  100.0111,
     6.600,   96.9783,  100.0078,
     6.650,   96.9762,  100.0117,
     6.700,   96.9727,  100.0048,
     6.750,   96.9686,   99.9987,
     6.800,   96.9646,  100.0071,
     6.850,   96.9609,  100.0105,
     6.900,   96.9572,  100.0097,
     6.950,   96.9536,  100.0077,
     7.000,   96.9499,  100.0239,
     7.050,   96.9464,  100.0213,
     7.100,   96.9428,  100.0286,
     7.150,   96.9393,  100.0208,
     7.200,   96.9362,  100.0947,
     7.250,   96.9334,  100.1016,
     7.300,   96.9313,  100.1105,
     7.350,   96.9306,  100.1092,
     7.400,   96.9291,  100.0987,
     7.450,   96.9282,  100.0701,
     7.500,   96.9282,  100.0597,
     7.550,   96.9294,  100.0621,
     7.600,   96.9323,  100.0680,
     7.650,   96.9348,  100.0699,
     7.700,   96.9343,  100.0841,
     7.750,   96.9321,  100.0540,
     7.800,   96.9298,  100.0274,
     7.850,   96.9270,  100.0245,
     7.900,   96.9240,  100.0115,
     7.950,   96.9209,   99.9563,
     8.000,   96.9176,   99.9197,
     8.050,   96.9138,   99.9047,
     8.100,   96.9097,   99.8656,
     8.150,   96.9054,   99.8722,
     8.200,   96.9010,   99.8610,
     8.250,   96.8963,   99.8545,
     8.300,   96.8918,   99.8613,
     8.350,   96.8872,   99.8416,
     8.400,   96.8823,   99.8428,
     8.450,   96.8798,   99.8549,
     8.500,   96.8801,   99.8501,
     8.550,   96.8816,   99.8505,
     8.600,   96.8820,   99.8631,
     8.650,   96.8819,   99.8582,
     8.700,   96.8788,   99.8533,
     8.750,   96.8743,   99.8367,
     8.800,   96.8696,   99.8392,
     8.850,   96.8649,   99.8235,
     8.900,   96.8599,   99.8131,
     8.950,   96.8550,   99.7985,
     9.000,   96.8499,   99.7953,
     9.050,   96.8448,   99.7694,
     9.100,   96.8396,   99.7731,
     9.150,   96.8344,   99.7575,
     9.200,   96.8291,   99.7356,
     9.250,   96.8236,   99.7204,
     9.300,   96.8179,   99.6848,
     9.350,   96.8120,   99.6427,
     9.400,   96.8061,   99.6291,
     9.450,   96.8046,   99.6681,
     9.500,   96.8094,   99.6640,
     9.550,   96.8147,   99.6750,
     9.600,   96.8181,   99.6828,
     9.650,   96.8175,   99.6691,
     9.700,   96.8121,   99.6498,
     9.750,   96.8060,   99.6514,
     9.800,   96.8002,   99.6299,
     9.850,   96.7948,   99.6213,
     9.900,   96.7897,   99.6057,
     9.950,   96.7845,   99.6063,
    10.000,   96.7793,   99.6208,
    10.050,   96.7743,   99.5999,
    10.100,   96.7692,   99.6044,
    10.150,   96.7643,   99.6020,
