$Branch 1 water balance flow
 
JDAY,QDT,
   1.000,   0.000,
   2.000,  -9.091,
   3.000, -15.627,
   4.000, -11.720,
   5.000,  -9.306,
   6.000,  -2.212,
   7.000,   5.809,
   8.000,   5.809,
   9.000,   3.395,
  10.000,  -4.198,
  11.000,  -5.045,
  12.000,  -5.045,
  13.000,   0.803,
  14.000,  17.411,
  15.000,  18.543,
  16.000,  18.543,
  17.000,  12.695,
  18.000,  -5.892,
  19.000, -13.594,
  20.000, -19.376,
  21.000, -19.376,
  22.000, -12.353,
  23.000,  -9.780,
  24.000, -13.714,
  25.000, -15.321,
  26.000, -21.841,
  27.000, -15.112,
  28.000,  -5.396,
  29.000,  -3.789,
  30.000,   1.751,
  31.000,  -4.839,
  32.000,  -6.663,
  33.000,  -6.663,
  34.000,  -2.380,
  35.000,   1.479,
  36.000,   3.304,
  37.000,   3.304,
  38.000,   0.000,
  39.000,  -6.619,
  40.000, -13.021,
  41.000, -14.678,
  42.000, -16.032,
  43.000,  -9.413,
  44.000,  -1.483,
  45.000,   1.658,
  46.000,   5.220,
  47.000,   5.220,
  48.000,   4.723,
  49.000,   3.238,
  50.000,  -2.461,
  51.000,  -5.604,
  52.000,  -7.573,
  53.000,  -7.573,
  54.000,  -4.605,
  55.000,  -2.553,
  56.000,  -3.297,
  57.000,  -3.297,
  58.000,  -2.773,
  59.000,   0.006,
  60.000,   1.688,
  61.000,   1.688,
  62.000,   1.688,
  63.000,   0.000,
  64.000,   0.000,
  65.000,   0.000,
  66.000,  -1.321,
  67.000,  -5.878,
  68.000,  -9.488,
  69.000,  -9.488,
  70.000,  -8.167,
  71.000,  -3.609,
  72.000,   1.352,
  73.000,   1.741,
  74.000,   6.518,
  75.000,  13.691,
  76.000,  12.338,
  77.000,  18.982,
  78.000,  16.070,
  79.000,   8.898,
  80.000,  -0.244,
  81.000, -12.121,
  82.000, -13.987,
  83.000, -13.987,
  84.000,  -4.399,
  85.000,   5.877,
  86.000,   5.877,
  87.000,   1.494,
  88.000,  -6.552,
  89.000, -11.983,
  90.000, -13.731,
  91.000, -11.799,
  92.000,  -2.748,
  93.000,  -2.748,
  94.000,   0.049,
  95.000,   2.423,
  96.000,   0.972,
  97.000,  -2.954,
  98.000,  -8.251,
  99.000,  -8.783,
 100.000,  -8.783,
 101.000,  -4.857,
 102.000,  -0.609,
 103.000,   1.620,
 104.000,   1.620,
 105.000,   1.620,
 106.000,   7.672,
 107.000,   6.052,
 108.000,   6.052,
 109.000,  -1.678,
 110.000,  -7.730,
 111.000,  -8.364,
 112.000,  -8.364,
 113.000,  -0.634,
 114.000,  -0.634,
 115.000,   0.000,
 116.000,   0.000,
 117.000,   0.000,
 118.000,   0.000,
 119.000,   2.067,
 120.000,   2.067,
 121.000,   2.067,
 122.000,   2.067,
 123.000,   0.000,
 124.000,   0.372,
 125.000,   0.372,
 126.000,   0.372,
 127.000,   2.890,
 128.000,   2.518,
