$USGS 12404500; LAUW - Kettle River near Laurier  1/1/2011-12/31/2015,,
,,
JDAY,QIN,
1,12.6,
60,13.48,
61,13.48,
62,12.97,
63,13.37,
64,13.31,
65,13.48,
66,13.99,
67,13.88,
68,13.37,
69,13.96,
70,14.55,
71,15.26,
72,15.63,
73,16.88,
74,18.55,
75,19.88,
76,21.29,
77,22.03,
78,22.31,
79,22.68,
80,22.94,
81,23.76,
82,25.2,
83,27.13,
84,28.09,
85,28.88,
86,30.3,
87,31.43,
88,32.28,
89,34.83,
90,40.49,
91,48.7,
92,57.48,
93,59.75,
94,58.9,
95,59.47,
96,60.31,
97,59.47,
98,57.2,
99,55.5,
100,55.5,
101,56.92,
102,61.73,
103,64.56,
104,66.26,
105,66.83,
106,66.83,
107,69.09,
108,69.66,
109,67.68,
110,65.41,
111,63.71,
112,62.3,
113,60.88,
114,61.73,
115,67.11,
116,81.55,
117,98.54,
118,111.29,
119,114.12,
120,109.02,
121,106.75,
122,113.55,
123,133.37,
124,148.95,
125,161.12,
126,178.4,
127,194.25,
128,240.13,
129,268.16,
130,286,
131,336.97,
132,421.92,
133,515.37,
134,481.39,
135,521.03,
136,574.83,
137,631.47,
138,574.83,
139,506.87,
140,501.21,
141,535.19,
142,588.99,
143,645.62,
144,648.46,
145,645.62,
146,668.28,
147,744.73,
148,659.78,
149,580.5,
150,538.02,
151,515.37,
152,523.86,
153,543.68,
154,538.02,
155,518.2,
156,523.86,
157,566.34,
158,605.98,
159,639.96,
160,645.62,
161,572,
162,566.34,
163,560.67,
164,535.19,
165,509.7,
166,475.72,
167,438.91,
168,404.93,
169,402.1,
170,410.59,
171,421.92,
172,416.26,
173,419.09,
174,427.58,
175,421.92,
176,351.13,
177,291.66,
178,258.25,
179,254.57,
180,286,
181,319.98,
182,281.47,
183,233.61,
184,217.76,
185,223.14,
186,215.21,
187,204.16,
188,205.58,
189,210.39,
190,196.8,
191,167.35,
192,151.21,
193,142.43,
194,139.89,
195,140.17,
196,136.49,
197,132.81,
198,122.9,
199,117.51,
200,111.57,
201,105.91,
202,100.81,
203,102.79,
204,111.85,
205,99.68,
206,89.2,
207,86.37,
208,114.12,
209,108.45,
210,92.03,
211,82.97,
212,75.61,
213,69.38,
214,64.28,
215,60.03,
216,56.07,
217,52.39,
218,48.99,
219,45.87,
220,43.04,
221,40.49,
222,38.23,
223,36.25,
224,34.83,
225,33.7,
226,32.28,
227,30.87,
228,29.45,
229,28.29,
230,27.55,
231,26.76,
232,25.66,
233,24.78,
234,22.2,
235,20.08,
236,18.97,
237,17.95,
238,17.02,
239,16.28,
240,15.43,
241,14.75,
242,14.1,
243,13.54,
244,12.88,
245,12.37,
246,11.92,
247,11.58,
248,11.27,
249,10.93,
250,10.53,
251,10.19,
252,9.85,
253,9.57,
254,9.29,
255,9.03,
256,8.81,
257,8.61,
258,8.38,
259,8.21,
260,7.99,
261,7.96,
262,7.93,
263,7.84,
264,7.84,
265,7.96,
266,7.96,
267,8.04,
268,7.96,
269,7.7,
270,7.67,
271,7.62,
272,7.62,
273,7.62,
274,7.73,
275,7.84,
276,7.87,
277,7.96,
278,8.24,
279,8.89,
280,9.12,
281,9.85,
282,10,
283,9.91,
284,9.8,
285,9.77,
286,10.31,
287,10.51,
288,10.62,
289,10.51,
290,10.02,
291,9.6,
292,9.23,
293,8.98,
294,8.75,
295,8.66,
296,8.66,
297,8.61,
298,9.26,
299,9.15,
300,9.17,
301,9.17,
302,8.98,
303,8.81,
304,8.78,
305,8.78,
306,8.78,
307,8.75,
308,8.78,
309,8.5,
310,8.3,
311,7.76,
312,6.99,
313,7.28,
314,7.76,
315,8.13,
316,8.1,
317,8.33,
318,8.41,
319,8.33,
320,7.53,
321,5.95,
322,5.1,
323,5.95,
324,6.8,
325,6.23,
326,7.7,
327,8.64,
328,9.34,
329,9.6,
330,9.77,
331,9.37,
332,9.49,
333,9.2,
334,9.15,
335,8.89,
336,6,
337,5.1,
338,4.39,
339,4.53,
340,4.39,
341,4.11,
342,3.96,
343,4.25,
344,4.81,
345,5.38,
346,6.23,
347,7.02,
348,7.96,
349,8.07,
350,7.93,
351,7.99,
352,7.99,
353,7.73,
354,7.65,
355,7.42,
356,6.68,
357,6.06,
358,6.23,
359,7.19,
360,7.25,
361,7.62,
362,7.99,
363,8.18,
364,8.41,
365,8.18,
366,7.82,
366.010416666664,8.29682823300212,
366.020833333336,8.29682823300212,
366.03125,8.41009551263355,
366.041666666664,8.41009551263355,
366.052083333336,8.29682823300212,
366.0625,8.29682823300212,
366.072916666664,8.29682823300212,
366.083333333336,8.29682823300212,
366.09375,8.18356095337069,
366.104166666664,8.18356095337069,
366.114583333336,8.18356095337069,
366.125,8.07029367373926,
366.135416666664,8.07029367373926,
366.145833333336,7.95702639410784,
366.15625,7.84375911447641,
366.166666666664,7.84375911447641,
366.177083333336,7.73049183484498,
366.1875,7.73049183484498,
366.197916666664,7.61722455521355,
366.208333333336,7.61722455521355,
366.21875,7.61722455521355,
366.229166666664,7.50395727558212,
366.239583333336,7.50395727558212,
366.25,7.50395727558212,
366.260416666664,7.50395727558212,
366.270833333336,7.50395727558212,
366.28125,7.50395727558212,
366.291666666664,7.50395727558212,
366.302083333336,7.50395727558212,
366.3125,7.50395727558212,
366.322916666664,7.50395727558212,
366.333333333336,7.61722455521355,
366.34375,7.61722455521355,
366.354166666664,7.61722455521355,
366.364583333336,7.73049183484498,
366.375,7.73049183484498,
366.385416666664,7.73049183484498,
366.395833333336,7.73049183484498,
366.40625,7.73049183484498,
366.416666666664,7.84375911447641,
366.427083333336,7.84375911447641,
366.4375,7.84375911447641,
366.447916666664,7.84375911447641,
366.458333333336,7.95702639410784,
366.46875,7.95702639410784,
366.479166666664,7.95702639410784,
366.489583333336,7.95702639410784,
366.5,7.95702639410784,
366.510416666664,7.95702639410784,
366.520833333336,8.07029367373926,
366.53125,8.07029367373926,
366.541666666664,8.07029367373926,
366.552083333336,8.07029367373926,
366.5625,8.07029367373926,
366.572916666664,8.07029367373926,
366.583333333336,7.95702639410784,
366.59375,7.95702639410784,
366.604166666664,7.95702639410784,
366.614583333336,7.84375911447641,
366.625,7.84375911447641,
366.635416666664,7.73049183484498,
366.645833333336,7.73049183484498,
366.65625,7.61722455521355,
366.666666666664,7.61722455521355,
366.677083333336,7.61722455521355,
366.6875,7.50395727558212,
366.697916666664,7.50395727558212,
366.708333333336,7.50395727558212,
366.71875,7.50395727558212,
366.729166666664,7.50395727558212,
366.739583333336,7.50395727558212,
366.75,7.50395727558212,
366.760416666664,7.50395727558212,
366.770833333336,7.50395727558212,
366.78125,7.50395727558212,
366.791666666664,7.50395727558212,
366.802083333336,7.50395727558212,
366.8125,7.50395727558212,
366.822916666664,7.61722455521355,
366.833333333336,7.61722455521355,
366.84375,7.61722455521355,
366.854166666664,7.61722455521355,
366.864583333336,7.73049183484498,
366.875,7.73049183484498,
366.885416666664,7.73049183484498,
366.895833333336,7.84375911447641,
366.90625,7.84375911447641,
366.916666666664,7.84375911447641,
366.927083333336,7.95702639410784,
366.9375,7.95702639410784,
366.947916666664,7.95702639410784,
366.958333333336,7.95702639410784,
366.96875,7.95702639410784,
366.979166666664,7.95702639410784,
366.989583333336,7.95702639410784,
367,7.95702639410784,
367.010416666664,7.95702639410784,
367.020833333336,7.95702639410784,
367.03125,7.95702639410784,
367.041666666664,7.95702639410784,
367.052083333336,7.95702639410784,
367.0625,7.84375911447641,
367.072916666664,7.84375911447641,
367.083333333336,7.84375911447641,
367.09375,7.84375911447641,
367.104166666664,7.73049183484498,
367.114583333336,7.73049183484498,
367.125,7.73049183484498,
367.135416666664,7.73049183484498,
367.145833333336,7.61722455521355,
367.15625,7.61722455521355,
367.166666666664,7.61722455521355,
367.177083333336,7.61722455521355,
367.1875,7.61722455521355,
367.197916666664,7.61722455521355,
367.208333333336,7.61722455521355,
367.21875,7.61722455521355,
367.229166666664,7.61722455521355,
367.239583333336,7.61722455521355,
367.25,7.61722455521355,
367.260416666664,7.61722455521355,
367.270833333336,7.61722455521355,
367.28125,7.61722455521355,
367.291666666664,7.61722455521355,
367.302083333336,7.61722455521355,
367.3125,7.61722455521355,
367.322916666664,7.61722455521355,
367.333333333336,7.73049183484498,
367.34375,7.73049183484498,
367.354166666664,7.73049183484498,
367.364583333336,7.73049183484498,
367.375,7.84375911447641,
367.385416666664,7.84375911447641,
367.395833333336,7.84375911447641,
367.40625,7.84375911447641,
367.416666666664,7.95702639410784,
367.427083333336,7.95702639410784,
367.4375,7.95702639410784,
367.447916666664,7.95702639410784,
367.458333333336,8.07029367373926,
367.46875,8.07029367373926,
367.479166666664,8.07029367373926,
367.489583333336,8.18356095337069,
367.5,8.18356095337069,
367.510416666664,8.18356095337069,
367.520833333336,8.29682823300212,
367.53125,8.29682823300212,
367.541666666664,8.41009551263355,
367.552083333336,8.41009551263355,
367.5625,8.41009551263355,
367.572916666664,8.41009551263355,
367.583333333336,8.29682823300212,
367.59375,8.29682823300212,
367.604166666664,8.18356095337069,
367.614583333336,8.18356095337069,
367.625,8.07029367373926,
367.635416666664,7.95702639410784,
367.645833333336,7.84375911447641,
367.65625,7.84375911447641,
367.666666666664,7.73049183484498,
367.677083333336,7.61722455521355,
367.6875,7.50395727558212,
367.697916666664,7.50395727558212,
367.708333333336,7.39068999595069,
367.71875,7.39068999595069,
367.729166666664,7.39068999595069,
367.739583333336,7.27742271631927,
367.75,7.27742271631927,
367.760416666664,7.27742271631927,
367.770833333336,7.27742271631927,
367.78125,7.27742271631927,
367.791666666664,7.27742271631927,
367.802083333336,7.39068999595069,
367.8125,7.39068999595069,
367.822916666664,7.39068999595069,
367.833333333336,7.39068999595069,
367.84375,7.50395727558212,
367.854166666664,7.50395727558212,
367.864583333336,7.50395727558212,
367.875,7.61722455521355,
367.885416666664,7.61722455521355,
367.895833333336,7.61722455521355,
367.90625,7.73049183484498,
367.916666666664,7.73049183484498,
367.927083333336,7.73049183484498,
367.9375,7.84375911447641,
367.947916666664,7.84375911447641,
367.958333333336,7.84375911447641,
367.96875,7.84375911447641,
367.979166666664,7.84375911447641,
367.989583333336,7.84375911447641,
368,7.84375911447641,
368.010416666664,7.84375911447641,
368.020833333336,7.84375911447641,
368.03125,7.84375911447641,
368.041666666664,7.84375911447641,
368.052083333336,7.73049183484498,
368.0625,7.73049183484498,
368.072916666664,7.73049183484498,
368.083333333336,7.61722455521355,
368.09375,7.61722455521355,
368.104166666664,7.50395727558212,
368.114583333336,7.50395727558212,
368.125,7.39068999595069,
368.135416666664,7.39068999595069,
368.145833333336,7.27742271631927,
368.15625,7.27742271631927,
368.166666666664,7.27742271631927,
368.177083333336,7.16415543668784,
368.1875,7.16415543668784,
368.197916666664,7.16415543668784,
368.208333333336,7.16415543668784,
368.21875,7.16415543668784,
368.229166666664,7.16415543668784,
368.239583333336,7.16415543668784,
368.25,7.16415543668784,
368.260416666664,7.27742271631927,
368.270833333336,7.27742271631927,
368.28125,7.27742271631927,
368.291666666664,7.39068999595069,
368.302083333336,7.39068999595069,
368.3125,7.50395727558212,
368.322916666664,7.50395727558212,
368.333333333336,7.61722455521355,
368.34375,7.73049183484498,
368.354166666664,7.73049183484498,
368.364583333336,7.84375911447641,
368.375,7.84375911447641,
368.385416666664,7.95702639410784,
368.395833333336,7.95702639410784,
368.40625,7.95702639410784,
368.416666666664,7.95702639410784,
368.427083333336,7.95702639410784,
368.4375,7.95702639410784,
368.447916666664,7.95702639410784,
368.458333333336,7.95702639410784,
368.46875,7.95702639410784,
368.479166666664,7.95702639410784,
368.489583333336,7.95702639410784,
368.5,7.84375911447641,
368.510416666664,7.84375911447641,
368.520833333336,7.84375911447641,
368.53125,7.73049183484498,
368.541666666664,7.73049183484498,
368.552083333336,7.73049183484498,
368.5625,7.61722455521355,
368.572916666664,7.61722455521355,
368.583333333336,7.50395727558212,
368.59375,7.50395727558212,
368.604166666664,7.50395727558212,
368.614583333336,7.39068999595069,
368.625,7.39068999595069,
368.635416666664,7.39068999595069,
368.645833333336,7.39068999595069,
368.65625,7.27742271631927,
368.666666666664,7.27742271631927,
368.677083333336,7.27742271631927,
368.6875,7.27742271631927,
368.697916666664,7.27742271631927,
368.708333333336,7.27742271631927,
368.71875,7.27742271631927,
368.729166666664,7.27742271631927,
368.739583333336,7.27742271631927,
368.75,7.27742271631927,
368.760416666664,7.39068999595069,
368.770833333336,7.39068999595069,
368.78125,7.39068999595069,
368.791666666664,7.39068999595069,
368.802083333336,7.50395727558212,
368.8125,7.50395727558212,
368.822916666664,7.50395727558212,
368.833333333336,7.50395727558212,
368.84375,7.61722455521355,
368.854166666664,7.61722455521355,
368.864583333336,7.61722455521355,
368.875,7.73049183484498,
368.885416666664,7.73049183484498,
368.895833333336,7.73049183484498,
368.90625,7.84375911447641,
368.916666666664,7.84375911447641,
368.927083333336,7.84375911447641,
368.9375,7.84375911447641,
368.947916666664,7.84375911447641,
368.958333333336,7.84375911447641,
368.96875,7.84375911447641,
368.979166666664,7.84375911447641,
368.989583333336,7.84375911447641,
369,7.84375911447641,
369.010416666664,7.84375911447641,
369.020833333336,7.84375911447641,
369.03125,7.84375911447641,
369.041666666664,7.84375911447641,
