$USGS 12409000 - Colville River at Kettle Falls  1/1/2011-12/31/2015,,
,,
JDAY,QIN,
1,1.87,
2,3.77,
3,3.99,
4,4.02,
5,4.19,
6,4.16,
7,4.53,
8,4.81,
9,4.47,
10,3.51,
11,2.46,
12,2.69,
13,3.14,
14,3.94,
15,5.15,
16,7.31,
17,8.5,
18,9.57,
19,9.91,
20,8.5,
21,8.24,
22,7.59,
23,7.14,
24,6.8,
25,6.65,
26,7.16,
27,7.16,
28,7.08,
29,7.08,
30,7.05,
31,6.68,
32,3.68,
33,3.11,
34,4.5,
35,6.09,
36,6.17,
37,6.63,
38,6.51,
39,6.37,
40,5.89,
41,5.64,
42,5.44,
43,5.27,
44,5.41,
45,5.89,
46,6.8,
47,8.64,
48,8.98,
49,8.41,
50,7.65,
51,6.99,
52,6.57,
53,6.82,
54,6.51,
55,6.17,
56,3.4,
57,3.11,
58,4.98,
59,6.37,
60,6.74,
61,6.97,
62,6.97,
63,7.05,
64,7.05,
65,7.39,
66,7.65,
67,7.56,
68,7.62,
69,9.43,
70,13.96,
71,14.98,
72,15.69,
73,18.6,
74,21.44,
75,22.8,
76,24.07,
77,23.56,
78,23.5,
79,24.13,
80,23.98,
81,24.01,
82,24.78,
83,23.81,
84,23.11,
85,23.05,
86,23.33,
87,24.21,
88,24.35,
89,25.29,
90,28.6,
91,30.58,
92,33.7,
93,36.53,
94,35.4,
95,35.11,
96,35.11,
97,34.55,
98,33.41,
99,32,
100,31.15,
101,30.02,
102,30.58,
103,30.3,
104,29.73,
105,29.45,
106,29.73,
107,30.58,
108,30.58,
109,29.73,
110,28.6,
111,27.95,
112,28.09,
113,27.61,
114,26.62,
115,26.33,
116,28.12,
117,31.71,
118,32.85,
119,33.13,
120,32.56,
121,32,
122,32,
123,32.56,
124,33.7,
125,33.98,
126,34.26,
127,35.11,
128,38.23,
129,41.06,
130,41.63,
131,41.91,
132,43.32,
133,46.44,
134,47.86,
135,48.42,
136,51.82,
137,56.07,
138,58.62,
139,57.48,
140,54.37,
141,51.54,
142,49.55,
143,49.27,
144,47.01,
145,43.89,
146,42.76,
147,47.29,
148,51.82,
149,51.25,
150,48.42,
151,44.17,
152,41.34,
153,38.79,
154,36.53,
155,34.55,
156,33.13,
157,31.71,
158,30.58,
159,29.73,
160,29.73,
161,28.6,
162,28.32,
163,27.58,
164,25.49,
165,25.32,
166,23.87,
167,23.47,
168,23.02,
169,22.26,
170,21.18,
171,20.44,
172,19.4,
173,18.41,
174,17.53,
175,16.65,
176,16.11,
177,15.23,
178,15.01,
179,14.58,
180,13.99,
181,13.37,
182,12.88,
183,12.43,
184,11.98,
185,11.47,
186,10.96,
187,10.31,
188,9.91,
189,9.51,
190,9.26,
191,9.06,
192,8.89,
193,8.69,
194,8.78,
195,9.23,
196,9.03,
197,8.72,
198,8.41,
199,8.13,
200,7.82,
201,8.13,
202,7.96,
203,8.24,
204,8.44,
205,7.67,
206,7.16,
207,7.36,
208,7.76,
209,7.36,
210,6.94,
211,6.63,
212,6.37,
213,6.06,
214,5.64,
215,5.38,
216,5.21,
217,5.04,
218,4.84,
219,4.73,
220,4.64,
221,4.45,
222,4.25,
223,4.11,
224,4.02,
225,3.91,
226,3.79,
227,3.77,
228,3.71,
229,3.71,
230,3.62,
231,3.57,
232,3.54,
233,3.51,
234,3.51,
235,3.37,
236,3.23,
237,3.14,
238,3.11,
239,3.14,
240,3.09,
241,3.06,
242,3.03,
243,3,
244,3.03,
245,3.06,
246,3.06,
247,3.03,
248,3,
249,3,
250,2.94,
251,2.92,
252,2.86,
253,2.86,
254,2.86,
255,2.69,
256,2.75,
257,2.75,
258,3.03,
259,2.92,
260,2.92,
261,3.06,
262,3.11,
263,3.11,
264,3.06,
265,3.06,
266,3.06,
267,3,
268,2.94,
269,2.92,
270,2.97,
271,3.06,
272,3.14,
273,3.11,
274,3.06,
275,3.11,
276,3.14,
277,3.14,
278,3.62,
279,3.91,
280,3.96,
281,0,
282,0,
283,0,
284,0,
285,4.02,
286,0,
287,3.65,
288,3.54,
289,3.54,
290,3.54,
291,3.54,
292,3.57,
293,3.6,
294,3.6,
295,3.57,
296,3.68,
297,3.91,
298,3.65,
299,3.54,
300,3.62,
301,3.57,
302,3.6,
303,3.62,
304,3.62,
305,3.6,
306,3.51,
307,3.51,
308,3.54,
309,3.6,
310,3.4,
311,3.4,
312,3.48,
313,3.51,
314,3.51,
315,3.51,
316,3.6,
317,3.82,
318,3.68,
319,3.62,
320,3.14,
321,3.17,
322,3.88,
323,3.82,
324,2.97,
325,3.79,
326,5.1,
327,7.62,
328,9.97,
329,8.61,
330,6.94,
331,5.92,
332,5.3,
333,5.07,
334,4.84,
335,4.62,
336,4.47,
337,4.05,
338,4.13,
339,3.88,
340,3.94,
341,3.43,
342,2.78,
343,3,
344,3,
345,2.92,
346,3.37,
347,3.34,
348,3.85,
349,3.88,
350,3.88,
351,3.91,
352,3.96,
353,3.82,
354,3.51,
355,3.57,
356,2.92,
357,2.78,
358,2.8,
359,3.45,
360,3.74,
361,4.45,
362,4.45,
363,5.61,
364,6.17,
365,5.66,
366,4.98,
366.010416666664,5.35187896258499,
366.020833333336,5.35187896258499,
366.03125,5.35187896258499,
366.041666666664,5.35187896258499,
366.052083333336,5.35187896258499,
366.0625,5.35187896258499,
366.072916666664,5.35187896258499,
366.083333333336,5.35187896258499,
366.09375,5.43682942230856,
366.104166666664,5.43682942230856,
366.114583333336,5.43682942230856,
366.125,5.43682942230856,
366.135416666664,5.43682942230856,
366.145833333336,5.43682942230856,
366.15625,5.43682942230856,
366.166666666664,5.43682942230856,
366.177083333336,5.35187896258499,
366.1875,5.35187896258499,
366.197916666664,5.35187896258499,
366.208333333336,5.35187896258499,
366.21875,5.35187896258499,
366.229166666664,5.35187896258499,
366.239583333336,5.35187896258499,
366.25,5.35187896258499,
366.260416666664,5.35187896258499,
366.270833333336,5.35187896258499,
366.28125,5.35187896258499,
366.291666666664,5.35187896258499,
366.302083333336,5.23861168295356,
366.3125,5.23861168295356,
366.322916666664,5.23861168295356,
366.333333333336,5.23861168295356,
366.34375,5.23861168295356,
366.354166666664,5.23861168295356,
366.364583333336,5.23861168295356,
366.375,5.15366122322999,
366.385416666664,5.15366122322999,
366.395833333336,5.15366122322999,
366.40625,5.15366122322999,
366.416666666664,5.15366122322999,
366.427083333336,5.15366122322999,
366.4375,5.15366122322999,
366.447916666664,4.89880984405927,
366.458333333336,5.15366122322999,
366.46875,5.06871076350641,
366.479166666664,5.06871076350641,
366.489583333336,5.06871076350641,
366.5,5.06871076350641,
366.510416666664,5.06871076350641,
366.520833333336,5.06871076350641,
366.53125,5.06871076350641,
366.541666666664,5.06871076350641,
366.552083333336,5.06871076350641,
366.5625,5.06871076350641,
366.572916666664,4.89880984405927,
366.583333333336,4.89880984405927,
366.59375,4.89880984405927,
366.604166666664,4.89880984405927,
366.614583333336,4.89880984405927,
366.625,4.89880984405927,
366.635416666664,4.89880984405927,
366.645833333336,4.89880984405927,
366.65625,4.89880984405927,
366.666666666664,4.89880984405927,
366.677083333336,4.89880984405927,
366.6875,4.8138593843357,
366.697916666664,4.64395846488856,
366.708333333336,4.8138593843357,
366.71875,4.8138593843357,
366.729166666664,4.8138593843357,
366.739583333336,4.8138593843357,
366.75,4.8138593843357,
366.760416666664,4.8138593843357,
366.770833333336,4.8138593843357,
366.78125,4.8138593843357,
366.791666666664,4.8138593843357,
366.802083333336,4.8138593843357,
366.8125,4.72890892461213,
366.822916666664,4.8138593843357,
366.833333333336,4.8138593843357,
366.84375,4.72890892461213,
366.854166666664,4.72890892461213,
366.864583333336,4.72890892461213,
366.875,4.72890892461213,
366.885416666664,4.72890892461213,
366.895833333336,4.72890892461213,
366.90625,4.72890892461213,
366.916666666664,4.72890892461213,
366.927083333336,4.72890892461213,
366.9375,4.8138593843357,
366.947916666664,4.8138593843357,
366.958333333336,4.8138593843357,
366.96875,4.8138593843357,
366.979166666664,4.8138593843357,
366.989583333336,4.8138593843357,
367,4.8138593843357,
367.010416666664,4.8138593843357,
367.020833333336,4.8138593843357,
367.03125,4.8138593843357,
367.041666666664,4.8138593843357,
367.052083333336,4.8138593843357,
367.0625,4.8138593843357,
367.072916666664,4.8138593843357,
367.083333333336,4.8138593843357,
367.09375,4.8138593843357,
367.104166666664,4.8138593843357,
367.114583333336,4.8138593843357,
367.125,4.8138593843357,
367.135416666664,4.8138593843357,
367.145833333336,4.8138593843357,
367.15625,4.8138593843357,
367.166666666664,4.8138593843357,
367.177083333336,4.8138593843357,
367.1875,4.8138593843357,
367.197916666664,4.8138593843357,
367.208333333336,4.8138593843357,
367.21875,4.8138593843357,
367.229166666664,4.8138593843357,
367.239583333336,4.8138593843357,
367.25,4.8138593843357,
367.260416666664,4.8138593843357,
367.270833333336,4.8138593843357,
367.28125,4.8138593843357,
367.291666666664,4.72890892461213,
367.302083333336,4.72890892461213,
367.3125,4.72890892461213,
367.322916666664,4.64395846488856,
367.333333333336,4.64395846488856,
367.34375,4.64395846488856,
367.354166666664,4.64395846488856,
367.364583333336,4.64395846488856,
367.375,4.64395846488856,
367.385416666664,4.64395846488856,
367.395833333336,4.64395846488856,
367.40625,4.64395846488856,
367.416666666664,4.64395846488856,
367.427083333336,4.4174239056257,
367.4375,4.27583980608642,
367.447916666664,4.27583980608642,
367.458333333336,4.19088934636285,
367.46875,4.19088934636285,
