$Spokane River at Long Lake (USGS 12433000)   1/1/2011 - 12/31/2015,,
,,
JDAY,QIN,
1,233.33,
2,230.78,
3,225.69,
4,209.83,
5,209.83,
6,202.75,
7,199.63,
8,199.63,
9,199.63,
10,199.63,
11,199.63,
12,199.63,
13,199.63,
14,248.62,
15,302.99,
16,345.47,
17,498.38,
18,665.45,
19,719.25,
20,724.91,
21,699.43,
22,628.63,
23,628.63,
24,656.95,
25,671.11,
26,656.95,
27,608.81,
28,569.17,
29,492.71,
30,481.39,
31,489.88,
32,489.88,
33,470.06,
34,447.41,
35,413.43,
36,382.28,
37,368.12,
38,368.12,
39,351.13,
40,322.81,
41,311.49,
42,294.5,
43,280.05,
44,273.26,
45,252.3,
46,252.3,
47,252.59,
48,255.98,
49,252.3,
50,241.54,
51,220.31,
52,220.31,
53,220.31,
54,219.17,
55,215.21,
56,189.72,
57,189.72,
58,189.72,
59,189.72,
60,189.72,
61,189.72,
62,189.72,
63,189.72,
64,189.72,
65,197.93,
66,189.72,
67,189.72,
68,189.72,
69,231.35,
70,311.49,
71,274.67,
72,266.46,
73,288.83,
74,311.49,
75,393.6,
76,376.61,
77,387.94,
78,393.6,
79,419.09,
80,399.27,
81,461.56,
82,433.25,
83,407.76,
84,396.44,
85,396.44,
86,421.92,
87,419.09,
88,407.76,
89,424.75,
90,475.72,
91,484.22,
92,546.52,
93,622.97,
94,679.6,
95,750.4,
96,792.87,
97,775.88,
98,736.24,
99,758.89,
100,724.91,
101,654.12,
102,549.35,
103,495.54,
104,538.02,
105,526.69,
106,529.53,
107,532.36,
108,521.03,
109,518.2,
110,509.7,
111,504.04,
112,492.71,
113,478.55,
114,464.4,
115,455.9,
116,467.23,
117,492.71,
118,512.53,
119,509.7,
120,509.7,
121,509.7,
122,495.54,
123,495.54,
124,492.71,
125,484.22,
126,484.22,
127,487.05,
128,504.04,
129,543.68,
130,588.99,
131,654.12,
132,467.23,
133,597.49,
134,656.95,
135,673.94,
136,753.23,
137,906.14,
138,934.46,
139,920.3,
140,906.14,
141,891.98,
142,886.32,
