$USGS 12399500 - Columbia River at International Boundary   1/1/2011-12/31/2015,,
,,
JDAY,QIN,
1,2548.52,
2,2435.25,
3,2406.93,
4,2367.29,
5,2392.77,
6,2347.47,
7,2319.15,
8,2398.44,
9,2426.75,
10,2500.38,
11,2633.47,
12,2721.25,
13,2633.47,
14,2794.87,
15,2763.72,
16,2738.24,
17,2820.36,
18,2888.32,
19,3114.85,
20,3341.39,
21,3398.02,
22,3398.02,
23,3029.9,
24,3058.22,
25,2860,
26,3001.59,
27,2944.95,
28,2777.88,
29,2599.49,
30,2239.86,
31,2432.42,
32,2256.85,
33,2276.67,
34,2466.4,
35,2605.15,
36,2576.83,
37,2729.74,
38,2769.39,
39,2732.58,
40,2775.05,
41,3001.59,
42,2944.95,
43,3001.59,
44,2916.64,
45,2944.95,
46,2823.19,
47,2760.89,
48,2746.73,
49,2792.04,
50,2916.64,
51,2916.64,
52,2860,
53,2789.21,
54,2712.75,
55,2817.53,
56,2780.71,
57,2758.06,
58,2786.38,
59,2916.64,
60,2944.95,
61,2831.68,
62,2916.64,
63,2860,
64,2633.47,
65,2548.52,
66,2562.67,
67,2554.18,
68,2551.35,
69,2542.85,
70,2559.84,
71,2480.56,
72,2321.98,
73,2503.21,
74,2503.21,
75,2494.71,
76,2528.69,
77,2599.49,
78,2644.79,
79,2763.72,
80,2687.27,
81,2789.21,
82,2860,
83,2860,
84,2724.08,
85,2724.08,
86,2644.79,
87,2576.83,
88,2557.01,
89,2667.45,
90,2641.96,
91,2435.25,
92,2276.67,
93,2381.45,
94,2602.32,
95,2559.84,
96,2469.23,
97,2602.32,
98,2658.95,
99,2613.64,
100,2639.13,
101,2715.59,
102,2622.14,
103,2562.67,
104,2582.5,
105,2528.69,
106,2548.52,
107,2508.87,
108,2545.68,
109,2571.17,
110,2565.51,
111,2639.13,
112,2627.8,
113,2650.46,
114,2506.04,
115,2551.35,
116,2554.18,
117,2565.51,
118,2554.18,
119,2579.66,
120,2630.64,
121,2670.28,
122,2698.6,
123,2735.41,
124,2820.36,
125,2973.27,
126,2944.95,
127,3029.9,
128,3199.8,
129,3341.39,
130,3539.61,
131,3652.87,
132,3737.82,
133,3936.04,
134,4105.94,
135,4247.53,
136,4474.06,
137,4700.6,
138,4785.55,
139,4983.77,
140,5012.08,
141,5266.93,
142,5493.47,
143,5691.69,
144,5776.64,
145,5833.27,
146,6003.17,
147,6173.07,
148,6173.07,
149,6258.02,
150,6229.71,
151,6229.71,
152,6286.34,
153,6286.34,
154,6314.66,
155,6314.66,
156,6399.61,
157,6541.19,
158,6654.46,
159,6852.68,
160,6852.68,
161,6909.31,
162,7107.53,
163,7220.8,
164,7277.43,
165,7390.7,
166,7419.01,
167,7447.33,
168,7419.01,
169,7390.7,
170,7419.01,
171,7447.33,
172,7419.01,
173,7419.01,
174,7475.65,
175,7419.01,
176,7334.06,
177,7192.48,
178,7079.21,
179,7135.85,
180,7220.8,
184,6994.26,
185,6852.68,
186,6880.99,
187,6965.94,
188,7107.53,
189,7249.11,
190,7249.11,
191,6852.68,
192,5946.54,
193,6003.17,
194,5804.95,
195,5663.37,
196,5550.1,
197,5181.98,
198,5097.03,
199,5068.72,
200,5068.72,
201,5238.62,
202,5012.08,
203,4927.13,
204,4728.91,
205,4672.28,
206,4559.01,
207,4474.06,
208,4389.11,
209,4474.06,
210,4389.11,
211,4360.79,
212,4190.89,
213,4105.94,
214,3992.68,
215,3822.77,
216,3567.92,
217,3511.29,
218,3596.24,
219,3766.14,
220,3766.14,
221,3624.56,
222,3766.14,
223,3652.87,
224,3709.51,
225,3482.97,
226,3454.66,
227,3482.97,
228,3596.24,
229,3567.92,
237,3029.9,
238,2973.27,
239,2944.95,
240,2831.68,
241,2916.64,
242,2817.53,
243,2749.57,
244,2588.16,
245,2364.46,
246,2341.8,
247,2242.69,
248,2273.84,
249,2299.33,
250,2304.99,
251,2299.33,
252,2290.83,
253,2135.09,
254,2160.58,
255,2174.73,
256,2214.38,
257,2378.62,
258,2307.82,
259,2279.51,
260,2140.75,
261,2013.33,
262,2103.94,
263,2220.04,
264,1931.21,
265,1996.34,
266,2050.14,
267,2007.66,
268,1832.1,
269,1962.36,
270,2140.75,
271,2169.07,
272,2157.74,
273,2194.56,
274,2137.92,
275,2228.54,
276,2135.09,
280,2372.95,
281,2268.18,
282,2160.58,
283,2186.06,
284,2166.24,
285,2248.36,
286,2239.86,
287,2214.38,
288,2103.94,
289,2092.61,
290,2169.07,
291,2169.07,
292,2231.37,
293,2279.51,
294,2251.19,
295,2276.67,
296,2180.4,
297,2171.9,
298,2169.07,
299,2177.57,
300,2231.37,
301,2344.63,
302,2242.69,
303,2310.65,
304,2435.25,
305,2279.51,
306,2353.13,
307,2404.1,
308,2350.3,
309,2398.44,
310,2455.07,
311,2389.94,
312,2355.96,
313,2143.59,
314,2157.74,
315,2256.85,
316,2211.55,
317,2186.06,
318,2220.04,
319,2248.36,
320,2372.95,
321,2531.53,
322,2316.32,
323,2217.21,
324,2273.84,
325,2299.33,
326,2302.16,
327,2440.91,
328,2432.42,
329,2409.76,
330,2412.6,
331,2177.57,
332,2271.01,
333,2248.36,
334,2154.91,
335,2203.05,
336,2120.93,
337,2203.05,
338,2203.05,
339,2347.47,
340,2389.94,
341,2449.41,
342,2426.75,
343,2511.7,
344,2551.35,
345,2738.24,
346,2766.56,
347,2735.41,
348,2806.2,
349,2888.32,
350,2860,
351,2607.98,
352,2658.95,
353,2675.94,
354,2664.62,
355,2752.4,
356,2755.23,
357,2721.25,
358,2528.69,
359,2545.68,
360,2579.66,
361,2684.44,
362,2797.7,
363,2811.86,
364,2860,
365,2715.59,
366,2596.65,
366.010416666664,2455.06828601121,
366.020833333336,2409.76137415864,
366.03125,2372.94950827842,
366.041666666664,2338.96932438899,
366.052083333336,2310.65250448114,
366.0625,2287.99904855485,
366.072916666664,2268.17727461935,
366.083333333336,2254.01886466542,
366.09375,2242.69213670228,
366.104166666664,2228.53372674835,
366.114583333336,2222.87036276678,
366.125,2217.20699878521,
366.135416666664,2217.20699878521,
366.145833333336,2214.37531679442,
366.15625,2211.54363480364,
366.166666666664,2211.54363480364,
366.177083333336,2211.54363480364,
366.1875,2208.71195281285,
366.197916666664,2208.71195281285,
366.208333333336,2208.71195281285,
366.21875,2208.71195281285,
366.229166666664,2208.71195281285,
366.239583333336,2208.71195281285,
366.25,2208.71195281285,
366.260416666664,2208.71195281285,
366.270833333336,2220.03868077599,
366.28125,2242.69213670228,
366.291666666664,2259.68222864699,
366.302083333336,2282.33568457328,
366.3125,2299.32577651799,
366.322916666664,2319.14755045349,
366.333333333336,2333.30596040742,
366.34375,2347.46437036135,
366.354166666664,2367.28614429685,
366.364583333336,2395.60296420471,
366.375,2421.08810212178,
366.385416666664,2457.89996800199,
366.395833333336,2494.71183388221,
366.40625,2525.86033578085,
366.416666666664,2559.84051967028,
366.427083333336,2599.48406754128,
366.4375,2630.63256943992,
366.447916666664,2658.94938934778,
366.458333333336,2681.60284527406,
366.46875,2704.25630120035,
366.479166666664,2721.24639314506,
366.489583333336,2735.40480309899,
366.5,2749.56321305292,
366.510416666664,2760.88994101606,
366.520833333336,2769.38498698842,
366.53125,2775.04835096999,
366.541666666664,2777.88003296078,
366.552083333336,2780.71171495156,
366.5625,2780.71171495156,
366.572916666664,2783.54339694235,
366.583333333336,2786.37507893314,
366.59375,2786.37507893314,
366.604166666664,2786.37507893314,
366.614583333336,2786.37507893314,
366.625,2786.37507893314,
366.635416666664,2786.37507893314,
366.645833333336,2792.03844291471,
366.65625,2803.36517087785,
366.666666666664,2826.01862680414,
366.677083333336,2859.99881069356,
366.6875,2859.99881069356,
366.697916666664,2888.31563060142,
366.708333333336,2916.63245050928,
366.71875,2944.94927041713,
366.729166666664,2944.94927041713,
366.739583333336,2973.26609032499,
366.75,2973.26609032499,
366.760416666664,3001.58291023285,
366.770833333336,2973.26609032499,
366.78125,2944.94927041713,
366.791666666664,2944.94927041713,
366.802083333336,2916.63245050928,
366.8125,2888.31563060142,
366.822916666664,2859.99881069356,
366.833333333336,2859.99881069356,
366.84375,2831.68199078571,
366.854166666664,2831.68199078571,
366.864583333336,2826.01862680414,
366.875,2820.35526282256,
366.885416666664,2814.69189884099,
366.895833333336,2814.69189884099,
366.90625,2814.69189884099,
366.916666666664,2809.02853485942,
366.927083333336,2809.02853485942,
366.9375,2809.02853485942,
366.947916666664,2809.02853485942,
366.958333333336,2809.02853485942,
366.96875,2792.03844291471,
366.979166666664,2746.73153106214,
366.989583333336,2695.76125522799,
367,2636.29593342149,
367.010416666664,2576.83061161499,
367.020833333336,2520.19697179928,
367.03125,2469.22669596514,
367.041666666664,2421.08810212178,
367.052083333336,2381.44455425078,
367.0625,2344.63268837057,
367.072916666664,2313.48418647192,
367.083333333336,2287.99904855485,
367.09375,2268.17727461935,
367.104166666664,2254.01886466542,
367.114583333336,2242.69213670228,
367.125,2231.36540873914,
367.135416666664,2222.87036276678,
367.145833333336,2220.03868077599,
367.15625,2217.20699878521,
367.166666666664,2214.37531679442,
367.177083333336,2214.37531679442,
367.1875,2211.54363480364,
367.197916666664,2211.54363480364,
367.208333333336,2211.54363480364,
367.21875,2211.54363480364,
367.229166666664,2211.54363480364,
367.239583333336,2208.71195281285,
367.25,2208.71195281285,
367.260416666664,2208.71195281285,
367.270833333336,2222.87036276678,
367.28125,2245.52381869307,
367.291666666664,2268.17727461935,
367.302083333336,2287.99904855485,
367.3125,2304.98914049957,
367.322916666664,2319.14755045349,
367.333333333336,2333.30596040742,
367.34375,2341.80100637978,
367.354166666664,2350.29605235214,
367.364583333336,2355.95941633371,
367.375,2361.62278031528,
367.385416666664,2364.45446230607,
367.395833333336,2367.28614429685,
367.40625,2370.11782628764,
367.416666666664,2375.78119026921,
367.427083333336,2389.93960022314,
367.4375,2409.76137415864,
367.447916666664,2435.24651207571,
367.458333333336,2455.06828601121,
367.46875,2477.72174193749,
367.479166666664,2497.54351587299,
367.489583333336,2508.87024383614,
367.5,2523.02865379006,
367.510416666664,2542.85042772556,
367.520833333336,2568.33556564264,
367.53125,2599.48406754128,
367.541666666664,2627.80088744914,
367.552083333336,2653.28602536621,
367.5625,2675.93948129249,
367.572916666664,2695.76125522799,
367.583333333336,2709.91966518192,
367.59375,2724.07807513585,
367.604166666664,2738.23648508978,
367.614583333336,2746.73153106214,
367.625,2755.22657703449,
367.635416666664,2760.88994101606,
367.645833333336,2763.72162300685,
367.65625,2766.55330499764,
367.666666666664,2769.38498698842,
367.677083333336,2769.38498698842,
367.6875,2780.71171495156,
367.697916666664,2806.19685286864,
367.708333333336,2831.68199078571,
367.71875,2859.99881069356,
367.729166666664,2888.31563060142,
367.739583333336,2916.63245050928,
367.75,2944.94927041713,
367.760416666664,2944.94927041713,
367.770833333336,2973.26609032499,
367.78125,2973.26609032499,
367.791666666664,3001.58291023285,
367.802083333336,3001.58291023285,
367.8125,3001.58291023285,
367.822916666664,3001.58291023285,
367.833333333336,3029.89973014071,
367.84375,3001.58291023285,
367.854166666664,2973.26609032499,
367.864583333336,2944.94927041713,
367.875,2916.63245050928,
367.885416666664,2888.31563060142,
367.895833333336,2888.31563060142,
367.90625,2859.99881069356,
367.916666666664,2859.99881069356,
367.927083333336,2859.99881069356,
367.9375,2859.99881069356,
367.947916666664,2859.99881069356,
367.958333333336,2859.99881069356,
367.96875,2859.99881069356,
367.979166666664,2806.19685286864,
367.989583333336,2743.89984907135,
368,2675.93948129249,
368.010416666664,2610.81079550442,
368.020833333336,2548.51379170714,
368.03125,2491.88015189142,
368.041666666664,2440.90987605728,
368.052083333336,2395.60296420471,
368.0625,2358.79109832449,
368.072916666664,2327.64259642585,
368.083333333336,2299.32577651799,
368.09375,2279.50400258249,
368.104166666664,2259.68222864699,
368.114583333336,2248.35550068385,
368.125,2237.02877272071,
368.135416666664,2228.53372674835,
368.145833333336,2225.70204475757,
368.15625,2220.03868077599,
368.166666666664,2217.20699878521,
368.177083333336,2217.20699878521,
368.1875,2217.20699878521,
368.197916666664,2217.20699878521,
368.208333333336,2217.20699878521,
368.21875,2214.37531679442,
368.229166666664,2214.37531679442,
368.239583333336,2214.37531679442,
368.25,2214.37531679442,
368.260416666664,2211.54363480364,
