$USGS 12434590 - SANPOIL RIVER ABOVE JACK CREEK AT KELLER WA  1/1/2012-12/31/2015,,
,,
JDAY,QIN,
1,2.55,
63,2.55,
64,2.58,
65,2.61,
66,2.61,
67,2.66,
68,2.69,
69,3.4,
70,5.66,
71,6.54,
72,6.88,
73,12.23,
74,18.41,
75,22.68,
76,23.3,
77,20.84,
78,19.45,
79,18.83,
80,18.01,
81,17.53,
82,18.07,
83,18.32,
84,18.55,
85,19.57,
86,21.29,
87,22.71,
88,22.96,
89,24.04,
90,29.17,
91,34.83,
92,36.53,
93,35.96,
94,34.26,
95,33.13,
96,32.28,
97,30.58,
98,28.32,
99,26.93,
100,26.28,
101,27.13,
102,28.88,
103,28.6,
104,28.32,
105,27.41,
106,28.09,
107,28.88,
108,28.29,
109,26.87,
110,25.68,
111,24.81,
112,23.7,
113,23.13,
114,23.16,
115,24.81,
116,27.5,
117,29.45,
118,29.45,
119,28.32,
120,27.18,
121,26.76,
122,27.67,
123,29.73,
124,29.73,
125,30.3,
126,31.43,
127,33.13,
128,36.81,
129,37.1,
130,37.1,
131,39.08,
132,44.17,
133,48.42,
134,46.44,
135,47.57,
136,50.12,
137,58.9,
138,57.2,
139,50.69,
140,45.59,
141,43.89,
142,44.74,
143,45.31,
144,42.76,
145,40.49,
146,45.02,
147,56.92,
148,57.48,
149,53.24,
150,48.99,
151,46.44,
152,50.69,
153,53.8,
154,52.95,
155,48.99,
156,45.31,
157,43.04,
158,41.34,
159,40.49,
160,42.76,
161,41.63,
162,38.23,
163,37.1,
164,35.11,
165,33.13,
166,31.71,
167,30.02,
168,28.6,
169,27.38,
170,27.01,
171,25.54,
172,22.96,
173,21.1,
174,19.96,
175,18.75,
176,17.75,
177,17.16,
178,16,
179,15.18,
180,14.16,
181,13.31,
182,12.69,
183,11.95,
184,11.19,
185,10.53,
186,9.8,
187,9.03,
188,8.35,
189,7.79,
190,7.45,
191,7.05,
192,6.71,
193,6.4,
194,6.14,
195,5.89,
196,5.64,
197,5.38,
198,5.21,
199,4.98,
200,4.76,
201,4.96,
202,4.76,
203,4.73,
204,4.76,
205,4.36,
206,4.08,
207,4.11,
208,4.08,
209,3.79,
210,3.54,
211,3.31,
212,3.11,
213,2.97,
214,2.83,
215,2.69,
216,2.55,
217,2.44,
218,2.35,
219,2.27,
220,2.18,
221,2.12,
222,2.04,
223,2.01,
224,1.95,
225,1.9,
226,1.84,
227,1.78,
228,1.76,
229,1.73,
230,1.67,
231,1.61,
232,1.59,
233,1.53,
234,1.5,
235,1.44,
236,1.42,
237,1.39,
238,1.33,
239,1.3,
240,1.27,
241,1.25,
242,1.22,
243,1.19,
244,1.19,
245,1.19,
246,1.16,
247,1.16,
248,1.16,
249,1.13,
250,1.1,
251,1.08,
252,1.05,
253,1.02,
254,0.99,
255,0.99,
256,0.96,
257,0.96,
258,0.96,
259,0.96,
260,0.96,
261,0.99,
262,0.99,
263,0.99,
264,0.96,
265,0.96,
266,0.96,
267,0.93,
268,0.91,
269,0.93,
270,0.99,
271,0.99,
272,0.99,
273,0.99,
274,0.99,
275,0.96,
276,0.96,
277,1.02,
278,1.16,
279,1.22,
280,1.27,
281,1.27,
282,1.22,
283,1.25,
284,1.33,
285,1.3,
286,1.25,
287,1.25,
288,1.22,
289,1.22,
290,1.22,
291,1.22,
292,1.22,
293,1.19,
294,1.19,
295,1.22,
296,1.22,
297,1.22,
298,1.22,
299,1.22,
300,1.22,
301,1.22,
302,1.22,
303,1.22,
304,1.22,
305,1.22,
306,1.19,
307,1.22,
308,1.22,
309,1.22,
310,1.19,
311,1.22,
