$Return Flows From Banks Lake 2011-2015,,
,,
JDAY,QTR,
1,0,
1.042,0,
1.083,0,
1.125,0,
1.167,0,
1.208,0,
1.25,0,
1.292,0,
1.333,0,
1.375,0,
1.417,0,
1.458,0,
1.5,0,
1.542,0,
1.583,0,
1.625,0,
1.667,0,
1.708,0,
1.75,0,
1.792,0,
1.833,0,
1.875,0,
1.917,0,
1.958,0,
2,0,
2.042,0,
2.083,0,
2.125,0,
2.167,0,
2.208,0,
2.25,0,
2.292,0,
2.333,0,
2.375,0,
2.417,0,
2.458,0,
2.5,0,
2.542,0,
2.583,0,
2.625,0,
2.667,0,
2.708,0,
2.75,0,
2.792,0,
2.833,0,
2.875,0,
2.917,0,
2.958,0,
3,0,
3.042,0,
3.083,0,
3.125,0,
3.167,0,
3.208,0,
3.25,50.1,
3.292,257.8,
3.333,260.7,
3.375,259.3,
3.417,259.3,
3.458,259.3,
3.5,257.8,
3.542,16.2,
3.583,0,
3.625,0,
3.667,0,
3.708,29.5,
3.75,250.4,
3.792,251.9,
3.833,251.9,
3.875,251.9,
3.917,218,
3.958,0,
4,0,
4.042,0,
4.083,0,
4.125,0,
4.167,0,
4.208,45.4,
4.25,256.5,
4.292,258,
4.333,256.5,
4.375,256.5,
4.417,218.4,
4.458,0,
4.5,0,
4.542,0,
4.583,0,
4.625,0,
4.667,0,
4.708,0,
4.75,0,
4.792,0,
4.833,0,
4.875,0,
4.917,0,
4.958,0,
5,0,
5.042,0,
5.083,0,
5.125,0,
5.167,0,
5.208,0,
5.25,0,
5.292,0,
5.333,0,
5.375,0,
5.417,0,
5.458,0,
5.5,0,
5.542,0,
5.583,0,
5.625,0,
5.667,0,
5.708,0,
5.75,0,
5.792,0,
5.833,0,
5.875,0,
5.917,0,
5.958,0,
6,0,
6.042,0,
6.083,0,
6.125,0,
6.167,0,
6.208,0,
6.25,0,
6.292,0,
6.333,0,
6.375,0,
6.417,0,
6.458,0,
6.5,0,
6.542,0,
6.583,0,
6.625,0,
6.667,0,
6.708,0,
6.75,0,
6.792,0,
6.833,0,
6.875,0,
6.917,0,
6.958,0,
7,0,
7.042,0,
7.083,0,
7.125,0,
7.167,0,
7.208,0,
7.25,0,
7.292,0,
7.333,0,
7.375,0,
7.417,0,
7.458,0,
7.5,0,
7.542,0,
7.583,0,
7.625,0,
7.667,0,
7.708,0,
7.75,0,
7.792,0,
7.833,0,
7.875,0,
7.917,0,
7.958,0,
8,0,
8.042,0,
8.083,0,
8.125,0,
8.167,0,
8.208,0,
8.25,0,
8.292,0,
8.333,0,
8.375,0,
8.417,0,
8.458,0,
8.5,0,
8.542,0,
8.583,0,
8.625,0,
8.667,0,
8.708,0,
8.75,0,
8.792,0,
8.833,0,
8.875,0,
8.917,0,
8.958,0,
9,0,
9.042,0,
9.083,0,
9.125,0,
9.167,0,
9.208,0,
9.25,0,
9.292,0,
9.333,0,
9.375,0,
9.417,0,
9.458,0,
9.5,0,
9.542,0,
9.583,0,
9.625,0,
9.667,0,
9.708,0,
9.75,0,
9.792,0,
9.833,0,
9.875,0,
9.917,0,
9.958,0,
10,0,
10.042,0,
10.083,0,
10.125,0,
10.167,0,
10.208,0,
10.25,0,
10.292,0,
10.333,0,
10.375,0,
10.417,0,
10.458,0,
10.5,0,
10.542,0,
10.583,0,
10.625,0,
10.667,0,
10.708,0,
10.75,0,
10.792,0,
10.833,0,
10.875,0,
10.917,0,
10.958,0,
11,0,
11.042,0,
11.083,0,
11.125,0,
11.167,0,
11.208,0,
11.25,0,
11.292,0,
11.333,39.6,
11.375,107.9,
11.417,0,
11.458,0,
11.5,0,
11.542,0,
11.583,0,
11.625,0,
11.667,0,
11.708,0,
11.75,0,
11.792,0,
11.833,0,
11.875,0,
11.917,0,
11.958,0,
12,0,
12.042,0,
12.083,0,
12.125,0,
12.167,0,
12.208,0,
12.25,29.3,
12.292,114,
12.333,136.8,
12.375,348.5,
12.417,332.2,
12.458,130.3,
12.5,92.8,
12.542,0,
12.583,0,
12.625,0,
12.667,0,
12.708,0,
12.75,0,
12.792,0,
12.833,0,
12.875,0,
12.917,0,
12.958,0,
13,0,
13.042,0,
13.083,0,
13.125,0,
13.167,0,
13.208,0,
13.25,0,
13.292,0,
13.333,0,
13.375,0,
13.417,0,
13.458,0,
13.5,0,
13.542,0,
13.583,0,
13.625,0,
13.667,0,
13.708,0,
13.75,0,
13.792,0,
13.833,0,
13.875,0,
13.917,0,
13.958,0,
14,0,
14.042,0,
14.083,0,
14.125,0,
14.167,0,
14.208,0,
14.25,0,
14.292,0,
14.333,0,
14.375,0,
14.417,0,
14.458,0,
14.5,0,
14.542,0,
14.583,0,
14.625,0,
14.667,0,
14.708,0,
14.75,0,
14.792,0,
14.833,0,
14.875,0,
14.917,0,
14.958,0,
15,0,
15.042,0,
15.083,0,
15.125,0,
15.167,0,
15.208,0,
15.25,0,
15.292,0,
15.333,0,
15.375,0,
15.417,0,
15.458,0,
15.5,0,
15.542,0,
15.583,0,
15.625,0,
15.667,0,
15.708,0,
15.75,0,
15.792,0,
15.833,0,
15.875,0,
15.917,0,
15.958,0,
16,0,
16.042,0,
16.083,0,
16.125,0,
16.167,0,
16.208,0,
16.25,0,
16.292,0,
16.333,0,
16.375,0,
16.417,0,
16.458,0,
16.5,0,
16.542,0,
16.583,0,
16.625,0,
16.667,0,
16.708,0,
16.75,0,
16.792,0,
16.833,0,
16.875,0,
16.917,0,
16.958,0,
17,0,
17.042,0,
17.083,0,
17.125,0,
17.167,0,
17.208,0,
17.25,0,
17.292,0,
17.333,0,
17.375,0,
17.417,0,
17.458,0,
17.5,0,
17.542,0,
17.583,0,
17.625,0,
17.667,0,
17.708,0,
17.75,0,
17.792,0,
17.833,0,
17.875,0,
17.917,0,
17.958,0,
18,0,
18.042,0,
18.083,0,
18.125,0,
18.167,0,
18.208,0,
18.25,0,
18.292,0,
18.333,0,
18.375,0,
18.417,0,
18.458,2.5,
18.5,72.1,
18.542,82,
18.583,116.8,
18.625,89.5,
18.667,77,
18.708,77,
18.75,82,
18.792,79.5,
18.833,79.5,
18.875,52.2,
18.917,0,
18.958,0,
19,0,
19.042,0,
19.083,0,
19.125,0,
19.167,0,
19.208,0,
19.25,0,
19.292,0,
19.333,6,
19.375,251.4,
19.417,261.9,
19.458,261.9,
19.5,12,
19.542,0,
19.583,0,
19.625,0,
19.667,0,
19.708,0,
19.75,0,
19.792,0,
19.833,0,
19.875,0,
19.917,0,
19.958,0,
20,0,
20.042,0,
20.083,0,
20.125,0,
20.167,0,
20.208,0,
20.25,0,
20.292,0,
20.333,0,
20.375,0,
20.417,0,
20.458,0,
20.5,0,
20.542,0,
20.583,0,
20.625,0,
20.667,77.2,
20.708,238.8,
20.75,238.8,
20.792,240.2,
20.833,240.2,
20.875,238.8,
20.917,179.1,
20.958,0,
21,0,
21.042,0,
21.083,0,
21.125,0,
21.167,0,
21.208,0,
21.25,75.1,
21.292,261.2,
21.333,259.6,
21.375,259.6,
21.417,258.1,
21.458,258.1,
21.5,259.6,
21.542,259.6,
21.583,259.6,
21.625,259.6,
21.667,259.6,
21.708,259.6,
21.75,259.6,
21.792,259.6,
21.833,259.6,
21.875,258.1,
21.917,258.1,
21.958,258.1,
22,301,
22.042,226.2,
22.083,0,
22.125,0,
22.167,0,
22.208,0,
22.25,0,
22.292,0,
22.333,1.8,
22.375,253.6,
22.417,43.8,
22.458,42,
22.5,38.3,
22.542,40.1,
22.583,38.3,
22.625,42,
22.667,43.8,
22.708,49.3,
22.75,49.3,
22.792,47.4,
22.833,45.6,
22.875,43.8,
22.917,16.4,
22.958,0,
23,0,
23.042,0,
23.083,0,
23.125,0,
23.167,0,
23.208,0,
23.25,0,
23.292,0,
23.333,0,
23.375,0,
23.417,0,
23.458,0,
23.5,0,
23.542,0,
23.583,0,
23.625,0,
23.667,0,
23.708,0,
23.75,0,
23.792,0,
23.833,0,
23.875,0,
23.917,0,
23.958,0,
24,0,
24.042,0,
24.083,0,
24.125,0,
24.167,0,
24.208,0,
24.25,0,
24.292,0,
24.333,28,
24.375,49,
24.417,49,
24.458,46.6,
24.5,49,
24.542,51.3,
24.583,51.3,
