$Grand Coulee Dam Flows
 
JDAY,QWO,
     1.000,   1690.51,
     1.050,   1727.57,
     1.100,   1854.13,
     1.150,   2007.27,
     1.200,   2173.88,
     1.250,   2301.52,
     1.300,   2781.61,
     1.350,   3124.34,
     1.400,   3191.91,
     1.450,   3072.31,
     1.500,   2895.54,
     1.550,   2338.94,
     1.600,   1964.32,
     1.650,   1827.97,
     1.701,   2606.20,
     1.750,   3868.51,
     1.800,   3695.25,
     1.850,   2758.80,
     1.900,   2473.30,
     1.950,   1781.45,
     2.000,   1406.32,
     2.050,   1890.30,
     2.100,   1823.90,
     2.150,   2180.50,
     2.200,   2332.15,
     2.250,   2442.82,
     2.300,   2871.10,
     2.350,   3487.40,
     2.401,   3850.57,
     2.450,   3746.72,
     2.500,   3423.31,
     2.550,   2787.60,
     2.600,   2220.46,
     2.650,   2417.58,
     2.700,   4011.62,
     2.750,   4639.56,
     2.800,   4708.16,
     2.850,   4475.13,
     2.900,   3647.00,
     2.950,   2974.22,
     3.000,   2520.25,
     3.050,   2377.56,
     3.100,   2329.22,
     3.150,   2221.02,
     3.200,   2247.92,
     3.250,   3055.96,
     3.300,   4375.33,
     3.350,   4523.58,
     3.400,   4447.37,
     3.450,   4344.48,
     3.500,   4167.01,
     3.550,   3626.96,
     3.600,   3361.40,
     3.650,   3085.87,
     3.700,   3425.36,
     3.750,   4301.29,
     3.800,   4516.63,
     3.850,   4603.22,
     3.900,   4560.35,
     3.950,   3666.40,
     4.000,   2838.87,
     4.050,   2689.51,
     4.100,   2637.75,
     4.150,   2562.51,
     4.200,   2401.89,
     4.250,   3046.14,
     4.300,   4270.71,
     4.350,   4588.61,
     4.400,   4377.74,
     4.450,   4254.90,
     4.500,   4176.95,
     4.550,   3988.20,
     4.600,   3838.26,
     4.650,   4115.94,
     4.700,   4327.21,
     4.750,   4540.62,
     4.800,   4311.53,
     4.850,   3753.06,
     4.900,   2860.17,
     4.950,   2246.44,
     5.000,   1534.89,
     5.050,   1135.73,
