$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,QWD(m3s-1)
     1.000, 1135.1100
     1.050, 1163.5138
     1.100, 1227.4429
     1.150, 1309.8910
     1.200, 1165.0620
     1.250, 1144.5665
     1.300, 1198.3133
     1.350, 1189.1473
     1.400, 1222.4966
     1.450, 1358.2407
     1.500, 1367.9901
     1.550, 1399.8009
     1.600, 1292.1946
     1.650,  967.8636
     1.701, 1021.1949
     1.750, 1193.4728
     1.800, 1442.7996
     1.850, 1306.1529
     1.900, 1401.4116
     1.950, 1447.8356
     2.000, 1104.4087
     2.050, 1256.7527
     2.100, 1207.1821
     2.150, 1211.0540
     2.200, 1181.4231
     2.250, 1200.3262
     2.300, 1229.6164
     2.350, 1334.1726
     2.401, 1321.0249
     2.450, 1349.9221
     2.500, 1311.0140
     2.550, 1376.7635
     2.600, 1248.7950
     2.650,  939.8666
     2.700, 1251.3963
     2.750, 1500.2251
     2.800, 1488.4414
     2.850, 1456.5946
     2.900, 1501.1617
     2.950, 1399.6076
     3.000, 1257.7982
     3.050, 1198.7109
     3.100, 1194.3878
     3.150, 1332.3956
     3.200, 1180.1439
     3.250, 1070.6056
     3.300, 1360.6191
     3.350, 1388.7576
     3.400, 1360.7352
     3.450, 1325.1346
     3.500, 1297.7385
     3.550, 1334.2694
     3.600, 1288.9793
     3.650, 1202.7603
     3.700, 1133.7208
     3.750, 1317.6673
     3.800, 1410.1471
     3.850, 1421.7306
     3.900, 1440.6887
     3.950, 1508.5500
     4.000, 1338.2804
     4.050, 1269.5507
     4.100, 1257.5905
     4.150, 1259.2031
     4.200, 1149.1720
     4.250, 1024.7139
     4.300, 1326.1877
     4.350, 1400.8616
     4.400, 1272.8940
     4.450, 1230.0827
     4.500, 1197.2993
     4.550, 1206.8600
     4.600, 1264.5460
     4.650, 1194.8539
     4.700, 1296.3994
     4.750, 1410.8882
     4.800, 1362.4990
     4.850, 1479.3846
     4.900, 1514.8381
     4.950, 1502.8826
     5.000, 1534.7638
     5.050, 1135.7326
     5.100, 1213.1756
     5.150, 1185.8935
     5.200, 1133.9540
     5.250, 1029.4635
     5.300, 1424.7131
     5.350, 1523.9481
     5.400, 1452.5337
     5.450, 1441.2002
     5.500, 1424.9758
     5.550, 1405.8512
     5.600, 1260.0948
     5.650, 1229.9915
     5.700, 1296.5138
     5.750, 1320.1110
     5.800, 1320.7285
     5.850, 1409.9198
     5.900, 1464.8556
     5.950, 1530.8427
     6.000, 1537.6172
     6.050,  895.0715
     6.100, 1056.3510
     6.150, 1095.8031
     6.200, 1188.2808
     6.250,  899.1108
     6.300, 1433.1029
     6.350, 1422.7647
     6.400, 1344.7233
     6.450, 1382.4631
     6.500, 1299.5729
     6.550, 1288.0770
     6.600, 1242.7984
     6.650, 1070.1707
     6.700, 1159.8872
     6.750, 1472.2119
     6.800, 1397.3017
     6.850, 1376.3421
     6.900, 1453.0388
     6.950, 1402.2419
     7.000, 1207.9089
     7.050, 1409.0677
     7.100, 1295.7610
     7.150, 1179.5216
     7.200, 1255.9617
     7.250, 1055.5108
     7.300, 1206.5854
     7.350, 1273.1832
     7.400, 1317.5464
     7.450, 1332.2652
     7.500, 1252.0758
     7.550, 1317.3904
     7.600, 1289.8001
     7.650, 1214.2368
     7.700, 1175.0546
     7.750, 1145.5836
     7.800, 1354.4378
     7.850, 1252.8473
     7.900, 1248.2493
     7.950, 1380.5894
     8.000, 1455.0002
     8.050, 1164.7700
     8.100, 1236.8307
     8.150, 1307.2284
     8.200, 1205.2631
     8.250, 1093.5851
     8.300, 1300.4132
     8.350, 1116.5562
     8.400, 1101.7769
     8.450, 1143.6285
     8.500, 1259.8218
     8.550, 1223.8369
     8.600, 1084.5169
     8.650, 1039.8713
     8.700,  966.7115
     8.750, 1106.7730
     8.800, 1197.2570
     8.850, 1243.6075
     8.900, 1164.9182
     8.950, 1135.4081
     9.000, 1465.3982
     9.050, 1026.3721
     9.100, 1063.1246
     9.150, 1116.9842
     9.200, 1240.3518
     9.250, 1230.0647
     9.300,  998.4409
     9.350,  806.2333
     9.400,  963.2687
     9.450, 1188.1985
     9.500, 1149.0936
     9.550, 1064.8173
     9.600, 1111.5334
     9.650, 1210.7157
     9.700,  995.7057
     9.750, 1145.0236
     9.800, 1347.0098
     9.850, 1439.1165
     9.900, 1307.6531
     9.950, 1140.5072
    10.000, 1428.5785
    10.050, 1320.2831
    10.100, 1283.1379
    10.150, 1173.8928
    10.200, 1105.9930
    10.250, 1125.7928
    10.300, 1244.5840
    10.350, 1308.4091
    10.400, 1191.8508
    10.450, 1299.7435
    10.500, 1332.9134
    10.550, 1427.1916
    10.600, 1319.7633
    10.650, 1278.8609
    10.700, 1162.5486
    10.750, 1369.5302
    10.800, 1305.6381
    10.850, 1344.8341
    10.900, 1366.3153
    10.950, 1472.9771
    11.000, 1358.0073
    11.050, 1323.1970
    11.100, 1257.6634
    11.150, 1298.8072
    11.200, 1265.1580
    11.250, 1350.8822
    11.300, 1540.1822
    11.350, 1253.7858
    11.400, 1201.7803
    11.450, 1149.7556
    11.500, 1278.3290
    11.550, 1235.5298
    11.600, 1331.0208
    11.650, 1217.6601
    11.700, 1217.7565
    11.750, 1336.2327
    11.800, 1385.2547
    11.850, 1307.1479
    11.900, 1416.5241
    11.950, 1482.1670
    12.000, 1541.3505
    12.050, 1287.1861
    12.100, 1334.4891
    12.150, 1444.0345
    12.200, 1210.2979
    12.250, 1085.3333
    12.300, 1413.1270
    12.350, 1497.8103
    12.400, 1545.4600
    12.450, 1426.7758
    12.500, 1303.0741
    12.550, 1247.5439
    12.600, 1323.8088
    12.650, 1165.1045
    12.700, 1083.8219
    12.750, 1362.2914
    12.800, 1280.1407
    12.850, 1409.3589
    12.900, 1544.1835
    12.950, 1470.4003
    13.000, 1501.4071
    13.050, 1296.9490
    13.100, 1424.0610
    13.150, 1178.8216
    13.200, 1226.0125
    13.250,  968.5317
    13.300, 1276.4041
    13.350, 1107.4211
    13.400, 1154.2320
    13.450, 1215.2834
    13.500, 1279.0055
    13.550, 1143.3827
    13.600, 1129.5365
    13.650, 1174.7368
    13.700, 1277.0526
    13.750, 1322.9825
    13.800, 1421.7981
    13.850, 1488.7715
    13.900, 1312.4665
    13.950, 1208.8796
    14.000,  931.2126
    14.050, 1030.3502
    14.100, 1036.3973
    14.150,  922.0068
    14.200,  855.1233
    14.250,  853.8790
    14.300, 1283.7978
    14.350, 1234.5180
    14.400, 1224.8706
    14.450, 1321.7587
    14.500, 1260.4873
    14.550, 1384.6646
    14.600, 1436.4824
    14.650, 1270.1154
    14.700, 1092.3930
    14.750, 1391.2911
    14.800, 1349.6325
    14.850, 1465.9995
    14.900, 1414.3725
    14.950, 1167.8649
    15.000, 1104.4261
    15.050,  976.1828
    15.100, 1173.8717
    15.150, 1371.2380
    15.200, 1338.8575
    15.250, 1056.2216
    15.300, 1138.4871
    15.350, 1142.6776
    15.400, 1196.7394
    15.450, 1252.4089
    15.500, 1308.0757
    15.550, 1233.6866
    15.600, 1161.0131
    15.650, 1168.3445
    15.700, 1288.3090
    15.750, 1361.1816
