$WITHDRAWAL AT SEG317                                        ELEV OF WITHDRAWAL CENTERLINE:363.     

JDAY,QWD(m3s-1)
     1.000,    0.0000
     1.050,    0.0000
     1.100,    0.0000
     1.150,    0.0000
     1.200,    0.0000
     1.250,    0.0000
     1.300,    0.0000
     1.350,    0.0000
     1.400,    0.0000
     1.450,    0.0000
     1.500,    0.0000
     1.550,    0.0000
     1.600,    0.0000
     1.650,    0.0000
     1.701,    0.0000
     1.750,    0.0000
     1.800,    0.0000
     1.850,    0.0000
     1.900,    0.0000
     1.950,    0.0000
     2.000,    0.0000
     2.050,    0.0000
     2.100,    0.0000
     2.150,    0.0000
     2.200,    0.0000
     2.250,    0.0000
     2.300,    0.0000
     2.350,    0.0000
     2.401,    0.0000
     2.450,    0.0000
     2.500,    0.0000
     2.550,    0.0000
     2.600,    0.0000
     2.650,    0.0000
     2.700,    0.0000
     2.750,    0.0000
     2.800,    0.0000
     2.850,    0.0000
     2.900,    0.0000
     2.950,    0.0000
     3.000,    0.0000
     3.050,    0.0000
     3.100,    0.0000
     3.150,    0.0000
     3.200,    0.0000
     3.250,    0.0000
     3.300,    0.0000
     3.350,    0.0000
     3.400,    0.0000
     3.450,    0.0000
     3.500,    0.0000
     3.550,    0.0000
     3.600,    0.0000
     3.650,    0.0000
     3.700,    0.0000
     3.750,    0.0000
     3.800,    0.0000
     3.850,    0.0000
     3.900,    0.0000
     3.950,    0.0000
     4.000,    0.0000
     4.050,    0.0000
     4.100,    0.0000
     4.150,    0.0000
     4.200,    0.0000
     4.250,    0.0000
     4.300,    0.0000
     4.350,    0.0000
     4.400,    0.0000
     4.450,    0.0000
     4.500,    0.0000
     4.550,    0.0000
     4.600,    0.0000
     4.650,    0.0000
     4.700,    0.0000
     4.750,    0.0000
     4.800,    0.0000
     4.850,    0.0000
     4.900,    0.0000
     4.950,    0.0000
     5.000,    0.0000
     5.050,    0.0000
     5.100,    0.0000
     5.150,    0.0000
     5.200,    0.0000
     5.250,    0.0000
     5.300,    0.0000
     5.350,    0.0000
     5.400,    0.0000
     5.450,    0.0000
     5.500,    0.0000
     5.550,    0.0000
     5.600,    0.0000
     5.650,    0.0000
     5.700,    0.0000
     5.750,    0.0000
     5.800,    0.0000
     5.850,    0.0000
     5.900,    0.0000
     5.950,    0.0000
     6.000,    0.0000
     6.050,    0.0000
     6.100,    0.0000
     6.150,    0.0000
     6.200,    0.0000
     6.250,    0.0000
     6.300,    0.0000
     6.350,    0.0000
     6.400,    0.0000
     6.450,    0.0000
     6.500,    0.0000
     6.550,    0.0000
     6.600,    0.0000
     6.650,    0.0000
     6.700,    0.0000
     6.750,    0.0000
     6.800,    0.0000
     6.850,    0.0000
     6.900,    0.0000
     6.950,    0.0000
     7.000,    0.0000
     7.050,    0.0000
     7.100,    0.0000
     7.150,    0.0000
     7.200,    0.0000
     7.250,    0.0000
     7.300,    0.0000
     7.350,    0.0000
     7.400,    0.0000
     7.450,    0.0000
     7.500,    0.0000
     7.550,    0.0000
     7.600,    0.0000
     7.650,    0.0000
     7.700,    0.0000
     7.750,    0.0000
     7.800,    0.0000
     7.850,    0.0000
     7.900,    0.0000
     7.950,    0.0000
     8.000,    0.0000
     8.050,    0.0000
     8.100,    0.0000
     8.150,    0.0000
     8.200,    0.0000
     8.250,    0.0000
     8.300,    0.0000
     8.350,    0.0000
     8.400,    0.0000
     8.450,    0.0000
     8.500,    0.0000
     8.550,    0.0000
     8.600,    0.0000
     8.650,    0.0000
     8.700,    0.0000
     8.750,    0.0000
     8.800,    0.0000
     8.850,    0.0000
     8.900,    0.0000
     8.950,    0.0000
     9.000,    0.0000
     9.050,    0.0000
     9.100,    0.0000
     9.150,    0.0000
     9.200,    0.0000
     9.250,    0.0000
     9.300,    0.0000
     9.350,    0.0000
     9.400,    0.0000
     9.450,    0.0000
     9.500,    0.0000
     9.550,    0.0000
     9.600,    0.0000
     9.650,    0.0000
     9.700,    0.0000
     9.750,    0.0000
     9.800,    0.0000
     9.850,    0.0000
     9.900,    0.0000
     9.950,    0.0000
    10.000,    0.0000
    10.050,    0.0000
    10.100,    0.0000
    10.150,    0.0000
    10.200,    0.0000
    10.250,    0.0000
    10.300,    0.0000
    10.350,    0.0000
    10.400,    0.0000
    10.450,    0.0000
    10.500,    0.0000
    10.550,    0.0000
    10.600,    0.0000
    10.650,    0.0000
    10.700,    0.0000
    10.750,    0.0000
    10.800,    0.0000
    10.850,    0.0000
    10.900,    0.0000
    10.950,    0.0000
    11.000,    0.0000
    11.050,    0.0000
    11.100,    0.0000
    11.150,    0.0000
    11.200,    0.0000
    11.250,    0.0000
    11.300,    0.0000
    11.350,    0.0000
    11.400,    0.0000
    11.450,    0.0000
    11.500,    0.0000
    11.550,    0.0000
    11.600,    0.0000
    11.650,    0.0000
    11.700,    0.0000
    11.750,    0.0000
    11.800,    0.0000
    11.850,    0.0000
    11.900,    0.0000
    11.950,    0.0000
    12.000,    0.0000
    12.050,    0.0000
    12.100,    0.0000
    12.150,    0.0000
    12.200,    0.0000
    12.250,    0.0000
    12.300,    0.0000
    12.350,    0.0000
    12.400,    0.0000
    12.450,    0.0000
    12.500,    0.0000
    12.550,    0.0000
    12.600,    0.0000
    12.650,    0.0000
    12.700,    0.0000
    12.750,    0.0000
    12.800,    0.0000
    12.850,    0.0000
    12.900,    0.0000
    12.950,    0.0000
    13.000,    0.0000
    13.050,    0.0000
    13.100,    0.0000
    13.150,    0.0000
    13.200,    0.0000
