$Kettle River near Barstow (WQ monitoring station 60A070 – Washington State Department of Ecology) 2011-2015,,
,,
JDAY,TIN,
1,1,
81.6,7,
116.61,10.7,
144.53,8.6,
179.55,11.9,
207.6,17.3,
235.58,19.9,
298.64,7.8,
333.61,1.4,
376.618055555555,0,
411.569444444445,0.3,
446.625,5,
474.625,7.8,
501.618055555555,10.7,
543.625,9.8,
571.590277777781,17.4,
606.590277777781,19.9,
634.5625,16.46,
655.583333333336,11.93,
676.586805555555,8.81,
704.555555555555,4.37,
739.5,0.1,
767.553472222222,1.55,
795.541666666664,4.27,
823.57708333333,8.6,
858.590277777781,9.76,
886.594444444447,11.22,
921.59375,18.28,
949.595833333333,23.01,
984.557638888888,19.99,
1011.48611111111,9.61,
1039.49305555555,4.88,
1067.48611111111,0.54,
1102.5,0.04,
1130.49305555555,0.14,
1158.51736111111,0.04,
1221.49166666667,6.7,
1249.47222222222,11.07,
1284.52083333334,20.12,
1312.46527777778,22.13,
1347.47916666666,17,
1375.47222222222,13.98,
1462,1,
1585.52777777778,9.52,
1613.47916666666,12.55,
1648.48263888889,23.87,
1676.50694444445,23.26,
1718.55902777778,16.7,
1827,1,
