$Columbia River At International Boundary (CIBW) water temperature, degrees C (1/1/2011-12/31/2015)
,
JDAY,TIN
1,3.8
1.01,3.8
1.021,3.8
1.031,3.8
1.042,3.7
1.052,3.8
1.063,3.8
1.073,3.7
1.083,3.8
1.094,4
1.104,4
1.115,4.1
1.125,4.1
1.135,4.1
1.146,4.1
1.156,4.1
1.167,4.1
1.177,4.1
1.188,4.1
1.198,4.2
1.208,4.1
1.219,4.2
1.229,4.2
1.24,4.1
1.25,4.1
1.26,4
1.271,3.9
1.281,3.8
1.292,3.6
1.302,3.5
1.313,3.5
1.323,3.5
1.333,3.5
1.344,3.4
1.354,3.3
1.365,3.3
1.375,3.3
1.385,3.3
1.396,3.3
1.406,3.3
1.417,3.3
1.427,3.3
1.438,3.3
1.448,3.3
1.458,3.3
1.469,3.3
1.479,3.3
1.49,3.3
1.5,3.4
1.51,3.5
1.521,3.5
1.531,3.5
1.542,3.5
1.552,3.5
1.563,3.5
1.573,3.5
1.583,3.5
1.594,3.6
1.604,3.6
1.615,3.6
1.625,3.6
1.635,3.6
1.646,3.6
1.656,3.6
1.667,3.6
1.677,3.6
1.688,3.6
1.698,3.6
1.708,3.6
1.719,3.6
1.729,3.6
1.74,3.6
1.75,3.6
1.76,3.6
1.771,3.6
1.781,3.6
1.792,3.6
1.802,3.6
1.813,3.6
1.823,3.6
1.833,3.6
1.844,3.6
1.854,3.6
1.865,3.6
1.875,3.5
1.885,3.6
1.896,3.6
1.906,3.6
1.917,3.5
1.927,3.6
1.938,3.6
1.948,3.6
1.958,3.5
1.969,3.5
1.979,3.5
1.99,3.6
2,3.7
2.01,3.7
2.021,3.7
2.031,3.8
2.042,3.8
2.052,3.9
2.063,3.9
2.073,3.9
2.083,4
2.094,4
2.104,4
2.115,4.1
2.125,4.1
2.135,4.1
2.146,4
2.156,4.1
2.167,4.1
2.177,4.1
2.188,4.1
2.198,4.1
2.208,4.1
2.219,4.1
2.229,4.1
2.24,4.1
2.25,4.1
2.26,4.1
2.271,4.1
2.281,4.1
2.292,4
2.302,3.8
2.313,3.7
2.323,3.7
2.333,3.7
2.344,3.6
2.354,3.6
2.365,3.6
2.375,3.6
2.385,3.6
2.396,3.6
2.406,3.6
2.417,3.6
2.427,3.5
2.438,3.4
2.448,3.4
2.458,3.3
2.469,3.2
2.479,3.2
2.49,3.2
2.5,3.2
2.51,3.2
2.521,3.2
2.531,3.2
2.542,3.2
2.552,3.2
2.563,3.2
2.573,3.2
2.583,3.2
2.594,3.2
2.604,3.2
2.615,3.2
2.625,3.2
2.635,3.2
2.646,3.2
2.656,3.2
2.667,3.2
2.677,3.1
2.688,3.1
2.698,3.2
2.708,3.1
2.719,3.1
2.729,3.1
2.74,3.1
2.75,3.1
2.76,3.1
2.771,3.1
2.781,3.1
2.792,3
2.802,3.1
2.813,3.1
2.823,3.1
2.833,3.1
2.844,3.1
2.854,3.1
2.865,3.1
2.875,3
2.885,3.1
2.896,3.1
2.906,3.1
2.917,3.1
2.927,3.1
2.938,3.1
2.948,3.1
2.958,3.2
2.969,3.3
2.979,3.3
2.99,3.3
3,3.4
3.01,3.5
3.021,3.5
3.031,3.6
3.042,3.5
3.052,3.6
3.063,3.7
3.073,3.9
3.083,3.9
3.094,4
3.104,4
3.115,4
3.125,4
3.135,4.1
3.146,4
3.156,4
3.167,4.1
3.177,4.1
3.188,4.1
3.198,4
3.208,4.1
3.219,4.1
3.229,4.1
3.24,4.1
3.25,4
3.26,3.8
3.271,3.7
3.281,3.6
3.292,3.5
3.302,3.4
3.313,3.3
3.323,3.3
3.333,3.2
3.344,3.1
3.354,3
3.365,3
3.375,3
3.385,3.1
3.396,3.1
3.406,3
3.417,3.1
3.427,3.1
3.438,3.1
3.448,3.1
3.458,3.1
3.469,3.1
3.479,3.1
3.49,3.1
3.5,3.1
3.51,3.1
3.521,3.1
3.531,3.1
3.542,3.1
3.552,3.1
3.563,3.1
3.573,3.1
3.583,3.1
3.594,3.1
3.604,3.1
3.615,3.1
3.625,3.1
3.635,3.1
3.646,3.1
3.656,3.1
3.667,3.1
3.677,3.1
3.688,3.1
3.698,3.1
3.708,3.1
3.719,3.1
3.729,3.1
3.74,3.1
3.75,3.1
3.76,3.1
3.771,3.1
3.781,3.1
3.792,3.1
3.802,3.1
3.813,3.1
3.823,3.1
3.833,3.1
3.844,3.1
3.854,3.1
3.865,3.1
3.875,3.2
3.885,3.3
3.896,3.3
3.906,3.4
3.917,3.5
3.927,3.5
3.938,3.5
3.948,3.6
3.958,3.5
3.969,3.5
3.979,3.5
3.99,3.5
4,3.5
4.01,3.5
4.021,3.5
4.031,3.5
4.042,3.6
4.052,3.7
4.063,3.9
4.073,3.9
4.083,4
4.094,4
4.104,4
4.115,4
4.125,4
4.135,4.1
4.146,4
4.156,4
4.167,4.1
4.177,4
4.188,4.1
4.198,4
4.208,4
4.219,4.1
4.229,4
4.24,4.1
4.25,4
4.26,4
4.271,4.1
4.281,4.1
4.292,4
4.302,3.9
4.313,3.4
4.323,3.3
4.333,3.1
4.344,3
4.354,3
4.365,3
4.375,3
4.385,3
4.396,3
4.406,3
4.417,3
4.427,3
4.438,3
4.448,3
4.458,3
4.469,3
4.479,3
4.49,3
4.5,3
4.51,3.1
4.521,3.2
4.531,3.2
4.542,3.2
4.552,3.2
4.563,3.2
4.573,3.2
4.583,3.2
4.594,3.2
4.604,3.2
4.615,3.2
4.625,3.2
4.635,3.2
4.646,3.2
4.656,3.2
4.667,3.2
4.677,3.2
4.688,3.2
4.698,3.2
4.708,3.2
4.719,3.1
4.729,3
4.74,3
4.75,3
4.76,3
4.771,3
4.781,3
4.792,3
4.802,3
4.813,3
4.823,3
4.833,3
4.844,3
4.854,3
4.865,3
4.875,3.1
4.885,3.2
4.896,3.2
4.906,3.2
4.917,3.2
4.927,3.2
4.938,3.2
4.948,3.2
4.958,3.2
4.969,3.2
4.979,3.2
4.99,3.3
5,3.4
5.01,3.4
5.021,3.5
5.031,3.5
5.042,3.6
5.052,3.8
5.063,3.9
5.073,3.9
5.083,3.9
5.094,3.9
5.104,4
5.115,4
5.125,4
5.135,4
5.146,3.9
5.156,4
5.167,4
5.177,4
5.188,4
5.198,4
5.208,4
5.219,4
5.229,4
5.24,4
5.25,4
5.26,3.8
5.271,3.5
5.281,3.5
5.292,3.4
5.302,3.4
5.313,3.4
5.323,3.4
5.333,3.4
5.344,3.1
5.354,2.9
5.365,2.9
5.375,2.9
5.385,2.9
5.396,2.9
5.406,2.9
5.417,2.9
5.427,2.9
5.438,2.9
5.448,2.9
5.458,2.9
5.469,2.9
