$WITHDRAWAL AT SEG317                                        ELEV OF WITHDRAWAL CENTERLINE:363.     

JDAY,T(C)
     1.000,  -99.00
     1.050,  -99.00
     1.100,  -99.00
     1.150,  -99.00
     1.200,  -99.00
     1.250,  -99.00
     1.300,  -99.00
     1.350,  -99.00
     1.400,  -99.00
     1.450,  -99.00
     1.500,  -99.00
     1.550,  -99.00
     1.600,  -99.00
     1.650,  -99.00
     1.701,  -99.00
     1.750,  -99.00
     1.800,  -99.00
     1.850,  -99.00
     1.900,  -99.00
     1.950,  -99.00
     2.000,  -99.00
     2.050,  -99.00
     2.100,  -99.00
     2.150,  -99.00
     2.200,  -99.00
     2.250,  -99.00
     2.300,  -99.00
     2.350,  -99.00
     2.401,  -99.00
     2.450,  -99.00
     2.500,  -99.00
     2.550,  -99.00
     2.600,  -99.00
     2.650,  -99.00
     2.700,  -99.00
     2.750,  -99.00
     2.800,  -99.00
     2.850,  -99.00
     2.900,  -99.00
     2.950,  -99.00
     3.000,  -99.00
     3.050,  -99.00
     3.100,  -99.00
     3.150,  -99.00
     3.200,  -99.00
     3.250,  -99.00
     3.300,  -99.00
     3.350,  -99.00
     3.400,  -99.00
     3.450,  -99.00
     3.500,  -99.00
     3.550,  -99.00
     3.600,  -99.00
     3.650,  -99.00
     3.700,  -99.00
     3.750,  -99.00
     3.800,  -99.00
     3.850,  -99.00
     3.900,  -99.00
     3.950,  -99.00
     4.000,  -99.00
     4.050,  -99.00
     4.100,  -99.00
     4.150,  -99.00
     4.200,  -99.00
     4.250,  -99.00
     4.300,  -99.00
     4.350,  -99.00
     4.400,  -99.00
     4.450,  -99.00
     4.500,  -99.00
     4.550,  -99.00
     4.600,  -99.00
     4.650,  -99.00
     4.700,  -99.00
     4.750,  -99.00
     4.800,  -99.00
     4.850,  -99.00
     4.900,  -99.00
     4.950,  -99.00
     5.000,  -99.00
     5.050,  -99.00
     5.100,  -99.00
     5.150,  -99.00
     5.200,  -99.00
     5.250,  -99.00
     5.300,  -99.00
     5.350,  -99.00
     5.400,  -99.00
     5.450,  -99.00
     5.500,  -99.00
     5.550,  -99.00
     5.600,  -99.00
     5.650,  -99.00
     5.700,  -99.00
     5.750,  -99.00
     5.800,  -99.00
     5.850,  -99.00
     5.900,  -99.00
     5.950,  -99.00
     6.000,  -99.00
     6.050,  -99.00
     6.100,  -99.00
     6.150,  -99.00
     6.200,  -99.00
     6.250,  -99.00
     6.300,  -99.00
     6.350,  -99.00
     6.400,  -99.00
     6.450,  -99.00
     6.500,  -99.00
     6.550,  -99.00
     6.600,  -99.00
     6.650,  -99.00
     6.700,  -99.00
     6.750,  -99.00
     6.800,  -99.00
     6.850,  -99.00
     6.900,  -99.00
     6.950,  -99.00
     7.000,  -99.00
     7.050,  -99.00
     7.100,  -99.00
     7.150,  -99.00
     7.200,  -99.00
     7.250,  -99.00
     7.300,  -99.00
     7.350,  -99.00
     7.400,  -99.00
     7.450,  -99.00
     7.500,  -99.00
     7.550,  -99.00
     7.600,  -99.00
     7.650,  -99.00
     7.700,  -99.00
     7.750,  -99.00
     7.800,  -99.00
     7.850,  -99.00
     7.900,  -99.00
     7.950,  -99.00
     8.000,  -99.00
     8.050,  -99.00
     8.100,  -99.00
     8.150,  -99.00
     8.200,  -99.00
     8.250,  -99.00
     8.300,  -99.00
     8.350,  -99.00
     8.400,  -99.00
     8.450,  -99.00
     8.500,  -99.00
     8.550,  -99.00
     8.600,  -99.00
     8.650,  -99.00
     8.700,  -99.00
     8.750,  -99.00
     8.800,  -99.00
     8.850,  -99.00
     8.900,  -99.00
     8.950,  -99.00
     9.000,  -99.00
     9.050,  -99.00
     9.100,  -99.00
     9.150,  -99.00
     9.200,  -99.00
     9.250,  -99.00
     9.300,  -99.00
     9.350,  -99.00
     9.400,  -99.00
     9.450,  -99.00
     9.500,  -99.00
     9.550,  -99.00
     9.600,  -99.00
     9.650,  -99.00
     9.700,  -99.00
     9.750,  -99.00
     9.800,  -99.00
     9.850,  -99.00
     9.900,  -99.00
     9.950,  -99.00
    10.000,  -99.00
    10.050,  -99.00
    10.100,  -99.00
    10.150,  -99.00
    10.200,  -99.00
    10.250,  -99.00
    10.300,  -99.00
    10.350,  -99.00
    10.400,  -99.00
    10.450,  -99.00
    10.500,  -99.00
    10.550,  -99.00
    10.600,  -99.00
    10.650,  -99.00
    10.700,  -99.00
    10.750,  -99.00
    10.800,  -99.00
    10.850,  -99.00
    10.900,  -99.00
    10.950,  -99.00
    11.000,  -99.00
    11.050,  -99.00
    11.100,  -99.00
    11.150,  -99.00
    11.200,  -99.00
    11.250,  -99.00
    11.300,  -99.00
    11.350,  -99.00
    11.400,  -99.00
    11.450,  -99.00
    11.500,  -99.00
    11.550,  -99.00
    11.600,  -99.00
    11.650,  -99.00
    11.700,  -99.00
    11.750,  -99.00
    11.800,  -99.00
    11.850,  -99.00
    11.900,  -99.00
    11.950,  -99.00
    12.000,  -99.00
    12.050,  -99.00
    12.100,  -99.00
    12.150,  -99.00
    12.200,  -99.00
    12.250,  -99.00
    12.300,  -99.00
    12.350,  -99.00
    12.400,  -99.00
    12.450,  -99.00
    12.500,  -99.00
    12.550,  -99.00
    12.600,  -99.00
    12.650,  -99.00
    12.700,  -99.00
    12.750,  -99.00
    12.800,  -99.00
    12.850,  -99.00
    12.900,  -99.00
    12.950,  -99.00
    13.000,  -99.00
    13.050,  -99.00
    13.100,  -99.00
    13.150,  -99.00
    13.200,  -99.00
    13.250,  -99.00
    13.300,  -99.00
    13.350,  -99.00
    13.400,  -99.00
    13.450,  -99.00
    13.500,  -99.00
    13.550,  -99.00
    13.600,  -99.00
    13.650,  -99.00
    13.700,  -99.00
    13.750,  -99.00
    13.800,  -99.00
    13.850,  -99.00
    13.900,  -99.00
    13.950,  -99.00
    14.000,  -99.00
    14.050,  -99.00
