$ ICE HARBOR-POOLELEV.npt based on $//ICE HARBOR-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,134.803
40545,134.801
40546,134.927
40547,134.795
40548,134.771
40549,134.563
40550,134.65
40551,134.789
40552,134.844
40553,134.835
40554,134.91
40555,134.957
40556,134.851
40557,134.835
40558,135.056
40559,134.832
40560,134.843
40561,134.803
40562,134.631
40563,134.738
40564,134.606
40565,134.483
40566,134.709
40567,134.722
40568,134.701
40569,134.548
40570,134.586
40571,134.561
40572,134.554
40573,134.572
40574,134.622
40575,134.747
40576,134.659
40577,134.669
40578,134.708
40579,134.785
40580,134.835
40581,134.747
40582,134.842
40583,134.651
40584,134.625
40585,134.577
40586,134.648
40587,134.666
40588,134.804
40589,134.857
40590,134.783
40591,134.73
40592,134.722
40593,134.637
40594,134.718
40595,134.748
40596,134.825
40597,134.773
40598,134.855
40599,134.736
40600,134.675
40601,134.676
40602,134.699
40603,134.724
40604,134.868
40605,134.781
40606,134.592
40607,134.602
40608,134.711
40609,134.751
40610,134.761
40611,134.741
40612,134.801
40613,134.725
40614,134.765
40615,135.077
40616,134.825
40617,134.914
40618,134.917
40619,134.917
40620,134.709
40621,134.755
40622,134.737
40623,134.673
40624,134.786
40625,134.999
40626,134.914
40627,134.591
40628,134.725
40629,134.719
40630,134.761
40631,134.566
40632,134.514
40633,134.472
40634,134.56
40635,134.767
40636,134.688
40637,134.447
40638,134.399
40639,134.405
40640,134.429
40641,134.447
40642,134.423
40643,134.399
40644,134.389
40645,134.396
40646,134.408
40647,134.466
40648,134.377
40649,134.411
40650,134.374
40651,134.386
40652,134.399
40653,134.426
40654,134.456
40655,134.368
40656,134.405
40657,134.42
40658,134.371
40659,134.417
40660,134.417
40661,134.392
40662,134.426
40663,134.402
40664,134.377
40665,134.456
40666,134.42
40667,134.402
40668,134.429
40669,134.414
40670,134.42
40671,134.453
40672,134.438
40673,134.408
40674,134.414
40675,134.38
40676,134.423
40677,134.453
40678,134.408
40679,134.466
40680,134.45
40681,134.408
40682,134.463
40683,134.453
40684,134.426
40685,134.426
40686,134.463
40687,134.45
40688,134.42
40689,134.475
40690,134.405
40691,134.405
40692,134.371
40693,134.414
40694,134.429
40695,134.444
40696,134.426
40697,134.389
40698,134.45
40699,134.456
40700,134.377
40701,134.444
40702,134.423
40703,134.432
40704,134.484
40705,134.396
40706,134.438
40707,134.368
40708,134.453
40709,134.466
40710,134.493
40711,134.45
40712,134.417
40713,134.469
40714,134.45
40715,134.441
40716,134.46
40717,134.463
40718,134.453
40719,134.46
40720,134.487
40721,134.426
40722,134.45
40723,134.432
40724,134.45
40725,134.417
40726,134.453
40727,134.389
40728,134.435
40729,134.426
40730,134.453
40731,134.411
40732,134.42
40733,134.42
40734,134.463
40735,134.399
40736,134.402
40737,134.377
40738,134.438
40739,134.417
40740,134.429
40741,134.426
40742,134.42
40743,134.414
40744,134.456
40745,134.456
40746,134.396
40747,134.432
40748,134.383
40749,134.441
40750,134.38
40751,134.392
40752,134.45
40753,134.432
40754,134.399
40755,134.38
40756,134.38
40757,134.441
40758,134.447
40759,134.453
40760,134.405
40761,134.444
40762,134.383
40763,134.441
40764,134.42
40765,134.374
40766,134.42
40767,134.383
40768,134.362
40769,134.46
40770,134.423
40771,134.359
40772,134.435
40773,134.399
40774,134.408
40775,134.411
40776,134.429
40777,134.417
40778,134.341
40779,134.408
40780,134.463
40781,134.603
40782,134.572
40783,134.603
40784,134.575
40785,134.496
40786,134.545
40787,134.633
40788,134.52
40789,134.606
40790,134.749
40791,134.773
40792,134.764
40793,134.652
40794,134.499
40795,134.533
40796,134.649
40797,134.713
40798,134.752
40799,134.801
40800,134.847
40801,134.865
40802,134.767
40803,134.77
40804,134.612
40805,134.624
40806,134.606
40807,134.542
40808,134.563
40809,134.527
40810,134.499
40811,134.621
40812,134.816
40813,134.801
40814,134.743
40815,134.786
40816,134.862
40817,134.834
40818,134.615
40819,134.615
40820,134.722
40821,134.853
40822,134.816
40823,134.786
40824,134.792
40825,134.77
40826,134.63
40827,134.709
40828,134.758
40829,134.691
40830,134.74
40831,134.734
40832,134.953
40833,134.877
40834,134.831
40835,134.795
40836,134.658
40837,134.703
40838,134.868
40839,134.895
40840,134.786
40841,134.682
40842,134.685
40843,134.77
40844,134.825
40845,134.834
40846,134.889
40847,134.929
40848,134.926
40849,134.831
40850,134.819
40851,134.743
40852,134.758
40853,134.761
40854,134.847
40855,134.879
40856,134.687
40857,134.632
40858,134.616
40859,134.708
40860,134.859
40861,134.932
40862,134.806
40863,134.547
40864,134.553
40865,134.624
40866,134.729
40867,134.769
40868,134.732
40869,134.699
40870,134.677
40871,134.74
40872,134.822
40873,134.814
40874,134.772
40875,134.887
40876,134.805
40877,134.693
40878,134.685
40879,134.819
40880,134.679
40881,134.69
40882,134.793
40883,134.83
40884,134.606
40885,134.608
40886,134.685
40887,134.714
40888,134.657
40889,134.658
40890,134.707
40891,134.736
40892,134.716
40893,134.768
40894,134.864
40895,134.894
40896,134.907
40897,134.843
40898,134.884
40899,134.866
40900,134.83
40901,134.785
40902,134.794
40903,134.818
40904,134.854
40905,134.818
40906,134.831
40907,134.82
40908,134.767
40909,134.817
40910,134.881
40911,134.804
40912,134.83
40913,134.896
40914,134.843
40915,134.686
40916,134.676
40917,134.772
40918,134.771
40919,134.846
40920,134.853
40921,134.794
40922,134.733
40923,134.775
40924,134.736
40925,134.748
40926,134.854
40927,134.853
40928,134.891
40929,134.752
40930,134.766
40931,134.738
40932,134.716
40933,134.745
40934,134.731
40935,134.772
40936,134.855
40937,134.873
40938,134.778
40939,134.73
40940,134.713
40941,134.657
40942,134.85
40943,134.833
40944,134.697
40945,134.679
40946,134.86
40947,134.862
40948,134.792
40949,134.803
40950,134.716
40951,134.768
40952,134.8
40953,134.637
40954,134.744
40955,134.79
40956,134.76
40957,134.866
40958,134.804
40959,134.816
40960,134.974
40961,134.835
40962,134.776
40963,134.733
40964,134.973
40965,134.902
40966,134.577
40967,134.8
40968,134.941
40969,134.807
40970,134.798
40971,134.769
40972,134.735
40973,134.798
40974,134.699
40975,134.738
40976,135.032
40977,134.706
40978,134.747
40979,134.772
40980,134.695
40981,134.731
40982,134.886
40983,134.74
40984,134.7
40985,134.6
40986,134.697
40987,134.953
40988,134.667
40989,134.67
40990,134.777
40991,134.786
40992,134.627
40993,134.609
40994,134.606
40995,134.618
40996,134.795
40997,135.158
40998,134.673
40999,134.795
41000,134.618
41001,134.673
41002,134.703
41003,134.731
41004,134.798
41005,134.731
41006,134.591
41007,134.389
41008,134.386
41009,134.341
41010,134.408
41011,134.408
41012,134.392
41013,134.399
41014,134.426
41015,134.426
41016,134.408
41017,134.389
41018,134.429
41019,134.423
41020,134.386
41021,134.417
41022,134.45
41023,134.447
41024,134.399
41025,134.389
41026,134.405
41027,134.389
41028,134.426
41029,134.353
41030,134.402
41031,134.368
41032,134.408
41033,134.389
41034,134.389
41035,134.38
41036,134.389
41037,134.383
41038,134.472
41039,134.429
41040,134.417
41041,134.417
41042,134.429
41043,134.374
41044,134.423
41045,134.365
41046,134.447
41047,134.402
41048,134.417
41049,134.356
41050,134.38
41051,134.463
41052,134.408
41053,134.42
41054,134.417
41055,134.396
41056,134.383
41057,134.426
41058,134.383
41059,134.402
41060,134.411
41061,134.377
41062,134.426
41063,134.42
41064,134.38
41065,134.435
41066,134.386
41067,134.402
41068,134.414
41069,134.368
41070,134.441
41071,134.463
41072,134.432
41073,134.447
41074,134.432
41075,134.386
41076,134.432
41077,134.405
41078,134.392
41079,134.405
41080,134.402
41081,134.365
41082,134.392
41083,134.423
41084,134.435
41085,134.408
41086,134.435
41087,134.399
41088,134.374
41089,134.374
41090,134.45
41091,134.405
41092,134.38
41093,134.414
41094,134.386
41095,134.414
41096,134.38
41097,134.429
41098,134.423
41099,134.423
41100,134.411
41101,134.408
41102,134.441
41103,134.371
41104,134.411
41105,134.472
41106,134.399
41107,134.386
41108,134.423
41109,134.383
41110,134.389
41111,134.42
41112,134.42
41113,134.466
41114,134.338
41115,134.414
41116,134.402
41117,134.45
41118,134.447
41119,134.438
41120,134.402
41121,134.417
41122,134.42
41123,134.472
41124,134.435
41125,134.444
41126,134.444
41127,134.389
41128,134.438
41129,134.481
41130,134.429
41131,134.392
41132,134.478
41133,134.444
41134,134.466
41135,134.453
41136,134.463
41137,134.405
41138,134.429
41139,134.411
41140,134.429
41141,134.42
41142,134.435
41143,134.435
41144,134.435
41145,134.475
41146,134.42
41147,134.447
41148,134.435
41149,134.478
41150,134.453
41151,134.444
41152,134.414
41153,134.478
41154,134.444
41155,134.581
41156,134.828
41157,134.837
41158,134.847
41159,134.938
41160,134.987
41161,134.874
41162,134.834
41163,134.764
41164,134.615
41165,134.499
41166,134.56
41167,134.548
41168,134.533
41169,134.569
41170,134.682
41171,134.578
41172,134.536
41173,134.478
41174,134.429
41175,134.447
41176,134.627
41177,134.673
41178,134.594
41179,134.664
41180,134.697
41181,134.819
41182,134.993
41183,134.981
41184,134.834
41185,134.624
41186,134.667
41187,134.67
41188,134.639
41189,134.642
41190,134.716
41191,134.716
41192,134.682
41193,134.856
41194,134.905
41195,134.889
41196,134.801
41197,134.886
41198,134.862
41199,134.856
41200,134.911
41201,134.865
41202,134.773
41203,134.801
41204,134.862
41205,134.85
41206,134.777
