$ Bathymetry:  Ice Harbor.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,,,,
DLX,0,1307.3,914.4,1202.1,1424.6,1325,1275,1918.1,1540.2,2225,2028.4,1354.2,1322.8,1648.7,1355.8,1814.2,1857.1,1510,1819.7,1314.6,2104.5,1518,1550.8,1234.7,1542.3,1662.7,1595,1637.7,1341,1590.4,1187.8,1631.3,716,800,0,,,,,,,,,
ELWS,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,134.803,,,,,,,,,
PHIO,0,0.689,0.35,0.45,1.31,0.98,0.71,0.511,0.147,0.05,0.65,0.368,5.863,0.2,0.91,0.616,1.075,0.419,0.648,1.694,1.2,0.492,0.189,0.666,6.26,6.28,1.75,1.5,0.97,0.82,0.65,0.62,1.298,1.298,0,,,,,,,,,
FRICT,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,766792997.9,621650.126,143.23,469.914,1,
1,0,362,478.4,474.4,443.5,553.7,577.9,655.8,674.6,807.7,951.5,942.1,739.2,1024.1,991.8,1170.6,958.2,674.6,938.1,807.7,1634.2,486.5,486.5,1188,1369.5,1124.9,725.7,865.5,1483.7,1306.3,958.2,1311.7,1085.9,842.6,0,,2,44337855.74,766792997.9,621650.126,142.23,466.634,1,1.02
1,0,289.6,382.72,379.52,354.8,442.96,462.32,524.64,539.68,646.16,761.2,753.68,591.36,819.28,793.44,936.48,766.56,539.68,750.48,646.16,1307.36,389.2,389.2,950.4,1095.6,899.92,580.56,692.4,1186.96,1045.04,766.56,1049.36,868.72,674.08,0,,3,35470284.59,722455142.1,585704.788,141.23,463.353,0.8,1.001
1,0,289.6,382.72,379.52,354.8,442.96,462.32,524.64,539.68,646.16,761.2,753.68,591.36,819.28,793.44,936.48,766.56,539.68,750.48,646.16,1307.36,389.2,389.2,950.4,1095.6,899.92,580.56,692.4,1186.96,1045.04,766.56,1049.36,868.72,674.08,0,,4,35470284.59,686984857.5,556948.518,140.23,460.072,0.8,1.001
1,0,289.6,382.72,379.52,354.8,442.96,462.32,524.64,539.68,646.16,761.2,753.68,591.36,819.28,793.44,936.48,766.56,539.68,750.48,646.16,1307.36,389.2,389.2,950.4,1095.6,899.92,580.56,692.4,1186.96,1045.04,766.56,1049.36,868.72,674.08,0,,5,35470284.59,651514572.9,528192.247,139.23,456.791,0.8,1.001
1,0,289.6,382.72,379.52,354.8,442.96,462.32,524.64,539.68,646.16,761.2,753.68,591.36,819.28,793.44,936.48,766.56,539.68,750.48,646.16,1307.36,389.2,389.2,950.4,1095.6,899.92,580.56,692.4,1186.96,1045.04,766.56,1049.36,868.72,674.08,0,,6,35470284.59,616044288.3,499435.977,138.23,453.51,0.8,1.001
1,0,289.6,382.72,379.52,354.8,442.96,462.32,524.64,539.68,646.16,761.2,753.68,591.36,819.28,793.44,936.48,766.56,539.68,750.48,646.16,1307.36,389.2,389.2,950.4,1095.6,899.92,580.56,692.4,1186.96,1045.04,766.56,1049.36,868.72,674.08,0,,7,35470284.59,580574003.8,470679.706,137.23,450.229,0.8,1.001
1,0,289.6,382.72,379.52,354.8,442.96,462.32,524.64,539.68,646.16,761.2,753.68,591.36,819.28,793.44,936.48,766.56,539.68,750.48,646.16,1307.36,389.2,389.2,950.4,1095.6,899.92,580.56,692.4,1186.96,1045.04,766.56,1049.36,868.72,674.08,0,,8,35470284.59,545103719.2,441923.435,136.23,446.949,0.8,1.001
1,0,289.6,371.6,368.48,344.48,430.08,448.88,509.36,524,627.36,739.04,731.68,574.08,795.36,770.32,909.2,744.24,524,728.56,627.36,1269.28,377.84,377.84,922.72,1063.68,873.68,563.68,672.24,1152.4,1014.56,744.24,1018.8,843.44,654.48,0,,9,34448107.25,509633434.6,413167.165,135.23,443.668,0.8,1.001
1,0,289.6,371.6,368.48,344.48,430.08,448.88,509.36,524,627.36,739.04,731.68,574.08,795.36,770.32,909.2,744.24,524,728.56,627.36,1269.28,377.84,377.84,922.72,1063.68,873.68,563.68,672.24,1152.4,1014.56,744.24,1018.8,843.44,654.48,0,,10,34448107.25,475185327.3,385239.588,134.23,440.387,0.8,1.001
1,0,289.6,371.6,368.48,344.48,430.08,448.88,509.36,524,627.36,739.04,731.68,574.08,795.36,770.32,909.2,744.24,524,728.56,627.36,1269.28,377.84,377.84,922.72,1063.68,873.68,563.68,672.24,1152.4,1014.56,744.24,1018.8,843.44,654.48,0,,11,34448107.25,440737220.1,357312.012,133.23,437.106,0.8,1.001
1,0,289.6,340.08,337.2,315.2,393.52,410.72,466.16,479.52,574.08,676.32,669.6,525.36,727.92,704.96,832,681.12,479.52,666.72,574.08,1161.6,345.76,345.76,844.4,973.36,799.52,515.84,615.2,1054.56,928.48,681.12,932.32,771.84,598.96,0,,12,31556481.45,406289112.8,329384.435,132.23,433.825,0.8,1.001
1,0,289.6,340.08,337.2,315.2,393.52,410.72,466.16,479.52,574.08,676.32,669.6,525.36,727.92,704.96,832,681.12,479.52,666.72,574.08,1161.6,345.76,345.76,844.4,973.36,799.52,515.84,615.2,1054.56,928.48,681.12,932.32,771.84,598.96,0,,13,31556481.45,374732631.4,303801.141,131.23,430.544,0.8,1.01
1,0,289.6,340.08,337.2,315.2,393.52,410.72,466.16,479.52,574.08,676.32,669.6,525.36,727.92,704.96,832,681.12,479.52,666.72,574.08,1161.6,345.76,345.76,844.4,973.36,799.52,515.84,615.2,1054.56,928.48,681.12,932.32,771.84,598.96,0,,14,31556481.45,343176149.9,278217.847,130.23,427.264,0.8,1.01
1,0,289.6,330.16,327.36,306.08,382.08,398.8,452.56,465.6,557.36,656.64,650.16,510.08,706.72,684.4,807.76,661.28,465.6,647.36,557.36,1127.76,335.76,335.76,819.84,945.04,776.24,500.8,597.28,1023.84,901.44,661.28,905.2,749.36,581.52,0,,15,30649166.52,311619668.5,252634.553,129.23,423.983,0.8,1.01
1,0,215.4,240.42,238.38,222.84,278.22,290.4,329.52,339,405.84,478.14,473.4,371.4,514.56,498.36,588.18,481.5,339,471.36,405.84,821.16,244.44,244.44,596.94,688.14,565.26,398.618,434.88,745.56,656.4,481.5,659.1,545.64,423.42,0,,16,22322808.84,280970502,227786.832,128.23,420.702,0.6,1.01
1,0,213.6,233.4,231.42,216.36,270.12,281.94,319.98,329.1,394.02,464.22,459.6,360.6,499.62,483.84,571.08,467.46,329.1,457.62,394.02,797.28,237.36,237.36,579.6,668.1,548.76,398.618,422.22,723.84,637.26,467.46,639.9,529.74,411.06,0,,17,21678715.82,258647693.1,209689.41,127.23,417.421,0.6,1.01
1,0,211.2,226.62,224.7,210.06,262.26,273.72,310.62,319.56,382.56,450.66,446.22,350.1,485.04,469.74,554.4,453.84,319.56,444.3,382.56,774.06,230.4,230.4,562.68,648.66,532.8,398.618,409.92,702.72,618.72,453.84,621.24,514.32,399.12,0,,18,21052094.83,236968977.3,192114.163,126.23,414.14,0.6,1.01
1,0,208.8,220.02,218.16,203.94,254.64,265.74,301.56,310.26,371.4,437.52,433.2,339.9,470.94,456.06,538.26,440.64,310.26,431.34,371.4,751.5,223.74,223.74,546.3,629.76,517.26,398.618,397.98,682.26,600.72,440.64,603.18,499.32,387.48,0,,19,20443954.27,215916882.5,175046.926,125.23,410.859,0.6,1.01
1,0,204,213.6,211.8,198,247.2,258,292.8,301.2,360.6,424.8,420.6,330,201.689,212.304,275.995,229.288,148.613,212.304,191.074,424.608,63.882,42.588,85.177,231.36,502.2,398.618,397.454,681.357,599.924,440.056,602.381,498.66,386.967,0,,20,15335501.01,195472928.2,158472.718,124.23,407.578,0.6,1.01
1,0,193.8,213.6,211.8,198,247.2,258,292.8,301.2,360.6,424.8,420.6,330,199.692,210.202,273.263,227.018,147.141,210.202,189.182,420.404,63.25,42.167,84.333,229.07,502.2,398.618,396.927,680.455,599.127,439.473,601.582,498,386.455,0,,21,15276357.93,180137427.2,146040.006,123.23,404.298,0.6,1.01
1,0,61.818,63.673,61.818,185.454,73.563,41.624,104.06,301.2,360.6,424.8,420.6,330,197.715,208.121,270.557,224.77,145.685,208.121,187.309,416.242,62.624,41.749,83.498,226.802,502.2,398.618,396.401,679.552,598.331,438.889,600.783,497.34,385.942,0,,22,13855165.66,164861069.3,133655.243,122.23,401.017,0.6,1.01
1,0,61.206,63.042,61.206,183.618,72.835,41.212,103.03,82.424,103.03,103.03,93.963,103.03,195.757,206.06,267.878,222.545,144.242,206.06,185.454,412.12,62.004,41.336,82.672,224.556,306.702,398.618,396.401,679.552,598.331,438.889,441.835,415.844,363.864,0,,23,11002106.4,151005903.6,122422.661,121.23,397.736,0.6,1.01
1,0,60.6,62.418,60.6,181.8,72.114,40.804,102.01,81.608,102.01,102.01,93.033,102.01,193.819,204.02,265.226,220.342,142.814,204.02,183.618,408.04,61.39,40.927,81.853,222.333,303.666,398.618,396.401,679.552,598.331,438.889,437.46,411.727,360.261,0,,24,10893174.65,140003797.2,113503.095,120.23,394.455,0.6,1.01
1,0,60,61.8,60,180,71.4,40.4,101,80.8,101,101,92.112,101,191.9,202,262.6,218.16,141.4,202,181.8,404,60.782,40.521,81.043,220.131,300.659,398.618,393.79,675.069,594.355,435.982,433.129,407.651,356.694,0,,25,10785321.44,129110622.5,104671.841,119.23,391.174,0.6,1.01
1,0,40,40,0,80,40,40,100,80,100,100,91.2,100,190,200,260,216,140,200,180,400,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,26,10381790.97,118325301.1,95928.026,118.23,387.893,0.4,1
1,0,0,0,0,40,40,40,100,80,100,100,91.2,100,190,200,260,216,140,200,170,400,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,27,10222792.97,107943510.1,87511.358,117.23,384.613,0.4,1
1,0,0,0,0,0,0,0,100,60,80,60,88,100,180,180,250,216,140,190,170,380,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,28,9779003.53,97720717.17,79223.593,116.23,381.332,0.4,1
1,0,0,0,0,0,0,0,0,40,40,40,80,80,160,160,240,160,120,190,160,380,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,29,9163956.33,87941713.64,71295.614,115.23,378.051,0.4,1
1,0,0,0,0,0,0,0,0,0,0,0,0,70,140,140,220,120,120,190,120,360,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,30,8545316.33,78777757.31,63866.262,114.23,374.77,0.4,1
1,0,0,0,0,0,0,0,0,0,0,0,0,40,120,120,100,120,80,140,100,300,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,31,7923891.33,70232440.98,56938.451,113.23,371.489,0.4,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,80,100,60,120,80,300,60.18,40.12,80.24,217.952,297.682,394.672,389.892,668.386,588.47,431.666,428.84,403.614,353.163,0,,32,7644577.33,62308549.65,50514.439,112.23,368.208,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,100,80,300,60.12,40.08,80.16,217.734,297.385,394.277,389.502,667.718,587.882,431.234,428.412,403.211,352.81,0,,33,7045209.493,54663972.32,44316.87,111.23,364.928,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,280,60.06,40.04,80.08,217.517,297.088,393.883,389.113,667.051,587.295,430.804,427.984,402.808,352.457,0,,34,6624017.611,47618762.82,38605.217,110.23,361.647,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,60,40,80,217.299,296.791,393.49,388.724,666.384,586.708,430.373,427.556,402.406,352.105,0,,35,6118291.679,40994745.21,33235.03,109.23,358.366,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,80,217.082,296.494,393.097,388.336,665.719,586.122,429.943,427.129,402.004,351.754,0,,36,5998059.328,34876453.53,28274.843,108.23,355.085,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,216.865,296.198,392.704,387.948,665.054,585.536,429.514,426.703,401.602,351.402,0,,37,5942984.663,28878394.21,23412.13,107.23,351.804,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,216.649,295.902,392.312,387.56,664.389,584.951,429.085,426.276,401.201,351.051,0,,38,5803735.68,22935409.54,18594.067,106.23,348.523,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,216.432,295.607,391.92,387.173,663.725,584.367,428.656,425.85,400.8,350.7,0,,39,5798060.371,17131673.86,13888.895,105.23,345.243,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.216,295.311,391.528,386.786,663.062,583.783,428.228,425.425,400.4,350.35,0,,40,5669638.733,11333613.49,9188.324,104.23,341.962,0.4,1.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,295.016,391.137,386.4,662.4,583.2,427.8,425,400,350,0,,41,5663974.758,5663974.758,4591.866,103.23,338.681,0.4,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,102.23,335.4,1,
