$IHR.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY2011 to 2015,,12/31/2010
JDAY,TWElev,
40544,343.7729769,
40545,342.8871501,
40546,343.3792761,
40547,344.1338693,
40548,344.2322945,
40549,342.9855753,
40550,342.7231081,
40551,344.0354441,
40552,344.4619533,
40553,343.9042105,
40554,343.9698273,
40555,343.9370189,
40556,343.4120845,
40557,344.3307197,
40558,344.1338693,
40559,345.1181213,
40560,345.7414809,
40561,349.2191713,
40562,349.8425309,
40563,348.4645781,
40564,347.4803261,
40565,347.6443681,
40566,347.4803261,
40567,347.5131345,
40568,347.6115597,
40569,346.9225833,
40570,347.3490925,
40571,347.1194337,
40572,345.7742893,
40573,346.1679901,
40574,344.7244205,
40575,345.8399061,
40576,346.0039481,
40577,344.9868877,
40578,344.5603785,
40579,344.6588037,
40580,344.2651029,
40581,343.6745517,
40582,345.4790137,
40583,345.0853129,
40584,345.2493549,
40585,344.7572289,
40586,344.7244205,
40587,343.7401685,
40588,344.7900373,
40589,345.7414809,
40590,346.6929245,
40591,345.9055229,
40592,346.3976489,
40593,345.9383313,
40594,345.9711397,
40595,344.8884625,
40596,345.5446305,
40597,345.6102473,
40598,345.4133969,
40599,344.9868877,
40600,345.3149717,
40601,345.0525045,
40602,345.4462053,
40603,345.9055229,
40604,346.8569665,
40605,345.7414809,
40606,345.9711397,
40607,346.5944993,
40608,345.9055229,
40609,345.9383313,
40610,346.5944993,
40611,346.1679901,
40612,346.2992237,
40613,344.9212709,
40614,347.0866253,
40615,347.2834757,
40615.95833,345.4790137,
40616.95833,346.8569665,
40617.95833,347.7427933,
40618.95833,347.1522421,
40619.95833,348.5301949,
40620.95833,348.3661529,
40621.95833,348.0380689,
40622.95833,347.5459429,
40623.95833,347.8740269,
40624.95833,347.5787513,
40625.95833,347.9068353,
40626.95833,347.9396437,
40627.95833,348.4645781,
40628.95833,348.6286201,
40629.95833,348.1364941,
40630.95833,347.8740269,
40631.95833,347.6115597,
40632.95833,347.5131345,
40633.95833,349.7112973,
40634.95833,351.1548669,
40635.95833,351.5485677,
40636.95833,352.3031609,
40637.95833,350.5643157,
40638.95833,351.8110349,
40639.95833,352.0078853,
40640.95833,351.2861005,
40641.95833,350.0393813,
40642.95833,349.6456805,
40643.95833,349.9409561,
40644.95833,348.8910873,
40645.95833,349.4816385,
40646.95833,348.9238957,
40647.95833,348.6286201,
40648.95833,348.0708773,
40649.95833,347.2834757,
40650.95833,347.9724521,
40651.95833,348.6942369,
40652.95833,349.2847881,
40653.95833,349.2519797,
40654.95833,349.7112973,
40655.95833,349.1535545,
40656.95833,348.6942369,
40657.95833,348.6614285,
40658.95833,348.2349193,
40659.95833,348.5301949,
40660.95833,348.3005361,
40661.95833,348.5301949,
40662.95833,348.3333445,
40663.95833,348.3333445,
40664.95833,348.0708773,
40665.95833,347.4475177,
40666.95833,347.4147093,
40667.95833,348.3661529,
40668.95833,348.2349193,
40669.95833,347.6771765,
40670.95833,347.5787513,
40671.95833,348.4645781,
40672.95833,349.5144469,
40673.95833,348.8582789,
40674.95833,349.1535545,
40675.95833,349.1863629,
40676.95833,350.2690401,
40677.95833,352.0735021,
40678.95833,354.0748145,
40679.95833,356.2729773,
40680.95833,355.4855757,
40681.95833,354.1732397,
40682.95833,353.4842633,
40683.95833,353.0577541,
40684.95833,353.5498801,
40685.95833,353.9435809,
40686.95833,354.6981741,
40687.95833,354.9934497,
40688.95833,355.2887253,
40689.95833,355.6168093,
40690.95833,355.9120849,
40691.95833,354.8950245,
40692.95833,354.2060481,
40693.95833,353.3530297,
40694.95833,352.8609037,
40695.95833,353.1889877,
40696.95833,352.9593289,
40697.95833,354.0748145,
40698.95833,353.3858381,
40699.95833,353.1233709,
40700.95833,353.3530297,
40701.95833,354.9278329,
40702.95833,356.3385941,
40703.95833,356.3714025,
40704.95833,355.6496177,
40705.95833,354.6653657,
40706.95833,354.4685153,
40707.95833,354.7637909,
40708.95833,355.0590665,
40709.95833,355.2887253,
40710.95833,354.7965993,
40711.95833,354.2388565,
40712.95833,353.1561793,
40713.95833,352.7624785,
40714.95833,353.4842633,
40715.95833,353.2546045,
40716.95833,353.6811137,
40717.95833,354.5341321,
40718.95833,355.1246833,
40719.95833,354.8622161,
40720.95833,353.9107725,
40721.95833,353.6154969,
40722.95833,353.2546045,
40723.95833,353.2874129,
40724.95833,353.9107725,
40725.95833,354.3372817,
40726.95833,352.8280953,
40727.95833,352.4343945,
40728.95833,352.0078853,
40729.95833,351.8438433,
40730.95833,351.8110349,
40731.95833,351.4501425,
40732.95833,351.0236333,
40733.95833,350.3018485,
40734.95833,349.3832133,
40735.95833,349.0223209,
40736.95833,348.3333445,
40737.95833,348.3005361,
40738.95833,348.2677277,
40739.95833,348.1036857,
40740.95833,347.7756017,
40741.95833,347.5787513,
40742.95833,347.6115597,
40743.95833,347.3819009,
40744.95833,346.5288825,
40745.95833,346.9882001,
40746.95833,346.6929245,
40747.95833,346.6929245,
40748.95833,346.4960741,
40749.95833,345.7414809,
40750.95833,345.6758641,
40751.95833,345.2821633,
40752.95833,345.5446305,
40753.95833,345.3149717,
40754.95833,345.0196961,
40755.95833,345.1181213,
40756.95833,344.1338693,
40757.95833,345.1509297,
40758.95833,344.9212709,
40759.95833,344.9868877,
40760.95833,343.9042105,
40761.95833,344.2322945,
40762.95833,344.3307197,
40763.95833,344.5603785,
40764.95833,344.6588037,
40765.95833,344.3635281,
40766.95833,343.2808509,
40767.95833,343.7729769,
40768.95833,344.1338693,
40769.95833,344.1010609,
40770.95833,343.8057853,
40771.95833,344.1666777,
40772.95833,343.9698273,
40773.95833,343.6089349,
40774.95833,343.7073601,
40775.95833,343.6745517,
40776.95833,343.7729769,
40777.95833,343.9042105,
40778.95833,343.6089349,
40779.95833,344.1666777,
40780.95833,344.5275701,
40781.95833,343.4120845,
40782.95833,343.4777013,
40783.95833,343.1496173,
40784.95833,343.3792761,
40785.95833,343.9370189,
40786.95833,343.6417433,
40787.95833,343.5105097,
40788.95833,343.6417433,
40789.95833,343.5761265,
40790.95833,344.1994861,
40791.95833,344.4947617,
40792.95833,344.1666777,
40793.95833,343.1824257,
40794.95833,344.5603785,
40795.95833,345.3805885,
40796.95833,344.6588037,
40797.95833,343.7073601,
40798.95833,344.5275701,
40799.95833,344.5931869,
40800.95833,344.6588037,
40801.95833,344.7572289,
40802.95833,344.8884625,
40803.95833,344.7572289,
40804.95833,344.9212709,
40805.95833,344.5931869,
40806.95833,344.0682525,
40807.95833,344.2651029,
40808.95833,343.5105097,
40809.95833,343.3792761,
40810.95833,343.3136593,
40811.95833,343.6745517,
40812.95833,343.8057853,
40813.95833,343.4448929,
40814.95833,343.7729769,
40815.95833,343.8714021,
40816.95833,344.5603785,
40817.95833,343.7729769,
40818.95833,343.6745517,
40819.95833,343.9370189,
40820.95833,344.0026357,
40821.95833,343.7729769,
40822.95833,344.2322945,
40823.95833,343.9042105,
40824.95833,344.0026357,
40825.95833,343.9370189,
40826.95833,343.9698273,
40827.95833,343.1168089,
40828.95833,343.5105097,
40829.95833,343.7729769,
40830.95833,343.6745517,
40831.95833,344.3635281,
40832.95833,342.8871501,
40833.95833,343.4120845,
40834.95833,342.7231081,
40835.95833,342.3622157,
40836.95833,342.6246829,
40837.95833,343.1168089,
40838.95833,343.0511921,
40839.95833,342.3950241,
40840.95833,342.9527669,
40841.95833,342.5918745,
40842.95833,342.9527669,
40843.95833,343.5761265,
40844.95833,342.7231081,
40845.95833,343.1824257,
40846.95833,343.4120845,
40847.95833,343.2152341,
40848.95833,343.1168089,
40849.95833,343.5105097,
40850.95833,342.7231081,
40851.95833,342.8871501,
40852.95833,342.7559165,
40854,342.8871501,
40855,342.0669401,
40856,342.5590661,
40857,342.7887249,
40858,342.0013233,
40859,342.6574913,
40860,342.4606409,
40861,343.3136593,
40862,343.3792761,
40863,343.5433181,
40864,343.5433181,
40865,342.0341317,
40866,342.8215333,
40867,342.8871501,
40868,343.2480425,
40869,342.3622157,
40870,343.3792761,
40871,343.8057853,
40872,343.3792761,
40873,343.1496173,
40874,342.5590661,
40875,343.5433181,
40876,343.1824257,
40877,342.6246829,
40878,342.6246829,
40879,343.2808509,
40880,342.7559165,
40881,342.1981737,
40882,342.5918745,
40883,343.3136593,
40884,343.3136593,
40885,342.8543417,
40886,342.8543417,
40887,343.7401685,
40888,343.0840005,
40889,341.9028981,
40890,342.9855753,
40891,344.0026357,
40892,342.4606409,
40893,342.6246829,
40894,343.0183837,
40895,343.2480425,
40896,342.9199585,
40897,342.7559165,
40898,342.2637905,
40899,343.1496173,
40900,342.6574913,
