$ LOWER MONUMENTAL_OUTFLOW.npt based on $//LOWER MONUMENTAL_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,872.281
2.000000,1072.845
3.000000,739.278
4.000000,737.714
5.000000,926.594
6.000000,1115.259
7.000000,915.91
8.000000,580.055
9.000000,628.49
10.000000,847.842
11.000000,784.717
12.000000,841.028
13.000000,812.456
14.000000,894.712
15.000000,949.161
16.000000,1124.987
17.000000,1469.061
18.000000,2230.207
19.000000,2922.33
20.000000,2530.358
21.000000,1941.711
22.000000,1642.036
23.000000,1958.652
24.000000,1880.315
25.000000,1743.035
26.000000,1888.677
27.000000,1934.876
28.000000,1940.247
29.000000,1815.667
30.000000,1540.449
31.000000,1573.571
32.000000,1230.171
33.000000,1315.143
34.000000,1495.201
35.000000,1264.857
36.000000,1117.435
37.000000,1098.028
38.000000,1127.253
39.000000,944.609
40.000000,1289.155
41.000000,1413.812
42.000000,1247.606
43.000000,1361.275
44.000000,1251.385
45.000000,1050.949
46.000000,1051.768
47.000000,1442.208
48.000000,1776.852
49.000000,1608.242
50.000000,1559.501
51.000000,1609.385
52.000000,1496.839
53.000000,1448.705
54.000000,1452.406
55.000000,1441.948
56.000000,1414.411
57.000000,1209.33
58.000000,1348.719
59.000000,1328.452
60.000000,1182.587
61.000000,1123.887
62.000000,1614.455
63.000000,1586.6
64.000000,1508.696
65.000000,1736.66
66.000000,1582.296
67.000000,1522.16
68.000000,1518.424
69.000000,1547.291
70.000000,1487.807
71.000000,1643.424
72.000000,1912.244
73.000000,1911.877
74.000000,1674.832
75.000000,1573.993
76.000000,1976.069
77.000000,1903.496
78.000000,2287.744
79.000000,2391.265
80.000000,2357.435
81.000000,2204.159
82.000000,2501.785
83.000000,2204.179
84.000000,1958.567
85.000000,2290.311
86.000000,2435.908
87.000000,2502.387
88.000000,2185.285
89.000000,2218.999
90.000000,2468.309
91.000000,3005.934
92.000000,3690.291
93.000000,3802.881
94.000000,3993.31
95.000000,3751.487
96.000000,3629.9
97.000000,3834.834
98.000000,3750.854
99.000000,3475.585
100.000000,3182.585
101.000000,3060.655
102.000000,3036.133
103.000000,2868.511
104.000000,2982.572
105.000000,2923.693
106.000000,2761.976
107.000000,2770.115
108.000000,2567.421
109.000000,2629.993
110.000000,2846.143
111.000000,2961.387
112.000000,2891.69
113.000000,2964.861
114.000000,2877.229
115.000000,2781.687
116.000000,2706.251
117.000000,2665.872
118.000000,2697.894
119.000000,2666.305
120.000000,2684.69
121.000000,2539.726
122.000000,2492.331
123.000000,2474.646
124.000000,2430.621
125.000000,2362.016
126.000000,2503.457
127.000000,2490.589
128.000000,2500.105
129.000000,2612.876
130.000000,2862.751
131.000000,3020.258
132.000000,2778.83
133.000000,3003.039
134.000000,3228.596
135.000000,3712.31
136.000000,4670.173
137.000000,5561.341
138.000000,5653.073
139.000000,5253.446
140.000000,4601.514
141.000000,4506.143
142.000000,4461.119
143.000000,4686.159
144.000000,4960.762
145.000000,5274.497
146.000000,5399.801
147.000000,5581.569
148.000000,5643.636
149.000000,5548.782
150.000000,5033.087
151.000000,4533.451
152.000000,4364.028
153.000000,4289.536
154.000000,4323.705
155.000000,4496.67
156.000000,4522.54
157.000000,4540.667
158.000000,4514.278
159.000000,5082.559
160.000000,5662.627
161.000000,6059.943
162.000000,5642.541
163.000000,5393.951
164.000000,5147.658
165.000000,5035.063
166.000000,5058.717
167.000000,5318.962
168.000000,5250.097
169.000000,4937.294
170.000000,4647.61
171.000000,4426.489
172.000000,4288.332
173.000000,4286.044
174.000000,4571.654
175.000000,4908.192
176.000000,5223.097
177.000000,5230.075
178.000000,4909.326
179.000000,4568.425
180.000000,4438.1
181.000000,4592.308
182.000000,4745.178
183.000000,4655.284
184.000000,4472.818
185.000000,4010.85
186.000000,3965.474
187.000000,3831.945
188.000000,3733.8
189.000000,3742.6
190.000000,3498.912
191.000000,3259.286
192.000000,2993.968
193.000000,2801.396
194.000000,2696.647
195.000000,2418.535
196.000000,2447.264
197.000000,2561.87
198.000000,2381.862
199.000000,2325.97
200.000000,2260.569
201.000000,2257.91
202.000000,2196.413
203.000000,1899.909
204.000000,2027.814
205.000000,1952.428
206.000000,1886.345
207.000000,1827.047
208.000000,1715.095
209.000000,1572.381
210.000000,1583.852
211.000000,1507.25
212.000000,1554.36
213.000000,1392.71
214.000000,1400.156
215.000000,1415.591
216.000000,1475.456
217.000000,1412.518
218.000000,1356.165
219.000000,1181.223
220.000000,1105.007
221.000000,1175.75
222.000000,1200.123
223.000000,1213.949
224.000000,1211.271
225.000000,1066.438
226.000000,1052.854
227.000000,1101.006
228.000000,1095.236
229.000000,976.433
230.000000,1119.307
231.000000,1101.958
232.000000,1000.102
233.000000,972.777
234.000000,1016.111
235.000000,1021.478
236.000000,1097.589
237.000000,1040.663
238.000000,1027.545
239.000000,1168.255
240.000000,997.38
241.000000,946.893
242.000000,979.451
243.000000,967.725
244.000000,1010.265
245.000000,1071.09
246.000000,967.047
247.000000,724.517
248.000000,771.567
249.000000,888.673
250.000000,1081.158
251.000000,1164.566
252.000000,969.114
253.000000,1054.437
254.000000,1142.964
255.000000,1241.391
256.000000,925.518
257.000000,1067.448
258.000000,1144.128
259.000000,1096.439
260.000000,1166.532
261.000000,1171.077
262.000000,1250.751
263.000000,1223.464
264.000000,1126.344
265.000000,977.69
266.000000,912.839
267.000000,905.212
268.000000,734.491
269.000000,800.336
270.000000,485.05
271.000000,828.64
272.000000,846.89
273.000000,871.766
274.000000,900.464
275.000000,972.214
276.000000,835.401
277.000000,760.319
278.000000,847.731
279.000000,893.963
280.000000,839.806
281.000000,938.5
282.000000,975.043
283.000000,972.51
284.000000,747.849
285.000000,764.419
286.000000,778.034
287.000000,772.551
288.000000,739.938
289.000000,558.041
290.000000,762.614
291.000000,799.889
292.000000,902.021
293.000000,795.761
294.000000,743.537
295.000000,681.586
296.000000,652.752
297.000000,748.601
298.000000,700.481
299.000000,719.665
300.000000,727.24
301.000000,727.508
302.000000,760.104
303.000000,534.823
304.000000,619.721
305.000000,755.085
306.000000,679.982
307.000000,725.206
308.000000,706.38
309.000000,613.26
310.000000,623.638
311.000000,723.867
312.000000,729.869
313.000000,700.149
314.000000,575.266
315.000000,757.814
316.000000,662.114
317.000000,583.579
318.000000,507.529
319.000000,588.697
320.000000,682.651
321.000000,759.166
322.000000,725.785
323.000000,556.264
324.000000,539.142
325.000000,670.12
326.000000,791.97
327.000000,680.609
328.000000,635.495
329.000000,816.181
330.000000,749.614
331.000000,696.895
332.000000,447.748
333.000000,548.434
334.000000,728.588
335.000000,618.354
336.000000,494.286
337.000000,636.731
338.000000,644.495
339.000000,505.864
340.000000,549.055
341.000000,634.36
342.000000,727.573
343.000000,766.563
344.000000,641.266
345.000000,776.882
346.000000,575.078
347.000000,374.053
348.000000,610.359
349.000000,883.919
350.000000,706.678
351.000000,414.596
352.000000,440.391
353.000000,576.853
354.000000,731.887
355.000000,628.424
356.000000,650.363
357.000000,608.922
358.000000,750.842
359.000000,610.381
360.000000,633.419
361.000000,669.106
362.000000,644.168
363.000000,715.65
364.000000,915.674
365.000000,987.825
366.000000,1128.44
367.000000,1001.976
368.000000,849.976
369.000000,760.234
370.000000,902.767
371.000000,853.178
372.000000,789.633
373.000000,892.905
374.000000,680.304
375.000000,564.486
376.000000,667.567
377.000000,722.947
378.000000,717.357
379.000000,863.141
380.000000,766.857
381.000000,584.362
382.000000,470.496
383.000000,673.133
384.000000,610.931
385.000000,832.205
386.000000,950.822
387.000000,946.317
388.000000,920.855
389.000000,904.154
390.000000,913.555
391.000000,914.093
392.000000,916.146
393.000000,1115.946
394.000000,1006.774
395.000000,1030.871
396.000000,837.461
397.000000,975.217
398.000000,979.217
399.000000,857.986
400.000000,876.123
401.000000,1151.439
402.000000,1093.662
403.000000,969.497
404.000000,720.356
405.000000,834.175
406.000000,999.459
407.000000,987.343
408.000000,772.107
409.000000,815.109
410.000000,737.71
411.000000,678.95
412.000000,1066.2
413.000000,843.369
414.000000,1008.145
415.000000,869.254
416.000000,803.801
417.000000,886.801
418.000000,849.671
419.000000,1135.614
420.000000,1692.215
421.000000,1659.626
422.000000,1610.634
423.000000,1086.135
424.000000,1000.183
425.000000,1106.23
426.000000,1025.116
427.000000,1091.163
428.000000,1179.458
429.000000,1057.182
430.000000,1025.4
431.000000,950.5
432.000000,1288.935
433.000000,1263.807
434.000000,1071.779
435.000000,1033.688
436.000000,1027.389
437.000000,1311.671
438.000000,1147.214
439.000000,1240.142
440.000000,1626.453
441.000000,1676.38
442.000000,2059.832
443.000000,2517.313
444.000000,2106.597
445.000000,1384.299
446.000000,1854.167
447.000000,1981.457
448.000000,2205.198
449.000000,2359.434
450.000000,2240.1
451.000000,2224.259
452.000000,2411.572
453.000000,2618.723
454.000000,2651.654
455.000000,2759.26
456.000000,2966.761
457.000000,3125.874
458.000000,3823.967
459.000000,3968.335
460.000000,3552.126
461.000000,3178.937
462.000000,2876.026
463.000000,3002.668
464.000000,2952.366
465.000000,2813.676
466.000000,2709.677
467.000000,2701.7
468.000000,2682.528
469.000000,2972.822
470.000000,3194.085
471.000000,3206.707
472.000000,3026.009
473.000000,2879.236
474.000000,2811.608
475.000000,2894.028
476.000000,2975.961
477.000000,3012.174
478.000000,3076.811
479.000000,3287.894
480.000000,3500.313
481.000000,4111.757
482.000000,4660.911
483.000000,4893.319
484.000000,5093.857
485.000000,5066.139
486.000000,4559.347
487.000000,4007.163
488.000000,3803.812
489.000000,3662.994
490.000000,3561.846
491.000000,3338
492.000000,3121.205
493.000000,2935.755
494.000000,2747.106
495.000000,2598.625
496.000000,2605.377
497.000000,2720.944
498.000000,2728.565
499.000000,2917.043
500.000000,2775.226
501.000000,2738.632
502.000000,2886.897
503.000000,3190.338
504.000000,3432.236
505.000000,3702.194
506.000000,3528.466
