$ QGT_IHR_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_IHR_2011_2015_daily_ave.csv ; all outlets scaled to total flow from ICE HARBOR_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 42038, 42296, 42367 that are  6, 15, 2 days long
"JDAY","POW","SPB1","SPB2.RSW","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","SPB9","SPB10","MISC"
1.000000,850.036,0,0,0,0,0,0,0,0,0,0,11.023
2.000000,1196.698,0,0,0,0,0,0,0,0,0,0,11.559
3.000000,629.627,0,0,0,0,0,0,0,0,0,0,4.783
4.000000,726.691,0,0,0,0,0,0,0,0,0,0,6.005
5.000000,973.58,0,0,0,0,0,0,0,0,0,0,10.884
6.000000,1387.803,0,0,0,0,0,0,0,0,0,0,18.111
7.000000,863.517,0,0,0,0,0,0,0,0,0,0,6.246
8.000000,513.572,0,0,0,0,0,0,0,0,0,0,3.279
9.000000,548.608,0,0,0,0,0,0,0,0,0,0,4.545
10.000000,845.64,0,0,0,0,0,0,0,0,0,0,8.641
11.000000,851.577,0,0,0,0,0,0,0,0,0,0,4.72
12.000000,684.233,0,0,0,0,0,0,0,0,0,0,5.023
13.000000,753.788,0,0,0,0,0,0,0,0,0,0,5.869
14.000000,972.8,0,0,0,0,0,0,0,0,0,0,8.177
15.000000,969.329,0,0,0,0,0,0,0,0,0,0,6.443
16.000000,1159.191,0,0,0,0,0,0,0,0,0,0,7.099
17.000000,1242.319,2.757,0,41.151,34.476,33.631,35.522,33.682,32.647,34.295,30.365,4.745
18.000000,1387.983,0,0,67.216,69.882,60.248,78.237,61.778,62.006,70.574,79.465,5.047
19.000000,2588.049,0,0,20.127,20.91,15.798,23.129,18.184,17.378,21.086,23.94,6.964
20.000000,2653.081,0,0,0,0,0,0,0,0,0,0,7.809
21.000000,2024.175,0,0,0,0,0,0,0,0,0,0,5.785
22.000000,1594.786,0,0,0,0,0,0,0,0,0,0,4.824
23.000000,1993.846,0,0,0,0,0,0,0,0,0,0,5.977
24.000000,1833.55,0,0,0,0,0,0,0,0,0,0,5.132
25.000000,1687.911,0,0,0,0,0,0,0,0,0,0,5.207
26.000000,2010.892,0,0,0,0,0,0,0,0,0,0,5.839
27.000000,1859.367,0,0,0,0,0,0,0,0,0,0,5.703
28.000000,1870.605,0,0,0,0,0,0,0,0,0,0,7.242
29.000000,1931.626,0,0,0,0,0,0,0,0,0,0,6.977
30.000000,1620.257,0,0,0,0,0,0,0,0,0,0,7.876
31.000000,1714.456,0,0,0,0,0,0,0,0,0,0,6.45
32.000000,1017.765,0,0,0,0,0,0,0,0,0,0,4.804
33.000000,1211.552,0,0,0,0,0,0,0,0,0,0,7.241
34.000000,1570.336,0,0,0,0,0,0,0,0,0,0,7.972
35.000000,1203.139,0,0,0,0,0,0,0,0,0,0,6.165
36.000000,1299.551,0,0,0,0,0,0,0,0,0,0,6.924
37.000000,1021.259,0,0,0,0,0,0,0,0,0,0,6.081
38.000000,1082.472,0,0,0,0,0,0,0,0,0,0,5.437
39.000000,933.463,0,0,0,0,0,0,0,0,0,0,4.167
40.000000,1338.695,0,0,0,0,0,0,0,0,0,0,5.698
41.000000,1450.126,0,0,0,0,0,0,0,0,0,0,8.768
42.000000,1103.02,0,0,0,0,0,0,0,0,0,0,5.181
43.000000,1458.709,0,0,0,0,0,0,0,0,0,0,9.7
44.000000,1246.643,0,0,0,0,0,0,0,0,0,0,5.764
45.000000,996.076,0,0,0,0,0,0,0,0,0,0,4.99
46.000000,924.199,0,0,0,0,0,0,0,0,0,0,3.197
47.000000,1448.489,0,0,0,0,0,0,0,0,0,0,5.721
48.000000,1859.78,0,0,0,0,0,0,0,0,0,0,10.621
49.000000,1589.84,0,0,0,0,0,0,0,0,0,0,5.893
50.000000,1483.776,0,0,0,0,0,0,0,0,0,0,5.272
51.000000,1540.258,0,0,0,0,0,0,0,0,0,0,6.701
52.000000,1543.799,0,0,0,0,0,0,0,0,0,0,5.789
53.000000,1337.708,0,0,0,0,0,0,0,0,0,0,5.246
54.000000,1580.365,0,0,0,0,0,0,0,0,0,0,6.38
55.000000,1308.931,0,0,0,0,0,0,0,0,0,0,6.073
56.000000,1564.127,0,0,0,0,0,0,0,0,0,0,6.382
57.000000,1165.76,0,0,0,0,0,0,0,0,0,0,5.515
58.000000,1276.159,0,0,0,0,0,0,0,0,0,0,5.954
59.000000,1290.515,0,0,0,0,0,0,0,0,0,0,6.021
60.000000,1416.843,0,0,0,0,0,0,0,0,0,0,4.768
61.000000,840.842,0,0,0,0,0,0,0,0,0,0,4.07
62.000000,1665.803,0,0,0,0,0,0,0,0,0,0,9.148
63.000000,1695.153,0,0,0,0,0,0,0,0,0,0,8.753
64.000000,1403.028,0,0,0,0,0,0,0,0,0,0,8.141
65.000000,1696.05,0,0,0,0,0,0,0,0,0,0,9.52
66.000000,1519.474,0,0,0,0,0,0,0,0,0,0,7.807
67.000000,1479.507,0,0,0,0,0,0,0,0,0,0,8.097
68.000000,1478.336,0,0,0,0,0,0,0,0,0,0,7.544
69.000000,1556.376,0,0,0,0,0,0,0,0,0,0,10.104
70.000000,1536.942,0,0,0,0,0,0,0,0,0,0,8.512
71.000000,1438.524,0,0,0,0,0,0,0,0,0,0,6.429
72.000000,1832.425,0,0,0,0,0,0,0,0,0,0,12.611
73.000000,2217.927,0,0,0,0,0,0,0,0,0,0,13.344
74.000000,1517.643,0,0,0,0,0,0,0,0,0,0,10.638
75.000000,1404.078,0,0,0,0,0,0,0,0,0,0,6.719
76.000000,1792.625,0,205.983,0,0.103,1.677,0.479,19.486,22.815,22.993,23.417,12.972
77.000000,1617.895,0,83.068,0,0,0,0,16.525,16.517,16.328,16.333,9.027
78.000000,2195.83,0,124.005,0,0,0,0,0,0,0.505,24.76,8.696
79.000000,2287.352,0,71.554,0,24.578,0,0,0,0,4.846,13.591,9.619
80.000000,2196.642,0,167.735,0,0,0,0,0,18.018,17.415,22.938,8.901
81.000000,1958.502,0,0,0,0,0,0,0,0,0,0,7.932
82.000000,2283.746,0,68.126,0,18.44,0,0,8.595,9.123,12.445,12.717,11.122
83.000000,2182.344,0,53.697,0,24.239,0,0,0,4.931,5.764,10.594,14.819
84.000000,1789.103,0,201.582,0,69.224,0,0,0,0,6.986,13.66,12.31
85.000000,1881.005,0,118.007,0,118.389,0,0,0,0,23.22,23.397,19.059
86.000000,2206.128,0,32.125,0,0,0,0,6,6.142,6.109,6.005,23.648
87.000000,2223.583,0,146.37,0,93.959,0,0,1.409,1.448,19.819,19.91,25.497
88.000000,1769.151,0,220.99,0,161.992,0,0,0,0,0,32.106,23.312
89.000000,1571.909,0,221.176,0,218.624,0,115.82,30.508,32.66,32.446,51.878,17.06
90.000000,1418.374,0,179.918,0.809,223.313,144.258,189.99,190.509,48.553,49.403,76.591,19.978
91.000000,511.671,0,162.956,291.531,285.09,284.22,279.803,277.765,274.344,258.165,69.387,15.301
92.000000,1293.277,0,205.615,293.005,302.345,266.559,296.68,272.632,271.77,268.289,86.561,21.433
93.000000,1524.695,0,206.37,329.298,309.177,303.301,298.801,297.977,296.637,287.418,90.623,20.012
94.000000,1556.273,0,232.065,177.582,327.382,267.878,295.912,295.947,230.79,239.957,102.346,24.107
95.000000,1731.204,0,218.575,241.966,307.425,294.794,283.59,283.867,263.742,256.602,96.384,24.682
96.000000,1466.897,0,194.441,290.927,290.927,275.375,275.667,275.719,260.844,250.236,85.742,20.372
97.000000,1669.675,0,214.687,220.73,297.005,277.406,252.74,252.75,210.951,252.21,94.725,29.221
98.000000,1733.053,0,256.069,189.016,359.981,245.317,302.049,301.636,211.337,258.19,112.954,22.195
99.000000,1345.058,0,248.356,247.615,348.861,239.458,302.641,302.915,241.263,234.765,118.306,28.358
100.000000,1359.402,0,223.492,193.759,315.981,176.102,269.203,269.592,210.094,209.778,106.414,20.454
101.000000,1158.859,0,233.774,154.486,324.078,157.09,290.546,287.402,200.464,193.52,103.084,22.528
102.000000,1209.234,0,222.092,163.507,314.102,154.484,282.648,283.028,200.726,195.792,101.436,23.614
103.000000,1024.433,0,213.496,155.061,299.173,139.783,265.667,264.154,189.709,189.652,98.27,22.199
104.000000,994.066,0,235.144,163.248,326.987,163.422,298.462,298.773,217.192,214.307,103.757,24.288
105.000000,1088.398,0,257.596,120.957,345.053,162.372,302.351,302.468,210.803,208.497,113.653,21.639
106.000000,771.311,0,252.154,148.389,327.064,150.105,292.575,287.283,194.739,186.615,111.233,24.86
107.000000,934.298,0,256.512,150.87,347.052,156.285,301.304,301.521,206.974,203.206,113.142,26.517
108.000000,847.289,0,206.278,149.134,289.44,135.517,257.043,257.229,178.868,178.775,91.004,20.074
109.000000,886.683,0,185.359,138.688,257.699,206.908,238.629,238.827,157.397,179.867,81.745,16.529
110.000000,1052.464,0,209.841,156.819,295.206,144.231,267.278,260.901,187.968,187.715,94.302,27.256
111.000000,1171.107,0,201.999,157.869,281.517,138.63,257.659,256.431,187.647,186.78,91.501,18.156
112.000000,1077.345,0,213.04,166.65,297.519,145.727,271.815,271.895,196.816,196.928,96.532,18.913
113.000000,1050.445,0,229.884,166.618,320.699,156.624,292.874,280.962,201.341,199.96,101.46,20.303
114.000000,1034.001,0,230.975,156.894,320.677,157.83,287.48,272.531,191.384,191.057,101.926,18.515
115.000000,965.726,0,235.558,114.569,320.602,153.68,280.825,275.831,192.931,192.818,103.897,25.1
116.000000,965.204,0,217.974,153.084,297.534,138.346,261.232,261.631,184.947,185.43,97.867,26.515
117.000000,840.363,0,220.177,161.765,305.795,147.146,271.251,271.442,195.221,194.967,99.239,23.219
118.000000,1559.997,0,228.696,279.194,70.22,227.54,78.187,79.224,92.888,102.127,64.688,24.935
119.000000,1837.425,0,223.351,246.448,0,246.189,0,0,0,21.643,55.115,25.152
120.000000,1268.732,0,230.554,125.895,236.681,125.886,215.577,209.369,128.921,127.056,92.19,20.357
121.000000,797.199,0,218.972,135.045,282.093,128.886,260.773,258.59,181.928,177.023,95.976,22.844
122.000000,800.124,0,235.001,64.511,306.92,138.124,266.852,262.604,178.646,178.656,103.009,24.278
123.000000,797.304,0,232.264,77.005,303.784,136.948,257.109,251.625,170.695,170.846,102.234,23.999
124.000000,1444.348,0,215.752,252.744,65.778,187.331,71.551,71.76,86.844,87.279,66.095,19.58
125.000000,1628.199,0,204.288,221.009,0,218.994,0,0,11.097,11.228,48.469,24.831
126.000000,1068.86,0,227.532,156.636,217.926,76.249,213.58,209.771,138.674,134.792,93.374,25.732
127.000000,708.03,0,228.397,152.338,310.104,139.364,271.558,271.788,189.178,189.342,103.418,24.077
128.000000,1435.712,0,215.14,261.107,66.511,164.979,83.261,85.742,105.546,109.725,63.421,22.986
