"Segment#","WSEL_m"
"       1"," 134.803"
"       2"," 134.803"
"       3"," 134.803"
"       4"," 134.803"
"       5"," 134.803"
"       6"," 134.803"
"       7"," 134.803"
"       8"," 134.803"
"       9"," 134.803"
"      10"," 134.803"
"      11"," 134.803"
"      12"," 134.803"
"      13"," 134.803"
"      14"," 134.803"
"      15"," 134.803"
"      16"," 134.803"
"      17"," 134.803"
"      18"," 134.803"
"      19"," 134.803"
"      20"," 134.803"
"      21"," 134.803"
"      22"," 134.803"
"      23"," 134.803"
"      24"," 134.803"
"      25"," 134.803"
"      26"," 134.803"
"      27"," 134.803"
"      28"," 134.803"
"      29"," 134.803"
"      30"," 134.803"
"      31"," 134.803"
"      32"," 134.803"
"      33"," 134.803"
"      34"," 134.803"
"      35"," 134.803"
