"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 1 Segment 34 Depth 0.50 m","34","DLT","s","1/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","ELWS","m","2/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","T2","Celsius","3/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","U","m/s","4/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","Q","m^3/s","5/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","SRON","W/m^2","6/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","EXT","1/m","7/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","Depth","m","8/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","WIDTH","m","9/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","SHADE","","10/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","Tvolavg","W/m^2","11/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","NetRad","W/m^2","12/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","SWSolar","W/m^2","13/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","LWRad","W/m^2","14/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","BackRad","W/m^2","15/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","EvapF","W/m^2","16/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","ConducF","W/m^2","17/20","IHR_tsr_1_seg34.opt",    0.041670
"Time Series File 1 Segment 34 Depth 0.50 m","34","N2","g/m^3","18/20","IHR_tsr_1_seg34.opt",    0.041670
