$ HERO 2011 2017-11-15 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with PSCW_2011_2015_met.csv,,,,,
CWMS paths:, HERO.Temp-Air.Inst.0.0.MIXED-REV, HERO.Temp-DewPoint.Inst.0.0.MIXED-REV, HERO.Speed-Wind.Ave.15Minutes.15Minutes.MIXED-REV, HERO.Dir-Wind.Inst.0.0.MIXED-REV, PSCW.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,JDY.Pres-Air.Inst.1Hour.0.GOES-REV; fill with linTrend of JHAW
JDAY, TAIR_C, TDEW_C, WIND_ms, PHI_rad, CLOUD_0_10,BP_mmHg
1.000000,-9.7,-10.97,0.37,2.64,0,761.178769
1.041670,-10.78,-12.1,1.32,2.18,0,761.178769
1.083330,-11.12,-12.36,1.85,2.21,0,761.178769
1.125000,-10.58,-12.08,0.81,2.44,0,761.178769
1.166670,-10.65,-12.33,0.97,2.26,0,762.141869
1.208330,-10.98,-12.38,0.97,2.27,0,762.141869
1.250000,-10.92,-12.32,0.63,2.48,0,763.104969
1.291670,-10.91,-12.56,0.7,2.46,0,763.104969
1.333330,-10.16,-12.1,0.82,2.11,0,764.068069
1.375000,-8.11,-10.7,1.51,2.46,0,764.068069
1.416670,-7.16,-10.02,2.46,2.31,0,764.068069
1.458330,-5.94,-9.3,1.86,2.53,0,764.068069
1.500000,-5.05,-9.1,1.14,1.47,0,764.068069
1.541670,-4.52,-9.1,1.78,0.93,0,763.104969
1.583330,-4.04,-8.95,1.56,1.54,0,763.104969
1.625000,-4.25,-8.65,2.25,2.14,0,763.104969
1.666670,-5.07,-9,2.39,2.27,0,763.104969
1.708330,-6.65,-9.17,1.52,2.12,0,763.104969
1.750000,-6.91,-9.36,0.97,2.33,0,763.104969
1.791670,-6.57,-9.14,0.98,1.97,0,764.068069
1.833330,-5.95,-9.55,1.28,1.72,0,764.068069
1.875000,-5.95,-9.78,1.25,1.9,0,764.068069
1.916670,-6.08,-9.15,0.65,1.61,0,764.068069
1.958330,-7.79,-9.2,0.64,0.71,0,764.068069
2.000000,-8.4,-9.45,0,0,0,764.068069
2.041670,-8.95,-9.86,0.11,3.89,0,764.068069
2.083330,-8.6,-9.58,0,0,2,764.068069
2.125000,-8.06,-10.02,1.51,1.5,7.5,764.068069
2.166670,-8.33,-9.83,0.62,2.81,0,764.068069
2.208330,-7.98,-9.25,1.13,2.35,0,764.068069
2.250000,-8.19,-9.4,0.81,2.79,0,765.031169
2.291670,-9.01,-10.21,0,1.57,10,765.031169
2.333330,-9.28,-10.64,0.38,1.09,10,765.031169
2.375000,-7.71,-9.22,0.8,2.55,10,765.031169
2.416670,-6.41,-9.27,2.62,2.17,2,765.994269
2.458330,-5.05,-9.05,1.52,2.35,0,765.031169
2.500000,-4.37,-9.18,1.24,1,0,765.031169
2.541670,-3.29,-8.77,1.38,2.03,0,764.068069
2.583330,-3.43,-8.56,1.68,2.07,0,764.068069
2.625000,-3.51,-8.66,1.39,1.83,0,764.068069
2.666670,-3.92,-8.16,2.04,2.1,0,764.068069
2.708330,-5.62,-8.55,2.08,2.24,0,764.068069
2.750000,-6.57,-8.92,1.51,2.21,0,764.068069
2.791670,-7.8,-9.45,1.06,2.07,0,764.068069
2.833330,-8.75,-10.17,0.89,2.01,0,764.068069
2.875000,-8.88,-10.72,0.63,0.9,0,765.031169
2.916670,-10.17,-11.44,0.79,2.29,0,765.031169
2.958330,-10.45,-11.93,1.46,2.23,0,765.031169
3.000000,-11.2,-12.55,1.13,2.22,0,765.031169
3.041670,-11.53,-12.82,1.6,2.26,0,765.031169
3.083330,-11.67,-12.77,1.55,2.13,0,765.031169
3.125000,-11.87,-13.17,1.69,2.28,0,765.031169
3.166670,-12.21,-13.56,0.28,2.27,2,765.031169
3.208330,-12.89,-14.37,1.44,2.25,0,765.031169
3.250000,-12.62,-14.02,1.56,2.21,0,765.031169
3.291670,-12.82,-14.28,1.26,2.28,0,765.994269
3.333330,-12.68,-14.27,1.02,2.26,7.5,765.994269
3.375000,-10.22,-12.11,1.2,2.45,10,766.957369
3.416670,-7.7,-10.08,0.69,6.02,0,766.957369
3.458330,-6.61,-9.09,0.68,5.63,0,766.957369
3.500000,-4.57,-7.96,0.53,6.2,0,765.994269
3.541670,-3.97,-8.11,0.78,0.35,0,765.031169
3.583330,-3.36,-8.26,0.58,0.11,0,764.068069
3.625000,-3.37,-8.19,1.1,0.62,0,764.068069
3.666670,-3.85,-7.88,2.07,1.09,0,764.068069
3.708330,-6.51,-9.1,1.62,2.16,0,765.031169
3.750000,-6.85,-9.35,1.13,2.09,0,765.031169
3.791670,-8,-9.84,1,2.46,0,765.031169
3.833330,-7.38,-9.6,0.94,1.81,0,765.994269
3.875000,-9.28,-10.36,0.84,2.56,0,765.994269
3.916670,-10.1,-10.99,0.21,2.81,0,765.994269
3.958330,-10.44,-11.71,1.7,2.23,0,765.994269
4.000000,-11.26,-12.46,1.53,2.16,0,765.031169
4.041670,-11.46,-12.69,1.23,2.21,0,765.031169
4.083330,-11.32,-12.7,1.84,2.22,0,765.031169
4.125000,-10.85,-12.15,1.25,2.51,0,765.994269
4.166670,-11.8,-13.16,1.08,2.29,0,765.031169
4.208330,-10.64,-11.92,0.16,0.72,0,765.031169
4.250000,-9.96,-11.32,0,0,0,765.031169
4.291670,-10.02,-11.38,0.26,2.4,0,765.031169
4.333330,-10.77,-11.87,1.5,2.32,2,765.031169
4.375000,-8.05,-9.81,1.58,2.53,7.5,765.031169
4.416670,-5.79,-8.15,0.83,2.97,7.5,765.031169
4.458330,-5.32,-7.63,1.89,6.26,4.4,764.068069
4.500000,-4.1,-7.78,0.36,6.2,4.4,764.068069
4.541670,-2.61,-7.6,0.83,2.04,0,763.104969
4.583330,-2.41,-7.41,0.81,2.03,0,763.104969
4.625000,-2.14,-7.64,0.17,0.51,0,763.104969
