$ CSV Bathymetry file from Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,,
DLX,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,1200.3,,
ELWS,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,81.387,,
PHIO,1.38,1.38,1.38,1.31,1.28,1.34,1.35,1.35,1.4,1.4,1.4,1.23,1.23,1.3,1.4,1.45,1.62,1.87,1.9,1.9,1.29,1.01,1.01,0.82,0.82,0.82,1.28,1.26,0.95,0.95,1,1,1.2,1.33,1.33,1.4,1.45,1.45,1.38,1.33,1.2,1.2,1.25,1.35,1.4,1.57,1.35,1.35,1,1.11,1.08,1.08,1.08,1.08,1.12,1.12,1.12,1.28,1.29,1.25,1.25,1.25,0.65,0.65,0.65,0.65,0.65,1.2,1.54,1.54,1.54,1.35,1.2,1.25,1.25,1.35,1.2,1.3,1.4,1.4,1.52,1.5,1.5,1.5,1.55,1.8,2.25,2.3,2.4,2.3,2.3,1.92,1.83,1.68,1.61,1.45,1.05,0.98,0.86,0.86,0.9,1.08,,
FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,
LAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1
1,0,371.89,190.5,167.63,534.9,545.44,791.09,677.44,128.73,612.05,452.17,704.55,848.43,1038.06,968.32,793.58,885.54,689.66,1038.98,1291.24,1300.23,1378.31,1207.8,1414.69,1490.13,1440.04,1682.36,1497.02,1120.83,2700.88,4533.72,4255.6,2528.32,1890.3,1661.17,1850.78,2161.94,1636.55,1174.42,1403.1,1443.28,1794.52,1922.57,2150.97,2300.1,2301.2,2031.75,2085.97,2283.66,2497.55,1956.17,1951.06,2498.45,2593.02,2481.17,2627.77,2581.92,2517.86,2365.86,2516.64,2542.76,3085.03,2730.16,2174.7,2195.58,1798.49,1860.79,2094.95,1997.92,2017.95,1961.53,1787.24,1759.32,1624.29,1596.38,1696.93,1660.38,2346.45,2672.72,2659.88,2582.99,2501.01,2209,2451.85,2657.44,2471.28,2209.75,2147.95,2829.71,2711.19,2646.15,2309.38,2139.15,2011.29,1928.54,2008.27,1764.08,1954.79,2320.5,2201.53,1814.1,0,.,2
1,0,371.89,190.5,167.63,534.9,545.44,791.09,677.44,128.73,612.05,452.17,704.55,848.43,1038.06,968.32,793.58,885.54,689.66,1038.98,1291.24,1300.23,1378.31,1207.8,1414.69,1490.13,1440.04,1682.36,1497.02,1120.83,2700.88,4533.72,4255.6,2528.32,1890.3,1661.17,1850.78,2161.94,1636.55,1174.42,1403.1,1443.28,1794.52,1922.57,2150.97,2300.1,2301.2,2031.75,2085.97,2283.66,2497.55,1956.17,1951.06,2498.45,2593.02,2481.17,2627.77,2581.92,2517.86,2365.86,2516.64,2542.76,3085.03,2730.16,2174.7,2195.58,1798.49,1860.79,2094.95,1997.92,2017.95,1961.53,1787.24,1759.32,1624.29,1596.38,1696.93,1660.38,2346.45,2672.72,2659.88,2582.99,2501.01,2209,2451.85,2657.44,2471.28,2209.75,2147.95,2829.71,2711.19,2646.15,2309.38,2139.15,2011.29,1928.54,2008.27,1764.08,1954.79,2320.5,2201.53,1814.1,0,.,3
1,0,371.89,190.5,167.63,534.9,545.44,791.09,677.44,128.73,612.05,452.17,704.55,848.43,1038.06,968.32,793.58,885.54,689.66,1038.98,1291.24,1300.23,1378.31,1207.8,1414.69,1490.13,1440.04,1682.36,1497.02,1120.83,2700.88,4533.72,4255.6,2528.32,1890.3,1661.17,1850.78,2161.94,1636.55,1174.42,1403.1,1443.28,1794.52,1922.57,2150.97,2300.1,2301.2,2031.75,2085.97,2283.66,2497.55,1956.17,1951.06,2498.45,2593.02,2481.17,2627.77,2581.92,2517.86,2365.86,2516.64,2542.76,3085.03,2730.16,2174.7,2195.58,1798.49,1860.79,2094.95,1997.92,2017.95,1961.53,1787.24,1759.32,1624.29,1596.38,1696.93,1660.38,2346.45,2672.72,2659.88,2582.99,2501.01,2209,2451.85,2657.44,2471.28,2209.75,2147.95,2829.71,2711.19,2646.15,2309.38,2139.15,2011.29,1928.54,2008.27,1764.08,1954.79,2320.5,2201.53,1814.1,0,.,4
1,0,350.715,179.655,158.08,504.435,514.375,746.03,638.855,121.39,577.195,426.415,664.42,800.115,978.935,913.175,748.385,835.105,650.385,979.805,1217.705,1226.175,1299.815,1139.015,1334.12,1405.265,1358.02,1586.545,1411.765,1056.995,2547.055,4275.51,4013.23,2384.33,1782.635,1566.56,1745.37,2038.81,1543.345,1107.535,1323.19,1361.075,1692.315,1813.075,2028.465,2169.1,2170.14,1916.04,1967.165,2153.6,2355.305,1844.765,1839.945,2356.15,2445.345,2339.86,2478.11,2434.875,2374.46,2231.12,2373.315,2397.94,2909.33,2574.665,2050.85,2070.535,1696.055,1754.815,1975.64,1884.135,1903.025,1849.815,1685.45,1659.125,1531.785,1505.46,1600.28,1565.82,2212.815,2520.5,2508.39,2435.88,2358.575,2083.195,2312.21,2506.095,2330.535,2083.9,2025.62,2668.555,2556.78,2495.45,2177.855,2017.325,1896.74,1818.71,1893.895,1663.61,1843.455,2188.345,2076.15,1710.785,0,.,5
