$ Bathymetry:  John Day.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,,,,,,,,,,,,,,
DLX,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,1200.27,,,,,,,,,,,,,,
ELWS,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,81.515712,,,,,,,,,,,,,,
ANGLE,1.38,1.38,1.38,1.31,1.28,1.34,1.35,1.35,1.4,1.4,1.4,1.23,1.23,1.3,1.4,1.45,1.62,1.87,1.9,1.9,1.29,1.01,1.01,0.82,0.82,0.82,1.28,1.26,0.95,0.95,1,1,1.2,1.33,1.33,1.4,1.45,1.45,1.38,1.33,1.2,1.2,1.25,1.35,1.4,1.57,1.35,1.35,1,1.11,1.08,1.08,1.08,1.08,1.12,1.12,1.12,1.28,1.29,1.25,1.25,1.25,0.65,0.65,0.65,0.65,0.65,1.2,1.54,1.54,1.54,1.35,1.2,1.25,1.25,1.35,1.2,1.3,1.4,1.4,1.52,1.5,1.5,1.5,1.55,1.8,2.25,2.3,2.4,2.3,2.3,1.92,1.83,1.68,1.61,1.45,1.05,0.98,0.86,0.86,0.9,1.08,,,,,,,,,,,,,,
MANNING,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),,scale,scale2,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,5010620693,4062182.36,91,298.556,,1,1,,,,
1,0,1068.59,1516.25,1610.52,2074.37,2072.54,1830.3,1927.07,1912.31,1675.46,1648.51,1862.31,2008.66,1967.75,1705.2,2469.37,4045.44,4962.81,5411.23,5406.64,5460.47,5382,5260.62,5260.58,5551.3,5681.34,5449.49,5382.8,5078.12,5029.62,5034.35,4753.61,4403.02,4074.17,3774.03,3603.8,3332.9,2971.63,2430.61,2028.39,1945.18,1551.76,1488.04,1640.4,1712.79,1967.04,1782.7,1598.46,2036.56,1771.87,1635.65,1624.69,1813.49,1587.91,1715.14,1786.02,1783.98,1746.61,1705.62,1714.57,1832.22,1924.69,1737.39,1711.47,1570.13,1749.6,1817.69,1578.36,1173.54,1229.87,1161.91,1091.61,1039.38,1043.47,956.07,1071.66,1044.61,1423.56,1581.41,1590.85,1541.78,1536.38,1558.21,1627.58,1632.34,1755.78,1580.88,1666.62,1806.46,1759.76,1612.39,1360.79,1296.94,1243.48,1221.01,1249.74,1060.67,1140.68,1361.59,1340.02,1668,0,,2,277355090.9,5010620693,4062182.36,90,295.276,,1,1,,,,
1,0,1054.31,1488.17,1523.1,2025.83,2043.34,1798.54,1829.47,1898.78,1653.01,1605.26,1825.98,1977.68,1893.56,1657.57,2417.94,3914.71,4774.96,5366.63,5349.65,5437.65,5344.38,5245.03,5250.12,5527.4,5639.4,5349.84,5235.48,4998.56,5021.96,5015.78,4719.09,4348.35,4001,3681.54,3565.15,3332.55,2965.86,2416.94,2020.58,1930.77,1538.18,1484.11,1636.58,1708.49,1959.44,1775.71,1587.22,2026.26,1761.29,1628.54,1616.93,1804.17,1585.91,1712.82,1781.88,1770.38,1739.15,1689.02,1708.87,1825.22,1914.73,1728.74,1703.77,1558.6,1743.35,1810.32,1576.96,1173.03,1228.99,1160.82,1089.42,1038.69,1039.97,954.49,1066.96,1042.47,1421.79,1576.66,1582.47,1510.3,1522.73,1523.79,1611.83,1616.28,1738.77,1567.88,1652.13,1794.49,1746.13,1610.14,1355.51,1294.93,1241,1219.56,1247.07,1059.7,1131.79,1351.11,1326.05,1618.71,0,,3,274427596.3,4733265602,3837326.59,89,291.995,,1,1,,,,
1,0,1020.11,1423.15,1424.53,1898.1,1978.81,1701.67,1657.91,1831.28,1593.57,1489.24,1721.39,1910.24,1780.54,1573.95,2340.23,3651.81,4442.62,4883.88,4931.83,5302.34,5168.65,5167.05,5210.66,5455.67,5490.62,5155.58,5000.12,4835.62,5005.28,4971.77,4632.33,4240.38,3871.04,3501.57,3496.08,3325.34,2953.05,2392.23,2007.54,1898.34,1513.46,1475.82,1629.65,1701.22,1944.05,1763.14,1552.25,2011.18,1741.12,1615.83,1603.6,1783.47,1580.73,1708.01,1772.55,1744.8,1724.84,1664.2,1698.68,1811.28,1900.63,1716.47,1684.89,1543.16,1730.52,1785.83,1574.34,1172.05,1227.17,1158.82,1085.29,1037.09,1033.86,951.59,1059.22,1039.17,1418.16,1569.68,1569.62,1476.26,1498.11,1487.14,1589.51,1592.45,1716.24,1546.72,1630.6,1772.5,1721.48,1605.72,1346.67,1289.93,1232.74,1216.68,1241.32,1056.35,1118.54,1334.32,1300.26,1552.15,0,,4,267611299,4458838006,3614844.19,88,288.714,,1,1,,,,
1,0,943.99,1333.73,1368.93,1754.67,1900.16,1589.5,1502.95,1687.31,1497.71,1380.19,1577.79,1845.11,1697.92,1447.93,2120.3,3406.91,4224.23,4243.94,4258,4981.59,4911.15,5065.99,5164,5316.9,5242.83,4992.34,4840.7,4702.21,4974.98,4884.93,4421.24,4121.44,3753.93,3329.02,3433.29,3314.89,2936.72,2370.66,1994.42,1853.92,1485.54,1467.26,1623.15,1694.7,1920,1752.57,1515.89,1998.8,1725.6,1604.12,1591.15,1758.01,1575.28,1702.27,1765.05,1727.68,1711.69,1646.05,1689.88,1780.76,1893.75,1709.51,1665.74,1536.79,1716.79,1754.61,1568.89,1170.91,1225.21,1156.92,1080.99,1034.93,1028.17,948.79,1029.72,1036.81,1414.41,1565.35,1563.51,1472.1,1484.31,1483.3,1580.18,1581.44,1708.58,1534.01,1618.92,1755.9,1705.01,1601.1,1340.21,1284.26,1224.53,1213.08,1233.79,1042.17,1111.75,1324.89,1284.42,1524.59,0,,5,259659462.2,4191226707,3397887.85,87,285.433,,1,1,,,,
