$JDA Elev-Tailwater CBT-REV [m => ft NAVD88],,
CY 2011-2015,,12/31/2010
JDAY,ElevFT,
40544,164.0748076,
40545,163.8451488,
40546,163.4842564,
40547,165.0459363,
40548,164.724414,
40549,164.0748076,
40550,163.9632591,
40551,163.943574,
40552,164.025595,
40553,163.7860937,
40554,163.9763824,
40555,164.2355688,
40556,164.6063037,
40557,163.7959362,
40558,164.0748076,
40559,164.0157525,
40560,163.57612,
40561,165.0754638,
40562,165.7545977,
40563,165.8234954,
40564,165.4133904,
40565,165.2657526,
40566,166.0039416,
40567,166.5649652,
40568,166.6240203,
40569,166.0039416,
40570,165.6036791,
40571,165.8858313,
40572,165.7447552,
40573,165.0360938,
40574,164.314309,
40575,165.5544665,
40576,165.236225,
40577,165.0754638,
40578,165.173889,
40579,165.1837316,
40580,164.2257263,
40581,163.7336003,
40582,164.2355688,
40583,165.173889,
40584,165.1443615,
40585,164.9934428,
40586,165.236225,
40587,165.173889,
40588,164.4357,
40589,165.1049914,
40590,165.4461988,
40591,165.1640465,
40592,165.7841253,
40593,165.6135216,
40594,165.6135216,
40595,165.173889,
40596,164.724414,
40597,164.6653588,
40598,165.3641778,
40599,164.1732328,
40600,164.5439678,
40601,164.2355688,
40602,164.9836003,
40603,165.3248077,
40604,165.3248077,
40605,165.0754638,
40606,164.744099,
40607,165.0754638,
40608,164.39633,
40609,163.9632591,
40610,164.5538103,
40611,164.7736266,
40612,165.3937053,
40613,164.8950176,
40614,165.1640465,
40615,165.5347814,
40616,164.314309,
40617,165.5347814,
40618,165.2034166,
40619,164.7145714,
40620,165.8234954,
40621,165.7644402,
40622,165.3444927,
40623,165.0360938,
40624,164.333994,
40625,165.3149652,
40626,165.8661463,
40627,165.3149652,
40628,165.6036791,
40629,165.3937053,
40630,165.9645715,
40631,165.4757263,
40632,165.8858313,
40633,165.0032854,
40634,165.9055164,
40635,166.7552539,
40636,167.5853064,
40637,168.3136529,
40638,168.024939,
40639,168.5039416,
40640,167.9560414,
40641,167.0439678,
40642,166.4632592,
40643,167.1653589,
40644,167.2145715,
40645,166.9357001,
40646,166.8733642,
40647,165.9350439,
40648,165.8563038,
40649,165.974414,
40650,164.2552538,
40651,165.8563038,
40652,166.384519,
40653,165.3937053,
40654,166.3451489,
40655,166.3156214,
40656,166.5748077,
40657,165.6561725,
40658,165.4658838,
40659,165.8038103,
40660,165.544624,
40661,166.2040728,
40662,165.8333379,
40663,165.4954114,
40664,165.666015,
40665,166.1548602,
40666,165.2034166,
40667,165.8956738,
40668,165.4560413,
40669,165.1443615,
40670,165.4232329,
40671,165.2263825,
40672,165.7152276,
40673,166.4435741,
40674,166.6240203,
40675,165.1640465,
40676,166.814309,
40677,168.2447553,
40678,168.1036792,
40679,169.5439679,
40680,170.9940992,
40681,171.4534168,
40682,171.3746766,
40683,171.0761202,
40684,171.5748079,
40685,171.3943617,
40686,171.4238892,
40687,171.8339942,
40688,171.6732331,
40689,171.8635218,
40690,171.3451491,
40691,171.9357003,
40692,172.2834693,
40693,172.6049916,
40694,172.063653,
40695,172.3753328,
40696,171.5944929,
40697,171.6437055,
40698,171.4862252,
40699,172.5131281,
40700,172.1653591,
40701,172.2637843,
40702,171.8832068,
40703,172.4934431,
40704,172.536094,
40705,172.454073,
40706,171.8963302,
40707,171.5452803,
40708,171.7454116,
40709,171.6633906,
40710,172.2637843,
40711,172.0734956,
40712,172.106304,
40713,171.5059102,
40714,170.895674,
40715,170.3051228,
40716,170.4757265,
40717,170.5446241,
40718,170.5150966,
40719,171.614178,
40720,170.423233,
40721,169.9442304,
40722,169.6161464,
40723,169.9147028,
40724,169.3635217,
40725,169.7736267,
40726,170.5544666,
40727,170.8431806,
40728,170.1148341,
40729,170.2132593,
40730,168.8156214,
40731,169.0354377,
40732,169.4849128,
40733,169.4947553,
40734,169.5341254,
40735,169.0452802,
40736,168.1233642,
40737,166.2762513,
40738,166.7060413,
40739,167.4343878,
40740,167.5656214,
40741,166.2040728,
40742,166.3156214,
40743,166.3451489,
40744,165.5938366,
40745,165.954729,
40746,165.6857001,
40747,165.6233641,
40748,165.7742828,
40749,165.25591,
40750,165.8759888,
40751,165.1640465,
40752,164.9147027,
40753,165.2460675,
40754,164.6161462,
40755,164.6358313,
40756,165.4461988,
40757,165.0262512,
40758,164.025595,
40759,164.2650964,
40760,164.9048602,
40761,164.763784,
40762,164.0944927,
40763,163.986225,
40764,164.7834691,
40765,164.6358313,
40766,165.236225,
40767,165.173889,
40768,164.7736266,
40769,163.8156213,
40770,163.6450176,
40771,165.2263825,
40772,164.7834691,
40773,164.9540728,
40774,164.7933116,
40775,164.5931804,
40776,163.6745452,
40777,163.8549914,
40778,163.8943614,
40779,164.2257263,
40780,164.7342565,
40781,164.6063037,
40782,164.2552538,
40783,164.3832066,
40784,163.6351751,
40785,163.7434428,
40786,163.4448864,
40787,163.8451488,
40788,163.4744139,
40789,163.3563037,
40790,163.1857,
40791,163.123364,
40792,163.6548601,
40793,163.4153588,
40794,163.4645714,
40795,163.3956738,
40796,163.533469,
40797,163.3431803,
40798,162.8346501,
40799,163.2152276,
40800,162.79528,
40801,162.6837315,
40802,163.2841252,
40803,163.205385,
40804,163.166015,
40805,162.7034165,
40806,162.9560412,
40807,163.1561724,
40808,163.2152276,
40809,162.693574,
40810,162.713259,
40811,162.693574,
40812,162.9560412,
40813,163.1332066,
40814,163.1332066,
40815,163.166015,
40816,163.0052538,
40817,163.1463299,
40818,162.7854375,
40819,162.5459362,
40820,162.713259,
40821,162.8248076,
40822,162.8838627,
40823,163.3333378,
40824,163.0249388,
40825,162.6640464,
40826,162.673889,
40827,163.3431803,
40828,162.6640464,
40829,162.3359624,
40830,162.8149651,
40831,163.2939677,
40832,163.3563037,
40833,163.4842564,
40834,163.2545976,
40835,163.3661462,
40836,162.9855688,
40837,163.0052538,
40838,163.0052538,
40839,163.0052538,
40840,162.1653588,
40841,162.6542039,
40842,162.8248076,
40843,162.4442302,
40844,162.9461987,
40845,163.3038102,
40846,163.1463299,
40847,162.8248076,
40848,162.9855688,
40849,163.2349126,
40850,163.2349126,
40851,163.123364,
40852,163.2447551,
40853,162.8641777,
40854,162.9133903,
40855,162.5360937,
40856,162.713259,
40857,162.3359624,
40858,162.7034165,
40859,163.1332066,
40860,163.0052538,
40861,163.1332066,
40862,163.3431803,
40863,163.2250701,
40864,163.5236265,
40865,163.6647026,
40866,162.9363562,
40867,163.2841252,
40868,163.6253326,
40869,163.2841252,
40870,163.2644402,
40871,162.9133903,
40872,163.0938365,
40873,163.0150963,
40874,162.8051226,
40875,162.9658837,
40876,162.9133903,
40877,162.9757262,
40878,162.9461987,
40879,163.2742827,
40880,163.205385,
40881,163.103679,
40882,163.0347814,
40883,162.9363562,
40884,163.3858312,
40885,163.4055163,
40886,163.4448864,
40887,163.5433116,
40888,163.2644402,
40889,163.494099,
40890,163.6450176,
40891,163.4252013,
40892,163.3759887,
40893,163.3563037,
40894,163.205385,
40895,162.8641777,
40896,162.5557787,
40897,162.673889,
40898,163.4842564,
40899,162.8149651,
40900,163.4842564,
40901,162.9461987,
40902,163.166015,
40903,163.1135215,
40904,163.3956738,
40905,163.6548601,
40906,163.103679,
40907,163.3038102,
40908,163.6647026,
40909,163.5531541,
40910,163.8549914,
40911,163.2742827,
40912,163.494099,
40913,163.986225,
40914,163.4055163,
40915,163.6942302,
40916,162.8838627,
40917,162.9133903,
40918,163.1332066,
40919,163.3661462,
40920,163.3759887,
40921,163.0249388,
40922,163.4547289,
40923,163.3038102,
40924,163.1561724,
40925,163.5039415,
40926,163.3431803,
40927,164.1240202,
40928,164.1141777,
40929,164.333994,
40930,163.7434428,
40931,163.6450176,
40932,163.8746764,
40933,164.1338628,
40934,163.8451488,
40935,163.8943614,
40936,163.986225,
40937,163.7040727,
40938,163.5531541,
40939,163.8254638,
40940,163.0052538,
40941,163.2742827,
40942,163.2250701,
40943,163.2152276,
40944,163.3563037,
40945,163.513784,
40946,163.2447551,
40947,163.083994,
40948,163.513784,
40949,163.7434428,
40950,163.8943614,
40951,163.3431803,
40952,163.6056475,
40953,163.4448864,
40954,163.2349126,
40955,163.8746764,
40956,163.8943614,
40957,163.0938365,
40958,162.8937052,
40959,163.3234953,
40960,163.61549,
40961,163.513784,
40962,163.5859625,
40963,164.0649651,
40964,163.9960675,
40965,163.6942302,
40966,163.5433116,
40967,163.7860937,
40968,163.7336003,
40969,163.1463299,
40970,163.7237578,
40971,163.494099,
40972,163.0643089,
40973,163.4153588,
40974,163.6647026,
40975,164.2946239,
40976,164.1863562,
40977,164.2946239,
40978,164.1437053,
40979,163.7532853,
40980,163.5531541,
40981,163.7631278,
40982,164.353679,
40983,164.5636528,
40984,164.3438365,
40985,164.9343877,
40986,164.4750701,
40987,164.39633,
40988,164.6948864,
40989,163.986225,
40990,165.6036791,
40991,165.3051226,
40992,165.154204,
40993,165.1837316,
40994,165.3444927,
40995,165.2263825,
40996,165.4035478,
40997,165.9252014,
40998,165.8858313,
40999,166.404204,
41000,166.0531542,
41001,166.5551227,
41002,166.0433116,
41003,166.0433116,
41004,165.64633,
41005,165.3444927,
41006,165.8431804,
41007,166.1450177,
41008,165.544624,
41009,165.0459363,
41010,165.544624,
41011,166.6437054,
41012,166.2434429,
41013,166.3451489,
41014,166.2434429,
41015,166.6437054,
41016,166.2532854,
41017,166.3156214,
41018,166.6437054,
41019,166.2959363,
41020,166.5649652,
41021,167.1752014,
41022,167.4934429,
41023,167.5262513,
41024,167.7263826,
41025,169.9639154,
41026,170.4461989,
41027,172.6738893,
41028,169.973758,
41029,168.6253327,
41030,169.6259889,
41031,169.9245454,
41032,169.2847816,
41033,169.5734955,
41034,169.4160152,
41035,169.0649653,
41036,168.5859626,
41037,168.1135217,
41038,167.9035479,
41039,167.7362251,
41040,167.634519,
41041,168.6351752,
41042,168.2349128,
41043,167.5262513,
41044,167.2834692,
41045,167.6443616,
41046,167.9954114,
41047,168.5334692,
41048,169.1633905,
41049,168.9763826,
41050,168.333338,
41051,168.3038104,
41052,168.6253327,
41053,168.6253327,
41054,169.1338629,
41055,168.8156214,
41056,167.8346503,
41057,167.513128,
41058,167.8838629,
41059,167.204729,
41060,167.204729,
41061,166.6535479,
41062,166.7847815,
41063,166.7454114,
41064,166.7454114,
41065,167.2440991,
41066,167.1456739,
41067,168.044624,
41068,167.9363563,
41069,168.2447553,
41070,168.024939,
41071,168.3234954,
41072,167.9757264,
41073,168.0347815,
41074,167.8641778,
41075,168.1561726,
41076,168.4448865,
41077,167.2539416,
41078,167.8838629,
41079,167.8248078,
41080,168.9337317,
41081,168.5334692,
41082,168.3431805,
41083,168.1463301,
41084,168.743443,
41085,168.2447553,
41086,169.685044,
41087,169.3143091,
41088,170.013128,
41089,169.0551228,
41090,169.1437054,
41091,169.3339942,
41092,169.5341254,
41093,168.6843878,
41094,167.9757264,
41095,167.9757264,
41096,168.3858314,
41097,168.4055164,
41098,167.6738891,
41099,167.3162776,
41100,167.9461988,
41101,167.9757264,
41102,168.0544666,
41103,167.7132592,
41104,167.7755952,
41105,167.6837316,
41106,167.185044,
41107,168.3759889,
41108,167.9133904,
41109,167.2834692,
41110,167.224414,
41111,167.7755952,
41112,167.9658839,
41113,167.4737579,
41114,167.6935742,
41115,167.2933117,
41116,167.0045978,
41117,167.1752014,
41118,166.7060413,
41119,166.0859626,
41120,166.384519,
41121,166.1745452,
41122,166.3943615,
41123,165.8858313,
41124,166.2237578,
41125,165.7841253,
41126,165.544624,
41127,165.666015,
41128,166.0039416,
41129,165.544624,
41130,165.6135216,
41131,165.3051226,
41132,165.3051226,
41133,165.8136528,
41134,165.7447552,
41135,165.5150964,
41136,165.0656213,
41137,165.2755951,
41138,164.82612,
41139,165.1640465,
41140,165.1148339,
41141,164.6653588,
41142,165.5052539,
41143,164.763784,
41144,165.5249389,
41145,165.0557788,
41146,165.4133904,
41147,165.0032854,
41148,164.2552538,
41149,165.1148339,
41150,164.4750701,
41151,164.8031541,
41152,164.3438365,
41153,164.3438365,
41154,165.1443615,
41155,164.1535478,
41156,164.00591,
41157,164.3635216,
41158,164.763784,
41159,164.8851751,
41160,164.2355688,
41161,164.5242827,
41162,164.1863562,
41163,164.4455426,
41164,164.3733641,
41165,164.416015,
41166,164.0157525,
41167,163.904204,
41168,164.333994,
41169,164.2257263,
41170,164.0452801,
41171,164.3438365,
41172,164.6456738,
41173,164.1535478,
41174,164.1437053,
41175,164.2650964,
41176,164.0748076,
41177,163.7336003,
41178,164.2552538,
41179,164.1732328,
41180,163.9763824,
41181,164.3832066,
41182,164.0649651,
41183,164.025595,
41184,164.0452801,
41185,163.7434428,
41186,164.0846502,
41187,164.0452801,
41188,163.943574,
41189,163.7434428,
41190,163.6450176,
41191,163.595805,
41192,164.0452801,
41193,164.0157525,
41194,163.9140465,
41195,163.8353063,
41196,163.4842564,
41197,163.494099,
41198,163.6647026,
41199,163.943574,
41200,164.025595,
41201,163.943574,
41202,163.8943614,
41203,164.1240202,
41204,164.0157525,
41205,164.1437053,
41206,164.1437053,
41207,163.7434428,
41208,164.2060412,
41209,163.8057788,
41210,163.3759887,
41211,164.0944927,
41212,164.00591,
41213,163.513784,
41214,163.6942302,
41215,164.1141777,
41216,164.1535478,
41217,164.2749389,
41218,163.8451488,
41219,163.7434428,
41220,164.1043352,
41221,164.1240202,
41222,164.3438365,
41223,164.2454113,
41224,164.3832066,
41225,164.2355688,
41226,164.3044664,
41227,164.4553851,
41228,164.333994,
41229,164.2060412,
41230,164.1437053,
