$ JOHN DAY-POOLELEV.npt based on $//JOHN DAY-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,81.387
40545,81.382
40546,81.341
40547,81.348
40548,81.439
40549,81.291
40550,81.156
40551,81.436
40552,81.53
40553,81.598
40554,81.622
40555,81.584
40556,81.53
40557,81.426
40558,81.559
40559,81.547
40560,81.491
40561,81.541
40562,81.561
40563,81.684
40564,81.511
40565,81.492
40566,81.5
40567,81.603
40568,81.622
40569,81.602
40570,81.432
40571,81.34
40572,81.202
40573,81.222
40574,81.206
40575,81.447
40576,81.452
40577,81.349
40578,81.301
40579,81.253
40580,81.289
40581,81.375
40582,81.402
40583,81.496
40584,81.538
40585,81.447
40586,81.454
40587,81.402
40588,81.321
40589,81.437
40590,81.513
40591,81.443
40592,81.428
40593,81.483
40594,81.57
40595,81.568
40596,81.585
40597,81.609
40598,81.514
40599,81.454
40600,81.271
40601,81.403
40602,81.33
40603,81.461
40604,81.473
40605,81.397
40606,81.426
40607,81.296
40608,81.127
40609,81.21
40610,81.43
40611,81.442
40612,81.472
40613,81.444
40614,81.282
40615,81.377
40616,81.233
40617,81.22
40618,81.22
40619,81.214
40620,81.382
40621,81.583
40622,81.577
40623,81.574
40624,81.58
40625,81.51
40626,81.625
40627,81.497
40628,81.311
40629,81.351
40630,81.406
40631,81.412
40632,81.318
40633,81.342
40634,81.293
40635,81.302
40636,81.482
40637,81.443
40638,81.583
40639,81.586
40640,81.363
40641,81.278
40642,81.351
40643,81.525
40644,81.424
40645,81.272
40646,81.26
40647,81.196
40648,81.068
40649,81.244
40650,81.19
40651,81.18
40652,81.293
40653,81.257
40654,81.284
40655,81.281
40656,81.241
40657,81.247
40658,81.232
40659,81.247
40660,81.18
40661,81.26
40662,81.318
40663,81.208
40664,81.208
40665,81.369
40666,81.272
40667,81.15
40668,81.281
40669,81.238
40670,81.15
40671,81.202
40672,81.168
40673,81.266
40674,81.26
40675,81.272
40676,81.135
40677,81.366
40678,81.29
40679,81.281
40680,81.339
40681,81.366
40682,81.644
40683,81.708
40684,81.607
40685,81.324
40686,80.964
40687,80.915
40688,80.982
40689,81.098
40690,81.019
40691,81.016
40692,80.955
40693,81.052
40694,81.113
40695,81.141
40696,81.092
40697,80.909
40698,80.83
40699,80.897
40700,80.995
40701,80.848
40702,80.818
40703,80.809
40704,81.083
40705,81.397
40706,81.363
40707,81.324
40708,81.342
40709,81.254
40710,81.272
40711,81.324
40712,81.406
40713,81.397
40714,81.187
40715,81.123
40716,81.217
40717,81.238
40718,81.235
40719,81.238
40720,81.382
40721,81.26
40722,81.196
40723,81.251
40724,81.187
40725,81.205
40726,81.333
40727,81.336
40728,81.232
40729,81.244
40730,81.187
40731,81.266
40732,81.251
40733,81.147
40734,81.287
40735,81.263
40736,81.168
40737,81.171
40738,81.187
40739,81.251
40740,81.272
40741,81.247
40742,81.26
40743,81.202
40744,81.199
40745,81.141
40746,81.18
40747,81.183
40748,81.147
40749,81.214
40750,81.226
40751,81.187
40752,81.187
40753,81.119
40754,81.138
40755,81.147
40756,81.244
40757,81.211
40758,81.26
40759,81.187
40760,81.272
40761,81.293
40762,81.217
40763,81.196
40764,81.311
40765,81.208
40766,81.171
40767,81.238
40768,81.247
40769,81.19
40770,81.144
40771,81.229
40772,81.293
40773,81.254
40774,81.235
40775,81.241
40776,81.183
40777,81.156
40778,81.156
40779,81.19
40780,81.278
40781,81.299
40782,81.202
40783,81.211
40784,81.251
40785,81.223
40786,81.162
40787,81.202
40788,81.168
40789,81.196
40790,81.281
40791,81.263
40792,81.247
40793,81.266
40794,81.208
40795,81.266
40796,81.266
40797,81.257
40798,81.269
40799,81.254
40800,81.19
40801,81.153
40802,81.174
40803,81.232
40804,81.229
40805,81.299
40806,81.315
40807,81.257
40808,81.217
40809,81.226
40810,81.177
40811,81.205
40812,81.217
40813,81.275
40814,81.281
40815,81.266
40816,81.281
40817,81.187
40818,81.196
40819,81.327
40820,81.586
40821,81.936
40822,82.016
40823,82.067
40824,82.086
40825,82.019
40826,82.073
40827,82.314
40828,82.351
40829,82.299
40830,82.165
40831,82.226
40832,82.272
40833,82.269
40834,82.287
40835,82.092
40836,82.046
40837,82.009
40838,82.101
40839,82.141
40840,82.037
40841,82.061
40842,81.927
40843,81.915
40844,81.93
40845,81.9
40846,81.79
40847,81.726
40848,81.738
40849,81.677
40850,81.632
40851,81.376
40852,81.327
40853,81.394
40854,81.397
40855,81.233
40856,81.401
40857,81.345
40858,81.409
40859,81.453
40860,81.358
40861,81.383
40862,81.376
40863,81.524
40864,81.537
40865,81.552
40866,81.614
40867,81.552
40868,81.532
40869,81.505
40870,81.544
40871,81.558
40872,81.523
40873,81.551
40874,81.494
40875,81.483
40876,81.494
40877,81.459
40878,81.429
40879,81.486
40880,81.412
40881,81.266
40882,81.365
40883,81.323
40884,81.362
40885,81.29
40886,81.29
40887,81.322
40888,81.382
40889,81.399
40890,81.377
40891,81.44
40892,81.41
40893,81.523
40894,81.54
40895,81.496
40896,81.313
40897,81.194
40898,81.181
40899,81.303
40900,81.221
40901,81.267
40902,81.345
40903,81.371
40904,81.524
40905,81.613
40906,81.616
40907,81.499
40908,81.43
40909,81.503
40910,81.515
40911,81.478
40912,81.456
40913,81.499
40914,81.328
40915,81.195
40916,80.959
40917,80.847
40918,80.971
40919,81.058
40920,81.117
40921,80.871
40922,80.866
40923,81.1
40924,81.16
40925,81.253
40926,81.16
40927,81.051
40928,81.184
40929,81.172
40930,81.165
40931,81.078
40932,81.118
40933,81.207
40934,81.053
40935,81.114
40936,81.134
40937,81.173
40938,81.212
40939,81.22
40940,81.264
40941,81.128
40942,81.067
40943,81.076
40944,81.162
40945,81.317
40946,81.28
40947,81.269
40948,81.281
40949,81.296
40950,81.425
40951,81.6
40952,81.566
40953,81.564
40954,81.556
40955,81.544
40956,81.534
40957,81.423
40958,81.404
40959,81.488
40960,81.594
40961,81.531
40962,81.478
40963,81.499
40964,81.591
40965,81.592
40966,81.542
40967,81.636
40968,81.521
40969,81.285
40970,81.217
40971,81.229
40972,81.229
40973,81.15
40974,81.088
40975,80.82
40976,80.759
40977,80.844
40978,80.898
40979,80.894
40980,81.017
40981,80.988
40982,81.055
40983,80.885
40984,80.775
40985,80.87
40986,80.915
40987,81.028
40988,81.126
40989,81.119
40990,81.08
40991,81.071
40992,80.882
40993,81.095
40994,81.187
40995,81.281
40996,81.327
40997,81.473
40998,81.525
40999,81.494
41000,81.4
41001,81.318
41002,81.772
41003,81.869
41004,81.564
41005,81.229
41006,81.321
41007,81.26
41008,81.26
41009,81.199
41010,81.107
41011,81.138
41012,81.229
41013,81.168
41014,81.26
41015,81.229
41016,81.26
41017,81.281
41018,81.22
41019,81.223
41020,81.26
41021,81.205
41022,81.324
41023,81.318
41024,81.311
41025,81.369
41026,81.805
41027,81.427
41028,81.391
41029,81.315
41030,81.254
41031,81.226
41032,81.293
41033,81.327
41034,81.33
41035,81.275
41036,81.339
41037,81.241
41038,81.199
41039,81.183
41040,81.247
41041,81.272
41042,81.296
41043,81.336
41044,81.119
41045,81.278
41046,81.296
41047,81.26
41048,81.284
41049,81.324
41050,81.278
41051,81.26
41052,81.26
41053,81.278
41054,81.287
41055,81.293
41056,81.278
41057,81.089
41058,81.254
41059,81.26
41060,81.156
41061,81.138
41062,81.126
41063,81.135
41064,81.202
41065,81.168
41066,81.168
41067,81.29
41068,81.26
41069,81.299
41070,81.263
41071,81.284
41072,81.315
41073,81.327
41074,81.287
41075,81.202
41076,81.275
41077,81.272
41078,81.202
41079,81.26
41080,81.302
41081,81.33
41082,81.208
41083,81.29
41084,81.29
41085,81.29
41086,81.29
41087,81.211
41088,81.159
41089,81.232
41090,81.254
41091,81.357
41092,81.327
41093,81.238
41094,81.247
41095,81.15
41096,81.263
41097,81.247
41098,81.226
41099,81.211
41100,81.199
41101,81.199
41102,81.22
41103,81.156
41104,81.266
41105,81.278
41106,81.153
41107,81.162
41108,81.275
41109,81.241
41110,81.18
41111,81.18
41112,81.22
41113,81.235
41114,81.165
41115,81.223
41116,81.19
41117,81.208
41118,81.208
41119,81.153
41120,81.19
41121,81.26
41122,81.26
41123,81.22
41124,81.232
41125,81.193
41126,81.269
41127,81.171
41128,81.187
41129,81.22
41130,81.18
41131,81.266
41132,81.26
41133,81.244
41134,81.342
41135,81.29
41136,81.18
41137,81.165
41138,81.302
41139,81.266
41140,81.257
41141,81.177
41142,81.174
41143,81.296
41144,81.238
41145,81.263
41146,81.162
41147,81.266
41148,81.211
41149,81.214
41150,81.263
41151,81.226
41152,81.232
41153,81.229
41154,81.29
41155,81.321
41156,81.266
41157,81.217
41158,81.315
41159,81.278
41160,81.281
41161,81.202
41162,81.217
41163,81.211
41164,81.302
41165,81.257
41166,81.193
41167,81.168
41168,81.22
41169,81.241
41170,81.217
41171,81.229
41172,81.26
41173,81.229
41174,81.196
41175,81.226
41176,81.22
41177,81.141
41178,81.238
41179,81.272
41180,81.275
41181,81.305
41182,81.302
41183,81.275
41184,81.308
41185,81.327
41186,81.397
41187,81.354
41188,81.229
41189,81.351
41190,81.443
41191,81.534
41192,81.543
41193,81.552
41194,81.552
41195,81.58
41196,81.632
41197,81.671
41198,81.668
41199,81.61
41200,81.534
41201,81.638
41202,81.738
41203,81.76
41204,81.689
41205,81.644
41206,81.504
