$ MCNARY_OUTFLOW.npt based on $//MCNARY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,3761.962
2.000000,4361.939
3.000000,4687.261
4.000000,4501.623
5.000000,3956.244
6.000000,4707.513
7.000000,3982.161
8.000000,3495.646
9.000000,3250.809
10.000000,4034.48
11.000000,4313.349
12.000000,4011.317
13.000000,3948.953
14.000000,4236.429
15.000000,4192.145
16.000000,3879.759
17.000000,4481.926
18.000000,4787.07
19.000000,5796.261
20.000000,6069.417
21.000000,5561.075
22.000000,5759.761
23.000000,6515.166
24.000000,6286.988
25.000000,5676.566
26.000000,5995.49
27.000000,6484.596
28.000000,6621.226
29.000000,6498.278
30.000000,6190.916
31.000000,6327.03
32.000000,5374.554
33.000000,5225.294
34.000000,5858.926
35.000000,5773.533
36.000000,5407.71
37.000000,4639.18
38.000000,4692.325
39.000000,5009.872
40.000000,6039.721
41.000000,6107.095
42.000000,5699.384
43.000000,6257.326
44.000000,5648.078
45.000000,5731.426
46.000000,5847.125
47.000000,6425.817
48.000000,6796.45
49.000000,6365.805
50.000000,5913.892
51.000000,5821.551
52.000000,5814.985
53.000000,4938.282
54.000000,5511.862
55.000000,5451.224
56.000000,5982.123
57.000000,5224.419
58.000000,5437.964
59.000000,5987.578
60.000000,6821.496
61.000000,5550.801
62.000000,5840.078
63.000000,6068.338
64.000000,5590.179
65.000000,5828.348
66.000000,5661.798
67.000000,5583.481
68.000000,5797.861
69.000000,5910.005
70.000000,5771.869
71.000000,5448.605
72.000000,5593.384
73.000000,6412.559
74.000000,5794.553
75.000000,5345.778
76.000000,6564.437
77.000000,5757.839
78.000000,5987.845
79.000000,5650.223
80.000000,5598.954
81.000000,5081.497
82.000000,6183.895
83.000000,6115.332
84.000000,6303.936
85.000000,6190.228
86.000000,6202.296
87.000000,6357.923
88.000000,6108.802
89.000000,6410.672
90.000000,6821.971
91.000000,7593.487
92.000000,8545.763
93.000000,9027.729
94.000000,8281.291
95.000000,9442.915
96.000000,9134.044
97.000000,8225.07
98.000000,8010.905
99.000000,8157.181
100.000000,8454.618
101.000000,8161.832
102.000000,7904.021
103.000000,7515.361
104.000000,7434.195
105.000000,7598.184
106.000000,6503.436
107.000000,7324.036
108.000000,7395.875
109.000000,7123.511
110.000000,7564.897
111.000000,7501.654
112.000000,7330.274
113.000000,7282.208
114.000000,7082.816
115.000000,7162.648
116.000000,7327.498
117.000000,7314.933
118.000000,7263.16
119.000000,6857.776
120.000000,6701.37
121.000000,6732.64
122.000000,7143.767
123.000000,7036.737
124.000000,7203.467
125.000000,6940.429
126.000000,7194.31
127.000000,7114.045
128.000000,7110.201
129.000000,7542.476
130.000000,7523.168
131.000000,7605.554
132.000000,7991.471
133.000000,9109.837
134.000000,9439.179
135.000000,10611.15
136.000000,11685.73
137.000000,12060.6
138.000000,11709.64
139.000000,12109.64
140.000000,11329.33
141.000000,12071.02
142.000000,12220.24
143.000000,13389.89
144.000000,13165.13
145.000000,13711.55
146.000000,12866.66
147.000000,13712.13
148.000000,13411.59
149.000000,13911.47
150.000000,13444.13
151.000000,12994.75
152.000000,12939.25
153.000000,12876.74
154.000000,13376.63
155.000000,13500.37
156.000000,13263.4
157.000000,14039.9
158.000000,14033.71
159.000000,14734.91
160.000000,14152.76
161.000000,13941.79
162.000000,13744.87
163.000000,13514.81
164.000000,13587.19
165.000000,14030.5
166.000000,13696.79
167.000000,14038
168.000000,13465.87
169.000000,13081.01
170.000000,12673.43
171.000000,12813.54
172.000000,12418.6
173.000000,12551.7
174.000000,12876.48
175.000000,12604.63
176.000000,11831.51
177.000000,12333.42
178.000000,12072.83
179.000000,11366.97
180.000000,11390.63
181.000000,11793.28
182.000000,12040.68
183.000000,11765.14
184.000000,12098.39
185.000000,11225.44
186.000000,11095.95
187.000000,11153.2
188.000000,10778.73
189.000000,11380.44
190.000000,11495.89
191.000000,10839.11
192.000000,10447.35
193.000000,9216.955
194.000000,9103.953
195.000000,9357.124
196.000000,9303.011
197.000000,8894.093
198.000000,8188.195
199.000000,8445.977
200.000000,8383.133
201.000000,8491.212
202.000000,8228.12
203.000000,7737.881
204.000000,7835.645
205.000000,7860.516
206.000000,7777.64
207.000000,7351.178
208.000000,7312.334
209.000000,7395.407
210.000000,7085.696
211.000000,6655.79
212.000000,6820.717
213.000000,6647.188
214.000000,6283.396
215.000000,6165.396
216.000000,6287.628
217.000000,5609.969
218.000000,5729.197
219.000000,5813.91
220.000000,5777.691
221.000000,5951.304
222.000000,5816.488
223.000000,5812.702
224.000000,6219.453
225.000000,5501.753
226.000000,5224.726
227.000000,5635.687
228.000000,6070.62
229.000000,5963.841
230.000000,5987.148
231.000000,6137.142
232.000000,5768.738
233.000000,5092.184
234.000000,5089.368
235.000000,5215.925
236.000000,5737.842
237.000000,5767.208
238.000000,5453.188
239.000000,5736.318
240.000000,4685.036
241.000000,4553.704
242.000000,4751.438
243.000000,4880.589
244.000000,4115.753
245.000000,3698.516
246.000000,3478.5
247.000000,2913.069
248.000000,3136.186
249.000000,3004.235
250.000000,3615.111
251.000000,3877.707
252.000000,3364.503
253.000000,3096.301
254.000000,3033.638
255.000000,3679.772
256.000000,2869.74
257.000000,3027.644
258.000000,3199.398
259.000000,3225.35
260.000000,3098.572
261.000000,3144.573
262.000000,2733.441
263.000000,3115.74
264.000000,3687.208
265.000000,2971.94
266.000000,2741.27
267.000000,2828.894
268.000000,2801.492
269.000000,3311.633
270.000000,3083.456
271.000000,3150.971
272.000000,3175.908
273.000000,3216.577
274.000000,2860.484
275.000000,3186.775
276.000000,3320.89
277.000000,3223.909
278.000000,3207.476
279.000000,3629.976
280.000000,3008.005
281.000000,3182.783
282.000000,3205.231
283.000000,3797.909
284.000000,2981.855
285.000000,2682.502
286.000000,3298.023
287.000000,3689.492
288.000000,4161.455
289.000000,3195.665
290.000000,3507.191
291.000000,3314.941
292.000000,3193.756
293.000000,3157.164
294.000000,3457.28
295.000000,3299.896
296.000000,2586.079
297.000000,2867.058
298.000000,3238.593
299.000000,3044.949
300.000000,2914.135
301.000000,3619.192
302.000000,4046.222
303.000000,2689.553
304.000000,2835.228
305.000000,3452.344
306.000000,3340.956
307.000000,3153.883
308.000000,3757.796
309.000000,3031.922
310.000000,3071.372
311.000000,3543.629
312.000000,3411.41
313.000000,3717.268
314.000000,3009.383
315.000000,3668.996
316.000000,3414.969
317.000000,3654.274
318.000000,3455.164
319.000000,3366.415
320.000000,3844.316
321.000000,3733.334
322.000000,3939.684
323.000000,3360.622
324.000000,3554.916
325.000000,3736.113
326.000000,3921.844
327.000000,3622.449
328.000000,3251.873
329.000000,3443.032
330.000000,3445.711
331.000000,3719.167
332.000000,2788.361
333.000000,3373.003
334.000000,3906.879
335.000000,4038.522
336.000000,3134.53
337.000000,3698.39
338.000000,3479.372
339.000000,3407.523
340.000000,3373.443
341.000000,4098.189
342.000000,4128.431
343.000000,4247.602
344.000000,3836.234
345.000000,4273.039
346.000000,4101.72
347.000000,3758.569
348.000000,4010.445
349.000000,4241.378
350.000000,3736.094
351.000000,2992.79
352.000000,2694.606
353.000000,3109.121
354.000000,3534.001
355.000000,3389.313
356.000000,3418.217
357.000000,3299.341
358.000000,3767.258
359.000000,3452.645
360.000000,3586.407
361.000000,3776.247
362.000000,3565.815
363.000000,3208.094
364.000000,3560.786
365.000000,3373.278
366.000000,4026.267
367.000000,3099.154
368.000000,3185.928
369.000000,3359.974
370.000000,3188.141
371.000000,3458.747
372.000000,3348.428
373.000000,3482.073
374.000000,3616.383
375.000000,3339.226
376.000000,3305.105
377.000000,3996.58
378.000000,3934.938
379.000000,3680.945
380.000000,3780.422
381.000000,3990.907
382.000000,4167.063
383.000000,4901.468
384.000000,4473.801
385.000000,4506.204
386.000000,4039.153
387.000000,3605.92
388.000000,3849.346
389.000000,3951.552
390.000000,3719.109
391.000000,3557.654
392.000000,4068.522
393.000000,4441.302
394.000000,3460.383
395.000000,3442.541
396.000000,2919.281
397.000000,2984.51
398.000000,3143.971
399.000000,3669.349
400.000000,3459.45
401.000000,3063.008
402.000000,3848.375
403.000000,3511.016
404.000000,3535.669
405.000000,3205.704
406.000000,3611.85
407.000000,3795.548
408.000000,3490.025
409.000000,3178.853
410.000000,3800.903
411.000000,3601.215
412.000000,3594.742
413.000000,3302.951
414.000000,3812.566
415.000000,3662.696
416.000000,3377.807
417.000000,3683.625
418.000000,3747.172
419.000000,3966.205
420.000000,4468.661
421.000000,3949.24
422.000000,3863.562
423.000000,3738.793
424.000000,3813.483
425.000000,3378.39
426.000000,3114.907
427.000000,3143.816
428.000000,3221.024
429.000000,3294.107
430.000000,2985.835
431.000000,3683.369
432.000000,4187.187
433.000000,3920.481
434.000000,4083.318
435.000000,3771.887
436.000000,3249.139
437.000000,4588.724
438.000000,4626.806
439.000000,4134.682
440.000000,5166.089
441.000000,5272.237
442.000000,5724.419
443.000000,5704.736
444.000000,5711.094
445.000000,4496.982
446.000000,5314.778
447.000000,5599.978
448.000000,6182.699
449.000000,7203.464
450.000000,7170.308
451.000000,7074.337
452.000000,7797.764
453.000000,7549.802
454.000000,7641.023
455.000000,7872.391
456.000000,8938.605
457.000000,8758.03
458.000000,8006.485
459.000000,7687.893
460.000000,8042.415
461.000000,7736.326
462.000000,7555.697
463.000000,7973.053
464.000000,7477.973
465.000000,7767.755
466.000000,7923.583
467.000000,8239.475
468.000000,8244.171
469.000000,8638.505
470.000000,8241.869
471.000000,8164.42
472.000000,7973.168
473.000000,8402.033
474.000000,8559.984
475.000000,8591.253
476.000000,8900.893
477.000000,8775.469
478.000000,8629.324
479.000000,9312.649
480.000000,9949.592
481.000000,11342.39
482.000000,10941.11
483.000000,11426.41
484.000000,11504.81
485.000000,10474.86
486.000000,10620.92
487.000000,10419.79
488.000000,10672.79
489.000000,10711.87
490.000000,10818.03
