Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         600.15,   678798.86558,  5065075.18705, 10,    60.000
  3,  1,        1800.45,   677620.34674,  5064847.56114, 10,    60.000
  4,  1,        3000.75,   676451.23141,  5064578.99945, 10,    68.000
  5,  1,        4201.05,   675296.42226,  5064252.17856, 10,    74.500
  6,  1,        5401.35,   674137.23224,  5063942.82042, 10,    74.500
  7,  1,        6601.65,   672967.41507,  5063674.09758, 10,    73.500
  8,  1,        7801.95,   671796.25427,  5063411.22387, 10,    70.000
  9,  1,        9002.25,   670619.25619,  5063177.78122, 10,    70.000
 10,  1,       10202.55,   669436.42084,  5062973.76962, 10,    73.500
 11,  1,       11402.85,   668253.58548,  5062769.75802, 10,    68.000
 12,  1,       12603.15,   667096.53312,  5062467.15945, 10,    66.000
 13,  1,       13803.45,   665965.26376,  5062065.97392, 10,    64.000
 14,  1,       15003.75,   664821.34962,  5061704.84169, 10,    64.000
 15,  1,       16204.05,   663651.65248,  5061442.29644, 10,    66.000
 16,  1,       17404.35,   662464.45807,  5061267.97093, 10,    64.000
 17,  1,       18604.65,   661269.25765,  5061225.16884, 10,    58.000
 18,  1,       19804.95,   660096.34768,  5061431.58624, 10,    58.000
 19,  1,       21005.25,   658954.93935,  5061802.50821, 10,    58.000
 20,  1,       22205.55,   657819.09527,  5062190.55256, 10,    62.000
 21,  1,       23405.85,   656674.52805,  5062218.26062, 10,    64.000
 22,  1,       24606.15,   655589.65671,  5061732.75027, 10,    64.000
 23,  1,       25806.45,   654573.20442,  5061094.35781, 10,    60.000
 24,  1,       27006.75,   653626.18108,  5060365.72650, 10,    60.000
 25,  1,       28207.05,   652748.58671,  5059546.85635, 10,    62.000
 26,  1,       29407.36,   651870.99234,  5058727.98619, 10,    62.000
 27,  1,       30607.66,   650857.24192,  5058146.47896, 10,    62.000
 28,  1,       31807.96,   649710.89165,  5057790.87077, 10,    62.000
 29,  1,       33008.26,   648651.32327,  5057258.23762, 10,    62.000
 30,  1,       34208.56,   647674.98061,  5056560.04336, 10,    62.000
 31,  1,       35408.86,   646681.80045,  5055886.68379, 10,    62.000
 32,  1,       36609.16,   645671.78279,  5055238.15891, 10,    62.000
 33,  1,       37809.46,   644607.41066,  5054696.42748, 10,    62.000
 34,  1,       39009.76,   643465.21264,  5054335.83711, 10,    60.000
 35,  1,       40210.06,   642299.54319,  5054049.59434, 10,    60.000
 36,  1,       41410.36,   641125.29078,  5053804.46716, 10,    62.000
 37,  1,       42610.66,   639938.09637,  5053630.14164, 10,    60.000
 38,  1,       43810.96,   638746.54292,  5053485.50222, 10,    52.000
 39,  1,       45011.27,   637561.50677,  5053299.36956, 10,    52.000
 40,  1,       46211.57,   636389.41262,  5053042.43522, 10,    52.000
 41,  1,       47411.87,   635247.21460,  5052681.84485, 10,    56.000
 42,  1,       48612.17,   634128.48802,  5052246.90687, 10,    56.000
 43,  1,       49812.47,   632999.59158,  5051840.19716, 10,    56.000
 44,  1,       51012.77,   631844.47804,  5051519.51958, 10,    58.000
 45,  1,       52213.07,   630667.47996,  5051286.07693, 10,    58.000
 46,  1,       53413.37,   629475.91245,  5051183.59324, 10,    52.000
 47,  1,       54613.67,   628290.18222,  5051051.67851, 10,    52.000
 48,  1,       55813.97,   627119.02142,  5050788.80480, 10,    56.000
 49,  1,       57014.27,   626028.43219,  5050333.10550, 10,    56.000
 50,  1,       58214.57,   624985.86976,  5049741.97945, 10,    54.000
 51,  1,       59414.88,   623919.00916,  5049192.24813, 10,    54.000
 52,  1,       60615.18,   622860.39514,  5048626.51271, 10,    54.000
 53,  1,       61815.48,   621801.78111,  5048060.77730, 10,    54.000
 54,  1,       63015.78,   620743.16709,  5047495.04189, 10,    54.000
 55,  1,       64216.08,   619673.66477,  5046950.69935, 10,    54.000
 56,  1,       65416.38,   618593.27417,  5046427.74970, 10,    54.000
 57,  1,       66616.68,   617512.88356,  5045904.80004, 10,    48.000
 58,  1,       67816.98,   616397.73502,  5045471.25305, 10,    48.000
 59,  1,       69017.27,   615246.13660,  5045132.86678, 10,    50.000
 60,  1,       70217.57,   614099.95828,  5044777.31193, 10,    52.000
 61,  1,       71417.87,   612960.89199,  5044398.83048, 10,    52.000
 62,  1,       72618.16,   611821.82571,  5044020.34904, 10,    52.000
 63,  1,       73818.46,   610889.08994,  5043353.33859, 10,    52.000
 64,  1,       75018.76,   610162.68469,  5042397.79915, 10,    50.000
 65,  1,       76219.05,   609436.27944,  5041442.25971, 10,    48.000
 66,  1,       77419.35,   608709.87419,  5040486.72027, 10,    46.000
 67,  1,       78619.65,   607983.46894,  5039531.18084, 10,    46.000
 68,  1,       79819.95,   607060.90303,  5038835.94213, 10,    48.000
 69,  1,       81020.24,   605901.67429,  5038599.99362, 10,    52.000
 70,  1,       82220.54,   604701.94338,  5038563.03458, 10,    50.000
 71,  1,       83420.84,   603502.21248,  5038526.07555, 10,    48.000
 72,  1,       84621.13,   602316.76663,  5038376.15918, 10,    46.000
 73,  1,       85821.43,   601171.82294,  5038027.25333, 10,    46.000
 74,  1,       87021.73,   600042.92651,  5037620.54362, 10,    44.000
