2011-2015 TDG % saturation (CWMS),,,,,,
LGSW (Little Goose Tailwater),,,,,,
Datetime,JDAY,TDG(%sat),Temp(degC),,,
1/1/2011 0:00,40544,96.4,4.4,,,
1/1/2011 1:00,40544.04167,96.4,4.4,,,
1/1/2011 2:00,40544.08333,96.4,4.4,,,
1/1/2011 3:00,40544.125,96.3,4.3,,,
1/1/2011 4:00,40544.16667,96.2,4.3,,,
1/1/2011 5:00,40544.20833,96.2,4.3,,,
1/1/2011 6:00,40544.25,96.2,4.3,,,
1/1/2011 7:00,40544.29167,96.1,4.3,,,
1/1/2011 8:00,40544.33333,96.1,4.3,,,
1/1/2011 9:00,40544.375,96,4.3,,,
1/1/2011 10:00,40544.41667,96.1,4.3,,,
1/1/2011 11:00,40544.45833,96.1,4.3,,,
1/1/2011 12:00,40544.5,96.2,4.3,,,
1/1/2011 13:00,40544.54167,96.3,4.3,,,
1/1/2011 14:00,40544.58333,96.3,4.3,,,
1/1/2011 15:00,40544.625,96.2,4.3,,,
1/1/2011 16:00,40544.66667,96.2,4.3,,,
1/1/2011 17:00,40544.70833,96,4.2,,,
1/1/2011 18:00,40544.75,96,4.2,,,
1/1/2011 19:00,40544.79167,96,4.2,,,
1/1/2011 20:00,40544.83333,96,4.2,,,
1/1/2011 21:00,40544.875,95.9,4.2,,,
1/1/2011 22:00,40544.91667,95.8,4.1,,,
1/1/2011 23:00,40544.95833,95.8,4.1,,,
1/2/2011 0:00,40545,95.8,4.1,,,
1/2/2011 1:00,40545.04167,95.8,4.1,,,
1/2/2011 2:00,40545.08333,95.8,4.1,,,
1/2/2011 3:00,40545.125,95.8,4.1,,,
1/2/2011 4:00,40545.16667,95.7,4.1,,,
1/2/2011 5:00,40545.20833,95.8,4.1,,,
1/2/2011 6:00,40545.25,95.8,4.1,,,
1/2/2011 7:00,40545.29167,95.8,4.1,,,
1/2/2011 8:00,40545.33333,95.8,4.1,,,
1/2/2011 9:00,40545.375,95.7,4.1,,,
1/2/2011 10:00,40545.41667,95.8,4.1,,,
1/2/2011 11:00,40545.45833,95.9,4.1,,,
1/2/2011 12:00,40545.5,96,4.1,,,
1/2/2011 13:00,40545.54167,96,4.1,,,
1/2/2011 14:00,40545.58333,96,4.1,,,
1/2/2011 15:00,40545.625,96,4,,,
1/2/2011 16:00,40545.66667,95.9,4,,,
1/2/2011 17:00,40545.70833,95.9,3.9,,,
1/2/2011 18:00,40545.75,95.9,3.9,,,
1/2/2011 19:00,40545.79167,95.8,3.9,,,
1/2/2011 20:00,40545.83333,95.8,3.9,,,
1/2/2011 21:00,40545.875,95.8,3.9,,,
1/2/2011 22:00,40545.91667,95.8,3.9,,,
1/2/2011 23:00,40545.95833,95.7,3.8,,,
1/3/2011 0:00,40546,95.6,3.8,,,
1/3/2011 1:00,40546.04167,95.5,3.8,,,
1/3/2011 2:00,40546.08333,95.5,3.8,,,
1/3/2011 3:00,40546.125,95.3,3.8,,,
1/3/2011 4:00,40546.16667,95.3,3.7,,,
1/3/2011 5:00,40546.20833,95.7,3.8,,,
1/3/2011 6:00,40546.25,95.9,3.9,,,
1/3/2011 7:00,40546.29167,95.9,3.8,,,
1/3/2011 8:00,40546.33333,95.8,3.8,,,
1/3/2011 9:00,40546.375,95.6,3.7,,,
1/3/2011 10:00,40546.41667,95.5,3.7,,,
1/3/2011 11:00,40546.45833,95.5,3.7,,,
1/3/2011 12:00,40546.5,95.5,3.8,,,
1/3/2011 13:00,40546.54167,95.6,3.8,,,
1/3/2011 14:00,40546.58333,95.6,3.8,,,
1/3/2011 15:00,40546.625,95.6,3.8,,,
1/3/2011 16:00,40546.66667,95.5,3.8,,,
1/3/2011 17:00,40546.70833,95.5,3.7,,,
1/3/2011 18:00,40546.75,95.5,3.7,,,
1/3/2011 19:00,40546.79167,95.3,3.6,,,
1/3/2011 20:00,40546.83333,95.2,3.6,,,
1/3/2011 21:00,40546.875,95.2,3.6,,,
1/3/2011 22:00,40546.91667,95.2,3.6,,,
1/3/2011 23:00,40546.95833,95.1,3.6,,,
1/4/2011 0:00,40547,94.9,3.6,,,
1/4/2011 1:00,40547.04167,94.8,3.6,,,
1/4/2011 2:00,40547.08333,94.8,3.6,,,
1/4/2011 3:00,40547.125,94.7,3.5,,,
1/4/2011 4:00,40547.16667,94.6,3.5,,,
1/4/2011 5:00,40547.20833,94.9,3.5,,,
1/4/2011 6:00,40547.25,95.1,3.5,,,
1/4/2011 7:00,40547.29167,95.5,3.5,,,
1/4/2011 8:00,40547.33333,95.4,3.5,,,
1/4/2011 9:00,40547.375,95.2,3.5,,,
