$ Bathymetry: Little Goose.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
DLX,0,1277.7,1722,1423.3,1664.5,2516.1,1920.8,2601.9,2951,2435,2966.9,2781,3042.3,2660.1,1029.9,1080.7,1859.5,1487.8,2543.7,1550,2229,2097,2592.6,2567.3,2638.1,2249.6,1665.8,1526.9,1320.1,0,,,,,,,,
ELWS,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,,,,,,,,
PHIO,3.142,2.27,2.767,2.81,2.1,0.75,1.05,1.7,1.32,1.8,2.471,1.7,1.5,0.9,0.591,0.211,0.276,0.249,0.95,1.376,1.8,1,0.1,1.25,1.85,1.442,1.48,1.69,1.305,3.142,,,,,,,,
FRICT,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,899081414,728898.25,201.375,660.68,1
1,0,471.38,357.7,481.18,509.6,384.16,774.2,503.72,462.56,446.88,477.26,461.58,754.6,702.66,736.96,520.38,720.3,528.22,625.24,1776.74,1075.06,853.58,1208.34,865.34,991.76,1058.4,923.16,561.54,733.04,0,,2,41525160.35,899081414,728898.25,200.375,657.399,0.98
1,0,471.38,357.7,481.18,509.6,384.16,774.2,503.72,462.56,446.88,477.26,461.58,754.6,702.66,736.96,520.38,720.3,528.22,625.24,1776.74,1075.06,853.58,1208.34,865.34,991.76,1058.4,923.16,561.54,733.04,0,,3,41525160.35,857556253.7,695233.205,199.375,654.119,0.98
1,0,471.38,357.7,481.18,509.6,384.16,774.2,503.72,462.56,446.88,477.26,461.58,754.6,702.66,736.96,520.38,720.3,528.22,625.24,1776.74,1075.06,853.58,1208.34,865.34,991.76,1058.4,923.16,561.54,733.04,0,,4,41525160.35,816031093.3,661568.159,198.375,650.838,0.98
1,0,471.38,357.7,481.18,509.6,384.16,774.2,503.72,462.56,446.88,477.26,461.58,754.6,702.66,736.96,520.38,720.3,528.22,625.24,1776.74,1075.06,853.58,1208.34,865.34,991.76,1058.4,923.16,561.54,733.04,0,,5,41525160.35,774505933,627903.114,197.375,647.557,0.98
