$LGS.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,TWElev,
40544,541.932887,
40545,542.092887,
40546,542.222887,
40547,542.102887,
40548,541.642887,
40549,541.302887,
40550,541.762887,
40551,542.182887,
40552,542.262887,
40553,542.222887,
40554,542.262887,
40555,542.142887,
40556,542.002887,
40557,542.032887,
40558,542.112887,
40559,542.262887,
40560,542.242887,
40561,542.242887,
40562,542.222887,
40563,541.982887,
40564,542.122887,
40565,542.092887,
40566,542.152887,
40567,542.752887,
40568,542.902887,
40569,542.362887,
40570,541.522887,
40571,541.382887,
40572,541.202887,
40573,541.212887,
40574,541.752887,
40575,542.112887,
40576,541.792887,
40577,541.772887,
40578,541.852887,
40579,541.862887,
40580,541.912887,
40581,542.002887,
40582,541.972887,
40583,541.802887,
40584,541.522887,
40585,541.392887,
40586,541.562887,
40587,541.882887,
40588,542.162887,
40589,542.152887,
40590,541.992887,
40591,541.902887,
40592,542.112887,
40593,542.062887,
40594,541.992887,
40595,542.122887,
40596,542.122887,
40597,542.062887,
40598,541.872887,
40599,541.912887,
40600,541.912887,
40601,541.902887,
40602,542.042887,
40603,542.382887,
40604,542.162887,
40605,542.032887,
40606,542.072887,
40607,541.932887,
40608,541.822887,
40609,542.012887,
40610,542.132887,
40611,542.142887,
40612,542.062887,
40613,542.212887,
40614,541.662887,
40615,541.382887,
40616,541.652887,
40617,542.132887,
40618,541.872887,
40619,542.112887,
40620,541.932887,
40621,541.372887,
40622,541.102887,
40623,541.072887,
40624,540.872887,
40625,540.682887,
40626,541.032887,
40627,541.102887,
40628,540.822887,
40629,540.722887,
40630,540.872887,
40631,540.852887,
40632,540.842887,
40633,540.732887,
40634,540.722887,
40635,540.782887,
40636,540.772887,
40637,540.572887,
40638,540.632887,
40639,540.612887,
40640,540.602887,
40641,540.542887,
40642,540.612887,
40643,540.602887,
40644,540.622887,
40645,540.672887,
40646,540.622887,
40647,540.552887,
40648,540.642887,
40649,540.562887,
40650,540.592887,
40651,540.702887,
40652,540.682887,
40653,540.632887,
40654,540.642887,
40655,540.622887,
40656,540.662887,
40657,540.602887,
40658,540.662887,
40659,540.622887,
40660,540.632887,
40661,540.652887,
40662,540.602887,
40663,540.602887,
40664,540.642887,
40665,540.582887,
40666,540.612887,
40667,540.702887,
40668,540.682887,
40669,540.642887,
40670,540.652887,
40671,540.682887,
40672,540.702887,
40673,540.602887,
40674,540.662887,
40675,540.542887,
40676,540.562887,
40677,540.612887,
40678,540.622887,
40679,540.662887,
40680,540.682887,
40681,540.612887,
40682,540.662887,
40683,540.632887,
40684,540.622887,
40685,540.672887,
40686,540.682887,
40687,540.502887,
40688,540.492887,
40689,540.582887,
40690,540.632887,
40691,540.632887,
40692,540.582887,
40693,540.652887,
40694,540.582887,
40695,540.662887,
40696,540.632887,
40697,540.622887,
40698,540.672887,
40699,540.522887,
40700,540.642887,
40701,540.582887,
40702,540.632887,
40703,540.632887,
40704,540.652887,
40705,540.642887,
40706,540.622887,
40707,540.622887,
40708,540.742887,
40709,540.662887,
40710,540.592887,
40711,540.612887,
40712,540.602887,
40713,540.562887,
40714,540.652887,
40715,540.682887,
40716,540.572887,
40717,540.602887,
40718,540.622887,
40719,540.552887,
40720,540.572887,
40721,540.622887,
40722,540.672887,
40723,540.612887,
40724,540.652887,
40725,540.692887,
40726,540.582887,
40727,540.632887,
40728,540.552887,
40729,540.582887,
40730,540.672887,
40731,540.632887,
40732,540.652887,
40733,540.642887,
40734,540.652887,
40735,540.652887,
40736,540.582887,
40737,540.692887,
40738,540.732887,
40739,540.572887,
40740,540.642887,
40741,540.642887,
40742,540.642887,
40743,540.662887,
40744,540.592887,
40745,540.672887,
40746,540.592887,
40747,540.632887,
40748,540.652887,
40749,540.662887,
40750,540.662887,
40751,540.722887,
40752,540.682887,
40753,540.672887,
40754,540.622887,
40755,540.632887,
40756,540.712887,
40757,540.712887,
40758,540.712887,
40759,540.722887,
40760,540.682887,
40761,540.642887,
40762,540.752887,
40763,540.652887,
40764,540.602887,
40765,540.662887,
40766,540.602887,
40767,540.612887,
40768,540.732887,
40769,540.752887,
40770,540.752887,
40771,540.752887,
40772,540.722887,
40773,540.652887,
40774,540.672887,
40775,540.732887,
40776,540.702887,
40777,540.682887,
40778,540.592887,
40779,540.712887,
40780,540.732887,
40781,540.602887,
40782,540.692887,
40783,540.722887,
40784,540.682887,
40785,540.682887,
40786,540.672887,
40787,540.652887,
40788,540.652887,
40789,541.072887,
40790,541.662887,
40791,541.852887,
40792,541.812887,
40793,541.472887,
40794,541.662887,
40795,541.882887,
40796,541.972887,
40797,541.962887,
40798,542.372887,
40799,542.362887,
40800,542.202887,
40801,542.232887,
40802,541.732887,
40803,541.412887,
40804,541.052887,
40805,540.872887,
40806,540.582887,
40807,540.642887,
40808,540.632887,
40809,540.672887,
40810,540.782887,
40811,540.782887,
40812,541.632887,
40813,542.012887,
40814,542.032887,
40815,541.912887,
40816,541.922887,
40817,541.922887,
40818,541.892887,
40819,542.352887,
40820,542.322887,
40821,542.172887,
40822,542.182887,
40823,542.102887,
40824,542.092887,
40825,541.882887,
40826,542.012887,
40827,542.242887,
40828,542.102887,
40829,542.032887,
40830,542.022887,
40831,542.292887,
40832,542.272887,
40833,542.152887,
40834,542.042887,
40835,542.002887,
40836,541.772887,
40837,541.862887,
40838,542.072887,
40839,542.072887,
40840,541.932887,
40841,541.832887,
40842,541.902887,
40843,542.072887,
40844,542.012887,
40845,542.122887,
40846,542.152887,
40847,542.062887,
40848,541.952887,
40849,541.882887,
40850,541.862887,
40851,542.042887,
40852,542.022887,
40853,541.912887,
40854,542.122887,
40855,541.712887,
40856,541.842887,
40857,541.862887,
40858,541.852887,
40859,542.172887,
40860,542.312887,
40861,542.242887,
40862,542.222887,
40863,542.102887,
40864,542.062887,
40865,542.102887,
40866,542.252887,
40867,542.222887,
40868,542.112887,
40869,542.222887,
40870,542.302887,
40871,542.022887,
40872,541.802887,
40873,541.572887,
40874,541.702887,
40875,541.892887,
40876,541.862887,
40877,541.692887,
40878,541.832887,
40879,541.842887,
40880,541.902887,
40881,541.962887,
40882,542.012887,
40883,541.922887,
40884,541.702887,
40885,541.472887,
40886,541.362887,
40887,541.192887,
40888,541.312887,
40889,541.752887,
40890,541.892887,
40891,541.272887,
40892,541.212887,
40893,541.832887,
40894,542.122887,
40895,542.222887,
40896,542.162887,
40897,542.092887,
40898,542.172887,
40899,542.232887,
40900,542.042887,
40901,542.202887,
40902,542.182887,
40903,542.152887,
40904,542.122887,
40905,542.082887,
40906,541.912887,
40907,542.092887,
40908,542.062887,
40909,541.972887,
40910,542.102887,
40911,542.172887,
40912,542.062887,
40913,541.932887,
40914,541.702887,
40915,541.602887,
40916,541.572887,
40917,541.832887,
40918,542.022887,
40919,541.912887,
40920,541.942887,
40921,541.702887,
40922,541.602887,
40923,541.752887,
40924,542.102887,
40925,542.072887,
40926,542.062887,
40927,542.122887,
40928,542.002887,
40929,541.892887,
40930,541.952887,
40931,542.072887,
40932,542.022887,
40933,541.892887,
40934,542.102887,
40935,542.142887,
40936,542.202887,
40937,541.912887,
40938,541.942887,
40939,542.012887,
40940,541.922887,
40941,541.962887,
40942,542.062887,
40943,541.582887,
40944,540.982887,
40945,540.802887,
40946,541.072887,
40947,541.402887,
40948,541.142887,
40949,540.912887,
40950,541.252887,
40951,541.622887,
40952,541.972887,
40953,542.392887,
40954,542.122887,
40955,542.132887,
40956,541.962887,
40957,542.032887,
40958,542.142887,
40959,542.092887,
40960,542.132887,
40961,542.092887,
40962,542.042887,
40963,541.962887,
40964,541.982887,
40965,541.952887,
40966,542.102887,
40967,541.972887,
40968,541.982887,
40969,542.132887,
40970,542.022887,
40971,541.892887,
40972,541.992887,
40973,542.232887,
40974,542.262887,
40975,541.642887,
40976,542.042887,
40977,542.122887,
40978,542.202887,
40979,542.192887,
40980,542.212887,
40981,542.112887,
40982,541.862887,
40983,541.432887,
40984,540.932887,
40985,540.742887,
40986,540.792887,
40987,542.242887,
40988,542.312887,
40989,542.312887,
40990,542.302887,
40991,541.932887,
40992,541.882887,
40993,541.672887,
40994,541.832887,
40995,542.222887,
40996,542.252887,
40997,542.102887,
40998,541.732887,
40999,541.822887,
41000,541.342887,
41001,540.622887,
41002,540.562887,
41003,540.682887,
41004,540.652887,
41005,540.672887,
41006,540.692887,
41007,540.632887,
41008,540.672887,
41009,540.602887,
41010,540.652887,
41011,540.612887,
41012,540.562887,
41013,540.592887,
41014,540.582887,
41015,540.622887,
41016,540.662887,
41017,540.622887,
41018,540.602887,
41019,540.652887,
41020,540.652887,
41021,540.592887,
41022,540.562887,
41023,540.652887,
41024,540.622887,
41025,540.592887,
41026,540.612887,
41027,540.622887,
41028,540.612887,
41029,540.612887,
41030,540.632887,
41031,540.672887,
41032,540.652887,
41033,540.662887,
41034,540.652887,
41035,540.682887,
41036,540.622887,
41037,540.652887,
41038,540.662887,
41039,540.632887,
41040,540.722887,
41041,540.652887,
41042,540.652887,
41043,540.602887,
41044,540.582887,
41045,540.592887,
41046,540.722887,
41047,540.622887,
41048,540.652887,
41049,540.572887,
41050,540.662887,
41051,540.572887,
41052,540.672887,
41053,540.582887,
41054,540.622887,
41055,540.642887,
41056,540.602887,
41057,540.632887,
41058,540.672887,
41059,540.692887,
41060,540.632887,
41061,540.612887,
41062,540.622887,
41063,540.662887,
41064,540.612887,
41065,540.602887,
41066,540.692887,
41067,540.662887,
41068,540.642887,
41069,540.652887,
41070,540.582887,
41071,540.712887,
41072,540.672887,
41073,540.742887,
41074,540.702887,
41075,540.692887,
41076,540.602887,
41077,540.712887,
41078,540.682887,
41079,540.722887,
41080,540.652887,
41081,540.652887,
41082,540.592887,
41083,540.692887,
41084,540.602887,
41085,540.602887,
41086,540.612887,
41087,540.652887,
41088,540.622887,
41089,540.642887,
41090,540.682887,
41091,540.682887,
41092,540.612887,
41093,540.582887,
41094,540.632887,
41095,540.732887,
41096,540.662887,
41097,540.692887,
41098,540.652887,
41099,540.642887,
41100,540.642887,
41101,540.592887,
41102,540.622887,
41103,540.642887,
41104,540.622887,
41105,540.592887,
41106,540.722887,
41107,540.682887,
41108,540.672887,
41109,540.672887,
41110,540.642887,
41111,540.582887,
41112,540.702887,
41113,540.512887,
41114,540.642887,
41115,540.632887,
41116,540.692887,
41117,540.692887,
41118,540.642887,
41119,540.712887,
41120,540.792887,
41121,540.912887,
41122,540.942887,
41123,540.862887,
