Constituent,Julian_day,Seg_2  ,Seg_3  ,Seg_4  ,Seg_5  ,Seg_6  ,Seg_7  ,Seg_8  ,Seg_9  ,Seg_10 ,Seg_11 ,Seg_12 ,Seg_13 ,Seg_14 ,Seg_15 ,Seg_16 ,Seg_17 ,Seg_18 ,Seg_19 ,Seg_20 ,Seg_21 ,Seg_22 ,Seg_23 ,Seg_24 ,Seg_25 ,Seg_26 ,Seg_27 ,Seg_28 ,Seg_29 ,
Temperature, 40544.017,     3.700,     3.095,     2.857,     2.882,     2.882,     2.883,     2.882,     2.884,     2.884,     2.884,     2.884,     2.885,     2.884,     2.885,     2.885,     2.885,     2.885,     2.886,     2.886,     2.885,     2.885,     2.887,     2.886,     2.887,     2.887,     2.887,     2.888,     2.888,
N2                                    , 40544.017,    19.949,    19.237,    19.795,    19.795,    19.795,    19.600,    19.795,    19.795,    19.795,    19.795,    19.795,    19.795,    19.795,    19.795,    19.795,    19.795,    19.795,    19.794,    19.794,    19.795,    19.795,    19.794,    19.794,    19.794,    19.794,    19.794,    19.794,    19.794,
Dissolved_oxygen                      , 40544.017,    12.378,    11.922,    12.270,    12.270,    12.270,    12.148,    12.270,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,    12.269,
Oxyg                                  , 40544.017,    94.582,    91.454,    94.090,    94.089,    94.090,    93.165,    94.089,    94.094,    94.095,    94.095,    94.095,    94.096,    94.095,    94.096,    94.097,    94.098,    94.097,    94.100,    94.099,    94.096,    94.098,    94.102,    94.099,    94.103,    94.103,    94.103,    94.103,    94.104,
TDG(                                  , 40544.017,    94.894,    91.789,    94.426,    94.426,    94.425,    93.495,    94.425,    94.425,    94.425,    94.425,    94.425,    94.425,    94.424,    94.425,    94.424,    94.423,    94.424,    94.424,    94.424,    94.423,    94.424,    94.425,    94.424,    94.424,    94.425,    94.424,    94.424,    94.425,
Temperature, 40545.000,     3.653,     3.644,     3.627,     3.596,     3.566,     3.573,     3.621,     3.630,     3.412,     3.062,     2.808,     2.714,     2.733,     2.751,     2.764,     2.766,     2.776,     2.778,     2.766,     2.723,     2.778,     2.766,     2.802,     2.804,     2.830,     2.821,     2.853,     2.858,
N2                                    , 40545.000,    20.354,    19.785,    20.355,    20.357,    20.350,    20.171,    20.377,    20.261,    20.058,    19.896,    19.827,    19.829,    19.836,    19.836,    19.835,    19.829,    19.835,    19.831,    19.835,    19.837,    19.849,    19.815,    19.837,    19.816,    19.815,    19.809,    19.807,    19.806,
Dissolved_oxygen                      , 40545.000,    12.660,    12.306,    12.660,    12.661,    12.656,    12.546,    12.674,    12.592,    12.450,    12.337,    12.289,    12.290,    12.295,    12.295,    12.295,    12.291,    12.295,    12.292,    12.295,    12.296,    12.305,    12.282,    12.297,    12.283,    12.283,    12.279,    12.277,    12.276,
Oxyg                                  , 40545.000,    98.664,    95.943,    98.624,    98.547,    98.509,    97.809,    98.808,    97.568,    95.555,    94.068,    93.482,    93.558,    93.627,    93.652,    93.649,    93.670,    93.658,    93.657,    93.650,    93.655,    93.596,    93.733,    93.637,    93.731,    93.729,    93.752,    93.757,    93.763,
TDG(                                  , 40545.000,    98.546,    95.751,    98.406,    98.321,    98.254,    97.646,    98.683,    97.444,    95.669,    94.265,    93.881,    93.777,    93.751,    93.819,    93.838,    93.765,    93.823,    93.647,    93.275,    93.444,    93.082,    93.366,    93.204,    93.253,    93.128,    93.284,    93.448,    93.496,
