$ LITTLE GOOSE-POOLELEV.npt based on $//LITTLE GOOSE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,195.079
40545,194.999
40546,195.101
40547,195.193
40548,195.115
40549,194.793
40550,194.546
40551,194.854
40552,195.154
40553,195.225
40554,195.192
40555,195.22
40556,195.131
40557,195.039
40558,195.062
40559,195.107
40560,195.205
40561,195.198
40562,195.194
40563,195.179
40564,195.012
40565,195.098
40566,195.091
40567,195.169
40568,195.234
40569,195.196
40570,195.022
40571,194.693
40572,194.582
40573,194.453
40574,194.462
40575,194.822
40576,195.083
40577,194.877
40578,194.856
40579,194.905
40580,194.919
40581,194.949
40582,195.014
40583,195
40584,194.882
40585,194.684
40586,194.591
40587,194.701
40588,194.925
40589,195.128
40590,195.127
40591,195.013
40592,194.953
40593,195.093
40594,195.059
40595,195.016
40596,195.099
40597,195.103
40598,195.07
40599,194.94
40600,194.958
40601,194.951
40602,194.947
40603,195.041
40604,195.29
40605,195.149
40606,195.043
40607,195.065
40608,194.975
40609,194.896
40610,195.015
40611,195.105
40612,195.114
40613,195.062
40614,195.174
40615,194.79
40616,194.592
40617,194.773
40618,195.118
40619,194.929
40620,195.099
40621,194.965
40622,194.578
40623,194.377
40624,194.386
40625,194.219
40626,194.091
40627,194.334
40628,194.38
40629,194.185
40630,194.121
40631,194.222
40632,194.206
40633,194.206
40634,194.124
40635,194.118
40636,194.142
40637,194.158
40638,194.005
40639,194.045
40640,194.033
40641,194.036
40642,193.99
40643,194.042
40644,194.033
40645,194.048
40646,194.085
40647,194.042
40648,193.999
40649,194.057
40650,193.999
40651,194.03
40652,194.1
40653,194.081
40654,194.048
40655,194.051
40656,194.033
40657,194.066
40658,194.033
40659,194.069
40660,194.051
40661,194.051
40662,194.066
40663,194.03
40664,194.03
40665,194.054
40666,194.002
40667,194.03
40668,194.106
40669,194.075
40670,194.054
40671,194.063
40672,194.091
40673,194.097
40674,194.017
40675,194.072
40676,193.99
40677,193.993
40678,194.039
40679,194.036
40680,194.069
40681,194.088
40682,194.036
40683,194.057
40684,194.042
40685,194.03
40686,194.075
40687,194.078
40688,193.956
40689,193.972
40690,194.03
40691,194.063
40692,194.045
40693,194.008
40694,194.057
40695,194.011
40696,194.069
40697,194.042
40698,194.045
40699,194.078
40700,193.972
40701,194.042
40702,194.014
40703,194.063
40704,194.054
40705,194.054
40706,194.045
40707,194.033
40708,194.036
40709,194.133
40710,194.069
40711,194.027
40712,194.033
40713,194.024
40714,193.999
40715,194.066
40716,194.085
40717,194.008
40718,194.03
40719,194.051
40720,193.999
40721,194.011
40722,194.042
40723,194.072
40724,194.045
40725,194.069
40726,194.097
40727,194.017
40728,194.045
40729,194.002
40730,194.024
40731,194.085
40732,194.066
40733,194.063
40734,194.057
40735,194.066
40736,194.072
40737,194.03
40738,194.091
40739,194.121
40740,194.011
40741,194.054
40742,194.075
40743,194.063
40744,194.063
40745,194.03
40746,194.081
40747,194.036
40748,194.039
40749,194.072
40750,194.072
40751,194.072
40752,194.112
40753,194.088
40754,194.085
40755,194.039
40756,194.054
40757,194.106
40758,194.109
40759,194.1
40760,194.109
40761,194.078
40762,194.051
40763,194.127
40764,194.057
40765,194.024
40766,194.06
40767,194.03
40768,194.036
40769,194.118
40770,194.124
40771,194.139
40772,194.139
40773,194.106
40774,194.057
40775,194.069
40776,194.109
40777,194.088
40778,194.078
40779,194.027
40780,194.109
40781,194.115
40782,194.017
40783,194.081
40784,194.103
40785,194.081
40786,194.088
40787,194.085
40788,194.075
40789,194.057
40790,194.356
40791,194.782
40792,194.923
40793,194.889
40794,194.645
40795,194.782
40796,194.941
40797,195.005
40798,194.996
40799,195.279
40800,195.27
40801,195.151
40802,195.176
40803,194.828
40804,194.603
40805,194.344
40806,194.216
40807,194.011
40808,194.033
40809,194.03
40810,194.066
40811,194.145
40812,194.145
40813,194.755
40814,195.023
40815,195.045
40816,194.956
40817,194.959
40818,194.953
40819,194.938
40820,195.258
40821,195.237
40822,195.136
40823,195.151
40824,195.093
40825,195.084
40826,194.932
40827,195.023
40828,195.185
40829,195.096
40830,195.035
40831,195.029
40832,195.221
40833,195.2
40834,195.121
40835,195.051
40836,195.011
40837,194.865
40838,194.926
40839,195.072
40840,195.066
40841,194.971
40842,194.898
40843,194.947
40844,195.069
40845,195.026
40846,195.103
40847,195.127
40848,195.066
40849,194.984
40850,194.932
40851,194.929
40852,195.039
40853,195.039
40854,194.956
40855,195.097
40856,194.825
40857,194.906
40858,194.922
40859,194.914
40860,195.124
40861,195.241
40862,195.199
40863,195.177
40864,195.088
40865,195.07
40866,195.095
40867,195.193
40868,195.174
40869,195.097
40870,195.169
40871,195.231
40872,195.041
40873,194.883
40874,194.725
40875,194.812
40876,194.933
40877,194.92
40878,194.803
40879,194.894
40880,194.907
40881,194.945
40882,194.988
40883,195.019
40884,194.965
40885,194.808
40886,194.643
40887,194.563
40888,194.434
40889,194.517
40890,194.818
40891,194.925
40892,194.511
40893,194.452
40894,194.874
40895,195.088
40896,195.164
40897,195.126
40898,195.08
40899,195.134
40900,195.18
40901,195.05
40902,195.153
40903,195.14
40904,195.122
40905,195.103
40906,195.079
40907,194.973
40908,195.085
40909,195.073
40910,195.005
40911,195.084
40912,195.131
40913,195.066
40914,194.967
40915,194.819
40916,194.743
40917,194.714
40918,194.888
40919,195.018
40920,194.956
40921,194.968
40922,194.808
40923,194.731
40924,194.836
40925,195.08
40926,195.073
40927,195.069
40928,195.104
40929,195.021
40930,194.941
40931,194.991
40932,195.078
40933,195.034
40934,194.948
40935,195.09
40936,195.114
40937,195.05
40938,194.963
40939,194.98
40940,195.033
40941,194.971
40942,194.992
40943,195.06
40944,194.727
40945,194.309
40946,194.166
40947,194.342
40948,194.578
40949,194.412
40950,194.253
40951,194.474
40952,194.735
40953,194.988
40954,195.285
40955,195.116
40956,195.132
40957,195.002
40958,195.043
40959,195.121
40960,195.095
40961,195.117
40962,195.094
40963,195.058
40964,194.998
40965,195.008
40966,194.996
40967,195.098
40968,195.003
40969,195.014
40970,195.113
40971,195.042
40972,194.954
40973,195.014
40974,195.178
40975,195.208
40976,194.786
40977,195.042
40978,195.109
40979,195.167
40980,195.161
40981,195.176
40982,195.106
40983,194.929
40984,194.621
40985,194.264
40986,194.124
40987,194.164
40988,195.191
40989,195.246
40990,195.243
40991,195.231
40992,194.975
40993,194.935
40994,194.798
40995,194.901
40996,195.182
40997,195.2
40998,195.096
40999,194.831
41000,194.895
41001,194.56
41002,194.048
41003,193.996
41004,194.088
41005,194.06
41006,194.078
41007,194.088
41008,194.048
41009,194.078
41010,194.027
41011,194.06
41012,194.033
41013,193.996
41014,194.02
41015,194.011
41016,194.042
41017,194.069
41018,194.042
41019,194.03
41020,194.066
41021,194.069
41022,194.02
41023,193.996
41024,194.063
41025,194.042
41026,194.02
41027,194.039
41028,194.042
41029,194.036
41030,194.033
41031,194.051
41032,194.075
41033,194.063
41034,194.072
41035,194.063
41036,194.081
41037,194.042
41038,194.066
41039,194.072
41040,194.054
41041,194.112
41042,194.063
41043,194.06
41044,194.03
41045,194.011
41046,194.024
41047,194.112
41048,194.039
41049,194.066
41050,194.008
41051,194.072
41052,194.005
41053,194.075
41054,194.014
41055,194.045
41056,194.066
41057,194.024
41058,194.048
41059,194.081
41060,194.094
41061,194.051
41062,194.042
41063,194.045
41064,194.072
41065,194.033
41066,194.03
41067,194.094
41068,194.072
41069,194.063
41070,194.063
41071,194.014
41072,194.109
41073,194.081
41074,194.133
41075,194.106
41076,194.094
41077,194.03
41078,194.106
41079,194.091
41080,194.115
41081,194.072
41082,194.069
41083,194.02
41084,194.094
41085,194.027
41086,194.027
41087,194.039
41088,194.069
41089,194.042
41090,194.063
41091,194.091
41092,194.088
41093,194.036
41094,194.017
41095,194.06
41096,194.121
41097,194.072
41098,194.097
41099,194.066
41100,194.063
41101,194.063
41102,194.024
41103,194.042
41104,194.06
41105,194.048
41106,194.024
41107,194.121
41108,194.094
41109,194.078
41110,194.081
41111,194.06
41112,194.024
41113,194.103
41114,193.972
41115,194.063
41116,194.048
41117,194.1
41118,194.097
41119,194.057
41120,194.112
41121,194.17
41122,194.249
41123,194.273
41124,194.219
41125,194.292
41126,194.209
41127,194.173
41128,194.216
41129,194.237
41130,194.286
41131,194.182
41132,194.289
41133,194.222
41134,194.173
41135,194.222
41136,194.216
41137,194.243
41138,194.237
41139,194.283
41140,194.252
41141,194.246
41142,194.255
41143,194.264
41144,194.261
41145,194.249
41146,194.225
41147,194.31
41148,194.304
41149,194.228
41150,194.213
41151,194.267
41152,194.325
41153,194.283
41154,194.234
41155,194.203
41156,194.301
41157,194.594
41158,195.188
41159,195.218
41160,195.096
41161,195.039
41162,195.069
41163,195.096
41164,194.959
41165,194.718
41166,194.566
41167,194.405
41168,194.356
41169,194.45
41170,194.609
41171,194.362
41172,194.213
41173,194.255
41174,194.203
41175,194.225
41176,194.441
41177,194.484
41178,194.38
41179,194.28
41180,194.191
41181,194.13
41182,194.258
41183,194.581
41184,194.782
41185,194.545
41186,194.505
41187,194.6
41188,194.456
41189,194.374
41190,194.362
41191,194.328
41192,194.392
41193,194.572
41194,194.685
41195,194.615
41196,194.432
41197,194.496
41198,194.624
41199,194.779
41200,194.941
41201,195.063
41202,195.066
41203,195.048
41204,195.148
41205,195.173
41206,195.115
