$ LOWER GRANITE_OUTFLOW.npt based on $//LOWER GRANITE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,888.046
2.000000,932.16
3.000000,761.094
4.000000,760.071
5.000000,895.843
6.000000,893.429
7.000000,719.974
8.000000,785.731
9.000000,701.253
10.000000,766.222
11.000000,744.405
12.000000,846.871
13.000000,763.705
14.000000,879.732
15.000000,947.675
16.000000,1089.706
17.000000,1448.037
18.000000,2375.78
19.000000,2783.542
20.000000,2195.125
21.000000,1615.453
22.000000,1641.393
23.000000,1876.888
24.000000,1793.063
25.000000,1711.723
26.000000,1767.876
27.000000,1757.642
28.000000,1659.526
29.000000,1603.415
30.000000,1475.08
31.000000,1460.127
32.000000,1376.78
33.000000,1366.647
34.000000,1332.431
35.000000,1124.662
36.000000,1086.258
37.000000,1077.924
38.000000,1138.056
39.000000,1057.617
40.000000,1193.35
41.000000,1223.602
42.000000,1081.327
43.000000,1288.294
44.000000,1210.525
45.000000,1195.806
46.000000,1156.579
47.000000,1410.163
48.000000,1582.336
49.000000,1582.987
50.000000,1574.859
51.000000,1526.655
52.000000,1439.149
53.000000,1407.68
54.000000,1358.657
55.000000,1327.448
56.000000,1311.583
57.000000,1218.251
58.000000,1289.64
59.000000,1315.608
60.000000,1199.241
61.000000,1246.704
62.000000,1477.296
63.000000,1497.085
64.000000,1487.86
65.000000,1604.492
66.000000,1526.324
67.000000,1554.982
68.000000,1514.242
69.000000,1502.06
70.000000,1391.18
71.000000,1653.868
72.000000,1612.022
73.000000,1636.121
74.000000,1642.847
75.000000,1633.802
76.000000,1764.695
77.000000,2001.738
78.000000,2107.947
79.000000,2108.468
80.000000,2210.518
81.000000,2154.825
82.000000,2266.289
83.000000,2130.755
84.000000,2018.647
85.000000,2277.606
86.000000,2330.182
87.000000,2322.12
88.000000,2269.334
89.000000,2197.53
90.000000,2443.125
91.000000,3051.99
92.000000,3645.979
93.000000,3788.09
94.000000,3847.513
95.000000,3467.389
96.000000,3655.681
97.000000,3766.885
98.000000,3591.577
99.000000,3346.874
100.000000,3160.477
101.000000,3004.574
102.000000,2999.125
103.000000,2964.365
104.000000,2958.008
105.000000,2878.146
106.000000,2745.853
107.000000,2663.426
108.000000,2619.5
109.000000,2690.448
110.000000,2891.274
111.000000,2961.443
112.000000,2940.855
113.000000,2944.628
114.000000,2871.238
115.000000,2802.562
116.000000,2752.653
117.000000,2698.952
118.000000,2706.292
119.000000,2700.173
120.000000,2647.687
121.000000,2544.348
122.000000,2507.323
123.000000,2457.971
124.000000,2479.767
125.000000,2475.928
126.000000,2516.275
127.000000,2485.06
128.000000,2521.214
129.000000,2719.636
130.000000,2912.099
131.000000,2982.732
132.000000,2817.561
133.000000,2965.162
134.000000,3293.213
135.000000,3877.803
136.000000,4872.671
137.000000,5662.277
138.000000,5437.154
139.000000,4981.576
140.000000,4508.434
141.000000,4485.073
142.000000,4555.896
143.000000,4808.608
144.000000,5061.64
145.000000,5256.444
146.000000,5446.879
147.000000,5595.454
148.000000,5646.472
149.000000,5374.644
150.000000,4952.078
151.000000,4561.752
152.000000,4388.202
153.000000,4369.514
154.000000,4368.362
155.000000,4659.944
156.000000,4578.255
157.000000,4525.486
158.000000,4659.649
159.000000,5259.224
160.000000,5834.42
161.000000,5912.872
162.000000,5506.621
163.000000,5311.641
164.000000,5189.182
165.000000,5110.849
166.000000,5211.319
167.000000,5330.412
168.000000,5226.901
169.000000,4968.622
170.000000,4638.254
171.000000,4490.975
172.000000,4463.194
173.000000,4388.087
174.000000,4664.284
175.000000,5066.918
176.000000,5352.922
177.000000,5226.863
178.000000,4916.391
179.000000,4622.956
180.000000,4522.608
181.000000,4690.298
182.000000,4848.108
183.000000,4706.098
184.000000,4371.341
185.000000,4086.351
186.000000,4032.424
187.000000,3965.923
188.000000,3887.526
189.000000,3780.595
190.000000,3556.383
191.000000,3310.886
192.000000,3019.377
193.000000,2820.784
194.000000,2693.686
195.000000,2533.446
196.000000,2526.475
197.000000,2546.853
198.000000,2447.815
199.000000,2379.367
200.000000,2315.585
201.000000,2270.832
202.000000,2191.933
203.000000,2030.459
204.000000,2014.308
205.000000,2004.076
206.000000,1954.323
207.000000,1825.526
208.000000,1748.759
209.000000,1604.042
210.000000,1626.872
211.000000,1541.193
212.000000,1524.952
213.000000,1441.641
214.000000,1403.354
215.000000,1425.43
216.000000,1466.446
217.000000,1389.92
218.000000,1280.311
219.000000,1138.109
220.000000,1109.681
221.000000,1130.203
222.000000,1171.378
223.000000,1208.614
224.000000,1141.357
225.000000,1084.701
226.000000,1069.713
227.000000,1064.592
228.000000,1055.295
229.000000,998.722
230.000000,1092.388
231.000000,1028.303
232.000000,991.56
233.000000,962.33
234.000000,1001.82
235.000000,1038.39
236.000000,1062.888
237.000000,1072.892
238.000000,1075.924
239.000000,1093.257
240.000000,1053.358
241.000000,950.809
242.000000,1007.435
243.000000,1010.63
244.000000,1014.302
245.000000,1061.384
246.000000,1017.284
247.000000,970.648
248.000000,1061.235
249.000000,1006.437
250.000000,1059.023
251.000000,1017.043
252.000000,1111.975
253.000000,1220.341
254.000000,1197.76
255.000000,1214.998
256.000000,1170.951
257.000000,1114.205
258.000000,1143.842
259.000000,1119.633
260.000000,1058.523
261.000000,1077.934
262.000000,1080.3
263.000000,1122.154
264.000000,1039.685
265.000000,1016.917
266.000000,943.583
267.000000,977.34
268.000000,912.587
269.000000,892.845
270.000000,888.635
271.000000,960.801
272.000000,919.179
273.000000,863.266
274.000000,888.421
275.000000,954.24
276.000000,855.782
277.000000,945.906
278.000000,885.837
279.000000,866.718
280.000000,869.898
281.000000,895.562
282.000000,977.372
283.000000,950.867
284.000000,821.167
285.000000,801.617
286.000000,789.588
287.000000,739.908
288.000000,746.732
289.000000,741.743
290.000000,749.449
291.000000,788.209
292.000000,873.683
293.000000,778.803
294.000000,674.084
295.000000,719.002
296.000000,770.36
297.000000,742.853
298.000000,701.379
299.000000,701.057
300.000000,778.2
301.000000,763.804
302.000000,739.466
303.000000,665.505
304.000000,646.229
305.000000,718.682
306.000000,705.369
307.000000,741.45
308.000000,703.59
309.000000,688.091
310.000000,666.134
311.000000,699.584
312.000000,755.352
313.000000,604.395
314.000000,667.125
315.000000,757.665
316.000000,690.154
317.000000,677.25
318.000000,608.923
319.000000,593.384
320.000000,697.473
321.000000,763.76
322.000000,697.913
323.000000,595.004
324.000000,624.01
325.000000,706.523
326.000000,704.069
327.000000,737.857
328.000000,686.408
329.000000,692.912
330.000000,658.524
331.000000,572.904
332.000000,557.606
333.000000,636.616
334.000000,660.817
335.000000,603.972
336.000000,584.308
337.000000,639.631
338.000000,621.228
339.000000,554.092
340.000000,609.279
341.000000,613.182
342.000000,662.628
343.000000,660.692
344.000000,666.223
345.000000,672.647
346.000000,565.044
347.000000,588.979
348.000000,673.569
349.000000,632.287
350.000000,702.906
351.000000,657.902
352.000000,572.35
353.000000,622.253
354.000000,706.127
355.000000,585.886
356.000000,646.822
357.000000,597.557
358.000000,707.687
359.000000,637.784
360.000000,597.949
361.000000,609.377
362.000000,660.264
363.000000,722.747
364.000000,876.516
365.000000,1026.318
366.000000,1034.912
367.000000,911.187
368.000000,837.474
369.000000,818.752
370.000000,827.554
371.000000,751.136
372.000000,693.324
373.000000,787.272
374.000000,642.061
375.000000,686.497
376.000000,723.186
377.000000,681.689
378.000000,729.671
379.000000,712.06
380.000000,684.747
381.000000,668.025
382.000000,600.161
383.000000,678.726
384.000000,673.66
385.000000,794.856
386.000000,875.553
387.000000,867.966
388.000000,930.82
389.000000,957.703
390.000000,907.627
391.000000,851.926
392.000000,930.637
393.000000,936.762
394.000000,917.183
395.000000,946.607
396.000000,827.455
397.000000,923.354
398.000000,849.748
399.000000,880.263
400.000000,886.166
401.000000,893.418
402.000000,880.59
403.000000,829.396
404.000000,858.601
405.000000,834.672
406.000000,816.184
407.000000,872.607
408.000000,886.954
409.000000,838.771
410.000000,846.274
411.000000,827.434
412.000000,902.584
413.000000,868.004
414.000000,898.434
415.000000,840.425
416.000000,825.51
417.000000,841.011
418.000000,899.335
419.000000,1146.895
420.000000,1700.168
421.000000,1547.378
422.000000,1374.334
423.000000,1080.419
424.000000,1036.73
425.000000,1012.816
426.000000,981.994
427.000000,1180.891
428.000000,1061.638
429.000000,1014.953
430.000000,1007.572
431.000000,1059.005
432.000000,1176.436
433.000000,1060.464
434.000000,1113.538
435.000000,1080.615
436.000000,1060.099
437.000000,1193.357
438.000000,1220.205
439.000000,1209.296
440.000000,1421.215
441.000000,1466.169
442.000000,1932.218
443.000000,2313.663
444.000000,2017.275
445.000000,1749.22
446.000000,1826.19
447.000000,1948.471
448.000000,2077.648
449.000000,2159.839
450.000000,2148.222
451.000000,2090.514
452.000000,2414.495
453.000000,2620.198
454.000000,2552.299
455.000000,2528.998
456.000000,2696.988
457.000000,3139.495
458.000000,3630.852
459.000000,3567.12
460.000000,3264.569
461.000000,3015.753
462.000000,2791.525
463.000000,2894.069
464.000000,2836.548
465.000000,2714.867
466.000000,2651.809
467.000000,2652.824
468.000000,2727.494
469.000000,2973.543
470.000000,3212.187
471.000000,3186.798
472.000000,2966.387
473.000000,2838.732
474.000000,2797.908
475.000000,2866.628
476.000000,2954.103
477.000000,2978.903
478.000000,3092.868
479.000000,3288.14
480.000000,3607.07
481.000000,4234.125
482.000000,4734.022
483.000000,4858.404
484.000000,5170.72
485.000000,4942.858
486.000000,4381.275
487.000000,3917.551
488.000000,3874.332
489.000000,3684.536
490.000000,3526.033
491.000000,3324.287
492.000000,3072.559
493.000000,2923.029
494.000000,2694.57
495.000000,2594.501
496.000000,2652.419
497.000000,2756.331
498.000000,2803.603
499.000000,2872.246
500.000000,2807.792
501.000000,2785.121
502.000000,2934.118
503.000000,3321.535
504.000000,3675.084
505.000000,3721.709
506.000000,3489.975
507.000000,3075.533
