Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         638.85,   468874.52171,  5161203.66917, 11,   177.375
  3,  1,        2138.70,   468070.54031,  5162416.13376, 11,   182.375
  4,  1,        3711.35,   467523.82865,  5163890.31207, 11,   182.375
  5,  1,        5255.25,   466573.74528,  5164983.35300, 11,   181.375
  6,  1,        7345.55,   464997.80354,  5164483.00983, 11,   181.375
  7,  1,        9564.00,   463307.19460,  5163084.64132, 11,   182.375
  8,  1,       11825.35,   461184.01504,  5162774.39422, 11,   177.375
  9,  1,       14601.80,   458464.56960,  5162575.83161, 11,   177.375
 10,  1,       17294.80,   455849.57092,  5162486.26719, 11,   176.375
 11,  1,       19995.75,   453742.02065,  5163925.09952, 11,   176.375
 12,  1,       22869.70,   451441.21999,  5165266.47167, 11,   167.375
 13,  1,       25781.35,   448544.97054,  5165338.02798, 11,   167.375
 14,  1,       28632.55,   445985.76704,  5164403.65369, 11,   167.375
 15,  1,       30477.55,   444656.97720,  5163149.27511, 11,   159.375
 16,  1,       31532.85,   444256.88160,  5162193.30283, 11,   159.375
 17,  1,       33002.95,   443890.34643,  5160770.37485, 11,   159.375
 18,  1,       34676.60,   443453.65804,  5159154.85528, 11,   153.375
 19,  1,       36692.35,   442235.79262,  5157694.08399, 11,   153.375
 20,  1,       38739.20,   440440.90761,  5156804.25618, 11,   153.375
 21,  1,       40628.70,   438595.21187,  5156907.45860, 11,   153.375
 22,  1,       42791.70,   436627.57633,  5156594.16822, 11,   153.375
 23,  1,       45136.50,   435615.87994,  5154737.83730, 11,   153.375
 24,  1,       47716.45,   434268.30174,  5153043.24979, 11,   153.375
 25,  1,       50319.15,   431782.16748,  5153002.00348, 11,   153.375
 26,  1,       52763.00,   429398.71378,  5153221.05085, 11,   153.375
 27,  1,       54720.70,   427453.76103,  5153001.06059, 11,   153.375
 28,  1,       56317.05,   425866.25954,  5153016.33085, 11,   153.375
 29,  1,       57740.55,   424471.35581,  5152933.74105, 11,   153.375
