$ LEGW 2011 2017-11-13 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted >=6 hours missing data filled with LWS_2011_2015_met.csv,,,,,,
CWMS paths:, LEGW.Temp-Air.Inst.0.0.USBR-RAW, LEGW.Temp-DewPoint.Inst.0.0.USBR-RAW, LEGW.Speed-Wind.Inst.0.0.USBR-RAW, LEGW.Dir-Wind.Inst.0.0.USBR-RAW, LWS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,LMNA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with linTrend of LMNW
JDAY, TAIR_C, TDEW_C, WIND_ms, PHI_rad, CLOUD_0_10,BP_mmHg
1.000000,-9.62,-11.46,2.43,5.73,0,753.784
1.041670,-9.55,-11.58,2.15,5.83,0,753.884
1.083330,-9.68,-11.75,2.48,5.89,0,753.884
1.125000,-9.88,-12.01,2.44,6.03,0,754.38
1.166670,-10.43,-12.25,1.4,5.81,0,754.479
1.208330,-10.43,-12.49,1.6,5.76,0,754.479
1.250000,-10.83,-13.22,2.34,5.89,0,754.776
1.291670,-10.9,-13.15,2.23,6.19,0,755.173
1.333330,-10.83,-13.43,2.21,0.21,0,755.173
1.375000,-9.61,-12.77,2.05,0.31,0,756.165
1.416670,-7.92,-11.9,0.34,1.94,0,756.264
1.458330,-6.97,-10.78,0.8,0.44,0,756.264
1.500000,-6.16,-10.92,2.69,5.98,0,756.065
1.541670,-5.42,-10.73,2.66,6.01,0,755.867
1.583330,-4.81,-10.48,1.46,6.16,0,755.867
1.625000,-4.81,-9.3,1.65,0.93,0,756.165
1.666670,-5.42,-8.62,2.16,1.19,0,756.165
1.708330,-6.51,-9.12,1.46,1.11,0,756.165
1.750000,-7.59,-9.41,1.48,0.86,0,756.462
1.791670,-8.2,-9.83,1.66,0.78,0,756.363
1.833330,-8.87,-10.41,1.61,0.85,0,756.363
1.875000,-8.87,-10.45,1.68,1.05,0,756.462
1.916670,-8.53,-10.08,2.13,0.82,10,756.462
1.958330,-8.53,-10.1,0.46,1.19,10,756.462
2.000000,-8.93,-10.03,1.3,0.49,10,756.561
2.041670,-8.87,-10.28,0.32,0.63,10,756.462
2.083330,-8.26,-9.86,1.19,0.45,10,756.462
2.125000,-7.98,-9.13,0.66,6.11,10,756.66
2.166670,-8.12,-9.16,1.78,5.43,10,756.363
2.208330,-8.87,-10.26,1.89,5.53,10,756.363
2.250000,-9.21,-10.82,1.48,5.95,10,756.66
2.291670,-9.14,-11.22,1.48,0.01,10,756.859
2.333330,-7.98,-10.73,1.14,6.27,10,756.859
2.375000,-7.31,-10.35,3.5,0.32,10,757.553
2.416670,-6.83,-10.82,2.37,6.16,10,757.454
