$ LITTLE GOOSE_OUTFLOW.npt based on $//LITTLE GOOSE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,823.914
2.000000,950.585
3.000000,723.082
4.000000,698.024
5.000000,865.381
6.000000,1011.297
7.000000,820.49
8.000000,622.802
9.000000,600.919
10.000000,792.151
11.000000,745.678
12.000000,797.774
13.000000,740.405
14.000000,843.083
15.000000,904.259
16.000000,1073.069
17.000000,1362.329
18.000000,2222.636
19.000000,2631.85
20.000000,2102.03
21.000000,1612.838
22.000000,1511.526
23.000000,1814.182
24.000000,1703.483
25.000000,1622.327
26.000000,1713.008
27.000000,1748.656
28.000000,1742.293
29.000000,1579.13
30.000000,1456.241
31.000000,1397.545
32.000000,1163.469
33.000000,1207.369
34.000000,1339.3
35.000000,1128.979
36.000000,1008.362
37.000000,1032.315
38.000000,1047.328
39.000000,937.785
40.000000,1167.279
41.000000,1284.032
42.000000,1121.651
43.000000,1274.405
44.000000,1122.077
45.000000,1033.458
46.000000,1025.5
47.000000,1384.849
48.000000,1605.032
49.000000,1541.338
50.000000,1433.679
51.000000,1480.901
52.000000,1373.914
53.000000,1299.618
54.000000,1323.586
55.000000,1287.374
56.000000,1294.919
57.000000,1126.841
58.000000,1208.224
59.000000,1278.303
60.000000,1126.765
61.000000,1090.805
62.000000,1466.396
63.000000,1481.733
64.000000,1416.004
65.000000,1588.214
66.000000,1509
67.000000,1424.607
68.000000,1390.184
69.000000,1435.651
70.000000,1323.157
71.000000,1531.402
72.000000,1698.425
73.000000,1670.724
74.000000,1493.254
75.000000,1383.205
76.000000,1739.843
77.000000,1805.696
78.000000,2016.158
79.000000,2124.176
80.000000,2141.802
81.000000,1973.195
82.000000,2162.789
83.000000,1996.773
84.000000,1727.143
85.000000,2077.986
86.000000,2268.11
87.000000,2202.571
88.000000,2064.477
89.000000,2039.08
90.000000,2262.017
91.000000,2898.662
92.000000,3373.977
93.000000,3516.441
94.000000,3627.947
95.000000,3351.977
96.000000,3431.114
97.000000,3588.511
98.000000,3420.295
99.000000,3209.883
100.000000,3005.974
101.000000,2913.061
102.000000,2885.156
103.000000,2835.579
104.000000,2885.114
105.000000,2808.674
106.000000,2662.895
107.000000,2633.357
108.000000,2539.272
109.000000,2574.436
110.000000,2794.972
111.000000,2866.318
112.000000,2814.989
113.000000,2862.839
114.000000,2770.274
115.000000,2713.218
116.000000,2633.542
117.000000,2614.213
118.000000,2615.681
119.000000,2590.57
120.000000,2576.844
121.000000,2463.057
122.000000,2416.084
123.000000,2402.344
124.000000,2399.987
125.000000,2364.799
126.000000,2442.064
127.000000,2428.261
128.000000,2434.328
129.000000,2613.663
130.000000,2823.901
131.000000,2926.775
132.000000,2714.288
133.000000,2929.939
134.000000,3194.13
135.000000,3699.187
136.000000,4663.58
137.000000,5425.269
138.000000,5230
139.000000,4799.478
140.000000,4302.365
141.000000,4246.149
142.000000,4296.466
143.000000,4518.376
144.000000,4792.421
145.000000,4955.676
146.000000,5010.218
147.000000,5118.423
148.000000,5164.059
149.000000,4956.24
150.000000,4561.02
151.000000,4143.764
152.000000,4052.403
153.000000,4016.487
154.000000,4109.054
155.000000,4392.495
156.000000,4317.185
157.000000,4327.134
158.000000,4369.607
159.000000,4997.194
160.000000,5491.708
161.000000,5616.19
162.000000,5238.678
163.000000,5037.25
164.000000,4918.78
165.000000,4845.65
166.000000,4896.243
167.000000,5094.994
168.000000,4985.878
169.000000,4695.296
170.000000,4395.844
171.000000,4257.056
172.000000,4191.41
173.000000,4133.855
174.000000,4417.802
175.000000,4748.644
176.000000,5024.855
177.000000,4922.531
178.000000,4601.579
179.000000,4308.886
180.000000,4220.574
181.000000,4399.597
182.000000,4559.588
183.000000,4430.234
184.000000,4158.227
185.000000,3846.346
186.000000,3837.06
187.000000,3735.784
188.000000,3648.024
189.000000,3606.305
190.000000,3391.064
191.000000,3171.501
192.000000,2920.221
193.000000,2748.75
194.000000,2670.102
195.000000,2439.539
196.000000,2453.333
197.000000,2566.045
198.000000,2395.656
199.000000,2316.768
200.000000,2285.755
201.000000,2243.343
202.000000,2174.914
203.000000,1972.823
204.000000,2003.216
205.000000,1963.513
206.000000,1902.56
207.000000,1791.548
208.000000,1720.797
209.000000,1564.476
210.000000,1618.18
211.000000,1524.772
212.000000,1530.849
213.000000,1398.463
214.000000,1378.509
215.000000,1439.022
216.000000,1492.809
217.000000,1421.256
218.000000,1323.85
219.000000,1180.128
220.000000,1106.036
221.000000,1193.37
222.000000,1237.893
223.000000,1245.362
224.000000,1190.196
225.000000,1118.264
226.000000,1053.725
227.000000,1075.965
228.000000,1082.555
229.000000,1029.163
230.000000,1137.193
231.000000,1083.732
232.000000,1029.998
233.000000,978.335
234.000000,1029.853
235.000000,1058.734
236.000000,1113.566
237.000000,1046.404
238.000000,1084.002
239.000000,1147.943
240.000000,1048.67
241.000000,964.192
242.000000,1022.961
243.000000,1019.879
244.000000,1026.669
245.000000,1017.897
246.000000,954.843
247.000000,763.457
248.000000,805.63
249.000000,883.774
250.000000,1018.878
251.000000,1060.55
252.000000,1005.807
253.000000,1092.749
254.000000,1105.408
255.000000,1154.875
256.000000,980.401
257.000000,1054.9
258.000000,1137.007
259.000000,1039.003
260.000000,1155.599
261.000000,1104.234
262.000000,1139.731
263.000000,1150.521
264.000000,1064.146
265.000000,943.462
266.000000,877.135
267.000000,897.045
268.000000,933.27
269.000000,883.289
270.000000,545.624
271.000000,792.428
272.000000,848.563
273.000000,868.937
274.000000,855.172
275.000000,904.169
276.000000,837.373
277.000000,768.388
278.000000,869.978
279.000000,850.698
280.000000,815.747
281.000000,890.032
282.000000,958.426
283.000000,976.566
284.000000,721.595
285.000000,682.433
286.000000,780.274
287.000000,736.007
288.000000,716.836
289.000000,619.256
290.000000,733.236
291.000000,785.697
292.000000,870.413
293.000000,735.662
294.000000,709.385
295.000000,650.932
296.000000,644.564
297.000000,697.383
298.000000,696.031
299.000000,685.495
300.000000,703.778
301.000000,672.389
302.000000,732.642
303.000000,563.105
304.000000,596.276
305.000000,704.634
306.000000,653.861
307.000000,702.466
308.000000,651.645
309.000000,595.396
310.000000,623.305
311.000000,695.87
312.000000,639.539
313.000000,693.865
314.000000,560.341
315.000000,702.804
316.000000,656.761
317.000000,533.73
318.000000,528.497
319.000000,621.659
320.000000,645.328
321.000000,721.941
322.000000,645.914
323.000000,557.569
324.000000,545.257
325.000000,646.731
326.000000,700.041
327.000000,698.079
328.000000,606.072
329.000000,710.168
330.000000,688.496
331.000000,620.08
332.000000,459.188
333.000000,521.826
334.000000,616.71
335.000000,621.572
336.000000,487.39
337.000000,570.596
338.000000,573.507
339.000000,455.496
340.000000,546.525
341.000000,552.286
342.000000,652.062
343.000000,687.057
344.000000,612.911
345.000000,681.194
346.000000,457.911
347.000000,377.454
348.000000,567.039
349.000000,725.235
350.000000,690.823
351.000000,422.718
352.000000,429.986
353.000000,550.051
354.000000,696.683
355.000000,557.978
356.000000,629.075
357.000000,522.174
358.000000,716.338
359.000000,547.037
360.000000,559.684
361.000000,593.305
362.000000,621.538
363.000000,662.266
364.000000,892.668
365.000000,926.796
366.000000,1012.397
367.000000,883.925
368.000000,751.085
369.000000,725.389
370.000000,816.539
371.000000,743.741
372.000000,701.483
373.000000,795.579
374.000000,619.236
375.000000,541.622
376.000000,600.095
377.000000,670.527
378.000000,665.107
379.000000,748.43
380.000000,663.198
381.000000,597.411
382.000000,437.681
383.000000,629.231
384.000000,628.03
385.000000,758.854
386.000000,856.9
387.000000,853.944
388.000000,878.712
389.000000,836.327
390.000000,852.608
391.000000,843.272
392.000000,817.144
393.000000,1023.313
394.000000,924.239
395.000000,914.35
396.000000,771.545
397.000000,832.397
398.000000,831.675
399.000000,800.785
400.000000,788.135
401.000000,975.971
402.000000,985.664
403.000000,874.343
404.000000,662.532
405.000000,758.547
406.000000,912.688
407.000000,922.442
408.000000,782.515
409.000000,739.244
410.000000,736.013
411.000000,628.905
412.000000,953.995
413.000000,784.71
414.000000,892.509
415.000000,781.579
416.000000,767.129
417.000000,797.745
418.000000,792.377
419.000000,1077.583
420.000000,1644.66
421.000000,1450.982
422.000000,1279.904
423.000000,999.513
424.000000,924.917
425.000000,986.283
426.000000,860.726
427.000000,1060.337
428.000000,1055.407
429.000000,1015.145
430.000000,965.512
431.000000,933.401
432.000000,1159.986
433.000000,1204.668
434.000000,967.433
435.000000,999.206
436.000000,989.765
437.000000,1180.326
438.000000,1162.803
439.000000,1171.347
440.000000,1437.158
441.000000,1522.38
442.000000,1949.467
443.000000,2254.738
444.000000,1952.578
445.000000,1197.368
446.000000,1677.49
447.000000,1837.66
448.000000,1966.407
449.000000,2142.956
450.000000,2057.651
451.000000,2024.777
452.000000,2287.768
453.000000,2396.236
454.000000,2432.689
455.000000,2445.823
456.000000,2723.448
457.000000,2905.451
458.000000,3442.021
459.000000,3410.286
460.000000,3074.328
461.000000,2849.284
462.000000,2679.11
463.000000,2762.307
464.000000,2720.638
465.000000,2633.382
466.000000,2557.666
467.000000,2576.785
468.000000,2589.719
469.000000,2890.734
470.000000,3118.699
471.000000,3043.873
472.000000,2840.657
473.000000,2699.4
474.000000,2666.804
475.000000,2740.998
476.000000,2872.595
477.000000,2853.775
478.000000,2968.064
479.000000,3162.579
480.000000,3415.508
481.000000,4034.784
482.000000,4524.314
483.000000,4590.883
484.000000,4869.531
485.000000,4677.061
486.000000,4140.068
487.000000,3692.287
488.000000,3635.085
489.000000,3460.445
490.000000,3333.737
491.000000,3172.871
492.000000,2937.272
493.000000,2806.369
494.000000,2611.197
495.000000,2470.571
496.000000,2531.539
497.000000,2677.846
498.000000,2659.41
499.000000,2764.61
500.000000,2683.767
501.000000,2690.49
502.000000,2824.485
503.000000,3171.322
504.000000,3401.587
505.000000,3565.155
506.000000,3318.874
507.000000,2959.452
508.000000,2750.23
